Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,19.221,19.601,19.189,19.321,981636,0
2010-01-05,19.345,19.692,19.221,19.569,644873,0
2010-01-06,19.616,19.866,19.42,19.469,612091,0
2010-01-07,19.411,19.502,19.08,19.328,760755,0
2010-01-08,19.352,20.724,19.246,20.609,3301035,0
2010-01-11,20.651,20.651,19.716,19.866,1634948,0
2010-01-12,19.709,19.775,19.279,19.601,1019940,0
2010-01-13,19.732,19.84,19.379,19.758,677797,0
2010-01-14,19.616,19.766,19.352,19.502,645232,0
2010-01-15,19.634,19.634,18.989,19.189,897920,0
2010-01-19,19.254,19.732,19.189,19.692,954224,0
2010-01-20,19.518,19.518,18.907,18.966,1125508,0
2010-01-21,18.949,19.113,17.915,17.915,1970250,0
2010-01-22,17.94,18.239,17.478,17.546,2220366,0
2010-01-25,17.694,18.437,17.677,17.789,2529267,0
2010-01-26,17.759,19.172,17.686,18.841,3594421,0
2010-01-27,18.966,18.966,18.18,18.519,1165831,0
2010-01-28,18.542,18.619,17.924,18.08,879759,0
2010-01-29,18.097,18.519,17.964,18.204,1256949,0
2010-02-01,18.313,18.437,18.115,18.386,1728653,0
2010-02-02,18.337,18.478,18.073,18.396,1434071,0
2010-02-03,17.973,18.337,17.842,17.924,1596096,0
2010-02-04,17.736,17.759,17.278,17.296,1542188,0
2010-02-05,17.255,17.703,17.04,17.668,1300611,0
2010-02-08,17.686,18.017,17.478,17.651,1073734,0
2010-02-09,17.891,18.156,17.586,17.817,1426900,0
2010-02-10,17.728,17.908,17.389,17.563,528001,0
2010-02-11,17.572,17.759,17.453,17.759,428804,0
2010-02-12,17.572,17.842,17.231,17.842,597877,0
2010-02-16,17.99,18.419,17.981,18.371,951653,0
2010-02-17,18.528,18.941,18.362,18.551,867392,0
2010-02-18,18.503,19.063,18.386,18.907,1237057,0
2010-02-19,18.833,19.04,18.693,18.766,720516,0
2010-02-22,18.775,18.775,18.213,18.551,1529906,0
2010-02-23,18.61,19.569,18.61,19.27,1902700,0
2010-02-24,19.386,19.7,19.189,19.569,1093320,0
2010-02-25,19.288,19.964,19.148,19.947,1360706,0
2010-02-26,19.947,20.042,19.476,19.66,748155,0
2010-03-01,19.675,20.228,19.643,20.147,1318523,0
2010-03-02,20.163,20.36,20.078,20.13,1038199,0
2010-03-03,20.123,20.369,20.015,20.252,873463,0
2010-03-04,20.321,20.428,19.955,20.155,463560,0
2010-03-05,20.306,20.476,20.213,20.329,467245,0
2010-03-08,20.278,20.392,20.13,20.235,464994,0
2010-03-09,20.188,20.553,20.042,20.13,664785,0
2010-03-10,20.078,20.288,19.808,20.062,1350499,0
2010-03-11,19.874,20.062,19.7,20.056,783198,0
2010-03-12,20.188,20.188,19.791,20.062,972120,0
2010-03-15,20.062,20.13,19.716,20.123,1395131,0
2010-03-16,20.261,20.693,20.181,20.684,1112557,0
2010-03-17,20.798,21.335,20.709,21.032,1658709,0
2010-03-18,21.095,21.095,20.601,20.889,1075847,0
2010-03-19,20.946,20.989,20.378,20.469,835485,0
2010-03-22,20.278,21.006,20.228,20.709,822234,0
2010-03-23,20.724,20.906,20.553,20.866,739910,0
2010-03-24,20.693,20.806,20.411,20.651,770070,0
2010-03-25,20.765,20.981,20.056,20.104,1595694,0
2010-03-26,20.114,20.369,20.015,20.078,884412,0
2010-03-29,20.123,20.452,20.104,20.313,729698,0
2010-03-30,20.386,20.444,20.07,20.336,525330,0
2010-03-31,20.222,20.435,20.048,20.329,978347,0
2010-04-01,20.419,20.717,20.278,20.461,695710,0
2010-04-05,20.566,20.814,20.392,20.814,533867,0
2010-04-06,20.74,20.806,20.544,20.724,790197,0
2010-04-07,20.609,20.676,20.123,20.235,1500623,0
2010-04-08,20.147,20.392,19.898,20.378,771240,0
2010-04-09,20.386,20.642,20.023,20.558,1252085,0
2010-04-12,20.536,20.566,19.94,20.104,1153863,0
2010-04-13,20.104,20.213,19.856,20.078,1453682,0
2010-04-14,20.228,20.566,20.07,20.526,1208739,0
2010-04-15,20.419,20.699,20.344,20.553,1142166,0
2010-04-16,20.444,20.973,20.386,20.915,1962954,0
2010-04-19,20.823,20.973,20.261,20.386,1974965,0
2010-04-20,19.923,21.229,19.848,20.435,2018913,0
2010-04-21,20.536,20.929,20.485,20.898,1216687,0
2010-04-22,20.724,21.379,20.575,21.22,993570,0
2010-04-23,21.307,21.682,21.267,21.682,885613,0
2010-04-26,21.673,21.874,21.293,21.309,863933,0
2010-04-27,21.229,21.477,20.575,20.651,899761,0
2010-04-28,20.709,20.798,20.352,20.469,1090928,0
2010-04-29,20.66,20.898,20.66,20.858,961471,0
2010-04-30,20.922,21.113,20.392,20.428,1088723,0
2010-05-03,20.583,20.866,20.252,20.823,751349,0
2010-05-04,20.575,20.575,19.947,19.998,1327907,0
2010-05-05,19.8,20.007,19.314,19.716,1028649,0
2010-05-06,19.535,19.732,16.768,18.676,1913465,0
2010-05-07,18.651,18.881,18.132,18.289,2556901,0
2010-05-10,19.148,19.279,18.551,18.775,1513909,0
2010-05-11,18.585,18.941,18.551,18.757,1011327,0
2010-05-12,18.872,19.518,18.793,19.428,918033,0
2010-05-13,19.428,19.569,19.18,19.279,691924,0
2010-05-14,19.148,19.18,18.733,18.975,694312,0
2010-05-17,19.204,19.493,18.626,18.85,1398007,0
2010-05-18,19.055,19.246,18.825,18.907,1319468,0
2010-05-19,18.784,18.85,18.23,18.536,812505,0
2010-05-20,18.097,18.23,17.537,17.58,1740019,0
2010-05-21,17.305,17.885,17.009,17.686,1411909,0
2010-05-24,17.617,17.957,17.338,17.365,863897,0
2010-05-25,16.857,17.083,16.52,17.017,2401865,0
2010-05-26,17.139,17.711,17.139,17.287,1130539,0
2010-05-27,17.626,18.371,17.469,18.353,1113235,0
2010-05-28,18.297,18.453,17.808,18.289,1173584,0
2010-06-01,18.106,18.405,17.572,17.572,1033820,0
2010-06-02,17.703,18.097,17.599,18.097,680692,0
2010-06-03,17.957,18.602,17.94,18.289,666473,0
2010-06-04,17.9,18.132,17.444,17.546,911741,0
2010-06-07,17.537,17.58,17,17,1135458,0
2010-06-08,17.048,17.208,16.941,17.181,1098991,0
2010-06-09,17.355,17.427,17.074,17.181,1004788,0
2010-06-10,17.389,17.774,17.346,17.759,1026987,0
2010-06-11,18.008,18.551,18.008,18.487,2567369,0
2010-06-14,19.164,19.164,18.569,18.634,2272704,0
2010-06-15,18.891,19.484,18.85,19.411,2194011,0
2010-06-16,19.411,19.411,19.08,19.246,990260,0
2010-06-17,19.246,19.411,19.024,19.204,673702,0
2010-06-18,19.295,19.402,19.113,19.221,1180569,0
2010-06-21,19.526,19.892,19.27,19.42,2262366,0
2010-06-22,19.411,19.493,18.833,18.833,1429447,0
2010-06-23,18.718,18.881,18.419,18.684,1306260,0
2010-06-24,18.51,18.634,18.264,18.304,1168272,0
2010-06-25,18.319,18.602,18.264,18.437,1612559,0
2010-06-28,18.51,18.61,18.188,18.272,1329397,0
2010-06-29,18.256,18.256,17.677,17.948,1724168,0
2010-06-30,17.963,18.475,17.821,18.19,2118949,0
2010-07-01,18.173,18.469,17.957,18.239,1709071,0
2010-07-02,18.319,18.362,17.694,17.728,929854,0
2010-07-06,18.048,18.18,17.503,17.617,1000903,0
2010-07-07,17.617,18.188,17.554,18.188,690776,0
2010-07-08,18.346,18.487,18.017,18.28,1208328,0
2010-07-09,18.297,18.585,18.272,18.542,1134627,0
2010-07-12,18.419,18.551,17.957,18.033,1776643,0
2010-07-13,18.222,18.866,18.222,18.833,1570825,0
2010-07-14,18.801,19.098,18.542,18.872,1431310,0
2010-07-15,18.932,19.157,18.626,19.08,1283112,0
2010-07-16,18.989,19.098,18.676,18.784,1864820,0
2010-07-19,18.907,19.139,18.461,18.932,1346035,0
2010-07-20,18.718,20.428,18.718,20.401,3753711,0
2010-07-21,20.461,20.583,19.856,20.087,2172320,0
2010-07-22,20.435,20.601,20.114,20.228,1497906,0
