Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,2.9338,2.9534,2.7383,2.8361,1840,0
2010-01-05,2.9631,3.1099,2.9631,3.1099,2095,0
2010-01-08,2.9631,3.3641,2.9338,2.9338,613,0
2010-01-11,3.1783,3.1979,3.1783,3.1783,613,0
2010-01-14,3.4228,3.4228,3.4228,3.4228,204,0
2010-01-15,3.4228,3.4228,3.4228,3.4228,204,0
2010-01-20,3.638,3.6967,3.638,3.6673,1696,0
2010-01-21,3.4423,3.4423,3.325,3.325,617,0
2010-01-22,3.2565,3.6771,3.2565,3.2565,583,0
2010-01-25,3.2565,3.2664,3.2273,3.2273,1257,0
2010-01-27,3.1979,3.1979,3.0904,3.0904,2146,0
2010-01-28,3.638,3.638,3.0904,3.0904,716,0
2010-01-29,3.6183,3.6673,3.0904,3.5696,1738,0
2010-02-01,3.149,3.4228,3.1197,3.1392,1231,0
2010-02-02,3.1294,3.1294,2.9437,2.9828,1936,0
2010-02-05,3.3055,3.3152,2.9338,2.9338,5250,0
2010-02-11,2.9338,2.9437,2.9338,2.9437,490,0
2010-02-12,2.9338,3.325,2.9338,3.3055,8688,0
2010-02-16,3.061,3.061,3.0317,3.0317,236,0
2010-02-17,3.0317,3.0317,3.0317,3.0317,513,0
2010-02-19,3.0317,3.1294,3.0317,3.1294,563,0
2010-02-23,3.2077,3.2077,3.2077,3.2077,325,0
2010-02-26,3.061,3.1294,3.0317,3.0317,653,0
2010-03-01,3.2273,3.6183,3.2273,3.5891,1246,0
2010-03-02,3.4815,3.4815,3.3641,3.3641,511,0
2010-03-03,3.061,3.1197,3.061,3.1197,204,0
2010-03-05,3.5207,3.5207,3.0317,3.0317,2420,0
2010-03-08,3.0414,3.325,3.0317,3.0317,921,0
2010-03-09,3.3641,3.3641,2.9534,3.0805,757,0
2010-03-12,2.9338,2.9338,2.9338,2.9338,1241,0
2010-03-15,3.4717,3.4717,3.0513,3.0513,1677,0
2010-03-16,2.9631,3.1294,2.9631,3.1294,289,0
2010-03-18,3.2957,3.2957,2.9338,2.9338,509,0
2010-03-19,2.9338,2.9338,2.9338,2.9338,2181,0
2010-03-22,2.8849,2.9338,2.7872,2.7872,5438,0
2010-03-23,2.7872,2.7872,2.1613,2.6404,37071,0
2010-03-24,2.2883,2.5427,2.22,2.2883,15702,0
2010-03-25,2.2591,2.5035,2.22,2.2297,8549,0
2010-03-29,2.2982,2.3471,2.2297,2.3471,9318,0
2010-03-30,2.4449,2.5818,2.4449,2.5818,7334,0
2010-03-31,2.6013,2.7089,2.4449,2.6796,6666,0
2010-04-01,2.9338,2.9338,2.5035,2.5035,767,0
2010-04-05,2.4352,2.5035,2.4252,2.5035,1088,0
2010-04-06,2.66,2.6796,2.5231,2.6796,3087,0
2010-04-07,2.6894,2.6894,2.6894,2.6894,1022,0
2010-04-08,2.4547,2.6894,2.4547,2.6404,6080,0
2010-04-09,2.5818,2.6894,2.5818,2.6404,2998,0
2010-04-12,2.6894,2.6894,2.4644,2.6404,2315,0
2010-04-13,2.4938,2.5427,2.4938,2.5427,483,0
2010-04-14,2.6894,2.9338,2.5134,2.5231,12483,0
2010-04-15,2.5328,2.5328,2.4644,2.4644,3017,0
2010-04-16,2.5035,2.6404,2.5035,2.6404,1369,0
2010-04-20,2.5134,2.5818,2.4644,2.5818,2777,0
2010-04-21,2.5134,2.5916,2.5134,2.5427,4074,0
2010-04-22,2.5427,2.5916,2.5427,2.5916,5945,0
2010-04-26,2.8556,3.1197,2.6698,2.8361,7275,0
2010-04-28,2.748,2.8361,2.5525,2.572,7180,0
2010-04-29,2.6698,2.9143,2.6698,2.797,3004,0
2010-04-30,2.7578,2.9338,2.6894,2.8262,2760,0
2010-05-03,2.7578,3.1099,2.6503,2.7089,3648,0
2010-05-04,2.6894,2.6894,2.6894,2.6894,511,0
2010-05-05,2.7186,2.7286,2.7186,2.7286,307,0
2010-05-06,2.7383,2.8361,2.6894,2.8361,1687,0
2010-05-10,2.7383,3.2273,2.7383,3.0317,4397,0
2010-05-11,3.0317,3.0317,3.0317,3.0317,4791,0
2010-05-12,2.8262,3.0317,2.8262,3.0317,731,0
2010-05-13,2.9338,2.9828,2.8165,2.9828,6487,0
2010-05-14,2.973,2.9828,2.973,2.9828,1022,0
2010-05-17,2.6992,2.9338,2.6992,2.8361,2828,0
2010-05-18,2.9828,2.9828,2.8458,2.8458,332,0
2010-05-19,2.7186,2.7383,2.6404,2.6404,2324,0
2010-05-20,2.6992,2.7872,2.6307,2.6307,1360,0
2010-05-21,2.4938,2.5427,2.4938,2.5427,2282,0
2010-05-24,2.5525,2.7578,2.5427,2.5427,1431,0
2010-05-25,2.8361,3.3152,2.5916,3.1783,12068,0
2010-05-26,3.149,3.149,3.149,3.149,103,0
2010-05-27,2.973,3.0317,2.8752,3.0317,4909,0
2010-05-28,2.7286,2.973,2.7286,2.9534,874,0
2010-06-01,2.9828,2.9828,2.8752,2.8752,511,0
2010-06-02,2.9143,2.9338,2.6307,2.6307,2682,0
2010-06-07,2.7383,2.7383,2.5427,2.5427,10706,0
2010-06-09,2.5427,2.7383,2.4938,2.5427,3477,0
2010-06-10,2.5328,2.5427,2.4449,2.5427,4997,0
2010-06-15,2.4058,2.7286,2.4058,2.5623,1401,0
2010-06-17,2.4449,2.5818,2.4449,2.5818,409,0
2010-06-18,2.6992,2.6992,2.6503,2.6503,420,0
