Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,3.14,3.14,3.03,3.04,26574,0
2010-01-05,3.05,3.06,3.03,3.05,25500,0
2010-01-06,3.08,3.14,3.03,3.03,73178,0
2010-01-07,3.02,3.03,2.99,2.99,62500,0
2010-01-08,3.01,3.04,2.97,2.97,51475,0
2010-01-11,3.02,3.03,2.97,3,32150,0
2010-01-12,3.02,3.05,2.99,3.03,55047,0
2010-01-13,3.03,3.06,3.03,3.05,10000,0
2010-01-14,3.04,3.1,3.03,3.03,34415,0
2010-01-15,3.05,3.06,3.01,3.01,27561,0
2010-01-19,3.01,3.08,2.72,3.01,80966,0
2010-01-20,3.01,3.06,3,3.01,3897,0
2010-01-21,3.03,3.12,3.01,3.12,5985,0
2010-01-22,3.02,3.12,3.02,3.12,8800,0
2010-01-25,3,3.05,3,3.04,700,0
2010-01-26,3.08,3.08,2.98,3.03,45163,0
2010-01-27,3.03,3.03,2.99,3.01,702,0
2010-01-28,3.03,3.1,3,3.1,41580,0
2010-01-29,3.1,3.1,2.98,2.98,11734,0
2010-02-01,2.97,3.05,2.87,2.91,20000,0
2010-02-02,3.01,3.02,2.93,3.02,10557,0
2010-02-03,3.05,3.05,2.78,2.85,26978,0
2010-02-04,2.9,3.14,2.9,3.04,25139,0
2010-02-05,3.03,3.12,3.03,3.1,10328,0
2010-02-09,3.01,3.1,2.91,2.92,12532,0
2010-02-10,2.92,3.15,2.92,3.15,8034,0
2010-02-11,3.15,3.15,2.95,2.99,7364,0
2010-02-12,3.02,3.11,3.02,3.06,4426,0
2010-02-16,3.05,3.05,2.99,3,2500,0
2010-02-17,2.94,3.06,2.91,3.06,41500,0
2010-02-18,2.97,3,2.96,2.97,23683,0
2010-02-19,2.96,2.96,2.82,2.88,19846,0
2010-02-22,2.82,3.06,2.8,3.05,33994,0
2010-02-23,3.01,3.03,2.8,2.8,33123,0
2010-02-24,3,3.01,2.89,2.89,9634,0
2010-02-25,3.06,3.06,2.81,2.81,24645,0
2010-02-26,3,3,2.9,3,3000,0
2010-03-01,3,3.02,2.95,3.02,12047,0
