Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,26.423,27.021,26.287,27.002,2707938,0
2010-01-05,26.914,27.243,26.914,27.021,2534231,0
2010-01-06,26.923,27.627,26.923,27.444,3398339,0
2010-01-07,27.339,27.58,27.133,27.57,2737406,0
2010-01-08,27.502,27.623,27.302,27.516,3025125,0
2010-01-11,27.576,27.627,27.312,27.484,2231541,0
2010-01-12,27.185,27.326,26.807,27.107,2501509,0
2010-01-13,27.262,27.412,26.923,27.391,1928079,0
2010-01-14,27.989,28.376,27.821,27.979,5032782,0
2010-01-15,27.957,28.061,27.475,27.649,3372835,0
2010-01-19,27.721,28.634,27.635,28.621,3739371,0
2010-01-20,28.449,28.573,27.747,28.13,4752121,0
2010-01-21,27.298,27.838,26.292,26.337,12285491,0
2010-01-22,26.423,27.155,26.251,26.701,6681885,0
2010-01-25,27.071,27.373,26.977,27.216,4003897,0
2010-01-26,27.044,27.316,26.668,26.721,2970805,0
2010-01-27,26.654,26.654,26.02,26.519,3659741,0
2010-01-28,26.654,26.654,25.749,26.296,3359743,0
2010-01-29,26.45,26.807,26.129,26.147,4495743,0
2010-02-01,26.409,26.533,26.233,26.523,3061014,0
2010-02-02,26.481,26.958,26.242,26.708,2433021,0
2010-02-03,26.554,26.892,26.224,26.382,3325337,0
2010-02-04,26.156,26.269,25.642,25.726,3245732,0
2010-02-05,25.684,26.07,25.378,25.998,4869711,0
2010-02-08,26.008,26.224,25.582,25.702,3449107,0
2010-02-09,26.011,26.528,25.818,26.361,3438372,0
2010-02-10,26.337,26.763,26.008,26.624,4017883,0
2010-02-11,26.549,26.914,26.305,26.841,3225491,0
2010-02-12,26.487,27.067,26.328,26.896,3311492,0
2010-02-16,27.177,27.37,26.968,27.37,2145896,0
2010-02-17,27.312,27.605,27.213,27.543,3195140,0
2010-02-18,27.521,27.742,27.382,27.676,2233688,0
2010-02-19,27.53,28.02,27.404,27.843,2258550,0
2010-02-22,27.867,27.947,27.502,27.658,1892499,0
2010-02-23,27.589,27.653,27.208,27.382,2168958,0
2010-02-24,27.502,27.843,27.326,27.672,2666390,0
2010-02-25,27.112,27.294,26.972,27.208,4226019,0
2010-02-26,27.177,27.521,27.12,27.422,2272947,0
2010-03-01,27.489,27.825,27.294,27.797,2269192,0
2010-03-02,27.915,28.016,27.676,27.893,2786069,0
2010-03-03,27.975,28.418,27.871,28.047,2746656,0
2010-03-04,27.984,28.252,27.851,28.034,2595158,0
2010-03-05,28.247,28.297,28.126,28.201,2580465,0
