Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,5.93,6.18,5.93,6,118820,0
2010-01-05,6.2,6.27,6.02,6.05,125784,0
2010-01-06,6.09,6.23,6.02,6.21,217634,0
2010-01-07,6.18,6.2,6.05,6.11,117451,0
2010-01-08,6.06,6.1,6,6,86280,0
2010-01-11,6.06,6.09,5.99,6,59513,0
2010-01-12,5.97,5.97,5.86,5.9,61301,0
2010-01-13,5.89,5.94,5.75,5.88,122143,0
2010-01-14,5.89,6,5.88,5.96,27847,0
2010-01-15,5.98,6.01,5.83,5.97,58862,0
2010-01-19,5.97,6,5.92,5.96,177871,0
2010-01-20,5.94,6.08,5.86,5.87,87602,0
2010-01-21,5.91,6.22,5.7,5.75,119243,0
2010-01-22,5.75,5.85,5.7,5.76,72007,0
2010-01-25,5.87,5.87,5.6,5.66,89349,0
2010-01-26,5.77,5.77,5.55,5.6,97082,0
2010-01-27,5.6,5.72,5.55,5.72,23959,0
2010-01-28,5.73,5.97,5.68,5.89,70945,0
2010-01-29,5.91,5.95,5.75,5.75,83598,0
2010-02-01,5.76,5.9,5.6,5.87,54397,0
2010-02-02,5.92,6,5.73,5.98,56588,0
2010-02-03,5.01,6.02,5.01,6,146427,0
2010-02-04,5.96,6.04,5.72,5.73,84461,0
2010-02-05,5.74,5.75,5.54,5.67,65122,0
2010-02-08,5.6,5.75,5.6,5.7,37997,0
2010-02-09,5.7,5.73,5.62,5.67,39166,0
2010-02-10,5.54,5.7,5.54,5.66,44424,0
2010-02-11,5.64,6,5.63,6,34250,0
2010-02-12,5.87,6,5.8,6,35132,0
2010-02-16,6,6,5.83,5.86,45851,0
2010-02-17,5.86,5.86,5.6,5.7,90955,0
2010-02-18,5.66,5.9,5.62,5.84,36718,0
2010-02-19,5.85,5.9,5.59,5.9,85066,0
2010-02-22,5.93,5.96,5.83,5.91,51925,0
2010-02-23,5.93,5.99,5.9,5.94,55204,0
2010-02-24,6,6,5.92,6,40329,0
2010-02-25,5.94,5.99,5.84,5.98,27709,0
2010-02-26,6,6,5.93,6,104128,0
2010-03-01,6,6.01,5.87,5.87,99322,0
2010-03-02,5.5,5.7,5.46,5.53,309741,0
2010-03-03,5.52,5.61,5.5,5.57,97227,0
2010-03-04,5.55,5.7,5.37,5.48,97194,0
2010-03-05,5.57,5.7,5.46,5.69,112960,0
2010-03-08,5.7,5.9,5.7,5.88,136753,0
2010-03-09,5.82,5.99,5.82,5.94,86307,0
2010-03-10,5.96,5.96,5.69,5.72,123111,0
