Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,22.166,22.166,21.31,21.953,22624,0
2010-01-05,21.899,22.38,21.47,22.006,30273,0
2010-01-06,22.006,22.649,21.47,21.524,18618,0
2010-01-07,21.47,22.006,17.294,21.685,338601,0
2010-01-08,21.524,21.631,20.828,21.042,30565,0
2010-01-11,21.203,21.256,21.042,21.203,24603,0
2010-01-12,21.042,21.31,21.042,21.203,23654,0
2010-01-13,21.31,21.417,20.989,21.203,32118,0
2010-01-14,21.203,21.417,20.989,21.149,39762,0
2010-01-15,21.31,21.846,20.989,21.149,40554,0
2010-01-19,21.149,21.685,21.042,21.631,17432,0
2010-01-20,21.524,21.685,20.828,21.47,36730,0
2010-01-21,21.417,21.417,20.668,21.256,36197,0
2010-01-22,21.203,21.363,20.989,21.042,27118,0
2010-01-25,21.149,21.417,20.668,21.203,39616,0
2010-01-26,21.096,21.631,20.989,21.578,35312,0
2010-01-27,21.417,21.899,21.417,21.846,19131,0
2010-01-28,21.685,21.846,21.096,21.524,32768,0
2010-01-29,21.685,22.006,21.578,21.578,27063,0
2010-02-01,21.685,22.006,21.256,21.792,38360,0
2010-02-02,21.846,22.059,21.685,22.006,42996,0
2010-02-03,22.006,22.38,21.792,22.327,26987,0
2010-02-04,22.273,22.434,21.846,21.846,24169,0
2010-02-05,21.792,22.22,21.792,22.22,18208,0
2010-02-08,22.327,22.488,21.846,22.22,25252,0
2010-02-09,22.488,22.809,22.38,22.702,21114,0
2010-02-10,22.541,22.863,22.38,22.649,19318,0
2010-02-11,22.541,23.451,22.434,23.344,25280,0
2010-02-12,23.237,24.522,22.702,24.041,49393,0
2010-02-16,24.415,24.737,23.88,24.683,20046,0
2010-02-17,24.79,24.951,24.094,24.79,59776,0
2010-02-18,24.737,25.325,24.683,25.165,16564,0
2010-02-19,25.218,25.379,24.897,25.379,31773,0
2010-02-22,25.325,25.808,25.111,25.593,31119,0
2010-02-23,25.486,25.808,24.897,25.486,44283,0
2010-02-24,25.486,25.808,24.897,25.754,120483,0
2010-02-25,25.432,25.432,23.934,24.951,173788,0
2010-02-26,24.79,25.379,23.88,24.683,69396,0
2010-03-01,24.737,25.058,24.148,24.897,45088,0
2010-03-02,24.79,25.593,24.576,25.111,23571,0
2010-03-03,25.058,25.325,24.522,25.004,19646,0
2010-03-04,25.004,25.218,24.897,25.058,9798,0
2010-03-05,25.111,25.701,24.897,25.701,22280,0
2010-03-08,25.701,26.343,25.593,25.754,33591,0
2010-03-09,25.754,26.182,25.432,25.486,18081,0
2010-03-10,25.379,25.968,25.272,25.272,26752,0
2010-03-11,25.111,25.272,24.79,25.218,352182,0
2010-03-12,25.272,25.272,24.951,25.272,11399,0
2010-03-15,25.272,25.432,24.79,25.165,10392,0
2010-03-16,25.004,25.218,24.737,25.218,23445,0
2010-03-17,25.325,26.022,25.165,25.486,19384,0
2010-03-18,25.325,26.664,24.951,26.503,49914,0
2010-03-19,26.664,26.932,26.129,26.718,38243,0
2010-03-22,26.503,27.146,26.129,27.092,14672,0
2010-03-23,28.538,28.592,27.36,27.574,46589,0
2010-03-24,27.413,28.003,27.092,27.36,24749,0
2010-03-25,27.521,27.682,27.092,27.253,26647,0
2010-03-26,26.932,26.932,25.968,26.129,51890,0
2010-03-29,26.129,26.396,25.808,26.129,10846,0
2010-03-30,26.236,26.236,25.111,25.701,25840,0
2010-03-31,25.54,25.915,25.272,25.593,28359,0
2010-04-01,25.593,25.701,24.951,25.272,19621,0
2010-04-05,25.218,25.432,24.683,25.272,14648,0
2010-04-06,25.111,26.129,25.111,25.754,29937,0
2010-04-07,25.593,25.808,25.218,25.593,22623,0
2010-04-08,25.432,25.754,25.325,25.432,15570,0
2010-04-09,25.325,25.325,24.737,25.111,18458,0
2010-04-12,25.111,25.915,25.111,25.701,9801,0
2010-04-13,25.754,25.754,25.272,25.593,10360,0
2010-04-14,25.754,26.45,25.325,26.236,27033,0
2010-04-15,26.129,26.611,25.915,26.45,12379,0
2010-04-16,26.45,26.45,25.272,25.593,20926,0
2010-04-19,25.486,27.146,25.325,26.45,26178,0
2010-04-20,26.557,27.146,26.289,26.932,119333,0
2010-04-21,27.092,27.146,26.396,26.557,30004,0
2010-04-22,26.289,26.718,25.379,26.664,19759,0
2010-04-23,26.611,26.718,25.701,26.503,83267,0
2010-04-26,26.503,27.039,26.075,26.289,11774,0
2010-04-27,26.129,26.289,25.432,25.915,17730,0
2010-04-28,26.129,27.146,25.915,26.289,21095,0
2010-04-29,26.396,26.396,25.325,25.486,26504,0
2010-04-30,25.432,25.54,24.041,24.469,49235,0
2010-05-03,24.576,25.54,24.576,25.218,18028,0
2010-05-04,24.897,24.897,23.987,24.255,21495,0
2010-05-05,24.094,24.362,23.344,23.398,22927,0
2010-05-06,23.237,24.469,22.113,23.237,61000,0
2010-05-07,22.97,23.773,22.22,22.649,21863,0
2010-05-10,23.559,24.041,22.809,23.237,24059,0
2010-05-11,23.023,24.415,23.023,24.041,12766,0
2010-05-12,23.987,24.951,23.773,24.415,17541,0
2010-05-13,24.362,24.362,23.505,23.72,16395,0
2010-05-14,23.505,23.505,22.702,23.237,14100,0
2010-05-17,23.291,23.612,22.97,23.344,13482,0
2010-05-18,23.451,23.827,23.13,23.344,15554,0
2010-05-19,23.291,23.72,22.809,23.398,49187,0
2010-05-20,22.863,23.023,22.22,22.863,37961,0
2010-05-21,22.595,23.023,21.792,22.113,54046,0
2010-05-24,22.113,22.541,21.846,22.006,22241,0
2010-05-25,21.685,22.059,21.31,22.006,22359,0
2010-05-26,22.059,22.434,21.846,22.38,32489,0
2010-05-27,22.702,23.612,22.702,23.559,28742,0
2010-05-28,23.398,24.201,23.291,23.827,20044,0
2010-06-01,23.559,23.559,22.22,22.273,31003,0
2010-06-02,22.327,23.023,21.739,22.595,17875,0
2010-06-03,22.541,23.023,22.059,22.809,11904,0
2010-06-04,22.166,22.38,21.578,21.685,28344,0
2010-06-07,21.685,22.006,21.524,21.685,30274,0
2010-06-08,21.846,21.846,21.524,21.846,17837,0
2010-06-09,22.113,22.113,21.685,21.899,14714,0
2010-06-10,22.273,22.488,21.578,22.434,17990,0
2010-06-11,22.166,22.434,21.846,22.38,11710,0
2010-06-14,22.541,22.595,21.846,22.166,10805,0
2010-06-15,22.38,22.649,22.006,22.488,24267,0
2010-06-16,22.22,22.541,22.113,22.38,9496,0
2010-06-17,22.595,22.595,22.166,22.488,12346,0
2010-06-18,22.649,23.559,22.434,23.398,30148,0
2010-06-21,23.72,24.148,22.702,23.023,16603,0
2010-06-22,23.184,23.72,22.702,23.023,18247,0
2010-06-23,23.077,23.612,23.077,23.291,14053,0
2010-06-24,23.077,23.398,23.023,23.184,11669,0
2010-06-25,23.237,24.255,22.863,24.094,43336,0
2010-06-28,23.934,24.094,23.505,23.773,12423,0
2010-06-29,23.398,24.041,22.809,23.13,17827,0
2010-06-30,23.237,23.612,22.541,22.702,14922,0
2010-07-01,22.756,23.398,21.739,22.166,23762,0
2010-07-02,22.38,22.916,21.899,21.899,18864,0
2010-07-06,22.273,22.702,21.31,21.792,34519,0
2010-07-07,21.899,22.38,21.631,22.327,23545,0
2010-07-08,22.541,22.97,22.113,22.809,28530,0
2010-07-09,22.702,23.398,22.702,23.344,10541,0
2010-07-12,23.237,23.237,22.488,22.649,12870,0
2010-07-13,22.809,23.666,22.595,23.291,20831,0
2010-07-14,23.13,23.398,22.702,23.13,13328,0
2010-07-15,23.077,23.237,22.756,22.809,11836,0
2010-07-16,22.595,22.702,21.846,22.327,29352,0
2010-07-19,22.327,22.327,21.739,21.953,27234,0
2010-07-20,21.685,22.006,21.31,21.953,13129,0
2010-07-21,22.059,22.488,21.47,21.47,9588,0
2010-07-22,21.792,22.863,21.792,22.756,21783,0
2010-07-23,22.595,23.612,22.38,23.559,20902,0
2010-07-26,23.72,24.737,21.524,24.415,19094,0
2010-07-27,24.63,24.683,23.451,23.559,19363,0
2010-07-28,23.451,23.987,21.739,21.846,41150,0
2010-07-29,22.113,22.541,21.31,21.846,14260,0
2010-07-30,21.631,24.415,21.631,23.88,39689,0
2010-08-02,24.201,24.201,22.809,23.398,15364,0
2010-08-03,23.398,23.934,22.756,23.023,10375,0
2010-08-04,23.077,23.237,22.488,23.077,9982,0
2010-08-05,22.863,23.077,22.488,22.863,5457,0
2010-08-06,22.541,23.237,21.953,23.077,12613,0
2010-08-09,23.237,23.987,22.863,23.72,10622,0
2010-08-10,23.398,23.559,22.702,22.702,25484,0
2010-08-11,22.434,22.809,21.685,21.899,25437,0
2010-08-12,21.524,22.702,21.524,22.702,11869,0
2010-08-13,22.541,22.541,21.846,21.846,11528,0
2010-08-16,21.685,22.541,21.631,21.953,14939,0
2010-08-17,22.22,22.649,21.846,22.38,14422,0
2010-08-18,22.434,23.505,22.006,23.237,31457,0
2010-08-19,23.023,23.237,22.166,22.38,26080,0
2010-08-20,22.22,23.13,22.22,23.023,22278,0
2010-08-23,30.358,32.125,29.448,29.448,14025,0
2010-08-24,29.02,30.251,28.86,29.823,13227,0
2010-08-25,29.663,30.894,29.181,30.787,8504,0
2010-08-26,30.734,32.018,30.519,31.322,13645,0
2010-08-27,31.751,31.911,31.001,31.751,11193,0
2010-08-30,31.536,31.536,30.465,30.519,13651,0
2010-08-31,30.465,30.787,29.555,30.305,10456,0
2010-09-01,30.573,31.322,30.037,31.215,15827,0
2010-09-02,31.055,31.804,31.055,31.644,12806,0
2010-09-03,31.804,31.804,29.77,30.948,15338,0
2010-09-07,30.948,31.001,29.716,29.93,14982,0
2010-09-08,30.091,30.519,29.93,30.358,10096,0
2010-09-09,30.573,31.429,30.465,31.162,12353,0
2010-09-10,31.108,33.196,31.108,32.5,19207,0
2010-09-13,32.822,33.786,32.554,33.517,18528,0
2010-09-14,33.517,34,33.089,33.303,18313,0
2010-09-15,33.196,33.464,32.661,33.25,6284,0
2010-09-16,33.089,33.196,32.179,33.089,9662,0
2010-09-17,33.517,33.517,31.965,32.768,21847,0
2010-09-20,32.768,34.749,32.446,34.749,22080,0
2010-09-21,34.642,34.642,33.41,33.839,10945,0
2010-09-22,33.625,34.267,32.982,33.517,6621,0
2010-09-23,33.303,33.303,32.393,32.5,9307,0
2010-09-24,32.822,34.107,32.607,34.053,14262,0
2010-09-27,33.946,34.053,33.303,33.946,4630,0
2010-09-28,33.893,34.053,33.517,34.053,7590,0
2010-09-29,33.839,33.839,32.929,33.678,13905,0
2010-09-30,33.893,34.053,32.929,33.089,21721,0
2010-10-01,33.41,33.893,32.393,33.893,17251,0
2010-10-04,33.678,33.678,32.5,32.5,13882,0
2010-10-05,32.715,34.053,32.393,34,19498,0
2010-10-06,33.839,34.107,33.089,33.893,13444,0
2010-10-07,34,34.107,33.357,33.893,8165,0
2010-10-08,34,34.107,33.25,34,11279,0
2010-10-11,34.053,34.16,33.41,33.464,7840,0
2010-10-12,36.409,41.924,36.409,39.675,220806,0
2010-10-13,39.675,40.371,38.497,39.3,76609,0
2010-10-14,39.193,39.193,38.176,39.033,58443,0
2010-10-15,39.568,39.568,38.55,38.979,68165,0
2010-10-18,38.926,39.139,38.069,39.086,17100,0
2010-10-19,38.55,39.836,38.283,39.033,34472,0
2010-10-20,39.353,39.353,38.443,38.872,12242,0
2010-10-21,39.139,39.193,37.801,38.069,19652,0
2010-10-22,38.122,38.122,36.998,37.748,43629,0
2010-10-25,38.765,38.765,37.533,38.015,25865,0
2010-10-26,37.694,38.283,36.784,36.891,32114,0
2010-10-27,39.836,39.889,37.855,38.604,154434,0
2010-10-28,42.727,42.834,39.782,40.371,108920,0
2010-10-29,40.424,41.763,40.424,41.121,32211,0
2010-11-01,41.121,43.048,41.121,42.566,59275,0
2010-11-02,42.834,45.19,42.781,45.19,96425,0
2010-11-03,45.35,46.047,45.35,45.94,40740,0
2010-11-04,46.85,47.278,45.833,46.047,54533,0
2010-11-05,46.528,46.528,44.44,44.762,33013,0
2010-11-08,44.815,44.869,43.316,43.476,29958,0
2010-11-09,43.53,44.44,43.316,43.369,24837,0
2010-11-10,43.637,44.493,43.262,44.172,32859,0
2010-11-11,43.583,44.333,43.423,43.53,14513,0
2010-11-12,43.316,43.583,42.62,42.673,22181,0
2010-11-15,43.583,44.601,42.995,43.958,28253,0
2010-11-16,43.852,44.172,42.62,43.048,52397,0
2010-11-17,43.369,44.012,42.031,42.298,32265,0
2010-11-18,42.727,43.53,42.298,42.834,23256,0
2010-11-19,42.888,43.476,42.084,42.834,21637,0
2010-11-22,42.941,43.744,42.566,42.834,55580,0
2010-11-23,42.566,43.155,42.352,42.834,26701,0
2010-11-24,43.423,44.012,43.369,43.423,37506,0
2010-11-26,43.369,43.423,42.995,43.316,16118,0
2010-11-29,42.834,43.048,41.71,42.834,55826,0
2010-11-30,42.459,42.834,41.924,42.673,48916,0
2010-12-01,43.423,43.423,42.138,42.352,64324,0
2010-12-02,42.62,42.62,40.585,41.656,93315,0
2010-12-03,41.121,42.834,40.692,42.405,181647,0
2010-12-06,42.298,42.352,41.495,42.352,27902,0
2010-12-07,42.888,43.048,42.245,42.459,27275,0
2010-12-08,42.673,43.423,42.298,43.369,25534,0
2010-12-09,43.53,43.958,42.995,43.637,27221,0
2010-12-10,43.852,45.19,43.369,44.976,52441,0
2010-12-13,35.981,36.088,34.749,35.231,122945,0
2010-12-14,35.445,36.516,34.803,35.177,49018,0
2010-12-15,34.963,35.552,34.963,35.231,50232,0
2010-12-16,35.284,35.552,34.696,35.445,30812,0
2010-12-17,35.498,35.606,35.124,35.284,21476,0
2010-12-20,35.284,35.445,35.07,35.284,33915,0
2010-12-21,35.445,35.445,34.642,34.856,38172,0
2010-12-22,35.07,35.07,34.535,34.803,14462,0
2010-12-23,34.696,34.856,34.481,34.696,14553,0
2010-12-27,34.803,35.713,34.535,35.231,80223,0
2010-12-28,35.338,35.391,34.803,34.856,21907,0
2010-12-29,35.07,36.248,35.07,35.927,27020,0
2010-12-30,35.981,36.998,35.82,35.82,16988,0
2010-12-31,35.82,36.248,35.231,36.141,29059,0
2011-01-03,36.302,36.462,35.231,35.981,29250,0
2011-01-04,35.981,36.088,34.803,35.07,26506,0
2011-01-05,34.91,35.606,34.91,35.445,21831,0
2011-01-06,35.552,36.516,35.498,36.355,22899,0
2011-01-07,36.355,36.355,35.07,35.552,16561,0
2011-01-10,35.606,35.82,34.856,34.91,27023,0
2011-01-11,34.963,35.231,34.107,34.267,36352,0
2011-01-12,34.374,34.427,33.303,34.374,47063,0
2011-01-13,34.267,34.481,33.517,34.427,17384,0
2011-01-14,34.481,35.07,34.267,34.963,19698,0
2011-01-18,34.749,35.231,34.427,35.07,17495,0
2011-01-19,35.445,35.552,33.464,33.517,22516,0
2011-01-20,33.303,34.213,32.982,33.036,13850,0
2011-01-21,33.036,33.357,32.446,32.5,10678,0
2011-01-24,32.607,33.143,32.5,32.768,8692,0
2011-01-25,32.607,32.875,31.858,32.393,23247,0
2011-01-26,32.607,34.427,32.446,34.374,46802,0
2011-01-27,34.32,34.91,33.517,34.16,28105,0
2011-01-28,34.535,34.535,32.339,32.822,28579,0
2011-01-31,33.143,33.786,32.661,33.089,25362,0
2011-02-01,33.357,34.535,33.196,34.16,17916,0
2011-02-02,33.946,34.91,33.25,33.41,16093,0
2011-02-03,33.571,34.427,32.982,34.107,24414,0
2011-02-04,33.893,33.893,33.036,33.678,14887,0
2011-02-07,33.678,33.946,32.715,32.982,25763,0
2011-02-08,33.036,33.357,32.393,33.089,15511,0
2011-02-09,32.554,33.036,32.286,32.982,24842,0
2011-02-10,32.715,33.41,32.607,33.357,17175,0
2011-02-11,33.143,36.998,32.929,36.73,76086,0
2011-02-14,36.141,36.141,35.231,35.713,39212,0
2011-02-15,35.445,36.088,35.445,35.82,15537,0
2011-02-16,35.767,36.73,35.498,36.73,62633,0
2011-02-18,36.516,36.837,35.874,36.73,26668,0
2011-02-22,35.927,36.195,35.445,35.981,26776,0
2011-02-23,35.767,35.927,35.177,35.231,25347,0
2011-02-24,35.284,35.552,34.91,35.124,31999,0
2011-02-25,35.231,36.088,35.07,35.927,15044,0
2011-02-28,36.355,36.623,35.391,36.623,22000,0
2011-03-01,36.677,36.837,35.606,35.82,27327,0
2011-03-02,35.82,36.034,35.231,35.981,17837,0
2011-03-03,36.409,38.979,36.302,38.658,100663,0
2011-03-04,38.711,40.424,38.336,40.317,64933,0
2011-03-07,40.746,41.977,39.246,41.495,76872,0
2011-03-08,41.602,42.405,40.8,42.405,51941,0
2011-03-09,42.298,44.386,41.87,43.155,84519,0
2011-03-10,42.673,43.262,41.335,42.888,55898,0
2011-03-11,42.834,45.297,41.87,45.029,76659,0
2011-03-14,44.976,46.421,44.869,46.314,61151,0
2011-03-15,45.136,47.545,44.922,46.421,114263,0
2011-03-16,46.743,46.743,44.976,45.672,63148,0
2011-03-17,46.261,46.261,44.547,45.457,45581,0
2011-03-18,45.725,46.314,45.511,46.261,42801,0
2011-03-21,46.421,47.385,46.261,46.743,50250,0
2011-03-22,46.743,46.85,46.1,46.689,51370,0
2011-03-23,46.474,48.135,46.367,48.081,30682,0
2011-03-24,48.188,48.188,46.528,46.85,43489,0
2011-03-25,47.01,48.135,46.314,47.278,18817,0
2011-03-28,47.331,47.974,46.154,46.421,28049,0
2011-03-29,46.582,47.867,45.564,45.993,36275,0
2011-03-30,47.76,52.632,47.76,52.043,264934,0
2011-03-31,51.507,51.936,50.116,51.187,96971,0
2011-04-01,51.08,52.739,50.866,51.4,137076,0
2011-04-04,51.347,51.99,50.383,50.866,89207,0
2011-04-05,50.919,53.489,49.955,53.328,124900,0
2011-04-06,53.489,55.523,52.204,52.418,91545,0
2011-04-07,52.578,52.954,51.08,51.561,73120,0
2011-04-08,51.883,51.99,49.795,50.223,80356,0
2011-04-11,50.116,50.812,49.152,49.419,38808,0
2011-04-12,49.098,49.473,47.76,49.205,163519,0
2011-04-13,49.473,50.062,48.831,49.473,43616,0
2011-04-14,48.777,49.259,47.76,47.814,75986,0
2011-04-15,47.117,47.76,46.421,47.064,61199,0
2011-04-18,46.474,47.706,45.94,47.278,60866,0
2011-04-19,47.545,47.599,45.725,46.528,69889,0
2011-04-20,47.278,47.278,46.796,47.064,26231,0
2011-04-21,46.474,47.599,46.047,47.224,70058,0
2011-04-25,47.385,49.366,47.385,48.135,97847,0
2011-04-26,48.188,49.366,48.081,49.366,53557,0
2011-04-27,49.634,50.33,48.777,49.259,39342,0
2011-04-28,49.741,51.187,48.991,51.133,316525,0
2011-04-29,51.133,51.187,50.169,50.919,37451,0
2011-05-02,51.08,52.097,50.812,51.187,105444,0
2011-05-03,51.133,51.615,44.279,47.438,263191,0
2011-05-04,47.278,49.045,46.689,46.957,64211,0
2011-05-05,46.957,46.957,45.029,45.404,40115,0
2011-05-06,45.083,46.689,45.083,45.94,41334,0
2011-05-09,45.833,45.94,44.654,45.19,80620,0
2011-05-10,45.725,47.706,45.19,47.545,42648,0
2011-05-11,47.278,47.278,45.083,45.457,20506,0
2011-05-12,45.136,48.456,44.976,48.456,41940,0
2011-05-13,48.402,48.938,47.76,48.242,55810,0
2011-05-16,47.76,49.152,47.653,47.814,34291,0
2011-05-17,47.706,48.402,46.635,47.224,27308,0
2011-05-18,47.278,48.349,46.474,48.295,28097,0
2011-05-19,48.295,49.098,47.867,48.938,28135,0
2011-05-20,48.991,49.098,48.188,48.991,22296,0
2011-05-23,48.509,50.062,47.706,49.205,81017,0
2011-05-24,49.526,51.4,49.098,50.973,191374,0
2011-05-25,50.651,51.133,50.276,51.026,37477,0
2011-05-26,50.919,51.026,49.795,50.705,101947,0
2011-05-27,50.812,50.919,50.597,50.866,70433,0
2011-05-31,51.883,54.774,47.171,53.275,343997,0
2011-06-01,53.221,53.864,52.418,53.542,449557,0
2011-06-02,53.542,55.952,52.847,54.559,90288,0
2011-06-03,53.757,54.506,53.275,53.435,27304,0
2011-06-06,53.435,53.81,52.097,52.204,72543,0
2011-06-07,52.739,53.542,52.311,52.9,86293,0
2011-06-08,52.632,53.007,51.454,52.043,55166,0
2011-06-09,52.15,52.793,50.973,51.883,63578,0
2011-06-10,51.507,51.507,49.098,49.152,71756,0
2011-06-13,49.366,50.276,48.67,48.831,34106,0
