Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,98.908,100.44,98.908,100.33,803591,0
2010-01-05,103.49,104.34,103.38,104.19,901057,0
2010-01-06,106.01,106.87,105.69,106.35,631693,0
2010-01-07,105.57,105.94,104.49,105.43,354082,0
2010-01-08,106.4,107.01,105.94,106.92,377659,0
2010-01-11,108.21,108.47,106.18,106.83,377923,0
2010-01-12,105.95,105.95,104.41,105.09,442897,0
2010-01-13,103.46,104.03,103.2,104.02,350030,0
2010-01-14,102.01,102.41,101.25,101.33,559478,0
2010-01-15,100.02,100.51,99.362,100.09,563914,0
2010-01-19,100.38,102.18,100.22,102.06,463540,0
2010-01-20,98.888,99.125,97.734,98.78,669802,0
2010-01-21,97.092,97.345,94.975,95.298,725786,0
2010-01-22,96.08,96.08,93.667,93.677,524636,0
2010-01-25,95.706,96.598,94.89,95.327,581703,0
2010-01-26,93.305,94.466,92.801,93.108,511075,0
2010-01-27,93.193,93.445,91.516,92.556,803135,0
2010-01-28,93.798,94.189,91.789,92.393,491595,0
2010-01-29,93.314,93.9,91.075,91.341,482594,0
2010-02-01,92.54,93.761,92.53,93.631,374170,0
2010-02-02,93.985,95.638,93.332,95.279,638016,0
2010-02-03,95.869,96.175,94.636,95.523,424549,0
2010-02-04,93.408,93.474,90.575,90.812,1100988,0
2010-02-05,88.698,89.265,85.929,89.164,1273070,0
2010-02-08,87.682,88.673,86.495,87.093,565750,0
2010-02-09,88.813,90.444,88.06,89.42,533220,0
2010-02-10,89.231,90.126,88.076,89.092,499854,0
2010-02-11,90.657,92.025,89.641,91.799,645423,0
2010-02-12,89.969,90.01,88.798,89.888,519155,0
2010-02-16,90.631,92.318,90.616,92.127,472521,0
2010-02-17,92.657,93.063,91.725,92.338,368724,0
2010-02-18,91.268,92.998,91.268,92.756,346487,0
2010-02-19,91.103,91.735,90.502,91.23,516501,0
2010-02-22,92.265,92.784,91.533,91.888,387458,0
2010-02-23,92.374,92.411,90.476,90.853,337130,0
2010-02-24,90.821,91.753,90.247,91.414,437844,0
2010-02-25,89.305,90.289,88.288,90.146,570137,0
2010-02-26,90.936,91.88,90.273,91.697,444530,0
2010-03-01,93.351,93.565,92.255,93.165,528795,0
2010-03-02,93.667,94.965,93.305,94.189,632031,0
2010-03-03,94.626,95.533,94.493,94.654,446917,0
2010-03-04,93.408,93.817,92.182,93.081,574033,0
2010-03-05,95.051,96.204,94.303,95.907,461406,0
2010-03-08,96.939,97.734,96.578,97.411,429757,0
2010-03-09,96.511,98.395,96.386,97.626,682804,0
2010-03-10,97.528,98.869,97.355,98.179,540934,0
2010-03-11,97.411,98.188,96.706,98.028,525964,0
2010-03-12,98.307,98.504,96.598,97.391,569587,0
2010-03-15,95.83,96.252,94.994,96.157,391814,0
2010-03-16,95.279,96.194,94.502,96.175,611421,0
2010-03-17,96.657,97.498,96.472,96.87,563990,0
2010-03-18,96.56,96.802,95.571,96.148,336259,0
2010-03-19,96.967,97.286,95.355,95.6,453211,0
2010-03-22,94.729,95.561,93.957,95.456,374845,0
2010-03-23,94.399,95.476,93.873,95.438,331842,0
2010-03-24,94.636,94.729,93.64,94.049,441396,0
2010-03-25,92.684,94.199,91.24,91.579,955991,0
2010-03-26,92.3,92.639,91.259,92.137,528205,0
2010-03-29,93.474,94.331,92.792,94.18,401532,0
2010-03-30,94.939,96.128,94.692,95.706,519693,0
2010-03-31,95.561,96.492,95.561,96.05,318563,0
2010-04-01,97.617,98.076,97.013,97.607,565129,0
2010-04-05,98.425,99.77,98.139,99.56,423290,0
2010-04-06,98.445,100.04,98.445,99.332,447677,0
2010-04-07,98.75,99.086,97.286,97.929,496690,0
2010-04-08,97.871,99.105,97.003,98.898,403451,0
2010-04-09,100.34,100.92,99.9,100.52,578007,0
2010-04-12,100.29,100.42,99.48,99.89,478402,0
2010-04-13,99.026,99.303,97.577,99.184,543258,0
2010-04-14,99.125,99.58,98.632,99.55,530781,0
2010-04-15,99.224,99.93,98.987,99.55,376097,0
2010-04-16,98.957,99.174,96.482,96.734,874761,0
2010-04-19,96.262,96.638,94.975,96.598,430677,0
2010-04-20,97.714,98.494,97.645,98.119,392316,0
2010-04-21,97.685,97.685,95.336,96.138,665996,0
2010-04-22,95.84,96.453,94.567,96.262,665873,0
2010-04-23,95.346,97.072,95.289,96.977,467684,0
2010-04-26,97.326,97.411,96.434,96.492,246423,0
2010-04-27,96.252,96.252,92.657,92.792,771978,0
2010-04-28,95.204,95.204,93.314,94.55,527102,0
2010-04-29,94.577,95.485,94.34,95.25,464812,0
2010-04-30,95.571,95.753,94.303,94.331,464133,0
2010-05-03,94.949,95.175,93.891,94.823,580033,0
2010-05-04,93.798,93.798,90.862,91.926,945804,0
2010-05-05,90.936,92.283,89.845,91.259,830286,0
2010-05-06,90.853,91.56,83.57,88.206,1128957,0
2010-05-07,90.944,91.185,87.395,89.313,1266271,0
2010-05-10,94.218,94.757,93.445,94.577,977078,0
2010-05-11,92.201,94.199,91.982,92.932,614710,0
2010-05-12,92.811,93.342,92.338,93.231,407680,0
2010-05-13,93.146,93.734,92.274,92.566,469563,0
2010-05-14,91.853,92.054,88.772,90.265,764831,0
2010-05-17,88.617,90.117,86.969,89.517,784478,0
2010-05-18,90.222,90.936,87.42,87.961,787590,0
2010-05-19,86.855,88.068,85.905,87.404,512766,0
2010-05-20,85.348,85.405,83.39,83.503,897678,0
2010-05-21,82.603,87.724,81.833,87.552,1448039,0
2010-05-24,86.249,86.838,85.282,85.315,903091,0
2010-05-25,81.128,85.184,81.128,85.184,1056908,0
