Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,10.79,10.98,10.48,10.54,47798,0
2010-01-05,10.68,10.85,10.35,10.35,11696,0
2010-01-06,10.6,10.73,10.03,10.29,23953,0
2010-01-07,10.31,10.47,10.26,10.31,21266,0
2010-01-08,10.55,10.58,10.31,10.36,14937,0
2010-01-11,10.24,10.58,10.24,10.5,7328,0
2010-01-12,10.33,10.4,10.22,10.39,1249,0
2010-01-13,10.51,11.02,10.51,11.02,8320,0
2010-01-14,11.18,11.22,11.01,11.13,4601,0
2010-01-15,11.05,11.3,10.97,11.19,4299,0
2010-01-19,11.1,11.18,10.03,10.5,15479,0
2010-01-20,10.58,10.81,10.51,10.76,5101,0
2010-01-21,10.79,10.79,10.35,10.41,2206,0
2010-01-22,10.11,10.96,10.11,10.35,9972,0
2010-01-25,10.26,10.32,10,10.1,6496,0
2010-01-26,9.9,10.18,9.89,10.1,9117,0
2010-01-27,9.98,10.4,9.98,10.11,5835,0
2010-01-28,10.26,10.42,10.1,10.25,2012,0
2010-01-29,10.31,10.39,10.01,10.14,13898,0
2010-02-01,10.14,10.19,10,10.13,12580,0
2010-02-02,10.3,10.42,10.04,10.25,10700,0
2010-02-03,10.01,10.2,10.01,10.16,11300,0
2010-02-04,10.01,10.01,9.95,10,2138,0
2010-02-05,9.84,10.04,9.48,9.97,16277,0
2010-02-08,9.47,10,9.47,9.77,24442,0
2010-02-09,9.77,10.1,9.77,9.88,10300,0
2010-02-10,9.88,9.88,9.42,9.69,5935,0
2010-02-11,9.69,9.99,9.25,9.93,5994,0
2010-02-12,10.02,10.11,9.68,10,36386,0
2010-02-16,9.75,10,9.52,9.8,12225,0
2010-02-17,9.74,10.22,9.43,9.9,9085,0
2010-02-18,10.28,10.35,10.12,10.35,20035,0
2010-02-19,10.27,11.33,10.27,11.33,5241,0
2010-02-22,11.35,11.83,11.15,11.66,28273,0
2010-02-23,11.85,12.31,11.85,12.31,8611,0
2010-02-24,12.33,13.87,12.33,13.27,61448,0
2010-02-25,13.38,14.49,13.08,13.67,55219,0
2010-02-26,14.25,15.14,14.24,14.98,38407,0
2010-03-01,14.68,14.89,13.7,14.35,72386,0
2010-03-02,14.89,14.9,13.73,13.73,44664,0
2010-03-03,13.95,14.37,13.72,13.99,11422,0
2010-03-04,14.19,14.48,13.81,14.18,10296,0
2010-03-05,14.71,14.9,14.33,14.33,9491,0
2010-03-08,13.84,14.54,13.83,14.52,6325,0
2010-03-09,14.37,14.85,14.25,14.67,30324,0
2010-03-10,14.79,15.24,14.73,15.16,17444,0
2010-03-11,15.24,15.4,14.47,15.11,58762,0
2010-03-12,14.88,15.16,14.54,15.05,11756,0
2010-03-15,15.37,15.37,14.15,14.93,6703,0
2010-03-16,14.54,15.04,14.54,14.76,8654,0
2010-03-17,14.28,14.9,14.28,14.42,5013,0
2010-03-18,14.68,15.24,14.39,14.73,6305,0
2010-03-19,14.4,14.67,13,13.08,39007,0
2010-03-22,13,13.79,12.96,13.57,20476,0
2010-03-23,13.99,14,13.67,14,3188,0
2010-03-24,13.89,13.99,13.85,13.95,5219,0
2010-03-25,13.75,13.81,13.6,13.61,4137,0
2010-03-26,13.05,13.68,13.02,13.37,5205,0
2010-03-29,13.48,13.95,13.24,13.73,5072,0
