Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,16.771,16.853,16.683,16.788,106293,0
2010-01-05,16.845,16.845,16.617,16.771,103802,0
2010-01-06,16.659,16.886,16.603,16.765,55703,0
2010-01-07,16.309,16.423,16.22,16.383,93676,0
2010-01-08,16.464,16.595,16.448,16.57,78702,0
2010-01-11,16.457,16.457,16.327,16.431,55924,0
2010-01-12,16.528,16.65,16.342,16.39,68784,0
2010-01-13,16.562,16.57,16.36,16.554,82798,0
2010-01-14,16.481,16.562,16.334,16.481,62378,0
2010-01-15,16.431,16.431,16.001,16.115,70743,0
2010-01-19,16.405,16.472,16.268,16.44,140212,0
2010-01-20,16.284,16.318,15.936,16.318,1200910,0
2010-01-21,16.17,16.36,15.814,15.985,653455,0
2010-01-22,15.814,16.018,15.539,15.539,1833161,0
2010-01-25,15.993,16.246,15.927,16.162,1139166,0
2010-01-26,15.773,15.985,15.683,15.773,1098510,0
2010-01-27,15.611,15.927,15.515,15.903,914501,0
2010-01-28,15.838,15.887,15.488,15.652,626808,0
2010-01-29,15.206,15.328,14.879,14.919,6142336,0
2010-02-01,15.189,15.303,15.084,15.253,1700481,0
2010-02-02,15.392,15.637,15.261,15.628,409428,0
2010-02-03,15.691,15.895,15.637,15.854,246879,0
2010-02-04,15.481,15.481,15.067,15.067,168737,0
2010-02-05,14.913,15.002,14.272,14.799,679236,0
2010-02-08,14.182,14.41,14.019,14.061,364593,0
2010-02-09,14.449,14.629,14.141,14.474,251919,0
2010-02-10,14.856,14.879,14.62,14.822,343209,0
2010-02-11,14.685,15.002,14.58,14.978,195928,0
2010-02-12,14.474,14.774,14.402,14.751,173939,0
2010-02-16,14.806,15.115,14.726,15.084,83259,0
2010-02-17,15.433,15.562,15.358,15.481,222177,0
2010-02-18,15.18,15.433,15.18,15.409,280960,0
2010-02-19,15.067,15.294,15.027,15.244,104009,0
2010-02-22,15.545,15.578,15.383,15.497,104619,0
2010-02-23,15.261,15.375,14.993,15.172,315811,0
2010-02-24,15.342,15.425,15.222,15.401,360145,0
2010-02-25,14.774,14.872,14.571,14.848,204057,0
2010-02-26,14.848,15.067,14.694,15.027,95148,0
2010-03-01,13.02,13.11,12.841,13.102,3829829,0
2010-03-02,11.776,11.932,11.557,11.86,5717010,0
2010-03-03,12.385,12.475,12.118,12.215,2420401,0
2010-03-04,12.468,12.825,12.362,12.686,1462911,0
2010-03-05,12.613,12.997,12.598,12.906,1755517,0
2010-03-08,12.792,12.866,12.638,12.777,745175,0
2010-03-09,12.572,12.752,12.542,12.686,718533,0
2010-03-10,12.647,13.02,12.63,12.979,1467916,0
2010-03-11,13.199,13.54,13.068,13.54,790891,0
2010-03-12,13.426,13.711,13.401,13.679,719806,0
2010-03-15,13.199,13.296,13.044,13.247,522489,0
2010-03-16,12.946,13.272,12.906,13.247,519545,0
2010-03-17,13.247,13.337,13.231,13.296,620577,0
2010-03-18,13.255,13.384,13.174,13.384,514810,0
2010-03-19,13.231,13.247,12.913,12.971,661661,0
2010-03-22,12.72,13.044,12.72,13.02,747288,0
2010-03-23,12.866,12.946,12.816,12.906,388039,0
2010-03-24,12.678,12.857,12.613,12.769,367529,0
2010-03-25,12.931,12.979,12.694,12.694,282376,0
2010-03-26,12.875,12.979,12.752,12.792,322347,0
2010-03-29,12.979,13.044,12.963,12.997,195068,0
2010-03-30,13.166,13.247,13.158,13.199,298319,0
2010-03-31,13.305,13.49,13.28,13.466,1170794,0
2010-04-01,13.954,14.344,13.881,14.061,837376,0
2010-04-05,14.141,14.466,14.141,14.393,465721,0
2010-04-06,14.075,14.296,14.019,14.263,590145,0
2010-04-07,13.923,14.108,13.906,14.053,469561,0
2010-04-08,13.817,14.019,13.767,13.993,237963,0
2010-04-09,14.167,14.344,14.167,14.31,355406,0
2010-04-12,14.393,14.44,14.222,14.28,214633,0
2010-04-13,14.301,14.327,14.132,14.296,197776,0
2010-04-14,14.44,14.49,14.393,14.482,148576,0
2010-04-15,14.524,14.726,14.515,14.694,409593,0
2010-04-16,14.709,14.734,14.466,14.571,499422,0
2010-04-19,14.28,14.571,14.272,14.563,220572,0
2010-04-20,14.652,14.669,14.58,14.629,153192,0
2010-04-21,14.515,14.538,14.002,14.045,1508615,0
2010-04-22,13.679,13.863,13.466,13.784,280812,0
2010-04-23,13.391,13.532,13.301,13.391,1267484,0
2010-04-26,13.645,13.726,13.556,13.573,303537,0
2010-04-27,13.671,13.679,13.231,13.263,906853,0
2010-04-28,13.353,13.686,13.287,13.515,998810,0
2010-04-29,13.832,14.238,13.758,14.213,492112,0
2010-04-30,14.23,14.432,14.061,14.159,453333,0
