Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,69.574,70.321,69.522,70.135,1433831,0
2010-01-05,69.858,69.996,68.475,68.828,2524605,0
2010-01-06,68.828,69.641,68.792,69.436,2744152,0
2010-01-07,69.445,69.849,69.298,69.616,2448289,0
2010-01-08,69.403,70.142,69.307,70.072,1656955,0
2010-01-11,70.503,70.83,70.005,70.734,1561793,0
2010-01-12,70.151,70.347,69.393,69.978,1362031,0
2010-01-13,70.321,71.319,69.867,71.217,1462702,0
2010-01-14,71.089,71.259,69.549,69.66,1629836,0
2010-01-15,69.445,70.038,69.1,69.616,2080268,0
2010-01-19,69.427,70.109,69.307,69.72,1858907,0
2010-01-20,69.144,69.676,68.86,69.436,1693268,0
2010-01-21,69.427,70.184,68.344,68.361,1944894,0
2010-01-22,68.12,69.04,66.985,67.277,2348106,0
2010-01-25,68.154,68.868,67.883,68.302,2193060,0
2010-01-26,67.883,68.621,67.457,67.639,2255017,0
2010-01-27,66.6,67.528,64.234,66.015,7477794,0
2010-01-28,66.349,66.616,65.24,65.481,3287168,0
2010-01-29,65.953,66.151,64.637,64.766,3576673,0
2010-02-01,65.362,66.049,65.164,66.049,2849402,0
2010-02-02,66.041,66.729,65.508,66.418,2195584,0
2010-02-03,66.236,66.83,65.919,66.116,1928348,0
2010-02-04,65.508,65.791,64.104,64.141,2915186,0
2010-02-05,64.474,65.008,62.865,63.64,5256812,0
2010-02-08,63.745,65.499,63.623,63.752,2905775,0
2010-02-09,64.527,65.154,63.505,64.656,3431390,0
2010-02-10,64.552,65.419,64.078,64.683,2766801,0
2010-02-11,64.527,65.628,64.511,65.55,1953647,0
2010-02-12,64.646,66.289,64.165,66.151,3860875,0
2010-02-16,66.847,67.073,66.394,67.003,2058449,0
2010-02-17,67.037,67.744,66.558,67.107,2246702,0
2010-02-18,66.893,67.494,66.566,66.821,2476582,0
2010-02-19,66.624,66.865,66.099,66.402,3215978,0
2010-02-22,66.609,66.795,65.988,66.125,2347875,0
2010-02-23,65.808,66.082,65.256,65.49,2042454,0
2010-02-24,65.731,66.134,65.026,65.353,3363657,0
2010-02-25,64.25,64.888,63.659,64.501,3709446,0
2010-02-26,64.552,64.921,64.07,64.612,1826910,0
2010-03-01,64.896,65.464,64.413,65.403,2222907,0
2010-03-02,66.025,66.341,65.61,66.186,2306613,0
2010-03-03,66.214,66.763,65.833,65.868,1989069,0
2010-03-04,66.099,66.609,65.904,66.436,2962724,0
2010-03-05,66.9,67.947,66.574,67.922,2575862,0
2010-03-08,67.981,68.792,67.913,68.127,2874135,0
2010-03-09,67.937,68.361,67.718,68.127,1843068,0
2010-03-10,67.792,68.438,67.202,67.937,1991780,0
2010-03-11,67.579,68.37,67.14,68.37,1423782,0
2010-03-12,68.594,68.766,68.19,68.438,1065738,0
2010-03-15,68.466,68.703,68.077,68.567,1488449,0
2010-03-16,68.621,69.307,68.421,69.298,2285505,0
2010-03-17,69.574,70.57,69.419,70.547,2585986,0
2010-03-18,70.159,70.812,70.159,70.622,2381358,0
2010-03-19,70.686,71.561,69.849,70.184,2864951,0
