Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,49.171,50.932,49.171,50.763,1530563,0
2010-01-05,50.843,51.559,50.573,50.783,1673170,0
2010-01-06,50.783,52.147,50.336,51.668,2139351,0
2010-01-07,51.171,52.466,50.077,52.127,1497719,0
2010-01-08,51.379,53.124,51.161,53.025,1380665,0
2010-01-11,53.471,53.8,51.529,52.057,1219581,0
2010-01-12,51.071,51.767,50.543,50.922,1351448,0
2010-01-13,51.24,51.777,49.718,51.678,1308224,0
2010-01-14,51.469,52.476,51.29,52.306,797391,0
2010-01-15,52.057,52.456,49.977,50.316,2099210,0
2010-01-19,51.678,51.967,48.721,50.047,3128437,0
2010-01-20,49.051,49.56,48.353,49.32,1499352,0
2010-01-21,49.31,50.186,47.515,47.924,1562705,0
2010-01-22,47.615,48.014,46.243,46.333,1848581,0
2010-01-25,46.939,47.914,46.671,46.721,1282272,0
2010-01-26,46.243,47.317,45.605,45.745,1631365,0
2010-01-27,45.805,46.045,44.309,45.207,1977299,0
2010-01-28,45.516,45.895,43.693,45.038,1362768,0
2010-01-29,45.585,46.402,43.423,43.793,1941479,0
2010-02-01,44.379,45.735,44.359,45.645,1325901,0
2010-02-02,45.895,46.87,45.197,46.581,1673399,0
2010-02-03,46.452,47.337,45.386,45.675,1998322,0
2010-02-04,45.496,45.496,43.813,43.932,2805563,0
2010-02-05,43.922,43.972,41.701,43.433,2863989,0
2010-02-08,43.344,44.479,42.828,44.081,2506370,0
2010-02-09,45.088,46.651,44.669,46.114,2479266,0
2010-02-10,46.005,46.005,44.389,45.177,3309338,0
2010-02-11,45.108,47.247,44.918,47.128,1641531,0
2010-02-12,46.233,47.157,45.526,46.9,1610582,0
2010-02-16,47.585,48.681,47.585,48.593,1014989,0
2010-02-17,48.603,49.021,47.844,48.523,922760,0
2010-02-18,48.403,49.101,48.114,49.051,1312465,0
2010-02-19,47.635,49.43,47.635,49.28,1667358,0
2010-02-22,49.48,49.52,47.685,47.815,1988193,0
2010-02-23,47.705,48.044,45.875,45.985,2352254,0
2010-02-24,45.855,46.82,45.625,46.104,1876343,0
2010-02-25,45.366,46.631,44.379,46.471,1885554,0
2010-02-26,45.735,46.591,45.247,46.452,1736587,0
2010-03-01,46.731,47.385,46.541,46.949,1444045,0
2010-03-02,47.039,48.164,47.039,47.635,1547754,0
2010-03-03,47.805,48.741,47.685,47.795,1292875,0
2010-03-04,47.805,48.303,47.177,47.485,1295553,0
2010-03-05,48.084,48.941,47.904,48.771,1334963,0
2010-03-08,48.731,49.27,48.244,48.333,1287492,0
2010-03-09,48.104,49.589,47.864,49.22,1817332,0
2010-03-10,49.011,50.942,48.831,50.753,2769491,0
2010-03-11,50.523,51.101,50.037,50.873,1800787,0
2010-03-12,51.34,52.625,51.28,52.556,2575991,0
2010-03-15,52.187,52.346,50.922,51.877,1670972,0
2010-03-16,52.266,53.65,51.937,53.521,1722437,0
2010-03-17,53.79,54.257,52.905,53.065,1683047,0
2010-03-18,52.885,53.005,51.867,52.845,2552307,0
2010-03-19,52.825,53.154,51.619,52.805,2478763,0
2010-03-22,52.007,52.675,51.419,52.376,1304633,0
2010-03-23,51.817,53.92,51.817,53.56,1818206,0
2010-03-24,53.005,54.088,52.785,53.67,1490881,0
2010-03-25,54.297,54.766,52.965,53.134,1703110,0
2010-03-26,52.955,53.164,51.917,52.615,1690804,0
2010-03-29,53.075,54.217,52.945,54.188,918227,0
2010-03-30,54.198,54.626,53.382,54.496,905064,0
2010-03-31,54.227,56.637,54.227,56.081,1682572,0
2010-04-01,56.696,58.918,56.696,58.898,2012722,0
2010-04-05,59.376,61.178,59.108,61.138,2260579,0
2010-04-06,61.019,62.115,60.332,60.7,2282193,0
2010-04-07,60.759,60.969,58.908,59.327,2539222,0
2010-04-08,58.759,60.322,58.231,59.954,1538303,0
2010-04-09,60.65,61.358,59.984,60.73,1476394,0
2010-04-12,60.759,61.587,60.322,60.581,1948550,0
2010-04-13,61.468,62.195,60.054,61.756,3429866,0
2010-04-14,62.295,62.563,61.428,62.424,2059760,0
2010-04-15,62.444,63.1,61.975,62.125,1645189,0
2010-04-16,61.507,61.975,60.044,60.482,2467194,0
2010-04-19,59.954,61.288,59.486,61.138,1668955,0
2010-04-20,61.786,63.229,61.716,63.03,1544911,0
2010-04-21,62.741,63.359,62.145,63.01,1306185,0
2010-04-22,61.746,64.614,61.746,64.525,1601303,0
2010-04-23,64.231,65.954,63.792,65.804,1841037,0
2010-04-26,65.868,66.536,65.54,65.808,934487,0
2010-04-27,65.073,65.182,62.015,62.285,2175731,0
2010-04-28,62.93,63.18,61.278,62.87,1550285,0
2010-04-29,63.439,64.086,62.374,63.646,1420965,0
2010-04-30,63.876,65.868,63.468,63.856,1869529,0
2010-05-03,64.435,66.676,64.265,65.947,1638084,0
2010-05-04,64.235,64.475,62.641,63.856,2252944,0
2010-05-05,60.889,63.17,59.744,62.593,3314131,0
2010-05-06,61.398,63.279,56.666,61.168,3243717,0
2010-05-07,61.078,61.458,56.886,58.251,3255612,0
2010-05-10,61.597,63.816,61.158,63.617,3557721,0
2010-05-11,62.731,65.192,62.661,63.577,3775078,0
2010-05-12,64.485,65.758,64.076,65.222,2894205,0
2010-05-13,64.874,66.207,64.375,64.545,2096519,0
2010-05-14,63.656,63.986,61.438,62.641,2759399,0
2010-05-17,62.641,63.537,58.749,60.67,3093148,0
2010-05-18,61.896,62.631,59.854,60.262,2691811,0
2010-05-19,59.904,60.432,57.455,59.277,2764880,0
2010-05-20,57.185,57.844,55.693,56.16,4178553,0
2010-05-21,54.486,59.297,54.486,59.198,3816744,0
2010-05-24,58.699,59.894,57.724,57.834,2626558,0
2010-05-25,55.733,58.479,55.533,58.349,3160198,0
2010-05-26,59.585,61.278,59.297,59.744,3078102,0
2010-05-27,61.806,63.219,61.428,63.219,2091761,0
2010-05-28,62.88,64.954,62.651,63.429,2937252,0
2010-06-01,62.115,63.876,61.358,61.478,2417673,0
2010-06-02,62.125,65.5,61.637,65.5,2649560,0
2010-06-03,65.748,67.6,64.155,67.221,3430722,0
2010-06-04,66.067,66.656,62.285,62.97,3743045,0
2010-06-07,63.577,64.345,61.796,62.035,1943556,0
2010-06-08,61.836,64.654,61.468,63.676,3064089,0
2010-06-09,64.584,67.023,63.726,64.285,3124913,0
2010-06-10,66.057,68.577,65.858,68.577,3216795,0
2010-06-11,67.61,69.941,66.815,69.802,2591666,0
2010-06-14,70.997,72.28,69.244,69.344,2616438,0
2010-06-15,70.728,70.987,69.533,70.728,2138888,0
2010-06-16,70.468,72.08,70.251,71.355,1966257,0
2010-06-17,71.415,71.811,69.941,71.216,1723039,0
2010-06-18,71.116,71.673,70.488,71.345,2401275,0
2010-06-21,73.127,73.686,70.061,70.728,1649910,0
2010-06-22,70.191,70.28,66.097,66.686,3829953,0
2010-06-23,66.606,67.829,65.222,66.905,1945657,0
2010-06-24,65.718,66.516,63.269,64.694,4486822,0
2010-06-25,64.934,65.997,63.488,64.964,3382550,0
2010-06-28,65.292,65.51,63.449,63.656,2268019,0
2010-06-29,62.524,62.84,59.794,60.262,2785922,0
2010-06-30,60.336,61.183,58.812,59.201,2259590,0
2010-07-01,58.729,59.416,56.229,58.669,2871428,0
2010-07-02,59.655,59.655,56.936,57.016,2792542,0
2010-07-06,59.208,60.162,56.18,56.716,2938274,0
2010-07-07,56.716,59.018,56.637,58.958,2431935,0
2010-07-08,60.849,61.258,58.399,60.103,2426717,0
2010-07-09,59.904,60.779,59.595,60.61,1662000,0
2010-07-12,60.462,60.859,59.456,60.432,1821939,0
2010-07-13,61.517,62.612,60.899,62.005,1462326,0
2010-07-14,61.378,62.89,60.73,61.786,1689433,0
2010-07-15,61.667,61.896,59.834,61.188,1643740,0
2010-07-16,60.332,60.332,58.399,58.599,2351943,0
2010-07-19,58.978,59.506,58.011,59.018,1061287,0
2010-07-20,57.674,60.542,57.634,60.272,1874101,0
2010-07-21,60.561,60.999,58.819,59.386,956936,0
2010-07-22,60.152,60.809,58.928,59.337,2499285,0
