Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,8.6849,8.9586,8.5869,8.6418,419425,0
2010-01-05,8.6912,8.6976,8.5627,8.623,245135,0
2010-01-06,8.5997,8.623,8.5083,8.5997,202723,0
2010-01-07,8.5573,8.6059,8.5208,8.569,176802,0
2010-01-08,8.5375,8.6112,8.5375,8.6059,103801,0
2010-01-11,8.5943,8.623,8.5208,8.569,184875,0
2010-01-12,8.5797,8.5797,8.331,8.3553,219306,0
2010-01-13,8.3868,8.6606,8.2697,8.5869,302833,0
2010-01-14,8.5943,8.5943,8.5023,8.5753,96545,0
2010-01-15,8.5137,8.5627,8.3622,8.4714,144963,0
2010-01-19,8.4458,8.5753,8.4458,8.5753,141853,0
2010-01-20,8.5797,8.5797,8.3868,8.4396,140047,0
2010-01-21,8.423,8.551,8.3553,8.3921,122746,0
2010-01-22,8.3181,8.3674,8.0452,8.0452,261976,0
2010-01-25,8.1053,8.1782,7.9654,8.02,228172,0
2010-01-26,7.9595,8.0252,7.8062,7.8127,482054,0
2010-01-27,7.7824,7.843,7.6605,7.7939,408712,0
2010-01-28,7.7392,7.7873,7.5988,7.6661,249501,0
2010-01-29,7.843,7.843,7.5807,7.6178,252787,0
2010-02-01,7.727,7.7336,7.5869,7.6965,129735,0
2010-02-02,7.7086,7.77,7.6233,7.7457,125443,0
2010-02-03,7.7336,7.8619,7.727,7.8552,128548,0
2010-02-04,7.843,7.843,7.5988,7.6415,169098,0
2010-02-05,7.5869,7.6846,7.4954,7.6788,197049,0
2010-02-08,7.6605,7.7216,7.4894,7.5688,123034,0
2010-02-09,7.5869,7.7086,7.5869,7.6846,97834,0
2010-02-10,7.703,7.715,7.5869,7.6605,120487,0
2010-02-11,7.6725,7.7939,7.6233,7.7824,121012,0
2010-02-12,7.77,7.8193,7.6538,7.8193,84872,0
2010-02-16,7.8309,7.922,7.8127,7.9109,118356,0
2010-02-17,7.9277,7.9654,7.892,7.9535,109614,0
2010-02-18,7.9277,8.0136,7.9045,8.0136,103714,0
2010-02-19,7.9277,8.0688,7.8978,8.02,121372,0
2010-02-22,8.02,8.0933,8.0019,8.0568,149119,0
2010-02-23,8.0384,8.0452,7.9109,7.977,195952,0
2010-02-24,7.9654,8.0568,7.9595,8.0568,117028,0
2010-02-25,7.9654,8.0738,7.8978,8.0738,113077,0
2010-02-26,8.0252,8.1112,7.9895,8.0452,105778,0
2010-03-01,8.4105,8.4105,8.0252,8.1969,201645,0
2010-03-02,8.2948,8.3009,8.2092,8.2567,213251,0
2010-03-03,8.3242,8.3484,8.2697,8.2819,123348,0
2010-03-04,8.2819,8.3431,8.2395,8.3431,88946,0
2010-03-05,8.4529,8.5375,8.3553,8.5208,154688,0
2010-03-08,8.5627,8.6059,8.4158,8.5869,178804,0
2010-03-09,8.2343,8.6912,8.2343,8.6175,152927,0
2010-03-10,8.6606,8.7208,8.6292,8.6777,112523,0
2010-03-11,8.6912,8.7584,8.6418,8.7336,174679,0
2010-03-12,8.7089,8.7887,8.6976,8.7455,121741,0
2010-03-15,8.7455,8.7629,8.6606,8.7455,151088,0
2010-03-16,8.7272,8.7887,8.6912,8.7887,112069,0
2010-03-17,8.752,8.8866,8.752,8.8253,166153,0
2010-03-18,8.6059,8.6669,8.5023,8.6292,176163,0
2010-03-19,8.6292,8.6292,8.3736,8.4105,192129,0
2010-03-22,8.3431,8.4952,8.3181,8.4776,105328,0
2010-03-23,8.5208,8.6669,8.4105,8.5137,147059,0
2010-03-24,8.4105,8.5375,8.3431,8.3736,161940,0
2010-03-25,8.3736,8.4952,8.3736,8.4714,114948,0
2010-03-26,8.423,8.5083,8.3974,8.4838,109260,0
2010-03-29,8.4352,8.5753,8.4352,8.5573,95850,0
2010-03-30,8.5312,8.5869,8.4838,8.5753,65754,0
2010-03-31,8.551,8.551,8.4458,8.4776,110900,0
2010-04-01,8.5375,8.569,8.4776,8.5137,146357,0
2010-04-05,8.2343,8.4838,8.2092,8.4292,609687,0
2010-04-06,8.4158,8.4838,8.3868,8.4458,177419,0
2010-04-07,8.4044,8.4952,8.4044,8.4396,110816,0
2010-04-08,8.4158,8.4776,8.3868,8.4529,112757,0
2010-04-09,8.423,8.4883,8.423,8.4714,82721,0
2010-04-12,8.4458,8.5312,8.4458,8.4714,195303,0
2010-04-13,8.4044,8.5312,8.4044,8.5269,94080,0
2010-04-14,8.5375,8.6606,8.5269,8.649,248242,0
2010-04-15,8.5869,8.6912,8.5869,8.6777,112433,0
2010-04-16,8.6112,8.6714,8.5375,8.5997,115771,0
2010-04-19,8.5375,8.6912,8.46,8.569,94946,0
2010-04-20,8.623,8.6669,8.569,8.6606,87484,0
2010-04-21,8.6714,8.7208,8.6418,8.6418,96081,0
2010-04-22,8.623,8.6912,8.5312,8.6912,96653,0
2010-04-23,8.7199,8.7199,8.6705,8.6894,75871,0
2010-04-26,8.6292,8.7208,8.6292,8.6976,70841,0
2010-04-27,8.6606,8.6849,8.4529,8.4776,190074,0
2010-04-28,8.5137,8.5997,8.4883,8.5137,82861,0
2010-04-29,8.5208,8.6849,8.5208,8.6669,77769,0
2010-04-30,8.5797,8.6714,8.4838,8.4883,79251,0
2010-05-03,8.5083,8.6175,8.5083,8.569,78080,0
2010-05-04,8.3868,8.46,8.331,8.338,158509,0
2010-05-05,8.2464,8.3553,8.1902,8.2819,135162,0
2010-05-06,8.1851,8.2887,7.3187,7.917,479447,0
2010-05-07,7.8684,8.0136,7.557,7.77,243718,0
2010-05-10,8.623,8.623,8.0084,8.1605,183088,0
2010-05-11,8.02,8.2343,8.02,8.1291,146588,0
2010-05-12,8.1427,8.2819,8.1427,8.2819,97993,0
2010-05-13,8.2343,8.3553,8.1536,8.1605,93477,0
2010-05-14,8.0808,8.123,7.8789,7.9344,179029,0
2010-05-17,8.0136,8.02,7.8193,7.9595,135605,0
2010-05-18,7.9895,8.0993,7.8857,7.947,108556,0
2010-05-19,7.9277,7.9595,7.8193,7.8978,117002,0
2010-05-20,7.8062,7.8062,7.5507,7.5988,235642,0
2010-05-21,7.4894,7.7514,7.3368,7.6725,131986,0
2010-05-24,7.6233,7.7763,7.6051,7.6051,157915,0
2010-05-25,7.3187,7.6909,7.2941,7.5933,184133,0
2010-05-26,7.715,7.7873,7.5507,7.5988,127652,0
2010-05-27,7.9109,7.9109,7.727,7.9109,99295,0
2010-05-28,7.8619,7.9711,7.8127,7.9595,70123,0
2010-06-01,7.843,7.9595,7.7939,7.7939,86632,0
2010-06-02,7.7578,7.9961,7.7392,7.9711,80195,0
2010-06-03,7.9895,8.0452,7.9535,8.0019,64244,0
2010-06-04,7.8731,7.9595,7.7336,7.7336,89110,0
2010-06-07,7.8127,7.8127,7.6233,7.6484,86777,0
2010-06-08,7.6297,7.6538,7.5016,7.6116,185051,0
2010-06-09,7.6725,7.7336,7.5016,7.5261,67609,0
2010-06-10,7.5807,7.7642,7.5807,7.7457,121242,0
2010-06-11,7.6484,7.8062,7.6484,7.8003,73969,0
2010-06-14,7.892,7.9654,7.8365,7.8552,85249,0
2010-06-15,7.9595,8.0622,7.9109,8.0622,113947,0
2010-06-16,7.9595,8.1359,7.9595,8.0993,98998,0
2010-06-17,8.0738,8.1427,7.9895,8.0568,105910,0
2010-06-18,7.7873,7.9277,7.727,7.9109,149941,0
2010-06-21,8.0688,8.0688,7.8003,7.825,212408,0
2010-06-22,7.8003,7.892,7.715,7.715,116207,0
2010-06-23,7.6965,7.7763,7.6178,7.6909,145945,0
2010-06-24,7.6051,7.6788,7.5507,7.5988,124550,0
2010-06-25,7.6725,7.7216,7.5744,7.6846,154084,0
