Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,75.029,75.299,74.099,74.314,511385,0
2010-01-05,74.028,74.29,72.916,73.237,376177,0
2010-01-06,73.411,73.569,73.014,73.214,306289,0
2010-01-07,73.342,73.637,73.206,73.361,407688,0
2010-01-08,73.342,73.437,72.898,73.228,318375,0
2010-01-11,73.627,73.811,73.197,73.716,452953,0
2010-01-12,73.542,74.377,73.411,73.802,322590,0
2010-01-13,73.793,74.786,73.743,74.655,220946,0
2010-01-14,74.265,74.837,74.203,74.822,235248,0
2010-01-15,74.587,74.716,73.707,73.759,239088,0
2010-01-19,73.75,75.064,73.75,75.047,292195,0
2010-01-20,74.441,75.5,74.441,75.317,395516,0
2010-01-21,75.22,75.559,74.349,74.578,405662,0
2010-01-22,74.605,74.605,73.237,73.47,333126,0
2010-01-25,73.942,74.194,73.141,73.551,225080,0
2010-01-26,73.254,74.664,73.228,73.498,369474,0
2010-01-27,73.288,74.698,73.288,74.698,320669,0
2010-01-28,74.743,74.743,73.594,73.847,241031,0
2010-01-29,74.166,75.586,73.881,74.568,400039,0
2010-02-01,74.924,74.942,74.072,74.422,207761,0
2010-02-02,74.323,74.924,74.248,74.812,232906,0
2010-02-03,74.587,74.605,73.942,74.15,330250,0
2010-02-04,73.926,74.333,72.656,72.656,557063,0
2010-02-05,72.687,72.907,71.471,72.431,474768,0
2010-02-08,72.531,72.577,71.707,72.011,352124,0
2010-02-09,72.55,72.976,72.03,72.829,201842,0
2010-02-10,72.474,73.917,72.081,73.379,433165,0
2010-02-11,73.455,73.455,69.183,69.585,2018950,0
2010-02-12,69.045,70.612,68.708,70.421,1026191,0
2010-02-16,70.759,71.707,70.316,71.629,767251,0
2010-02-17,71.717,71.925,71.454,71.75,739000,0
2010-02-18,71.863,72.715,71.69,72.586,580056,0
2010-02-19,72.531,73.15,72.447,72.931,388780,0
2010-02-22,72.888,73.517,72.706,73.427,352048,0
2010-02-23,73.089,73.603,72.812,73.228,484904,0
2010-02-24,73.395,74.184,73.023,74.116,440196,0
2010-02-25,73.627,74.804,73.455,74.629,495221,0
2010-02-26,74.89,75.003,74.116,74.29,382774,0
2010-03-01,74.524,74.533,73.664,74.341,474436,0
2010-03-02,74.358,74.386,73.063,73.446,1090135,0
2010-03-03,73.664,73.664,72.099,72.193,1079444,0
2010-03-04,72.175,72.3,71.725,71.925,730850,0
2010-03-05,72.203,72.255,70.968,71.106,1212399,0
2010-03-08,70.879,72.523,70.513,72.412,1019177,0
2010-03-09,72.431,72.513,71.341,71.785,638858,0
2010-03-10,71.55,72.046,71.204,71.873,616464,0
2010-03-11,71.532,72.357,71.315,72.29,731300,0
2010-03-12,72.29,72.348,71.55,71.776,337455,0
2010-03-15,71.646,71.768,70.949,71.42,274835,0
2010-03-16,71.305,71.305,70.838,71.106,505534,0
2010-03-17,71.404,71.942,71.004,71.646,465848,0
2010-03-18,71.838,71.838,71.376,71.55,245282,0
2010-03-19,71.56,71.75,70.263,70.3,792008,0
2010-03-22,70.072,70.308,69.456,69.664,702978,0
2010-03-23,69.689,69.689,68.986,69.168,1112626,0
2010-03-24,69.168,69.595,68.846,69.183,1034565,0
2010-03-25,69.613,70.246,69.038,69.548,884397,0
2010-03-26,69.456,69.985,69.238,69.375,600613,0
2010-03-29,69.705,70.447,69.515,70.323,688663,0
2010-03-30,70.513,70.548,69.538,70.339,895845,0
2010-03-31,70.01,70.838,69.383,70.384,865446,0
2010-04-01,70.646,70.923,69.932,70.281,498618,0
2010-04-05,70.281,70.316,69.75,70.02,452072,0
