Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,6.7137,6.7321,6.6832,6.7137,89357,0
2010-01-05,6.6609,6.6694,6.6365,6.6673,89821,0
2010-01-06,6.5981,6.6387,6.5919,6.6141,118055,0
2010-01-07,6.5309,6.5635,6.5087,6.5635,91538,0
2010-01-08,6.5695,6.6264,6.547,6.6264,42409,0
2010-01-11,6.6264,6.659,6.6184,6.6528,267676,0
2010-01-12,6.5758,6.6404,6.5695,6.6042,42339,0
2010-01-13,6.7076,6.7523,6.6895,6.7503,79113,0
2010-01-14,6.7279,6.7665,6.7156,6.7605,56135,0
2010-01-15,6.7725,6.787,6.7137,6.7485,49829,0
2010-01-19,6.7179,6.7914,6.7179,6.7914,46261,0
2010-01-20,6.7645,6.8197,6.7321,6.8197,114090,0
2010-01-21,6.9411,6.9597,6.8073,6.848,99746,0
2010-01-22,6.809,6.8396,6.6468,6.659,309153,0
2010-01-25,6.6895,6.7156,6.6609,6.671,130020,0
2010-01-26,6.5287,6.6184,6.5249,6.5635,123791,0
2010-01-27,6.5857,6.6327,6.5593,6.6306,95521,0
2010-01-28,6.5613,6.5635,6.4803,6.5268,679468,0
2010-01-29,6.535,6.5533,6.4332,6.47,1636864,0
2010-02-01,6.5066,6.547,6.47,6.5392,308689,0
2010-02-02,6.5392,6.5959,6.5287,6.5816,860984,0
2010-02-03,6.5675,6.5777,6.535,6.5695,136938,0
2010-02-04,6.4455,6.4558,6.3076,6.3135,224131,0
2010-02-05,6.2,6.2139,6.0701,6.1877,570000,0
2010-02-08,6.2118,6.2342,6.135,6.1428,223971,0
2010-02-09,6.1899,6.3219,6.1549,6.2666,180807,0
2010-02-10,6.1372,6.1919,6.1066,6.1633,174273,0
2010-02-11,6.1428,6.2546,6.1247,6.2507,136322,0
2010-02-12,6.2184,6.275,6.2078,6.2644,68572,0
2010-02-16,6.1814,6.2974,6.1633,6.2769,196565,0
2010-02-17,6.3624,6.3726,6.3034,6.3337,220930,0
2010-02-18,6.2041,6.2383,6.1653,6.206,259122,0
2010-02-19,6.0312,6.1002,6.0111,6.0761,258481,0
2010-02-22,6.0859,6.1045,6.0556,6.0761,201714,0
2010-02-23,6.1103,6.1512,6.1083,6.133,183088,0
2010-02-24,6.1145,6.1471,6.0779,6.0943,168790,0
2010-02-25,6.0414,6.0943,6.0111,6.0842,71394,0
2010-02-26,6.0495,6.135,6.0495,6.1184,78370,0
2010-03-01,6.0596,6.1145,6.0289,6.0881,192700,0
2010-03-02,6.1653,6.2078,6.1449,6.1877,146605,0
2010-03-03,6.1959,6.2446,6.1899,6.2161,110189,0
2010-03-04,6.2241,6.2241,6.1633,6.2,52840,0
2010-03-05,6.2644,6.3524,6.2383,6.3524,221478,0
2010-03-08,6.3768,6.3768,6.3257,6.3379,126415,0
2010-03-09,6.3157,6.3199,6.2769,6.2974,57953,0
2010-03-10,6.2199,6.2591,6.202,6.2342,86983,0
2010-03-11,6.2466,6.2869,6.2362,6.2831,110699,0
2010-03-12,6.2933,6.3034,6.2607,6.2953,101213,0
2010-03-15,6.2199,6.2285,6.1959,6.2139,55076,0
2010-03-16,6.2405,6.3135,6.2405,6.3095,95127,0
2010-03-17,6.3379,6.3561,6.3199,6.3219,46226,0
2010-03-18,6.2869,6.3199,6.2569,6.263,86746,0
2010-03-19,6.1977,6.2078,6.096,6.1145,256465,0
2010-03-22,6.0899,6.206,6.0842,6.1857,150262,0
2010-03-23,6.1857,6.2405,6.1776,6.2262,76021,0
2010-03-24,6.1959,6.2285,6.1571,6.202,314113,0
2010-03-25,6.4007,6.4232,6.3461,6.3846,524427,0
2010-03-26,6.3603,6.3906,6.3318,6.3503,260227,0
2010-03-29,6.411,6.4475,6.3968,6.4355,224600,0
2010-03-30,6.4598,6.4944,6.4232,6.4436,77973,0
2010-03-31,6.4762,6.547,6.47,6.5186,115949,0
2010-04-01,6.5229,6.5899,6.5208,6.5715,147107,0
2010-04-05,6.5879,6.6223,6.5715,6.5939,112732,0
2010-04-06,6.5372,6.5837,6.5229,6.5837,93553,0
2010-04-07,6.5164,6.5493,6.4901,6.535,83107,0
2010-04-08,6.4419,6.5287,6.4253,6.5268,411863,0
2010-04-09,6.5513,6.6345,6.5513,6.6327,102078,0
2010-04-12,6.6141,6.6306,6.5879,6.6284,73347,0
2010-04-13,6.6387,6.6387,6.5899,6.6306,95752,0
2010-04-14,6.6528,6.6792,6.6306,6.677,60806,0
2010-04-15,6.659,6.7464,6.6404,6.7199,108084,0
2010-04-16,6.7054,6.7179,6.6201,6.6404,72511,0
2010-04-19,6.5533,6.6264,6.5433,6.608,83617,0
2010-04-20,6.6387,6.7033,6.6387,6.6895,93348,0
2010-04-21,6.7301,6.7605,6.7156,6.7441,67071,0
2010-04-22,6.7685,6.8926,6.738,6.8926,152619,0
2010-04-23,6.7743,6.8951,6.7743,6.8951,153350,0
2010-04-26,6.787,6.8073,6.7464,6.7485,136389,0
2010-04-27,6.7279,6.738,6.5635,6.5635,154215,0
2010-04-28,6.3868,6.4475,6.2687,6.3277,343991,0
2010-04-29,6.3846,6.4455,6.3726,6.4332,274344,0
2010-04-30,6.4824,6.4842,6.3988,6.4195,212234,0
2010-05-03,6.4232,6.4824,6.4212,6.4762,171473,0
2010-05-04,6.3581,6.3603,6.3076,6.3179,150295,0
2010-05-05,6.2041,6.2326,6.1308,6.1406,115499,0
2010-05-06,6.2,6.2383,5.7528,6.0435,445509,0
2010-05-07,5.8768,5.9114,5.7019,5.7794,439316,0
