Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,7.4398,7.5712,7.2457,7.5579,8823,0
2010-01-05,7.3067,7.3067,7.182,7.182,5656,0
2010-01-07,7.5416,7.6898,7.2804,7.2917,12360,0
2010-01-08,7.5528,7.7037,7.4543,7.7037,9805,0
2010-01-11,7.6695,7.6873,7.4294,7.4347,10711,0
2010-01-12,7.4294,7.4891,7.4294,7.4294,3665,0
2010-01-13,7.4642,7.6248,7.4294,7.6248,2533,0
2010-01-14,7.3802,7.407,7.2863,7.407,3072,0
2010-01-15,7.3579,7.4294,7.356,7.4294,10577,0
2010-01-20,7.2221,7.6248,7.184,7.6248,8565,0
2010-01-22,7.392,7.5901,7.392,7.5901,4038,0
2010-01-25,7.3999,7.3999,7.3147,7.3147,3373,0
2010-01-26,7.356,7.4294,7.3087,7.3087,4855,0
2010-01-27,7.5737,7.9228,7.3147,7.9228,15438,0
2010-01-28,7.4543,7.5658,7.4543,7.5416,6462,0
2010-01-29,7.5862,7.5874,7.5862,7.5874,899,0
2010-02-01,7.8487,7.8487,7.5291,7.7489,10829,0
2010-02-02,7.7509,7.7509,7.537,7.7397,4789,0
2010-02-03,7.4996,7.6775,7.2838,7.2838,21368,0
2010-02-04,7.6695,7.6755,7.4294,7.4294,84580,0
2010-02-05,7.2687,7.2687,7.2687,7.2687,397,0
2010-02-08,7.6873,7.6898,7.682,7.682,1211,0
2010-02-09,7.6775,7.6775,7.5988,7.5988,1211,0
2010-02-10,7.4445,7.4602,7.4398,7.4602,4358,0
2010-02-12,7.6184,7.6184,7.6184,7.6184,397,0
2010-02-16,7.6184,7.6217,7.432,7.432,16038,0
2010-02-17,7.4398,7.6328,7.4294,7.6328,26473,0
2010-02-18,7.2942,7.6328,7.2838,7.5528,5129,0
2010-02-19,7.5448,7.6472,7.5448,7.6472,5248,0
2010-02-22,7.6668,7.6668,7.3375,7.6001,2519,0
2010-02-23,7.6001,7.6001,7.6001,7.6001,397,0
2010-02-24,7.6031,7.6031,7.5757,7.5784,3174,0
2010-02-25,7.3854,7.6531,7.3854,7.6504,9736,0
2010-02-26,7.6531,7.6531,7.4767,7.581,3243,0
2010-03-01,7.5658,7.6531,7.5658,7.6531,1211,0
2010-03-02,7.6668,7.6668,7.516,7.5555,13332,0
2010-03-03,7.6873,7.6873,7.5186,7.6452,1615,0
2010-03-04,7.516,7.6551,7.516,7.5658,8080,0
2010-03-05,7.6131,7.6898,7.5632,7.6058,9245,0
2010-03-08,7.6898,7.7063,7.6898,7.7063,5656,0
2010-03-10,7.7063,7.7194,7.5784,7.7194,2925,0
2010-03-11,7.724,7.724,7.724,7.724,1816,0
2010-03-12,7.7221,7.7221,7.7221,7.7221,397,0
2010-03-15,7.7141,7.7141,7.6957,7.6957,1416,0
2010-03-16,7.6755,7.6775,7.6755,7.6775,6995,0
2010-03-17,7.5835,7.7141,7.5579,7.7141,9101,0
2010-03-19,7.724,7.724,7.5901,7.6775,7738,0
2010-03-22,7.6775,7.6775,7.6775,7.6775,405,0
2010-03-23,7.7535,7.7535,7.724,7.7266,7066,0
2010-03-24,7.7535,7.7981,7.5528,7.7981,24761,0
2010-03-25,7.8139,7.8185,7.7764,7.8185,6377,0
2010-03-29,7.8434,7.8605,7.6873,7.8034,21138,0
2010-03-30,7.8625,7.8729,7.8382,7.8729,7007,0
2010-03-31,7.8729,7.8729,7.7424,7.7424,1623,0
2010-04-01,7.8487,7.8625,7.8382,7.8625,2770,0
2010-04-05,7.8729,7.8901,7.8382,7.8901,8096,0
2010-04-06,7.8901,7.8901,7.8901,7.8901,2157,0
2010-04-07,7.8512,7.8512,7.8512,7.8512,1016,0
2010-04-08,7.9182,7.9182,7.8434,7.8434,3854,0
2010-04-09,7.9103,7.9182,7.9103,7.9182,1612,0
2010-04-12,7.907,7.9182,7.907,7.9182,1653,0
2010-04-13,7.9005,7.9378,7.9005,7.9182,4038,0
2010-04-14,7.9378,7.9378,7.9005,7.9378,7668,0
2010-04-15,7.9261,7.9261,7.8277,7.8277,14115,0
2010-04-16,7.9208,7.9208,7.9129,7.9182,2804,0
2010-04-19,7.9378,7.9378,7.9129,7.9129,2017,0
2010-04-20,7.8559,7.9228,7.8414,7.9228,1718,0
2010-04-21,7.8414,7.9005,7.8211,7.8355,5455,0
2010-04-22,7.8382,7.8382,7.8382,7.8382,1453,0
2010-04-23,7.8428,7.8775,7.7994,7.8598,4038,0
2010-04-26,7.8881,7.8881,7.8729,7.8729,1211,0
2010-04-27,7.7981,7.7981,7.7831,7.7831,1612,0
2010-04-28,7.6531,7.7397,7.6531,7.7397,1211,0
2010-04-29,7.7397,7.7397,7.7397,7.7397,1564,0
2010-04-30,7.7397,7.8559,7.7397,7.7661,4164,0
2010-05-03,7.8625,7.8625,7.8625,7.8625,1520,0
2010-05-04,7.8625,7.8625,7.8625,7.8625,1413,0
2010-05-05,7.865,7.865,7.6847,7.6847,4514,0
2010-05-06,7.6925,7.8329,7.6847,7.7397,3935,0
2010-05-07,7.4996,7.7397,7.4996,7.7397,808,0
2010-05-10,7.6197,7.6197,7.6197,7.6197,478,0
2010-05-11,7.5048,7.6531,7.5048,7.6531,1520,0
2010-05-12,7.907,7.9156,7.7567,7.8302,2017,0
2010-05-14,7.7567,7.8755,7.7509,7.7509,3557,0
2010-05-18,7.8605,7.9156,7.8605,7.9156,4452,0
2010-05-19,7.7509,7.7739,7.5186,7.7397,3862,0
2010-05-20,7.5632,7.7397,7.5632,7.7397,29359,0
2010-05-21,7.9129,7.9129,7.581,7.7397,6264,0
2010-05-24,7.8919,7.9129,7.8854,7.9129,2365,0
2010-05-25,7.9129,7.9129,7.9005,7.9005,808,0
2010-05-26,7.8901,7.8979,7.7397,7.7397,1810,0
2010-05-27,7.7397,7.7397,7.6031,7.6031,1024,0
2010-05-28,7.7318,7.8007,7.7318,7.7397,2017,0
2010-06-02,7.8007,7.8007,7.8007,7.8007,2017,0
2010-06-03,7.7397,7.8007,7.6248,7.8007,12786,0
2010-06-04,7.8007,7.8007,7.5291,7.5291,1211,0
2010-06-07,7.6275,7.7397,7.6275,7.7397,887,0
2010-06-08,7.7397,7.7397,7.7397,7.7397,792,0
2010-06-09,7.7424,7.7424,7.7397,7.7397,5656,0
2010-06-11,7.5022,7.682,7.5022,7.682,3712,0
2010-06-14,7.7017,7.7017,7.7017,7.7017,591,0
2010-06-16,7.6775,7.7981,7.6775,7.7936,4648,0
2010-06-17,7.7882,7.7962,7.7764,7.7962,3602,0
2010-06-18,7.7764,7.7981,7.7509,7.7857,6458,0
2010-06-21,7.7266,7.7266,7.7266,7.7266,598,0
2010-06-22,7.8007,7.8067,7.8007,7.8067,5239,0
2010-06-23,7.8067,7.8067,7.682,7.682,2424,0
2010-06-24,7.6794,7.8067,7.6794,7.8067,2424,0
2010-06-25,7.6898,7.8067,7.6898,7.8007,4038,0
2010-06-30,7.6898,7.6898,7.6775,7.6775,1609,0
2010-07-01,7.5555,7.6775,7.5555,7.6775,2017,0
2010-07-02,7.8329,7.846,7.8329,7.846,2017,0
2010-07-06,7.8487,7.8487,7.5528,7.7981,13007,0
2010-07-08,7.8625,7.8625,7.8532,7.8532,808,0
2010-07-09,7.6328,7.8034,7.6328,7.8034,9267,0
2010-07-12,7.9005,7.9261,7.9005,7.9261,2496,0
2010-07-13,7.9261,7.9261,7.6775,7.6775,3432,0
2010-07-14,7.9228,7.9353,7.9182,7.9353,6864,0
2010-07-15,7.9261,7.9353,7.9261,7.9353,808,0
2010-07-19,7.9319,7.9353,7.9261,7.9353,4843,0
2010-07-20,7.6898,7.7764,7.581,7.7764,1211,0
2010-07-21,7.6971,7.6971,7.6031,7.6275,3432,0
2010-07-22,7.4969,7.4969,7.4969,7.4969,808,0
2010-07-23,7.5528,7.6131,7.5528,7.6131,808,0
2010-07-26,7.4379,7.5737,7.4347,7.5448,11784,0
2010-07-27,7.7739,7.8007,7.4472,7.7692,3362,0
2010-07-29,7.8257,7.8919,7.8257,7.8919,1612,0
2010-07-30,7.5632,7.5632,7.5632,7.5632,397,0
2010-08-02,7.8257,7.9353,7.5658,7.9353,7181,0
2010-08-03,7.9378,7.9378,7.7221,7.8802,4761,0
2010-08-04,7.9019,7.9019,7.865,7.865,808,0
2010-08-05,7.8158,7.9281,7.8158,7.8257,1816,0
2010-08-09,7.8755,7.9472,7.8755,7.9472,2828,0
2010-08-10,7.7489,7.7489,7.7063,7.7063,808,0
2010-08-11,7.907,7.907,7.7095,7.8487,3389,0
2010-08-12,7.8277,7.8277,7.8257,7.8257,2828,0
2010-08-16,7.8257,7.8257,7.8257,7.8257,397,0
2010-08-17,7.7318,7.8532,7.6775,7.6775,10275,0
2010-08-18,7.682,7.7936,7.6794,7.6925,2424,0
2010-08-19,7.6775,7.6775,7.6775,7.6775,2828,0
2010-08-20,7.6898,7.7909,7.682,7.6925,4236,0
2010-08-23,7.7857,7.7857,7.6775,7.6898,6167,0
2010-08-24,7.6898,7.6898,7.6775,7.6775,2828,0
2010-08-25,7.6775,7.6775,7.6775,7.6775,2424,0
2010-08-26,7.6775,7.6775,7.6775,7.6775,1228,0
2010-08-30,7.6775,7.6775,7.6775,7.6775,808,0
2010-09-01,7.682,7.7489,7.6794,7.7437,1612,0
2010-09-02,7.7489,7.7489,7.6775,7.6794,3367,0
2010-09-03,7.6775,7.6775,7.6775,7.6775,808,0
2010-09-07,7.6775,7.6775,7.6775,7.6775,675,0
