Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,23.702,24.252,23.013,23.968,1152800,0
2010-01-05,23.904,24.312,23.86,24.27,1883262,0
2010-01-06,25.32,26.176,24.959,25.383,3441537,0
2010-01-07,25.258,25.833,25.16,25.833,2499753,0
2010-01-08,25.285,25.867,25.215,25.817,1716480,0
2010-01-11,25.79,26.169,25.78,25.939,1865093,0
2010-01-12,25.744,26.034,24.817,25.02,2067639,0
2010-01-13,25.011,25.178,24.887,25.117,1456706,0
2010-01-14,25.082,25.568,24.976,25.47,1349078,0
2010-01-15,25.478,25.717,25.117,25.241,2066504,0
2010-01-19,25.142,25.578,25.142,25.542,1037609,0
2010-01-20,25.206,25.285,24.639,24.852,1091302,0
2010-01-21,24.799,25.011,23.843,24.135,2207825,0
2010-01-22,23.931,24.17,23.465,23.517,1354969,0
2010-01-25,23.878,23.878,22.995,23.295,1626351,0
2010-01-26,23.155,23.483,23.039,23.349,1172073,0
2010-01-27,23.261,23.818,23.095,23.766,1921906,0
2010-01-28,23.818,23.904,23.367,23.72,2016224,0
2010-01-29,24.242,24.561,23.693,23.792,3428201,0
2010-02-01,23.802,23.897,23.286,23.748,2096714,0
2010-02-02,23.843,24.206,23.72,24.143,2608281,0
2010-02-03,24.049,24.224,23.784,23.897,1595431,0
2010-02-04,23.711,23.711,23.067,23.261,2311029,0
2010-02-05,23.209,23.413,22.855,23.33,3036921,0
2010-02-08,23.279,23.386,22.855,23.304,2639577,0
2010-02-09,23.57,23.784,23.312,23.525,2358811,0
2010-02-10,23.507,23.792,23.03,23.685,2653408,0
2010-02-11,23.57,24.108,23.286,24.057,1388565,0
2010-02-12,23.904,24.126,23.623,23.931,1484206,0
2010-02-16,24.1,24.737,24.015,24.675,1810217,0
2010-02-17,24.79,24.959,24.639,24.903,1375975,0
2010-02-18,24.817,25.064,24.773,25.02,1013548,0
2010-02-19,24.79,25.523,24.79,25.285,1651525,0
2010-02-22,25.311,25.355,24.781,24.852,1422361,0
2010-02-23,24.746,24.746,24.015,24.126,2408659,0
2010-02-24,24.26,24.489,24.17,24.462,1962875,0
2010-02-25,24.1,24.544,23.87,24.479,1499488,0
2010-02-26,24.639,24.71,24.348,24.656,1874508,0
2010-03-01,24.746,25.523,24.639,25.47,2197957,0
2010-03-02,25.443,25.647,25.302,25.418,1768603,0
2010-03-03,25.453,25.735,25.41,25.426,836954,0
