Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,42.305,42.609,42.244,42.533,2772218,0
2010-01-05,43.057,43.497,42.828,43.193,3000941,0
2010-01-06,43.55,44.742,43.55,44.514,3597258,0
2010-01-07,44.217,44.537,43.711,44.521,2529689,0
2010-01-08,44.582,45.045,44.18,45.015,2839808,0
2010-01-11,45.546,45.607,44.377,44.619,2810160,0
2010-01-12,43.361,43.924,43.057,43.3,3243664,0
2010-01-13,43.984,44.582,43.375,44.394,3515471,0
2010-01-14,44.961,45.356,44.627,45.145,4263513,0
2010-01-15,45.069,45.166,44.111,44.34,3095538,0
2010-01-19,44.619,45.63,44.619,45.508,3114901,0
2010-01-20,43.353,43.573,42.707,43.48,5247313,0
2010-01-21,41.927,42.428,40.081,40.415,6835650,0
2010-01-22,39.322,40.596,39.094,39.245,8521350,0
2010-01-25,40.022,40.528,39.587,39.836,3597504,0
2010-01-26,38.593,39.518,38.351,38.805,4966700,0
2010-01-27,38.821,39.161,37.956,38.677,4236336,0
2010-01-28,39.193,39.193,37.135,37.348,4359848,0
2010-01-29,37.933,38.53,36.557,36.824,5671008,0
2010-02-01,37.857,39.352,37.645,39.214,5751148,0
2010-02-02,40.17,40.384,39.352,40.028,5891743,0
2010-02-03,39.329,39.944,38.905,38.957,3928757,0
2010-02-04,38.047,38.207,36.452,36.611,5805044,0
2010-02-05,36.339,37.068,35.214,37.068,10618572,0
2010-02-08,36.179,36.817,35.601,35.601,7797345,0
2010-02-09,37.939,38.579,37.454,38.008,7140300,0
2010-02-10,37.97,38.22,36.974,37.803,6582965,0
2010-02-11,38.069,39.27,37.576,39.17,6574739,0
2010-02-12,37.683,38.89,37.341,38.53,6194227,0
2010-02-16,39.694,40.408,39.511,40.202,4700545,0
2010-02-17,41.046,41.326,40.452,40.848,4566138,0
2010-02-18,40.544,41.18,40.537,40.954,3556273,0
2010-02-19,40.013,40.87,39.868,40.483,5431282,0
2010-02-22,41.174,41.311,40.657,40.712,3986730,0
2010-02-23,40.262,40.643,39.245,39.578,3908101,0
2010-02-24,39.345,39.884,38.881,39.064,3921096,0
2010-02-25,37.492,38.821,37.364,38.821,8157700,0
2010-02-26,38.563,39.496,38.107,39.436,4230940,0
2010-03-01,39.185,40.042,39.14,39.975,4685159,0
2010-03-02,40.081,40.954,40.004,40.384,5312480,0
2010-03-03,41.219,42.199,41.09,41.682,4974536,0
2010-03-04,41.69,41.88,40.93,41.41,4448328,0
2010-03-05,42.42,43.087,42.38,42.943,4580210,0
2010-03-08,43.109,43.254,42.57,42.601,2749867,0
2010-03-09,41.811,42.654,41.751,42.335,2879150,0
2010-03-10,42.661,43.148,42.162,42.601,3512460,0
2010-03-11,42.153,42.601,41.56,42.557,3516337,0
2010-03-12,43.042,43.238,42.564,42.661,3392970,0
2010-03-15,42.132,42.305,41.765,42.191,2768082,0
2010-03-16,42.403,43.08,42.282,43.02,2865400,0
2010-03-17,44.149,44.203,43.42,43.55,3933680,0
2010-03-18,43.488,43.891,43.003,43.207,4647534,0
2010-03-19,43.103,43.207,41.69,42.099,4348200,0
2010-03-22,41.478,42.965,41.416,42.92,4237000,0
2010-03-23,43.686,44.217,43.497,44.119,5320927,0
2010-03-24,43.906,44.188,43.413,43.732,4739833,0
2010-03-25,44.234,44.325,42.851,42.92,5824287,0
2010-03-26,43.534,44.18,43.284,43.86,4047270,0
2010-03-29,44.439,44.864,44.439,44.712,4179204,0
2010-03-30,45.22,45.379,44.598,45.077,3229267,0
2010-03-31,44.869,45.311,44.727,44.924,4484573,0
2010-04-01,46.541,46.82,46.192,46.367,3178334,0
2010-04-05,47.064,47.247,46.646,46.723,2007551,0
2010-04-06,46.867,47.239,46.692,46.723,3047998,0
2010-04-07,46.51,46.616,45.683,45.879,3098934,0
2010-04-08,45.19,45.994,44.878,45.994,4284917,0
2010-04-09,46.001,46.328,45.789,46.069,2573649,0
2010-04-12,46.155,46.442,45.896,46.041,2515627,0
2010-04-13,45.737,45.888,45.174,45.759,2390955,0
2010-04-14,46.534,46.844,46.282,46.76,2056261,0
2010-04-15,46.342,46.738,45.819,45.949,2960068,0
2010-04-16,45.607,45.812,44.234,44.589,4868131,0
2010-04-19,43.899,44.606,43.672,44.606,3242929,0
2010-04-20,44.848,45.098,44.264,44.316,2609232,0
2010-04-21,43.725,43.943,43.087,43.693,4713034,0
2010-04-22,42.593,43.649,42.365,43.649,4242972,0
2010-04-23,43.662,44.652,43.524,44.598,2869371,0
2010-04-26,44.75,44.993,44.363,44.468,2473367,0
2010-04-27,43.087,43.315,41.56,41.682,4253240,0
2010-04-28,41.501,41.675,40.742,41.402,5866354,0
2010-04-29,41.135,41.402,40.558,40.976,4370641,0
2010-04-30,39.755,39.853,38.387,38.609,5625231,0
2010-05-03,38.677,38.98,35.754,36.378,14460959,0
2010-05-04,36.969,37.249,35.951,36.46,12486127,0
2010-05-05,36.012,37.18,35.815,36.641,8323866,0
2010-05-06,36.148,36.59,32.164,34.432,8434745,0
2010-05-07,35.609,35.867,33.903,34.867,10790429,0
2010-05-10,38.425,38.526,37.279,37.827,7321186,0
2010-05-11,36.505,37.765,36.255,36.795,6888315,0
2010-05-12,37.053,37.5,36.892,37.325,4128630,0
2010-05-13,37.462,37.956,37.105,37.241,3922564,0
2010-05-14,35.966,36.051,35.11,35.785,5159373,0
2010-05-17,35.315,35.414,33.628,34.637,5168309,0
2010-05-18,35.222,35.593,33.841,33.955,5700916,0
2010-05-19,32.869,33.339,32.209,33.158,7426769,0
2010-05-20,30.457,31.267,29.834,30.266,13651038,0
2010-05-21,30.698,32.322,30.53,32.246,10469307,0
2010-05-24,32.695,32.786,31.891,31.941,5064244,0
2010-05-25,30.857,32.534,30.554,32.534,8078628,0
2010-05-26,33.143,34.228,32.619,32.893,9448851,0
2010-05-27,34.858,35.913,34.395,35.913,5688989,0
2010-05-28,35.336,35.511,34.418,34.996,4083120,0
2010-06-01,34.517,35.459,33.97,33.97,4943764,0
2010-06-02,34.365,35.459,34.137,35.459,4723704,0
2010-06-03,36.087,36.119,34.538,35.192,5021937,0
2010-06-04,34.121,34.637,33.097,33.31,5712376,0
2010-06-07,33.765,34.015,32.831,32.854,5123183,0
2010-06-08,33.264,34.16,32.839,34.083,5270169,0
2010-06-09,34.472,35.11,33.782,33.978,5187595,0
2010-06-10,36.429,36.679,35.625,36.574,4843516,0
2010-06-11,35.352,35.951,35.178,35.898,3895333,0
2010-06-14,36.863,37.272,36.172,36.429,4272612,0
2010-06-15,37.211,37.939,36.899,37.917,3583558,0
2010-06-16,37.508,37.948,37.378,37.637,3492546,0
2010-06-17,37.902,37.933,36.954,37.348,3663402,0
2010-06-18,37.454,37.605,37.211,37.554,2630863,0
2010-06-21,39.361,39.527,38.12,38.493,5568902,0
2010-06-22,38.54,38.919,37.743,37.871,4574101,0
2010-06-23,38.731,39.056,37.795,38.752,4773879,0
2010-06-24,37.834,37.888,37.006,37.188,3254387,0
2010-06-25,36.505,37.159,35.943,37.028,3570178,0
2010-06-28,37.257,37.433,36.566,36.741,3149205,0
2010-06-29,35.571,35.625,34.16,34.478,4809341,0
2010-06-30,33.812,34.707,33.215,33.398,5629838,0
2010-07-01,34.083,34.199,32.847,33.598,6728198,0
2010-07-02,34.311,34.57,33.354,33.651,3951647,0
2010-07-06,35.009,35.259,34.107,34.523,4536029,0
2010-07-07,34.296,35.588,34.191,35.588,4472566,0
2010-07-08,35.83,35.951,35.078,35.889,5550487,0
2010-07-09,36.164,36.763,36.057,36.658,2817652,0
2010-07-12,35.776,36.126,35.247,35.593,2840482,0
2010-07-13,36.332,36.4,35.921,36.095,2925947,0
2010-07-14,35.738,36.414,35.618,36.119,2353300,0
2010-07-15,36.019,36.028,35.017,35.77,3888421,0
2010-07-16,35.694,35.73,34.578,34.736,4213454,0
