Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,23.653,23.859,23.49,23.713,1853050,0
2010-01-05,23.285,23.285,22.502,22.709,2848519,0
2010-01-06,23.005,23.474,23.005,23.447,2036750,0
2010-01-07,23.49,23.606,23.31,23.482,1008580,0
2010-01-08,23.49,23.653,23.068,23.464,1844619,0
2010-01-11,23.606,23.74,23.346,23.74,905493,0
2010-01-12,23.697,23.705,23.077,23.114,1127069,0
2010-01-13,23.382,23.58,23.239,23.455,2089601,0
2010-01-14,23.427,23.635,23.408,23.616,1110900,0
2010-01-15,23.616,23.635,23.31,23.437,817241,0
2010-01-19,23.408,23.805,23.408,23.778,796247,0
2010-01-20,23.713,23.929,23.606,23.778,782006,0
2010-01-21,23.796,23.832,23.138,23.337,977947,0
2010-01-22,23.408,23.852,23.302,23.346,1531576,0
2010-01-25,23.525,23.995,23.392,23.832,2575109,0
2010-01-26,23.75,24.263,23.75,24.022,1863717,0
2010-01-27,23.92,23.92,23.455,23.669,1172540,0
2010-01-28,23.653,23.796,23.157,23.408,1031747,0
2010-01-29,23.464,23.543,22.977,22.977,1203880,0
2010-02-01,23.077,23.202,22.916,23.122,847762,0
2010-02-02,23.157,23.49,23.122,23.464,1542577,0
2010-02-03,23.346,23.543,23.266,23.437,1356530,0
2010-02-04,23.373,23.482,22.7,22.88,2182404,0
2010-02-05,24.712,24.938,23.859,24.668,5465711,0
2010-02-08,24.794,24.828,24.552,24.638,2433990,0
2010-02-09,24.803,24.803,24.012,24.391,1725400,0
2010-02-10,24.401,24.614,24.164,24.391,765204,0
2010-02-11,24.408,25.017,24.219,24.938,2028351,0
2010-02-12,24.776,25.207,24.731,25.154,1985529,0
2010-02-16,25.217,25.217,24.712,24.92,1351820,0
2010-02-17,24.794,25.1,24.685,25.062,1385694,0
2010-02-18,25.081,25.855,25.081,25.8,2292898,0
2010-02-19,25.744,25.917,25.613,25.819,1993291,0
2010-02-22,25.933,26.23,25.675,26.044,1710758,0
