Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,7.702,7.8571,7.6543,7.7858,417314,0
2010-01-05,7.7964,7.8084,7.7142,7.7498,348985,0
2010-01-06,7.732,7.8451,7.732,7.7498,418285,0
2010-01-07,7.7264,7.8207,7.6421,7.8084,266508,0
2010-01-08,7.7858,7.8207,7.7384,7.7964,164425,0
2010-01-11,7.8207,7.8207,7.7384,7.7858,232176,0
2010-01-12,7.7264,7.7858,7.702,7.7447,259342,0
2010-01-13,7.7619,7.8451,7.702,7.8326,191562,0
2010-01-14,7.8691,7.8691,7.774,7.8571,111419,0
2010-01-15,7.8691,7.8812,7.5955,7.6786,441482,0
2010-01-19,7.63,7.7619,7.6186,7.7619,364273,0
2010-01-20,7.702,7.702,7.4817,7.5955,372238,0
2010-01-21,7.6186,7.6661,7.4099,7.5112,289426,0
2010-01-22,7.4758,7.5833,7.4041,7.4277,339853,0
2010-01-25,7.452,7.4635,7.3327,7.3811,187692,0
2010-01-26,7.3449,7.3932,7.2847,7.297,230301,0
2010-01-27,7.3756,7.9757,7.369,7.9169,1082438,0
2010-01-28,7.947,7.947,7.572,7.7084,511990,0
2010-01-29,7.7142,7.8812,7.7142,7.8144,502837,0
2010-02-01,7.8084,7.8571,7.7447,7.7964,270286,0
2010-02-02,7.8144,7.8691,7.7199,7.7384,321783,0
2010-02-03,7.7264,7.8028,7.6363,7.7677,377174,0
2010-02-04,7.7384,7.7447,7.612,7.6543,412368,0
2010-02-05,7.6543,7.7264,7.5833,7.7142,366589,0
2010-02-08,7.7142,7.7199,7.572,7.5833,356739,0
2010-02-09,7.6363,7.7084,7.5833,7.6606,294682,0
2010-02-10,7.6421,7.6661,7.5776,7.6242,243882,0
2010-02-11,7.5897,7.7677,7.554,7.7677,262896,0
2010-02-12,7.8987,8.0051,7.8451,7.9877,943995,0
2010-02-16,8.0599,8.0599,7.9527,8.042,325890,0
2010-02-17,8.0784,8.16,8.0542,8.16,291583,0
2010-02-18,8.1907,8.3272,8.1784,8.3101,303147,0
2010-02-19,8.3272,8.4171,8.2628,8.3986,403523,0
2010-02-22,8.4414,8.5238,8.405,8.4993,354396,0
2010-02-23,8.4993,8.5238,8.3756,8.4414,550275,0
2010-02-24,8.4772,8.5479,8.4291,8.4822,288886,0
2010-02-25,8.3927,8.5238,8.3927,8.5114,237868,0
2010-02-26,8.4993,8.4993,8.3986,8.4414,384306,0
2010-03-01,8.5358,8.5785,8.4291,8.572,453926,0
2010-03-02,8.6078,8.6901,8.5479,8.655,541430,0
2010-03-03,8.6787,8.733,8.6436,8.6729,310032,0
2010-03-04,8.7024,8.7142,8.6321,8.6436,204875,0
2010-03-05,8.6964,8.9173,8.6901,8.8874,512345,0
2010-03-08,8.905,8.9777,8.8636,8.8694,279951,0
2010-03-09,8.8573,9.0003,8.8515,8.9594,354906,0
2010-03-10,8.9355,9.0602,8.9355,9.0122,810422,0
2010-03-11,8.9536,9.0244,8.9355,8.9777,217582,0
2010-03-12,8.9777,9.0122,8.9115,8.9355,311336,0
2010-03-15,8.9231,8.9415,8.7871,8.8272,504854,0
2010-03-16,8.8222,8.8336,8.7564,8.8106,366057,0
2010-03-17,8.8106,8.9415,8.775,8.8694,257933,0
2010-03-18,8.8815,8.948,8.8336,8.8874,171055,0
2010-03-19,8.9231,8.948,8.8043,8.8515,602472,0
2010-03-22,8.7984,8.948,8.775,8.9295,391038,0
2010-03-23,8.9536,9.0481,8.8336,9.0358,548296,0
2010-03-24,9.0244,9.0244,8.8573,8.8815,304474,0
2010-03-25,8.763,8.8694,8.6379,8.655,731792,0
2010-03-26,8.6964,8.6964,8.5358,8.5957,348639,0
2010-03-29,8.6078,8.7264,8.6014,8.6787,236102,0
2010-03-30,8.655,8.7024,8.5844,8.6844,360970,0
2010-03-31,8.6436,8.7201,8.6078,8.6078,365575,0
2010-04-01,8.6202,8.6614,8.5479,8.5785,285634,0
2010-04-05,8.6202,8.7081,8.5844,8.6901,312211,0
2010-04-06,8.6671,8.775,8.655,8.775,257546,0
2010-04-07,8.7449,8.7871,8.7142,8.7871,393235,0
2010-04-08,8.7264,8.763,8.6787,8.7024,180353,0
2010-04-09,8.7388,8.7388,8.59,8.6321,314717,0
2010-04-12,8.655,8.655,8.5844,8.6321,197208,0
2010-04-13,8.6014,8.7264,8.5844,8.7264,202664,0
2010-04-14,8.7505,8.846,8.655,8.8394,266165,0
2010-04-15,8.7871,8.905,8.7871,8.875,192172,0
2010-04-16,8.8694,8.9115,8.775,8.8043,327823,0
2010-04-19,8.7564,8.8336,8.6901,8.793,214345,0
2010-04-20,8.8165,8.905,8.7984,8.8815,206960,0
2010-04-21,8.8636,9.0003,8.846,8.9841,214221,0
2010-04-22,8.9173,9.0122,8.8694,9.0003,243999,0
2010-04-23,8.9657,8.9841,8.8987,8.9536,375607,0
2010-04-26,8.9657,8.9951,8.8815,8.9231,269022,0
2010-04-27,8.9115,9.0122,8.7984,8.8106,285577,0
2010-04-28,8.8874,9.0181,8.775,8.8874,273402,0
