Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,6.89,7.31,6.87,7.1,214662,0
2010-01-05,7.1,7.2,6.95,7,116717,0
2010-01-06,7,7.14,6.85,6.9,160004,0
2010-01-07,6.91,7.08,6.73,6.87,113834,0
2010-01-08,6.86,7.22,6.85,7.2,329144,0
2010-01-11,7.27,7.44,7.13,7.22,98958,0
2010-01-12,7.1,7.15,6.84,6.96,57308,0
2010-01-13,6.99,7.33,6.8,7.21,93723,0
2010-01-14,7.2,8.07,7.15,7.99,404680,0
2010-01-15,8.02,8.02,7.5,7.68,247974,0
2010-01-19,7.69,7.99,7.66,7.88,92252,0
2010-01-20,7.8,7.9,7.3,7.39,181698,0
2010-01-21,7.39,7.61,7.39,7.41,286954,0
2010-01-22,7.36,7.39,6.75,6.83,180426,0
2010-01-25,6.92,6.95,6.58,6.62,151527,0
2010-01-26,6.62,6.83,6.36,6.5,196442,0
2010-01-27,6.43,7.05,6.43,6.61,223779,0
2010-01-28,6.65,6.65,6.3,6.31,168252,0
2010-01-29,6.33,6.51,6.14,6.27,155880,0
2010-02-01,6.24,6.84,6.24,6.77,321677,0
2010-02-02,7.5,8.8,7.45,7.96,3042970,0
2010-02-03,7.89,8.5,7.77,8.41,634052,0
2010-02-04,8.25,8.26,7.61,7.7,347758,0
2010-02-05,7.69,8.06,7.56,8.05,179270,0
2010-02-08,8.08,8.11,7.76,7.76,211926,0
2010-02-09,7.95,8.19,7.86,8.04,190322,0
2010-02-10,7.98,8.21,7.84,8.13,137322,0
2010-02-11,8.08,8.21,7.87,8.18,161290,0
2010-02-12,8.04,8.23,7.99,8.11,177886,0
2010-02-16,8.23,8.32,8.14,8.31,102992,0
2010-02-17,8.22,8.59,8.2,8.53,199320,0
2010-02-18,8.49,8.58,8.4,8.53,94873,0
2010-02-19,8.51,9.31,8.37,9.13,514593,0
2010-02-22,9.25,9.53,8.73,8.8,263877,0
2010-02-23,8.75,8.88,8.4,8.41,150767,0
2010-02-24,8.48,8.7,8.28,8.37,109312,0
2010-02-25,8.27,8.27,7.97,8.15,174358,0
2010-02-26,8.19,8.24,7.92,7.96,179585,0
2010-03-01,8.03,8.51,8.03,8.49,289820,0
2010-03-02,8.5,8.51,8.33,8.46,146123,0
2010-03-03,8.51,8.76,8.33,8.38,189440,0
2010-03-04,8.39,8.45,8.25,8.42,97079,0
2010-03-05,8.5,9.16,8.49,9.14,241136,0
2010-03-08,9.11,9.11,8.62,8.8,161785,0
2010-03-09,8.79,9.23,8.7,9,265731,0
2010-03-10,8.97,9.23,8.9,8.99,152518,0
2010-03-11,8.91,8.99,8.78,8.93,81624,0
2010-03-12,8.98,8.98,8.55,8.66,111355,0
2010-03-15,8.66,8.66,8.31,8.37,130675,0
2010-03-16,8.45,8.57,8.28,8.53,59979,0
2010-03-17,8.59,8.72,8.42,8.45,87965,0
2010-03-18,8.49,8.49,8.27,8.31,62457,0
2010-03-19,8.39,8.54,7.81,7.9,289361,0
2010-03-22,7.84,8.18,7.79,8.15,121538,0
2010-03-23,8.17,8.47,8.11,8.45,95934,0
2010-03-24,8.4,8.44,8.19,8.19,93283,0
2010-03-25,8.32,8.65,8.27,8.56,152123,0
2010-03-26,8.58,8.59,8.36,8.53,103671,0
2010-03-29,8.58,8.69,8.5,8.63,74830,0
2010-03-30,8.62,8.75,8.59,8.72,107703,0
2010-03-31,8.63,8.84,8.55,8.6,215981,0
2010-04-01,8.7,8.87,8.44,8.78,165296,0
2010-04-05,8.83,9,8.69,9,184671,0
2010-04-06,8.88,9,8.84,8.95,104288,0
2010-04-07,8.9,9.02,8.68,8.93,134598,0
2010-04-08,8.84,9,8.81,8.96,86582,0
2010-04-09,8.96,8.96,8.67,8.69,449101,0
2010-04-12,8.7,8.8,8.55,8.73,197613,0
2010-04-13,8.72,8.83,8.56,8.83,77525,0
2010-04-14,8.9,9.58,8.89,9.58,311028,0
2010-04-15,9.58,9.79,9.42,9.64,197415,0
2010-04-16,9.59,9.89,9.59,9.8,430435,0
2010-04-19,9.73,9.86,9.43,9.62,308566,0
2010-04-20,9.73,9.88,9.55,9.84,155876,0
2010-04-21,9.86,10.08,9.5,9.78,266639,0
2010-04-22,9.61,9.9,9.49,9.72,336840,0
2010-04-23,9.73,9.9,9.56,9.89,296493,0
2010-04-26,9.9,10.1,9.72,9.97,354771,0
2010-04-27,9.9,10.05,9.55,9.9,219059,0
2010-04-28,10,10.6,9.93,10.58,282626,0
2010-04-29,10.54,10.98,10.42,10.93,314798,0
2010-04-30,10.84,10.89,9.35,9.53,773849,0
2010-05-03,9.59,9.71,9.2,9.29,442311,0
2010-05-04,9.11,9.16,8.67,8.79,389099,0
2010-05-05,8.62,9.12,8.62,8.67,198005,0
2010-05-06,8.6,9,7.8,8.36,201067,0
2010-05-07,8.34,8.68,7.95,8.17,308780,0
2010-05-10,8.78,9.01,8.57,8.99,316917,0
2010-05-11,8.83,9.11,8.66,8.93,200508,0
2010-05-12,9.01,9.87,8.95,9.8,218991,0
2010-05-13,9.79,9.9,9.63,9.74,188288,0
2010-05-14,9.54,9.63,9.09,9.3,175137,0
2010-05-17,9.38,9.58,8.97,9.28,207295,0
2010-05-18,9.48,9.52,8.84,8.93,114272,0
2010-05-19,8.87,9.14,8.68,8.87,84422,0
2010-05-20,8.48,8.52,8.02,8.13,215761,0
2010-05-21,7.94,8.73,7.83,8.51,225811,0
2010-05-24,8.46,8.58,8.27,8.31,141617,0
2010-05-25,8.22,8.41,7.65,8.31,138585,0
2010-05-26,8.42,8.62,8.26,8.37,172140,0
2010-05-27,8.72,9.19,8.6,9.19,136791,0
2010-05-28,9.11,9.11,8.73,8.88,160702,0
2010-06-01,8.69,8.89,8.42,8.45,135101,0
2010-06-02,8.5,9.09,8.3,9.09,179600,0
2010-06-03,9.11,9.44,8.95,9.31,136873,0
2010-06-04,8.87,9.04,8.44,8.46,215657,0
2010-06-07,8.52,8.66,7.97,7.99,154909,0
2010-06-08,8.07,8.2,7.56,7.8,187092,0
2010-06-09,7.9,7.98,7.55,7.77,216945,0
2010-06-10,8.08,8.25,7.89,8.23,184441,0
2010-06-11,8.05,8.72,7.49,8.72,171229,0
2010-06-14,8.76,8.95,8.37,8.48,210036,0
2010-06-15,8.59,8.99,8.29,8.94,280312,0
2010-06-16,8.69,9.13,8.39,8.99,141880,0
2010-06-17,9.02,9.1,8.74,8.89,78755,0
2010-06-18,8.96,9.09,8.36,8.67,202480,0
2010-06-21,8.89,8.89,8.25,8.36,137607,0
2010-06-22,8.4,8.55,8.24,8.26,144392,0
2010-06-23,8.26,8.32,8.09,8.12,178942,0
2010-06-24,8.03,8.23,8,8.07,100498,0
2010-06-25,8.12,8.32,8,8.25,967750,0
2010-06-28,8.29,8.4,8.1,8.17,164258,0
2010-06-29,7.92,7.96,7.55,7.64,304622,0
2010-06-30,7.66,7.83,7.51,7.55,204078,0
2010-07-01,7.54,7.64,7.1,7.36,244179,0
2010-07-02,7.43,7.44,7.21,7.25,129220,0
2010-07-06,7.49,7.5,7.02,7.29,219191,0
2010-07-07,7.32,7.57,7.25,7.54,215053,0
2010-07-08,7.68,7.86,7.44,7.63,201578,0
2010-07-09,7.58,7.79,7.51,7.74,232912,0
2010-07-12,7.67,7.89,7.64,7.72,116024,0
2010-07-13,7.9,8.13,7.85,7.99,289073,0
2010-07-14,7.95,8.49,7.95,8.49,263748,0
2010-07-15,8.55,8.56,8,8.18,209369,0
2010-07-16,8.04,8.13,7.58,7.6,174979,0
2010-07-19,7.63,7.9,7.43,7.66,98432,0
2010-07-20,7.47,7.83,7.26,7.79,143421,0
2010-07-21,7.9,7.9,7.46,7.47,117171,0
2010-07-22,7.66,8.15,7.66,8.12,109951,0
2010-07-23,8.02,8.59,7.94,8.58,132635,0
2010-07-26,8.59,8.8,7.82,8.79,132928,0
2010-07-27,8.88,9.07,8.48,8.55,178406,0
2010-07-28,8.51,8.6,8.21,8.23,115589,0
2010-07-29,8.33,8.42,8,8.34,140998,0
2010-07-30,8.12,8.76,7.98,8.64,256551,0
2010-08-02,8.8,8.9,8.59,8.87,219288,0
2010-08-03,9.37,9.71,8.97,9.27,504022,0
2010-08-04,9.35,9.58,9.17,9.51,238229,0
2010-08-05,9.32,9.66,9.08,9.09,175831,0
2010-08-06,8.9,9.26,8.66,9.02,142471,0
2010-08-09,9.17,9.42,9.04,9.27,242404,0
2010-08-10,9.09,9.23,8.86,9,156684,0
2010-08-11,8.8,8.86,8.37,8.56,206161,0
2010-08-12,8.35,8.9,8.3,8.71,212817,0
2010-08-13,8.67,8.94,8.6,8.61,125273,0
2010-08-16,8.55,8.71,8.35,8.47,102759,0
2010-08-17,8.61,8.93,8.59,8.8,104569,0
2010-08-18,8.76,9.15,8.55,9.08,141704,0
2010-08-19,8.99,9.06,8.51,8.58,155949,0
2010-08-20,8.6,8.66,8.4,8.61,145489,0
2010-08-23,8.66,8.82,8.37,8.47,114073,0
2010-08-24,8.3,8.57,8.08,8.35,121545,0
2010-08-25,8.27,8.38,8.02,8.36,144118,0
2010-08-26,8.45,8.54,7.98,8.02,107212,0
2010-08-27,8.19,8.33,7.84,8.31,119297,0
2010-08-30,8.28,8.54,8.28,8.36,157473,0
2010-08-31,8.36,8.53,7.77,7.91,329640,0
2010-09-01,8.19,8.3,7.9,8.27,262912,0
2010-09-02,8.24,8.68,8.08,8.6,189376,0
2010-09-03,8.74,8.78,8.34,8.53,131594,0
2010-09-07,8.45,8.45,8.08,8.1,121714,0
2010-09-08,8.16,8.25,7.94,8,131255,0
2010-09-09,8.18,8.19,7.65,7.7,165016,0
2010-09-10,7.73,7.83,7.52,7.59,85754,0
2010-09-13,7.72,8,7.68,7.88,170480,0
2010-09-14,7.59,7.89,7.4,7.76,249968,0
2010-09-15,7.72,8.01,7.56,7.86,288943,0
2010-09-16,7.87,7.93,7.6,7.8,118763,0
2010-09-17,7.94,8.1,7.53,7.94,224200,0
2010-09-20,7.95,8.3,7.77,8.26,105783,0
2010-09-21,8.28,8.39,8.15,8.15,80414,0
2010-09-22,8.13,8.19,7.91,8.13,190604,0
2010-09-23,8.02,8.35,7.88,7.99,214656,0
2010-09-24,8.18,8.68,8.1,8.6,221305,0
2010-09-27,8.58,8.6,8.1,8.2,292557,0
2010-09-28,8.22,8.41,7.95,8.31,210475,0
2010-09-29,8.25,8.58,8.02,8.33,297581,0
2010-09-30,8.44,8.44,8.1,8.31,301595,0
2010-10-01,8.41,8.41,7.96,8.15,185289,0
2010-10-04,8.09,8.18,7.96,7.99,127217,0
2010-10-05,8.13,8.3,7.97,8.12,286700,0
2010-10-06,8.18,8.38,8.06,8.25,216216,0
2010-10-07,8.26,8.28,7.83,7.98,180068,0
2010-10-08,8.01,8.01,7.71,7.88,562742,0
2010-10-11,7.85,7.89,7.73,7.74,140524,0
2010-10-12,7.72,7.81,7.54,7.77,133702,0
2010-10-13,7.82,7.95,7.71,7.85,230426,0
2010-10-14,7.81,7.95,7.61,7.7,186294,0
2010-10-15,7.84,7.84,7.44,7.66,304047,0
