Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,8.4,9,8.05,8.85,79207,0
2010-01-05,9.05,9.2,8.65,9,59558,0
2010-01-06,9.15,9.2,8.85,9.1,36922,0
2010-01-07,9.1,10.5,9,9.8,122539,0
2010-01-08,9.7,10.3,9.5,10.2,61816,0
2010-01-11,10.05,10.25,9.8,10,145373,0
2010-01-12,10,10.1,9.65,10.05,16272,0
2010-01-13,10.05,10.05,9.75,9.8,23454,0
2010-01-14,9.55,10.05,9.55,10.05,38229,0
2010-01-15,10.15,10.2,9.7,9.95,50072,0
2010-01-19,10,10.2,9.6,9.9,16502,0
2010-01-20,9.7,9.95,9.6,9.85,31520,0
2010-01-21,9.95,10,9.3,9.75,53515,0
2010-01-22,9.45,9.45,8.7,8.8,149946,0
2010-01-25,9,9.5,8.9,9.1,52599,0
2010-01-26,9.1,9.25,8.75,8.75,29563,0
2010-01-27,8.95,9.25,8.75,8.85,38529,0
2010-01-28,9,9.25,8.65,8.8,55000,0
2010-01-29,8.5,8.5,7.5,7.7,216487,0
2010-02-01,7.75,7.95,7.55,7.6,101283,0
2010-02-02,7.75,7.75,7.4,7.55,51236,0
2010-02-03,7.6,8,7.5,7.5,56355,0
2010-02-04,7.45,7.55,7.05,7.05,57161,0
2010-02-05,7.05,7.15,6.8,7,68531,0
2010-02-08,7.15,7.55,6.85,6.85,74793,0
2010-02-09,6.95,7.3,6.9,6.9,38035,0
2010-02-10,7,7.05,6.95,6.95,56157,0
2010-02-11,7,7.15,6.9,6.9,47072,0
2010-02-12,7,7.2,6.9,7,45585,0
2010-02-16,7.2,7.25,6.9,7,150503,0
2010-02-17,6.9,7,6.75,6.85,107907,0
2010-02-18,6.95,7.9,6.85,7.25,156739,0
2010-02-19,7.1,7.4,7.1,7.25,61091,0
2010-02-22,7.45,7.5,7.15,7.35,46952,0
2010-02-23,7.4,7.55,7.4,7.5,51101,0
2010-02-24,7.5,8.1,7.45,7.7,49678,0
2010-02-25,7.7,7.95,7.55,7.85,59075,0
2010-02-26,8.05,8.05,7.6,7.75,34643,0
2010-03-01,7.9,7.9,7.25,7.7,47374,0
2010-03-02,7.85,8.1,7.6,8.05,43019,0
2010-03-03,8.1,8.25,7.8,8.2,35050,0
2010-03-04,8.45,8.75,8.1,8.5,70148,0
2010-03-05,8.5,9.4,8.45,9,65754,0
2010-03-08,9.1,9.45,8.75,8.9,74958,0
2010-03-09,8.8,8.95,8.45,8.75,69668,0
2010-03-10,8.75,8.75,8.4,8.45,31825,0
2010-03-11,8.45,8.5,7.8,8.5,45147,0
2010-03-12,8.6,8.7,8.4,8.5,43967,0
2010-03-15,8.5,8.55,8.35,8.45,24819,0
2010-03-16,8.4,9.35,8.4,8.95,85220,0
2010-03-17,8.85,9,8.8,8.95,34936,0
2010-03-18,8.95,10,8.9,9.5,220522,0
2010-03-19,9.35,9.7,8.75,8.75,142111,0
2010-03-22,8.8,9.2,8.8,9,58289,0
2010-03-23,9,9.25,8.95,9,58153,0
2010-03-24,8.6,9.1,7.55,8.95,99818,0
2010-03-25,8.95,9.4,8.75,8.85,68201,0
2010-03-26,8.85,9.15,8.55,9.15,62621,0
2010-03-29,8.95,9,8.65,8.95,46055,0
2010-03-30,8.75,8.8,8.55,8.6,47091,0
2010-03-31,8.55,8.95,8.4,8.45,41714,0
2010-04-01,8.75,8.8,8.4,8.7,32444,0
2010-04-05,8.8,8.95,8.6,8.95,33692,0
2010-04-06,8.95,9.15,8.55,8.95,33014,0
2010-04-07,9.05,9.65,8.85,9.4,76967,0
2010-04-08,9.3,9.7,9,9.55,48100,0
2010-04-09,9.6,9.6,9.15,9.2,34755,0
2010-04-12,9.8,11.7,9.8,11,582126,0
2010-04-13,11.5,12.65,10.75,12,425537,0
2010-04-14,12.45,12.85,11.7,12.5,280154,0
2010-04-15,12.5,12.5,10.95,11.55,212265,0
2010-04-16,12,12.05,11,11.5,189767,0
2010-04-19,11.05,11.35,9.1,9.9,346623,0
2010-04-20,10,10.3,9.75,10,108206,0
2010-04-21,10,10.75,9.3,9.75,320650,0
2010-04-22,11,11.15,9.7,9.8,952974,0
2010-04-23,10.4,11.25,9.95,10.6,1293002,0
2010-04-26,11.35,11.35,9.65,10.15,717943,0
2010-04-27,10.25,10.75,9.8,10.1,195732,0
2010-04-28,10.1,10.95,10.1,10.15,203083,0
2010-04-29,10.2,10.8,9.9,10.7,184303,0
2010-04-30,10.9,11.25,10.5,10.9,215224,0
2010-05-03,11.1,11.15,10.45,11.15,141024,0
2010-05-04,11.25,11.25,10.5,11.05,117305,0
2010-05-05,11.5,12,11.1,11.45,535811,0
2010-05-06,11.7,11.7,9.75,10.6,287681,0
2010-05-07,11,11.4,10,11.05,202369,0
2010-05-10,11.5,11.5,10.95,11.05,152786,0
2010-05-11,11.2,11.3,10.9,11.05,111376,0
2010-05-12,11.3,11.9,11.2,11.75,343434,0
2010-05-13,12,12,11.4,11.6,137464,0
2010-05-14,11.6,11.6,10.85,10.95,132647,0
2010-05-17,11.15,11.15,10.3,10.6,119540,0
2010-05-18,10.6,10.8,9.8,10,147510,0
2010-05-19,9.75,10,9.15,9.3,203085,0
2010-05-20,8.75,9.1,8.35,9,215526,0
2010-05-21,8.75,9.65,8.75,9.65,97031,0
2010-05-24,9.5,9.65,8.75,9.05,115258,0
2010-05-25,8.75,9.05,8.5,8.8,127913,0
2010-05-26,8.75,9,8.4,8.45,108467,0
2010-05-27,8.45,9.4,8.25,9.15,199034,0
2010-05-28,9.05,9.5,8.85,9.45,154399,0
2010-06-01,9.1,9.3,9,9.15,80911,0
2010-06-02,9.05,9.65,8.95,9.65,66975,0
2010-06-03,9.45,9.5,9,9.25,45110,0
2010-06-04,8.9,9.3,8.55,8.8,82990,0
2010-06-07,8.7,8.8,7.65,7.85,125867,0
2010-06-08,7.85,8.05,7.25,7.4,295146,0
2010-06-09,8.3,8.3,7,7,106383,0
2010-06-10,7.4,7.6,7.15,7.25,63092,0
2010-06-11,7.45,7.7,7.3,7.45,27704,0
2010-06-14,7.45,7.5,7,7.3,64235,0
2010-06-15,7.15,7.35,7.1,7.15,82224,0
2010-06-16,7.25,7.55,6.85,6.85,84121,0
2010-06-17,7.05,7.1,6.55,7,120669,0
2010-06-18,6.85,7.5,6.85,7.5,90795,0
2010-06-21,7.5,7.85,7.15,7.85,67370,0
2010-06-22,7.65,7.7,7.2,7.2,39869,0
2010-06-23,7.2,7.4,7.2,7.25,51481,0
2010-06-24,7.2,7.25,6.7,6.7,108859,0
2010-06-25,6.9,7.1,6.75,6.85,103759,0
2010-06-28,6.9,7,6.5,6.75,91653,0
2010-06-29,6.7,6.75,6.05,6.4,144007,0
2010-06-30,6.5,6.7,6.25,6.65,81676,0
2010-07-01,6.8,6.8,6.25,6.3,64336,0
2010-07-02,6.4,6.6,6.3,6.3,37937,0
2010-07-06,6.3,6.75,6.3,6.7,53318,0
2010-07-07,6.75,6.85,6.4,6.7,20970,0
2010-07-08,6.6,7,6.5,6.9,24211,0
2010-07-09,7,7,6.65,6.95,9528,0
2010-07-12,7.1,7.25,6.95,7.2,18012,0
2010-07-13,7.25,7.45,7.2,7.4,34230,0
2010-07-14,7.3,7.45,7,7,11340,0
2010-07-15,7,7.25,6.95,6.95,8622,0
2010-07-16,6.9,6.95,6.7,6.75,17188,0
2010-07-19,7,7,6.5,6.5,14960,0
2010-07-20,6.65,7,6.55,6.55,15772,0
2010-07-21,6.7,6.75,6.55,6.6,13109,0
2010-07-22,6.75,6.85,6.45,6.7,125332,0
2010-07-23,6.4,6.6,6.3,6.3,118504,0
2010-07-26,6.35,6.35,5.5,5.85,151056,0
2010-07-27,6,6.15,5.8,6,85474,0
2010-07-28,6.1,6.2,5.9,6.1,32482,0
2010-07-29,6.3,6.35,6.05,6.05,130799,0
2010-07-30,6.15,6.9,6,6.8,75246,0
2010-08-02,6.9,6.9,6.3,6.7,58669,0
2010-08-03,6.7,6.7,6.3,6.3,27935,0
2010-08-04,6.3,6.5,6.1,6.1,32606,0
2010-08-05,6.1,6.8,6.1,6.75,36634,0
2010-08-06,6.75,6.8,6.3,6.4,19580,0
2010-08-09,6.6,6.6,6.4,6.4,8089,0
2010-08-10,6.25,6.6,6.25,6.35,17191,0
2010-08-11,6.35,6.45,6.1,6.1,13694,0
2010-08-12,6,6.5,6,6.5,38556,0
2010-08-13,6.5,6.5,6.1,6.2,11211,0
2010-08-16,6.15,6.5,6,6,20145,0
2010-08-17,6,6.3,6,6.2,7287,0
2010-08-18,6.2,6.35,6.15,6.3,7665,0
2010-08-19,6.3,6.4,6.25,6.4,21816,0
2010-08-20,6.4,6.4,6.1,6.1,25285,0
2010-08-23,6,6.35,6,6.15,19760,0
2010-08-24,6,6.6,6,6.05,41793,0
2010-08-25,6.2,6.25,5.8,5.85,101816,0
2010-08-26,5.8,5.95,5.6,5.6,17231,0
