Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,2.9047,3.3679,2.89,3.2783,1234001,0
2010-01-05,3.2486,3.5995,3.1066,3.5247,1379805,0
2010-01-06,3.5548,3.607,3.4874,3.5769,1074716,0
2010-01-07,3.5769,3.5918,3.3755,3.4203,688374,0
2010-01-08,3.4352,3.4575,3.3381,3.4277,250129,0
2010-01-11,3.4575,3.5394,3.4128,3.4575,403299,0
2010-01-12,3.4352,3.5324,3.2934,3.4051,339006,0
2010-01-13,3.4427,3.5247,3.4128,3.5247,602311,0
2010-01-14,3.4874,3.5247,3.4575,3.5247,347544,0
2010-01-15,3.5247,3.5247,3.2707,3.4203,608332,0
2010-01-19,3.4203,3.7563,3.4203,3.7489,2109946,0
2010-01-20,3.7118,3.7563,3.4724,3.4874,1011187,0
2010-01-21,3.4874,3.5324,3.3083,3.3306,891425,0
2010-01-22,3.3306,3.5174,3.1886,3.4724,810216,0
2010-01-25,3.5247,3.6889,3.3755,3.6889,811195,0
2010-01-26,3.659,3.7341,3.5099,3.6219,492635,0
2010-01-27,3.5473,3.6668,3.4724,3.659,544274,0
2010-01-28,3.6739,3.7186,3.5024,3.659,401385,0
2010-01-29,3.6817,3.7118,3.5699,3.5769,551620,0
2010-02-01,3.607,3.9581,3.5995,3.9279,2553749,0
2010-02-02,3.943,4.0701,3.8906,3.9802,862997,0
2010-02-03,3.9727,4.0177,3.786,3.801,660773,0
2010-02-04,3.7563,3.9505,3.6219,3.8087,1105669,0
2010-02-05,3.801,3.801,3.5622,3.6739,574831,0
2010-02-08,3.6817,3.8161,3.5247,3.5394,704831,0
2010-02-09,3.6519,3.8609,3.5324,3.8459,610501,0
2010-02-10,3.8087,3.8087,3.5918,3.6368,499055,0
2010-02-11,3.6441,3.7939,3.5846,3.7712,543828,0
2010-02-12,3.7186,3.7489,3.6368,3.7341,368380,0
2010-02-16,3.7939,3.9279,3.7265,3.9056,617822,0
2010-02-17,4.0025,4.3908,3.9581,4.0849,1912352,0
2010-02-18,4.0701,4.167,3.9727,4.0922,654250,0
2010-02-19,4.0998,4.0998,3.9056,3.9878,534317,0
2010-02-22,3.9953,4.0625,3.801,3.8161,512446,0
2010-02-23,3.8234,3.8234,3.5995,3.607,598472,0
2010-02-24,3.607,3.7186,3.5769,3.5846,517796,0
2010-02-25,3.5473,3.6963,3.4874,3.6142,718042,0
2010-02-26,3.607,3.7413,3.5394,3.5548,562941,0
2010-03-01,3.5247,3.7186,3.3755,3.5846,1461475,0
2010-03-02,3.5846,3.9581,3.5769,3.6739,2570167,0
2010-03-03,3.7118,3.8087,3.6142,3.7265,1019050,0
2010-03-04,3.7489,3.9279,3.6368,3.786,686284,0
2010-03-05,3.801,3.9279,3.7787,3.9131,751686,0
2010-03-08,3.9131,3.9653,3.786,3.943,951014,0
2010-03-09,3.943,4.0772,3.9279,4.0177,579170,0
2010-03-10,4.0254,4.0922,3.8532,3.9056,823732,0
2010-03-11,3.8759,4.0772,3.8682,4.0548,737916,0
2010-03-12,4.0772,4.1295,4.0326,4.0772,985389,0
2010-03-15,4.0548,4.0548,3.8906,3.8981,622637,0
2010-03-16,3.9355,4.0254,3.8682,4.0025,487404,0
2010-03-17,4.0474,4.0772,3.9727,4.0025,714574,0
2010-03-18,3.9653,4.0177,3.8234,3.8459,459755,0
2010-03-19,3.8386,3.8459,3.607,3.6219,1248743,0
2010-03-22,3.5918,3.7186,3.4651,3.5918,783760,0
2010-03-23,3.5846,3.6293,3.5024,3.6219,448022,0
2010-03-24,3.5918,3.6219,3.4949,3.5024,335988,0
2010-03-25,3.5247,3.5769,3.3826,3.3903,653427,0
2010-03-26,3.3453,3.5918,3.3381,3.4051,1202520,0
2010-03-29,3.4128,3.5324,3.4128,3.4724,669793,0
2010-03-30,3.4724,3.5769,3.4724,3.5622,510880,0
2010-03-31,3.5473,3.6817,3.5099,3.5995,911431,0
2010-04-01,3.6293,3.801,3.607,3.7787,624725,0
2010-04-05,3.786,3.9653,3.786,3.9581,585270,0
2010-04-06,3.943,3.9802,3.8532,3.943,383050,0
2010-04-07,3.943,4.04,3.8682,4.04,629764,0
2010-04-08,4.0254,4.0772,3.9505,4.0474,704141,0
2010-04-09,4.0701,4.1522,3.9653,4.1445,387635,0
2010-04-12,4.1522,4.421,4.1445,4.3537,1103082,0
2010-04-13,4.3387,4.4135,4.2639,4.3908,517130,0
2010-04-14,4.4284,4.7644,4.3836,4.7345,1497036,0
2010-04-15,4.7494,4.8839,4.6824,4.7942,1076793,0
