Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,2.35,2.6,2.35,2.6,397592,0
2010-01-05,2.6,2.72,2.52,2.54,606483,0
2010-01-06,2.52,2.62,2.46,2.46,346577,0
2010-01-07,2.46,2.52,2.46,2.5,133007,0
2010-01-08,2.56,2.62,2.48,2.53,191545,0
2010-01-11,2.77,2.83,2.68,2.77,559471,0
2010-01-12,3.15,3.17,2.92,2.95,1501407,0
2010-01-13,2.93,3,2.83,2.88,532110,0
2010-01-14,2.89,2.91,2.85,2.9,279530,0
2010-01-15,2.92,2.92,2.76,2.78,344835,0
2010-01-19,2.82,2.99,2.82,2.92,645790,0
2010-01-20,2.92,3.07,2.92,2.96,559242,0
2010-01-21,3.04,3.07,2.88,2.91,490809,0
2010-01-22,2.89,2.91,2.62,2.67,607342,0
2010-01-25,2.7,2.81,2.61,2.76,554430,0
2010-01-26,2.73,2.76,2.62,2.68,410594,0
2010-01-27,2.64,2.8,2.62,2.64,296289,0
2010-01-28,2.66,2.73,2.63,2.67,246451,0
2010-01-29,2.67,2.67,2.61,2.64,276084,0
2010-02-01,2.69,2.75,2.62,2.75,411263,0
2010-02-02,2.75,2.84,2.71,2.83,397840,0
2010-02-03,2.83,2.85,2.67,2.69,282444,0
2010-02-04,2.68,2.71,2.61,2.61,289384,0
2010-02-05,2.61,2.7,2.51,2.68,224580,0
2010-02-08,2.79,2.79,2.68,2.7,216918,0
2010-02-09,2.73,2.73,2.56,2.57,366741,0
2010-02-10,2.6,2.69,2.56,2.65,342837,0
2010-02-11,2.65,2.97,2.65,2.93,562355,0
2010-02-12,2.85,2.91,2.81,2.91,290611,0
2010-02-16,2.93,2.96,2.86,2.94,354685,0
2010-02-17,2.96,3.03,2.94,3,370256,0
2010-02-18,3.01,3.11,3.01,3.1,333053,0
2010-02-19,3.1,3.4,3.03,3.35,931706,0
2010-02-22,3.42,3.55,3.35,3.46,655234,0
2010-02-23,3.47,3.51,3.28,3.37,558224,0
2010-02-24,3.38,3.45,3.3,3.34,338083,0
2010-02-25,3.3,3.32,3.15,3.31,361908,0
2010-02-26,3.31,3.31,3.17,3.29,303752,0
2010-03-01,3.4,3.52,3.37,3.49,571925,0
2010-03-02,3.55,3.57,3.49,3.5,439380,0
2010-03-03,3.7,3.71,3.53,3.58,676040,0
2010-03-04,3.6,3.63,3.53,3.57,271352,0
2010-03-05,3.54,3.62,3.5,3.55,397953,0
2010-03-08,3.57,3.74,3.56,3.68,550596,0
2010-03-09,3.68,3.79,3.67,3.7,292842,0
2010-03-10,3.72,3.85,3.7,3.8,535847,0
2010-03-11,3.84,3.87,3.76,3.81,343889,0
2010-03-12,3.82,3.82,3.75,3.77,224674,0
2010-03-15,3.8,3.88,3.77,3.86,306931,0
2010-03-16,3.88,4.05,3.76,4.05,717856,0
2010-03-17,4.09,4.3,4.09,4.19,903659,0
2010-03-18,4.22,4.25,3.89,3.99,824115,0
2010-03-19,3.99,3.99,3.6,3.75,1193867,0
2010-03-22,3.7,3.85,3.65,3.8,449493,0
2010-03-23,3.81,3.91,3.77,3.83,478497,0
2010-03-24,3.8,3.84,3.65,3.69,688907,0
2010-03-25,4.25,4.25,3.93,3.95,2250375,0
2010-03-26,4.02,4.07,3.8,3.85,694707,0
2010-03-29,3.92,3.95,3.71,3.8,492765,0
2010-03-30,3.8,3.81,3.69,3.71,448638,0
2010-03-31,3.75,3.78,3.41,3.53,1098293,0
2010-04-01,3.53,3.59,3.5,3.53,394491,0
