Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,5.3437,5.5168,5.3025,5.5081,276270,0
2010-01-05,5.4835,5.4835,5.2613,5.2942,403940,0
2010-01-06,5.3025,5.3188,5.1381,5.179,426501,0
2010-01-07,5.1873,5.3519,5.179,5.3437,369592,0
2010-01-08,5.3108,5.4013,5.2778,5.4013,331254,0
2010-01-11,5.4095,5.5907,5.3928,5.5249,388919,0
2010-01-12,5.5001,5.5826,5.4425,5.5577,544463,0
2010-01-13,5.5907,5.6071,5.5168,5.5742,1027595,0
2010-01-14,5.5742,5.6896,5.5577,5.6403,299292,0
2010-01-15,5.6731,5.6731,5.5577,5.5826,659634,0
2010-01-19,5.6071,5.7388,5.5658,5.7223,854589,0
2010-01-20,5.6403,5.7062,5.5907,5.6896,359943,0
2010-01-21,5.6646,5.7062,5.5907,5.6071,591997,0
2010-01-22,5.5826,5.6976,5.5658,5.6153,1201636,0
2010-01-25,5.6483,5.7964,5.6153,5.7799,984566,0
2010-01-26,5.7964,5.8709,5.6731,5.6976,843258,0
2010-01-27,5.6568,5.7719,5.6318,5.7719,347215,0
2010-01-28,5.7635,5.8377,5.6976,5.7719,592796,0
2010-01-29,5.8214,5.8872,5.7473,5.8295,543132,0
2010-02-01,5.8709,5.8789,5.7635,5.7799,424058,0
2010-02-02,5.7635,5.8709,5.7388,5.8129,417861,0
2010-02-03,5.7799,5.8541,5.7062,5.7635,428694,0
2010-02-04,5.7062,5.7307,5.5742,5.5987,765132,0
2010-02-05,5.6236,5.6236,5.4919,5.6236,421770,0
2010-02-08,5.5826,5.6071,5.4508,5.5413,721612,0
2010-02-09,5.6071,5.7882,5.5577,5.6976,633925,0
2010-02-10,5.6483,5.6896,5.5577,5.6483,2987636,0
2010-02-11,5.6812,5.7223,5.6071,5.7062,687575,0
2010-02-12,5.6646,5.7142,5.6153,5.6976,695059,0
2010-02-16,5.7473,5.7964,5.6646,5.7223,1275833,0
2010-02-17,5.7799,5.8214,5.6812,5.8129,366609,0
2010-02-18,5.8129,5.8295,5.7062,5.7223,316790,0
2010-02-19,5.7142,5.7388,5.6731,5.7062,286635,0
2010-02-22,5.7223,5.7388,5.6318,5.6646,371742,0
2010-02-23,5.6646,5.6731,5.5001,5.5001,311529,0
