Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,18.394,18.747,18.394,18.747,19994,0
2010-01-05,18.465,18.677,18.324,18.43,2757,0
2010-01-06,18.394,18.394,18.288,18.288,990,0
2010-01-07,18.288,18.394,18.189,18.394,14347,0
2010-01-08,18.571,18.606,18.324,18.563,12192,0
2010-01-11,18.394,18.641,18.111,18.224,13606,0
2010-01-12,17.97,18.04,17.758,17.793,13468,0
2010-01-13,17.828,18.146,17.687,18.146,10602,0
2010-01-14,17.793,17.828,17.758,17.758,5232,0
2010-01-15,17.545,17.828,17.545,17.793,6925,0
2010-01-19,17.121,17.297,16.978,17.114,15223,0
2010-01-20,17.014,17.014,15.919,16.484,38127,0
2010-01-21,16.767,16.908,16.328,16.328,5405,0
2010-01-22,15.996,16.378,15.812,16.025,8582,0
2010-01-25,16.449,16.449,16.13,16.222,8180,0
2010-01-26,15.775,16.272,15.74,15.919,16430,0
2010-01-27,16.201,16.342,15.861,15.989,21124,0
2010-01-28,16.449,16.526,15.919,15.954,25486,0
2010-01-29,16.095,16.449,16.06,16.13,9660,0
2010-02-01,16.272,16.342,16.06,16.201,4970,0
2010-02-02,16.626,17.191,16.59,16.767,21063,0
2010-02-03,17.107,17.107,16.978,16.978,2352,0
2010-02-04,16.307,16.307,15.812,16.095,25967,0
2010-02-05,15.211,15.634,15.033,15.352,35055,0
2010-02-08,15.104,15.634,15.104,15.387,2868,0
2010-02-09,15.882,15.919,15.67,15.67,12157,0
2010-02-10,15.775,15.775,15.493,15.493,4164,0
2010-02-11,15.614,15.989,15.614,15.989,20197,0
2010-02-12,15.175,15.309,15.069,15.139,27459,0
2010-02-16,15.033,15.634,14.751,15.387,16171,0
2010-02-17,15.387,15.387,15.281,15.387,39902,0
2010-02-18,14.822,15.033,14.716,14.871,34353,0
2010-02-19,15.458,15.634,15.175,15.634,13708,0
2010-02-22,15.564,15.67,15.423,15.634,11802,0
2010-02-23,15.599,15.634,15.317,15.493,8268,0
2010-02-24,15.493,15.634,15.317,15.458,45301,0
2010-02-25,14.963,15.564,14.716,15.281,58322,0
2010-02-26,15.954,16.449,15.954,16.449,32893,0
2010-03-01,16.555,16.732,16.449,16.52,37584,0
2010-03-02,16.449,16.732,16.378,16.449,16862,0
2010-03-03,16.307,16.626,16.166,16.626,18391,0
2010-03-04,16.767,16.837,16.342,16.52,22516,0
2010-03-05,16.837,17.05,16.626,16.873,26265,0
2010-03-08,17.05,17.05,16.661,16.661,11754,0
2010-03-09,16.449,18.04,16.342,16.626,15335,0
2010-03-10,16.696,17.191,16.696,17.156,7374,0
2010-03-11,17.156,17.332,16.978,17.156,15528,0
2010-03-12,17.687,17.687,17.227,17.404,10676,0
2010-03-15,16.661,16.978,16.427,16.626,57514,0
2010-03-16,16.732,16.767,16.696,16.732,8761,0
2010-03-17,16.837,16.978,16.555,16.696,15974,0
2010-03-18,16.626,16.626,16.307,16.555,12554,0
2010-03-19,16.462,16.661,16.413,16.555,3053,0
2010-03-22,16.25,16.307,16.236,16.307,9116,0
2010-03-23,16.449,16.873,16.449,16.873,14828,0
2010-03-24,16.449,16.626,16.378,16.626,18992,0
2010-03-25,16.413,16.484,16.378,16.413,12578,0
2010-03-26,16.06,16.272,15.954,16.095,12827,0
2010-03-29,16.342,16.413,16.201,16.413,11153,0
2010-03-30,16.272,16.272,16.025,16.025,69474,0
2010-03-31,16.626,16.696,16.342,16.626,18851,0
2010-04-01,16.661,17.156,16.378,16.802,17828,0
2010-04-05,17.156,17.156,16.449,16.943,20775,0
2010-04-06,17.332,17.687,17.297,17.616,46894,0
2010-04-07,17.616,17.864,17.156,17.651,21402,0
2010-04-08,17.262,17.58,17.156,17.58,38212,0
2010-04-09,17.687,18.181,17.665,18.04,37742,0
2010-04-12,18.394,18.5,18.181,18.43,30422,0
2010-04-13,18.04,18.181,17.545,17.934,64782,0
2010-04-14,18.111,18.535,18.04,18.535,35430,0
2010-04-15,19.031,19.37,18.712,19.228,1870854,0
2010-04-16,18.664,18.84,18.373,18.479,2153782,0
2010-04-19,17.97,18.324,17.955,18.048,962011,0
2010-04-20,18.408,19.044,18.401,18.79,1823048,0
2010-04-21,18.649,18.847,18.586,18.627,1046587,0
2010-04-22,18.606,19.597,18.401,19.251,1705852,0
2010-04-23,19.16,20.094,19.088,19.574,1784979,0
2010-04-26,19.597,19.865,19.342,19.688,1155444,0
2010-04-27,19.109,19.455,18.747,18.762,1468363,0
2010-04-28,18.635,18.776,18.359,18.627,1300690,0
2010-04-29,18.896,19.165,18.635,18.925,1888723,0
2010-04-30,18.571,18.712,17.821,17.871,3032079,0
2010-05-03,18.288,18.528,17.92,18.401,1848767,0
2010-05-04,17.672,17.786,17.234,17.332,1569876,0
2010-05-05,16.689,17.354,16.399,16.9,1848225,0
2010-05-06,16.512,16.681,14.397,15.677,2422641,0
2010-05-07,15.911,16.08,15.125,15.465,1714659,0
2010-05-10,17.021,17.121,16.618,16.86,1840304,0
2010-05-11,16.321,16.9,16.194,16.512,1129238,0
2010-05-12,16.887,16.978,16.59,16.661,969051,0
2010-05-13,16.865,16.978,16.286,16.547,594466,0
2010-05-14,16.498,16.9,16.031,16.172,2682815,0
2010-05-17,16.449,16.477,15.599,15.904,1700552,0
2010-05-18,16.342,16.633,15.508,15.755,1160600,0
2010-05-19,15.331,15.556,14.736,15.217,1570588,0
2010-05-20,14.05,14.807,13.669,14.432,2319004,0
2010-05-21,14.333,15.607,14.213,15.239,928809,0
2010-05-24,15.231,15.486,14.68,14.736,1257180,0
2010-05-25,13.994,15.203,13.973,15.098,1634850,0
2010-05-26,15.755,15.947,15.395,15.521,1157276,0
2010-05-27,15.02,15.74,14.842,15.324,3680434,0
2010-05-28,14.849,14.92,14.376,14.63,1757123,0
2010-06-01,13.732,14.418,13.619,13.661,2824210,0
2010-06-02,14.029,14.786,13.923,14.708,1554370,0
2010-06-03,15.013,15.154,14.729,14.998,1784112,0
2010-06-04,14.468,15.005,14.284,14.411,2585086,0
2010-06-07,14.341,14.411,13.994,14.065,2055293,0
2010-06-08,13.83,14.05,13.336,13.909,3743314,0
2010-06-09,13.959,14.666,13.442,13.583,1664414,0
2010-06-10,14.439,14.786,14.298,14.736,1420741,0
2010-06-11,14.325,14.794,14.284,14.716,1320390,0
2010-06-14,15.43,15.564,15.02,15.239,2299967,0
2010-06-15,14.984,15.267,14.842,15.231,1237160,0
2010-06-16,14.61,15.133,14.51,14.9,1319773,0
2010-06-17,14.822,14.842,14.439,14.575,1450885,0
2010-06-18,14.468,14.723,14.128,14.645,894012,0
2010-06-21,15.09,15.104,14.658,14.744,1070585,0
2010-06-22,14.623,14.92,14.404,14.468,1275196,0
2010-06-23,14.446,14.595,14.043,14.411,1504082,0
2010-06-24,14.27,14.348,13.965,14.022,1713514,0
2010-06-25,13.795,14.008,13.598,13.959,1160746,0
2010-06-28,13.76,13.866,13.52,13.669,1037859,0
2010-06-29,13.251,13.265,12.614,12.799,2370031,0
2010-06-30,12.799,13.265,12.717,12.931,1433763,0
2010-07-01,13.046,13.279,12.6,13.067,1790048,0
2010-07-02,13.498,13.598,13.265,13.498,1095119,0
2010-07-06,14.163,14.383,13.795,13.979,921055,0
2010-07-07,14.065,14.638,14.022,14.63,968953,0
2010-07-08,14.39,14.68,14.248,14.673,1585465,0
2010-07-09,14.51,14.56,14.093,14.333,1907927,0
2010-07-12,14.517,14.822,14.361,14.615,1385858,0
2010-07-13,15.175,15.451,15.139,15.324,2301957,0
2010-07-14,15.203,15.451,15.084,15.387,1102605,0
2010-07-15,15.125,15.182,14.764,15.119,1055641,0
2010-07-16,14.807,14.877,14.503,14.729,1046721,0
2010-07-19,14.849,14.928,14.517,14.764,582978,0
2010-07-20,14.432,14.92,14.404,14.871,762996,0
2010-07-21,15.041,15.211,14.764,14.794,844991,0
2010-07-22,15.246,15.607,15.246,15.521,1104302,0
2010-07-23,15.521,15.805,15.331,15.72,1132888,0
2010-07-26,15.677,16.258,15.614,16.052,1131646,0
