Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,1349.84,1391.14,1348.72,1385.18,502,0
2010-01-05,1381.21,1386.31,1344.43,1375.24,1409,0
2010-01-06,1379.22,1440.83,1356.17,1420.95,703,0
2010-01-07,1430.89,1440.83,1316.61,1324.57,1612,0
2010-01-08,1321.58,1360.83,1321.58,1323.57,502,0
2010-01-11,1331.52,1376.23,1326.55,1366.32,703,0
2010-01-12,1355.37,1377.23,1326.56,1356.37,1206,0
2010-01-13,1266.93,1376.24,1266.93,1351.4,1105,0
2010-01-14,1367.3,1368.28,1301.71,1346.42,1308,0
2010-01-15,1361.33,1361.33,1321.58,1338.48,1105,0
2010-01-19,1346.42,1376.24,1336.49,1336.49,904,0
2010-01-20,1327.56,1346.43,1311.65,1312.65,703,0
2010-01-21,1321.58,1325.56,1266.93,1272.89,502,0
2010-01-22,1291.77,1291.8,1227.19,1232.16,1712,0
2010-01-25,1230.33,1247.06,1160.61,1187.44,2416,0
2010-01-26,1182.48,1237.12,1168.55,1210.29,1206,0
2010-01-27,1207.32,1252.55,1202.38,1230.18,804,0
2010-01-28,1232.15,1246.06,1187.45,1235.13,904,0
2010-01-29,1235.14,1280.85,1212.29,1222.22,1612,0
2010-02-01,1222.21,1282.29,1217.25,1282.29,1206,0
2010-02-02,1253.03,1321.58,1253.03,1296.74,1105,0
2010-02-03,1291.77,1306.69,1242.09,1281.85,1308,0
2010-02-04,1271.9,1271.9,1202.36,1217.24,703,0
2010-02-05,1217.24,1252.03,1197.38,1234.14,1206,0
2010-02-08,1234.13,1247.05,1201.78,1237.12,603,0
2010-02-09,1246.06,1276.87,1245.07,1260.97,603,0
2010-02-10,1252.03,1263.95,1227.19,1261.96,804,0
2010-02-11,1257.01,1301.71,1234.16,1278.86,804,0
2010-02-12,1258.99,1291.77,1233.4,1266.93,1105,0
2010-02-16,1275.6,1306.69,1258.31,1299.73,1612,0
2010-02-17,1306.7,1315.63,1282.51,1304.7,703,0
2010-02-18,1294.75,1305.45,1271.9,1286.81,1511,0
