Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,8.4553,8.6105,8.4553,8.4912,30478,0
2010-01-05,8.5336,8.7383,8.5336,8.6543,41599,0
2010-01-06,8.5827,8.6964,8.5827,8.5971,20043,0
2010-01-07,8.5899,8.5899,8.5408,8.5675,16762,0
2010-01-08,8.5336,8.6964,8.5336,8.6543,37403,0
2010-01-11,8.6964,8.6964,8.5336,8.5899,15460,0
2010-01-12,8.5336,8.5336,8.4987,8.5336,28361,0
2010-01-13,8.4912,8.5408,8.4912,8.5336,14637,0
2010-01-14,8.5408,8.5478,8.5336,8.5408,23583,0
2010-01-15,8.5408,8.5408,8.4912,8.4987,23051,0
2010-01-19,8.5041,8.5827,8.5041,8.5675,14761,0
2010-01-20,8.4763,8.4763,8.363,8.399,8033,0
2010-01-21,8.363,8.4122,8.2293,8.2362,28215,0
2010-01-22,8.1299,8.1513,8.1018,8.1018,5819,0
2010-01-25,8.1513,8.1513,8.0874,8.1163,34940,0
2010-01-26,7.9463,7.9463,7.7906,7.8757,29382,0
2010-01-27,7.805,7.805,7.7696,7.7837,27005,0
2010-01-28,7.9039,7.911,7.7837,7.819,14166,0
2010-01-29,7.7978,7.9463,7.7837,7.7837,20186,0
2010-02-01,7.7837,7.9039,7.7837,7.8968,5730,0
2010-02-02,7.8685,7.8685,7.7626,7.8543,35568,0
2010-02-03,7.8685,7.9179,7.8685,7.8896,22645,0
2010-02-04,7.7482,7.7765,7.5505,7.6847,92505,0
2010-02-05,7.6281,7.6706,7.5152,7.6353,18923,0
2010-02-08,7.6353,7.6706,7.6281,7.6353,11411,0
2010-02-09,7.8402,7.8685,7.8119,7.8543,27181,0
2010-02-10,7.7554,7.8543,7.7201,7.7765,10337,0
2010-02-11,7.8543,7.8614,7.8543,7.8543,8848,0
2010-02-12,7.7837,7.8333,7.7059,7.819,8444,0
2010-02-16,7.8685,7.9817,7.8685,7.9817,11569,0
2010-02-17,7.9956,7.9956,7.9321,7.9463,5849,0
2010-02-18,7.8896,7.9605,7.8896,7.9534,7074,0
2010-02-19,7.8827,7.9179,7.8827,7.9039,7425,0
2010-02-22,8.024,8.024,7.8827,7.9179,9865,0
2010-02-23,7.9321,8.003,7.8757,7.9039,25957,0
2010-02-24,7.911,7.9956,7.8757,7.9817,22883,0
2010-02-25,7.8685,7.9605,7.8543,7.9392,19851,0
2010-02-26,7.9817,7.9817,7.9179,7.9745,16833,0
2010-03-01,7.9817,8.0874,7.9745,8.0874,2831,0
2010-03-02,8.1444,8.1444,8.0739,8.0951,6580,0
2010-03-03,8.0874,8.1163,8.0739,8.0874,23480,0
2010-03-04,8.0739,8.0739,7.9251,7.9956,65531,0
2010-03-05,8.0951,8.1657,8.0874,8.1657,9217,0
2010-03-08,8.2003,8.2362,8.1724,8.1801,9335,0
2010-03-09,8.1801,8.251,8.1724,8.2075,12307,0
2010-03-10,8.2784,8.363,8.2784,8.3425,22572,0
2010-03-11,8.3071,8.37,8.3071,8.37,6119,0
2010-03-12,8.37,8.4693,8.37,8.4491,20929,0
2010-03-15,8.363,8.363,8.2854,8.3355,3210,0
2010-03-16,8.4412,8.4693,8.4412,8.4553,9393,0
2010-03-17,8.512,8.5254,8.4912,8.4912,18074,0
2010-03-18,8.4763,8.5041,8.4491,8.4491,16691,0
2010-03-19,8.4122,8.4553,8.3559,8.3919,9773,0
2010-03-22,8.3493,8.37,8.3355,8.3493,15985,0
2010-03-23,8.385,8.4491,8.385,8.4412,5467,0
2010-03-24,8.3278,8.3278,8.2717,8.2854,12889,0
2010-03-25,8.3425,8.3493,8.3138,8.3138,28007,0
2010-03-26,8.377,8.4553,8.363,8.4122,7883,0
2010-03-29,8.5041,8.5183,8.4412,8.4912,39930,0
2010-03-30,8.4553,8.4912,8.4553,8.4763,16214,0
2010-03-31,8.363,8.399,8.3208,8.3425,36157,0
2010-04-01,8.4763,8.5183,8.4763,8.5183,29132,0
2010-04-05,8.5757,8.6246,8.5757,8.6246,17368,0
2010-04-06,8.5827,8.639,8.5675,8.6318,13592,0
2010-04-07,8.5971,8.6167,8.5478,8.6167,33948,0
2010-04-08,8.5757,8.639,8.5408,8.639,41896,0
2010-04-09,8.5827,8.639,8.5612,8.6167,21156,0
2010-04-12,8.6667,8.6811,8.6596,8.6596,9267,0
2010-04-13,8.6471,8.6596,8.5971,8.6543,5572,0
2010-04-14,8.8365,8.9517,8.8292,8.9293,38653,0
2010-04-15,8.9293,9.1069,8.8943,8.9293,27407,0
2010-04-16,8.731,8.8365,8.7097,8.7457,21360,0
2010-04-19,8.6667,8.7228,8.6667,8.7228,23035,0
2010-04-20,8.731,8.8292,8.731,8.7944,17011,0
2010-04-21,8.754,8.754,8.6892,8.7228,21035,0
2010-04-22,8.7228,8.7879,8.717,8.7585,6931,0
2010-04-23,8.7944,8.8081,8.7383,8.7805,37450,0
2010-04-26,8.8292,8.9081,8.8292,8.8522,30943,0
2010-04-27,8.8448,8.8448,8.5675,8.6596,34907,0
2010-04-28,8.7879,8.7879,8.6318,8.6811,13573,0
2010-04-29,8.7585,8.8522,8.7585,8.8448,17607,0
2010-04-30,8.8292,8.8292,8.731,8.7585,5204,0
2010-05-03,8.6811,8.7944,8.6811,8.7723,18859,0
2010-05-04,8.5971,8.5971,8.2931,8.3919,40774,0
2010-05-05,8.257,8.363,8.1724,8.3001,31859,0
2010-05-06,8.2638,8.2854,7.6212,7.9886,54434,0
2010-05-07,8.0595,8.1936,7.8333,7.9605,48653,0
2010-05-10,8.3208,8.4192,8.3208,8.3355,26968,0
2010-05-11,8.251,8.3001,7.9605,8.2293,59249,0
2010-05-12,8.3001,8.3559,8.3001,8.3559,6872,0
2010-05-13,8.3355,8.3559,8.2362,8.2362,27372,0
2010-05-14,8.1724,8.1724,8.1724,8.1724,1979,0
2010-05-17,8.1868,8.1868,8.024,8.1231,37344,0
2010-05-18,8.1657,8.1724,8.0874,8.0874,19581,0
2010-05-19,7.9605,8.0098,7.9534,8.0098,9620,0
2010-05-20,7.8543,7.8543,7.6777,7.7128,31572,0
2010-05-21,7.6777,8.0951,7.6777,8.0951,20804,0
2010-05-24,7.9392,7.9956,7.7128,7.9179,24412,0
2010-05-25,7.6635,7.7128,7.5152,7.6706,13639,0
2010-05-26,7.8119,7.8968,7.7482,7.7837,17114,0
2010-05-27,7.8827,7.9321,7.8685,7.9321,15808,0
2010-05-28,7.911,7.9179,7.8474,7.8614,10885,0
2010-06-01,7.7626,7.805,7.7414,7.7837,19378,0
2010-06-02,7.7765,7.9321,7.7765,7.9321,23409,0
2010-06-03,7.9534,8.017,7.9251,7.9251,18316,0
2010-06-04,7.9039,7.911,7.7554,7.7554,21095,0
2010-06-07,7.7696,7.805,7.7201,7.7837,17031,0
2010-06-08,7.7414,7.7837,7.7201,7.7837,10326,0
2010-06-09,7.7482,7.8333,7.7482,7.7837,9038,0
2010-06-10,7.9321,7.9817,7.9251,7.9817,14612,0
2010-06-11,7.9886,8.0595,7.9605,8.0595,12165,0
2010-06-14,8.0664,8.0874,8.0524,8.0524,8063,0
2010-06-15,8.1444,8.1801,8.0098,8.1513,57711,0
2010-06-16,8.0951,8.1513,8.0951,8.1087,7830,0
2010-06-17,8.0951,8.2075,8.0951,8.1513,5497,0
2010-06-18,8.1299,8.3071,8.1299,8.251,15842,0
2010-06-21,8.3493,8.4412,8.3001,8.3001,9831,0
2010-06-22,8.251,8.3001,8.1868,8.1868,24494,0
2010-06-23,8.1801,8.2784,8.1801,8.2717,20975,0
2010-06-24,8.1375,8.1868,8.0664,8.1513,14007,0
2010-06-25,8.1231,8.2145,8.1231,8.2075,9405,0
2010-06-28,8.2293,8.243,8.2075,8.2075,6595,0
2010-06-29,8.2216,8.2216,7.9251,7.9605,20365,0
2010-06-30,8.0311,8.0951,8.0311,8.0524,20481,0
2010-07-01,8.0452,8.0806,7.9605,8.0664,8588,0
2010-07-02,8.158,8.158,8.024,8.0739,19002,0
2010-07-06,8.158,8.251,8.1375,8.1444,9520,0
2010-07-07,8.1444,8.243,8.1444,8.2216,10141,0
2010-07-08,8.2293,8.3208,8.1513,8.251,19740,0
2010-07-09,8.3208,8.4059,8.3208,8.4059,4555,0
2010-07-12,8.363,8.377,8.3208,8.377,8376,0
2010-07-13,8.4122,8.5612,8.399,8.5254,66931,0
2010-07-14,8.5041,8.5675,8.4693,8.5041,8742,0
2010-07-15,8.5041,8.5041,8.4271,8.4763,34602,0
2010-07-16,8.5183,8.5183,8.3919,8.4412,32122,0
2010-07-19,8.4491,8.5612,8.4491,8.5612,10851,0
2010-07-20,8.4059,8.8154,8.3425,8.6167,28646,0
2010-07-21,8.5408,8.5408,8.3919,8.4122,43582,0
2010-07-22,8.5612,8.5827,8.5183,8.5675,18381,0
2010-07-23,8.5827,8.6739,8.5675,8.6667,14145,0
2010-07-26,8.7585,8.7585,8.6739,8.7585,24388,0
2010-07-27,8.7723,8.7723,8.6318,8.7228,49236,0
2010-07-28,8.7585,8.7585,8.7457,8.7585,1001,0
2010-07-29,8.7585,8.7944,8.6964,8.7944,77693,0
2010-07-30,8.754,9.1765,8.754,8.9431,174194,0
2010-08-02,9.0213,9.1266,9.0128,9.1126,47498,0
2010-08-03,9.042,9.1483,9.042,9.1126,36917,0
2010-08-04,9.0759,9.1408,9.0759,9.1126,22686,0
2010-08-05,9.1126,9.1126,9.0279,9.0918,8559,0
2010-08-06,9.1126,9.1126,8.9855,8.9921,5016,0
2010-08-09,9.0128,9.1191,9.0128,9.057,22882,0
2010-08-10,9.0345,9.1126,8.9081,8.9639,25689,0
2010-08-11,8.8522,8.9573,8.554,8.6105,69540,0
2010-08-12,8.6042,8.6892,8.5899,8.6471,13615,0
2010-08-13,8.7034,8.7097,8.6596,8.7097,13546,0
2010-08-16,8.7944,8.7944,8.6892,8.7228,14961,0
2010-08-17,8.731,8.865,8.731,8.7879,25168,0
2010-08-18,8.7658,8.7879,8.7658,8.7658,10749,0
2010-08-19,8.9145,8.9145,8.7097,8.7228,18318,0
2010-08-20,8.7944,8.7944,8.717,8.7457,11919,0
2010-08-23,9.692,9.897,9.692,9.756,93983,0
2010-08-24,9.728,9.756,9.658,9.721,40453,0
2010-08-25,9.819,9.889,9.772,9.869,45413,0
2010-08-26,9.946,9.946,9.826,9.869,19455,0
2010-08-27,9.905,9.946,9.7,9.932,45337,0
2010-08-30,9.975,10.003,9.919,9.941,24446,0
2010-08-31,10.074,10.074,9.946,10.039,24823,0
2010-09-01,10.151,10.414,10.151,10.379,47413,0
2010-09-02,10.321,10.379,10.257,10.335,29171,0
2010-09-03,10.498,10.585,10.427,10.506,39718,0
2010-09-07,10.442,10.514,10.427,10.456,15769,0
2010-09-08,10.724,10.732,10.514,10.549,27845,0
2010-09-09,10.638,10.682,10.498,10.506,30001,0
2010-09-10,10.514,10.534,10.442,10.462,16947,0
2010-09-13,10.442,10.618,10.442,10.611,25822,0
2010-09-14,10.541,10.803,10.541,10.703,152360,0
2010-09-15,10.674,10.674,10.618,10.647,73297,0
2010-09-16,10.491,10.753,10.491,10.638,38861,0
2010-09-17,10.462,10.796,10.462,10.753,70399,0
2010-09-20,10.703,10.93,10.703,10.93,72962,0
2010-09-21,10.618,11.076,10.618,11.001,41092,0
2010-09-22,10.986,11.085,10.923,11.056,22655,0
2010-09-23,10.867,11.107,10.867,11.049,86430,0
2010-09-24,11.076,11.134,11.015,11.065,75462,0
2010-09-27,11.015,11.205,11.015,11.149,23901,0
2010-09-28,11.269,11.297,11.099,11.262,77281,0
2010-09-29,11.262,11.262,11.085,11.127,103786,0
2010-09-30,11.127,11.171,10.959,11.065,40538,0
2010-10-01,11.197,11.241,11.134,11.176,46361,0
2010-10-04,11.205,11.304,11.176,11.227,33677,0
2010-10-05,11.376,11.439,11.269,11.439,65816,0
2010-10-06,11.481,11.486,11.417,11.439,37075,0
2010-10-07,11.594,11.594,11.452,11.51,62215,0
2010-10-08,11.486,11.587,11.411,11.551,44880,0
2010-10-11,11.609,11.636,11.481,11.481,73942,0
2010-10-12,11.452,11.517,11.354,11.51,81414,0
2010-10-13,11.636,11.743,11.6,11.714,98679,0
2010-10-14,11.75,11.757,11.6,11.701,109408,0
2010-10-15,11.792,11.891,11.701,11.764,77374,0
2010-10-18,11.701,11.735,11.657,11.686,88461,0
2010-10-19,11.523,11.631,11.376,11.431,70553,0
2010-10-20,11.467,11.631,11.452,11.631,49982,0
2010-10-21,11.692,11.692,11.574,11.616,31634,0
2010-10-22,11.686,11.686,11.537,11.587,15855,0
2010-10-25,11.651,11.735,11.622,11.735,32914,0
2010-10-26,11.594,11.68,11.594,11.636,19262,0
2010-10-27,11.665,11.665,11.523,11.551,26383,0
2010-10-28,11.644,11.657,11.537,11.537,34136,0
2010-10-29,11.523,11.581,11.486,11.529,8351,0
2010-11-01,11.672,11.939,11.651,11.778,87476,0
2010-11-02,11.877,11.968,11.828,11.968,61737,0
2010-11-03,12.139,12.139,11.968,12.076,51371,0
2010-11-04,12.159,12.307,12.152,12.301,85996,0
2010-11-05,12.35,12.386,11.939,12.301,48158,0
2010-11-08,12.358,12.528,12.358,12.464,144403,0
2010-11-09,12.577,12.641,12.52,12.599,66269,0
2010-11-10,12.555,12.577,12.386,12.449,38643,0
2010-11-11,12.507,12.507,12.4,12.408,85266,0
2010-11-12,12.379,12.379,12.089,12.152,27378,0
2010-11-15,12.125,12.209,12.125,12.188,14422,0
2010-11-16,12.01,12.01,10.943,11.304,177531,0
2010-11-17,11.381,11.729,11.376,11.665,40674,0
2010-11-18,11.891,12.224,11.869,11.869,67218,0
2010-11-19,11.701,11.806,11.517,11.631,28327,0
2010-11-22,11.574,11.672,11.376,11.431,82234,0
2010-11-23,11.256,11.256,10.859,11.015,104304,0
2010-11-24,11.035,11.396,11.035,11.381,24953,0
2010-11-26,11.354,11.37,11.262,11.291,6737,0
2010-11-29,11.431,11.431,11.171,11.262,28300,0
2010-11-30,11.197,11.452,11.134,11.339,23817,0
2010-12-01,11.388,11.481,11.388,11.417,34142,0
2010-12-02,11.529,11.644,11.502,11.523,40288,0
2010-12-03,11.546,11.551,11.381,11.467,14865,0
2010-12-06,11.446,11.459,11.283,11.283,38916,0
2010-12-07,11.388,11.452,11.312,11.354,64014,0
2010-12-08,11.319,11.446,11.241,11.376,24570,0
2010-12-09,11.439,11.486,11.276,11.339,31566,0
2010-12-10,11.262,11.475,11.241,11.347,27393,0
2010-12-13,11.486,11.566,11.247,11.459,30499,0
2010-12-14,11.37,11.771,11.212,11.708,102268,0
2010-12-15,11.622,11.701,11.523,11.523,43542,0
2010-12-16,10.357,10.484,9.968,10.307,121901,0
2010-12-17,10.357,10.357,9.835,10.017,128671,0
2010-12-20,9.924,9.924,9.819,9.835,110955,0
2010-12-21,9.905,10.138,9.756,9.791,84357,0
2010-12-22,9.799,10.011,9.799,9.854,24421,0
2010-12-23,9.905,9.975,9.799,9.932,35019,0
2010-12-27,10.053,10.217,9.968,10.124,37725,0
2010-12-28,10.23,10.379,10.201,10.321,43059,0
2010-12-29,10.442,10.773,10.442,10.626,61711,0
2010-12-30,10.745,10.773,10.491,10.577,59953,0
2010-12-31,10.663,10.802,10.589,10.736,95656,0
2011-01-03,11.076,11.163,10.788,10.951,99995,0
2011-01-04,11.028,11.056,10.915,11.015,71547,0
2011-01-05,11.041,11.049,10.838,11.049,21448,0
2011-01-06,11.056,11.056,10.816,10.993,34427,0
2011-01-07,10.959,11.001,10.816,10.923,30600,0
2011-01-10,10.909,10.909,10.717,10.788,28262,0
2011-01-11,10.859,10.874,10.732,10.788,16872,0
2011-01-12,10.788,11.015,10.788,10.959,22965,0
2011-01-13,10.972,11.001,10.788,10.852,57677,0
2011-01-14,10.81,10.867,10.78,10.844,12194,0
2011-01-18,10.879,10.879,10.803,10.852,41519,0
2011-01-19,10.816,10.844,10.631,10.703,17857,0
2011-01-20,10.611,10.796,10.611,10.654,18962,0
2011-01-21,10.674,10.674,10.526,10.526,44478,0
2011-01-24,10.534,10.626,10.506,10.569,11141,0
2011-01-25,10.618,10.618,10.47,10.47,7442,0
2011-01-26,10.549,10.597,10.541,10.597,24482,0
