Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,25.365,25.587,25.023,25.492,313415,0
2010-01-05,25.223,25.327,24.864,25.186,117681,0
2010-01-06,24.799,25.25,24.507,25.148,244155,0
2010-01-07,24.498,25.445,24.178,25.374,489183,0
2010-01-08,24.593,26.699,24.431,26.5,1006388,0
2010-01-11,26.454,27.1,26.454,27.1,714491,0
2010-01-12,26.246,26.772,26.114,26.734,663030,0
2010-01-13,26.744,27.233,26.641,27.158,550683,0
2010-01-14,26.313,26.943,26.313,26.772,625722,0
2010-01-15,26.557,26.838,26.323,26.772,1018759,0
2010-01-19,26.341,26.933,26.341,26.838,681865,0
2010-01-20,26.076,26.323,25.673,26.161,662305,0
2010-01-21,25.948,25.994,25.475,25.787,486179,0
2010-01-22,25.502,25.683,25.033,25.138,719963,0
2010-01-25,25.308,25.401,25.08,25.232,248870,0
2010-01-26,25.023,25.607,24.469,25.465,396547,0
2010-01-27,25.539,25.975,25.484,25.91,403648,0
2010-01-28,25.91,25.91,25.549,25.683,450753,0
2010-01-29,25.512,25.9,25.232,25.72,741672,0
2010-02-01,25.327,26.255,25.327,26.236,456679,0
2010-02-02,26.236,26.417,26.114,26.246,401865,0
2010-02-03,26.246,26.454,26.058,26.293,285840,0
2010-02-04,26.132,26.132,25.72,25.72,235518,0
2010-02-05,25.436,25.617,24.838,25.384,528065,0
2010-02-08,25.1,25.607,24.976,25.356,250127,0
2010-02-09,25.365,25.436,24.956,25.374,326112,0
2010-02-10,25.26,25.26,24.828,24.994,519624,0
2010-02-11,25.1,25.795,24.78,25.73,300155,0
2010-02-12,25.654,26.538,25.436,26.529,289994,0
2010-02-16,26.548,27.109,26.435,27.072,344013,0
2010-02-17,26.914,27.129,26.594,27.018,254028,0
2010-02-18,27.1,27.376,27.072,27.233,106541,0
2010-02-19,27.282,27.476,27.045,27.292,540654,0
2010-02-22,27.358,27.731,27.139,27.168,244311,0
2010-02-23,27.168,27.263,26.867,26.962,143897,0
2010-02-24,26.718,27.292,26.594,27.178,218715,0
2010-02-25,26.576,27.272,26.341,27.196,146027,0
2010-02-26,26.838,27.302,26.529,27.082,420655,0
2010-03-01,27.187,27.302,26.699,27.187,772456,0
2010-03-02,27.506,27.506,27.119,27.205,260412,0
2010-03-03,27.421,27.496,27.062,27.158,162976,0
2010-03-04,27.638,27.769,27.139,27.476,246423,0
2010-03-05,27.703,28.389,27.516,28.343,337553,0
2010-03-08,28.248,28.408,28.059,28.278,209976,0
2010-03-09,27.421,28.229,27.421,27.979,85201,0
2010-03-10,27.806,28.258,27.741,28.034,295468,0
2010-03-11,27.922,27.932,27.35,27.769,248917,0
2010-03-12,27.987,28.043,27.385,28.043,234691,0
2010-03-15,27.534,27.932,27.243,27.825,206612,0
2010-03-16,27.796,27.825,27.447,27.722,236984,0
2010-03-17,27.722,27.722,27.34,27.439,276708,0
