Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,18.259,18.727,17.665,18.552,20306,0
2010-01-05,18.464,18.669,17.558,17.675,26065,0
2010-01-06,17.704,17.918,16.875,17.421,40298,0
2010-01-07,17.46,18.133,17.138,17.977,11079,0
2010-01-08,17.899,20.287,17.899,19.956,64788,0
2010-01-11,20.131,20.19,18.971,20.073,24895,0
2010-01-12,19.965,20.073,19.459,19.917,24198,0
2010-01-13,20.034,21.438,19.78,21.057,57732,0
2010-01-14,21.038,21.438,20.765,20.892,11793,0
2010-01-15,20.882,20.931,19.693,19.917,28937,0
2010-01-19,19.878,20.589,19.644,20.229,27527,0
2010-01-20,20.316,20.316,19.234,19.264,36136,0
2010-01-21,19.254,19.449,18.152,18.191,32184,0
2010-01-22,18.23,18.259,17.577,17.616,20811,0
2010-01-25,17.733,17.86,17.431,17.489,15896,0
2010-01-26,17.431,17.528,17.333,17.431,11181,0
2010-01-27,17.304,17.801,17.275,17.791,8968,0
2010-01-28,17.782,18.084,17.782,17.957,18009,0
2010-01-29,18.103,18.289,17.811,17.85,22831,0
2010-02-01,17.938,18.016,16.748,17.051,44505,0
2010-02-02,17.148,17.918,17.031,17.791,33035,0
2010-02-03,17.791,17.909,17.626,17.83,22535,0
2010-02-04,17.733,17.733,16.953,17.275,8629,0
2010-02-05,17.372,17.372,16.865,16.992,7182,0
2010-02-08,16.963,17.255,16.602,16.7,18787,0
2010-02-09,17.002,17.207,16.739,17.002,13046,0
2010-02-10,16.875,16.973,16.602,16.826,9209,0
2010-02-11,16.739,17.06,16.709,16.904,13718,0
2010-02-12,16.768,17.041,16.641,16.797,12320,0
2010-02-16,17.002,17.626,16.641,17.596,14405,0
2010-02-17,17.655,18.035,17.47,17.977,6226,0
2010-02-18,17.996,18.727,17.762,18.718,12876,0
2010-02-19,18.669,18.718,17.645,17.879,15489,0
2010-02-22,17.996,18.045,16.573,16.963,28057,0
2010-02-23,16.982,17.099,16.085,16.514,29734,0
2010-02-24,16.524,16.787,16.105,16.709,13389,0
2010-02-25,16.505,16.817,16.485,16.719,8399,0
2010-02-26,16.778,16.778,16.583,16.622,6219,0
2010-03-01,16.768,16.768,16.505,16.739,20496,0
2010-03-02,16.768,17.616,16.622,17.519,21492,0
2010-03-03,17.606,17.665,17.041,17.441,11596,0
2010-03-04,17.538,18.386,17.538,18.269,17160,0
2010-03-05,18.279,18.727,18.269,18.727,9733,0
2010-03-08,18.698,18.747,18.406,18.649,4381,0
2010-03-09,18.562,19.878,18.552,19.39,23294,0
2010-03-10,19.449,20.404,19.264,19.819,11933,0
2010-03-11,19.644,19.751,19.059,19.556,8262,0
2010-03-12,19.585,19.683,19.049,19.176,3642,0
2010-03-15,19.108,19.546,18.932,19.01,11687,0
2010-03-16,19.078,19.108,18.63,18.786,12063,0
2010-03-17,18.766,19.888,18.766,19.575,19038,0
2010-03-18,19.644,19.79,18.913,19.342,18276,0
2010-03-19,19.459,19.459,18.113,18.298,46922,0
2010-03-22,18.084,18.386,18.084,18.298,7795,0
2010-03-23,18.396,18.562,17.928,18.211,14987,0
2010-03-24,18.191,18.718,18.172,18.279,35607,0
2010-03-25,18.386,18.513,18.035,18.035,11069,0
2010-03-26,18.055,18.279,17.86,18.016,14698,0
2010-03-29,18.123,18.172,17.899,17.918,7952,0
2010-03-30,17.918,18.113,17.616,17.86,11721,0
2010-03-31,17.84,18.133,17.84,18.133,18027,0
2010-04-01,18.172,18.328,17.382,17.528,22222,0
2010-04-05,17.548,18.854,17.47,18.718,23624,0
2010-04-06,18.942,18.942,17.967,17.986,10415,0
2010-04-07,17.918,18.152,17.723,17.909,10215,0
2010-04-08,17.84,18.328,17.84,18.211,11454,0
2010-04-09,18.25,18.357,17.986,18.006,12751,0
