Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,13.438,13.443,13.053,13.082,3938741,0
2010-01-05,12.699,12.901,12.583,12.722,3688444,0
2010-01-06,12.765,12.953,12.741,12.805,1177559,0
2010-01-07,12.939,12.939,12.617,12.846,1250285,0
2010-01-08,12.774,12.822,12.675,12.805,1139190,0
2010-01-11,12.818,12.822,12.675,12.765,1965503,0
2010-01-12,12.717,12.736,12.551,12.607,766875,0
2010-01-13,12.593,12.736,12.49,12.717,732333,0
2010-01-14,12.675,12.796,12.665,12.675,864007,0
2010-01-15,12.722,12.792,12.45,12.45,1192680,0
2010-01-19,12.46,12.713,12.46,12.665,1275359,0
2010-01-20,12.583,12.607,12.417,12.517,894486,0
2010-01-21,12.593,12.675,12.37,12.412,789457,0
2010-01-22,12.445,12.559,12.268,12.292,1301899,0
2010-01-25,12.328,12.426,12.171,12.31,1133809,0
2010-01-26,12.236,12.245,12.062,12.072,1187201,0
2010-01-27,12.062,12.268,11.982,12.214,1145456,0
2010-01-28,12.236,12.236,12.015,12.043,692637,0
2010-01-29,12.09,12.171,11.956,11.974,1265079,0
2010-02-01,11.996,12.278,11.924,12.274,1238764,0
2010-02-02,12.274,12.499,12.156,12.467,1329670,0
2010-02-03,12.531,12.588,12.278,12.426,1191961,0
2010-02-04,12.389,12.445,12.245,12.319,1829164,0
2010-02-05,12.31,12.527,12.236,12.499,2338591,0
2010-02-08,12.541,12.689,12.412,12.508,1823343,0
2010-02-09,12.643,12.741,12.541,12.607,1572244,0
2010-02-10,12.545,12.635,12.46,12.522,1996783,0
2010-02-11,12.467,12.689,12.426,12.639,817391,0
2010-02-12,12.541,12.741,12.508,12.741,751634,0
2010-02-16,12.783,12.81,12.653,12.81,1414201,0
2010-02-17,12.818,12.878,12.741,12.878,915521,0
2010-02-18,12.891,12.919,12.783,12.822,1252478,0
2010-02-19,12.846,12.896,12.755,12.774,1307042,0
2010-02-22,12.814,12.949,12.722,12.911,1034739,0
2010-02-23,12.868,13.011,12.853,12.939,929728,0
2010-02-24,12.989,13.164,12.979,13.058,692134,0
2010-02-25,12.929,13.15,12.919,13.106,592083,0
2010-02-26,13.087,13.214,13.04,13.182,799828,0
2010-03-01,13.182,13.331,13.154,13.322,567478,0
2010-03-02,13.308,13.377,13.295,13.349,734436,0
2010-03-03,13.387,13.557,13.382,13.434,543555,0
2010-03-04,13.465,13.561,13.326,13.34,750620,0
2010-03-05,13.326,13.443,13.326,13.392,909547,0
2010-03-08,13.372,13.612,13.295,13.34,664845,0
2010-03-09,13.286,13.469,13.282,13.368,752874,0
2010-03-10,13.336,13.491,13.229,13.483,431674,0
2010-03-11,13.402,13.529,13.34,13.501,259839,0
2010-03-12,13.58,13.58,13.443,13.539,305764,0
2010-03-15,13.491,13.515,13.41,13.511,316901,0
2010-03-16,13.557,13.571,13.438,13.539,374426,0
2010-03-17,13.6,13.733,13.571,13.63,409257,0
2010-03-18,13.686,13.686,13.59,13.662,517278,0
2010-03-19,13.738,13.765,13.644,13.691,915010,0
2010-03-22,13.662,13.843,13.644,13.805,364339,0
2010-03-23,13.843,13.937,13.691,13.913,443620,0
2010-03-24,13.894,13.894,13.71,13.728,443007,0
2010-03-25,13.834,13.927,13.622,13.653,454260,0
2010-03-26,13.696,13.784,13.604,13.677,364996,0
2010-03-29,13.761,14.043,13.761,14.019,701748,0
2010-03-30,14.071,14.152,13.927,13.968,686058,0
2010-03-31,13.903,14.019,13.875,13.903,882886,0
2010-04-01,14.057,14.43,14.057,14.375,768516,0
2010-04-05,14.438,14.6,14.438,14.6,1163035,0
2010-04-06,14.503,14.713,14.447,14.633,1258843,0
2010-04-07,14.408,14.646,14.313,14.503,1212976,0
2010-04-08,14.421,14.522,14.356,14.484,702850,0
2010-04-09,14.522,14.713,14.47,14.694,996356,0
2010-04-12,14.66,14.66,14.421,14.536,1733557,0
2010-04-13,14.536,14.66,14.38,14.638,761132,0
2010-04-14,14.727,14.869,14.66,14.86,703801,0
2010-04-15,14.86,14.956,14.813,14.907,499252,0
2010-04-16,14.915,14.915,14.732,14.831,572232,0
2010-04-19,14.804,14.827,14.609,14.694,1202533,0
2010-04-20,14.766,14.831,14.666,14.808,430460,0
2010-04-21,14.804,14.817,14.735,14.794,477328,0
2010-04-22,14.675,14.984,14.675,14.966,831508,0
2010-04-23,14.992,15.293,14.936,15.285,579064,0
2010-04-26,15.252,15.432,15.122,15.163,565716,0
2010-04-27,15.089,15.285,14.874,14.907,1181546,0
2010-04-28,14.929,14.979,14.745,14.799,1365640,0
2010-04-29,15.08,15.368,14.38,14.411,2098339,0
2010-04-30,14.434,14.434,13.927,13.927,1739216,0
2010-05-03,14.015,14.116,13.894,14.061,944272,0
2010-05-04,14.037,14.546,13.534,13.668,1270212,0
2010-05-05,13.491,13.791,13.438,13.71,1379653,0
2010-05-06,13.686,13.853,12.522,13.282,1337964,0
2010-05-07,13.304,13.434,12.814,12.975,1570141,0
2010-05-10,13.267,13.469,13.111,13.461,1247046,0
2010-05-11,13.368,13.548,13.248,13.372,1662485,0
2010-05-12,13.406,13.487,13.34,13.406,764768,0
2010-05-13,13.344,13.515,13.277,13.425,783791,0
2010-05-14,13.322,13.576,13.29,13.539,1284892,0
2010-05-17,13.668,14.029,13.618,13.805,1669571,0
2010-05-18,13.899,14.052,13.63,13.658,1597480,0
2010-05-19,13.58,13.677,13.525,13.634,1145578,0
2010-05-20,13.402,13.561,13.363,13.41,1733106,0
2010-05-21,13.168,13.267,12.934,13.191,2017221,0
2010-05-24,13.119,13.234,12.873,12.901,1426558,0
2010-05-25,12.731,12.836,12.481,12.814,884994,0
2010-05-26,12.863,12.953,12.741,12.801,1026349,0
2010-05-27,12.901,13.114,12.792,13.106,867501,0
2010-05-28,13.035,13.253,12.934,13.173,1107585,0
2010-06-01,13.063,13.188,12.818,12.818,830456,0
2010-06-02,12.822,13.128,12.822,13.119,1521202,0
2010-06-03,13.214,13.387,13.119,13.358,1493062,0
2010-06-04,13.101,13.234,12.863,12.883,917161,0
2010-06-07,12.846,12.953,12.689,12.713,869619,0
2010-06-08,12.727,13.04,12.626,12.984,1281889,0
2010-06-09,13.058,13.214,12.929,13.049,1291763,0
2010-06-10,13.253,13.457,13.15,13.188,1646862,0
2010-06-11,13.138,13.317,13.053,13.308,1121968,0
2010-06-14,13.368,13.451,13.168,13.188,728197,0
2010-06-15,13.191,13.612,13.164,13.58,729554,0
2010-06-16,13.469,13.756,13.443,13.668,612088,0
2010-06-17,13.648,13.81,13.648,13.797,534654,0
2010-06-18,13.797,13.903,13.539,13.552,1455984,0
2010-06-21,13.653,13.875,13.392,13.461,556326,0
2010-06-22,13.506,13.728,13.447,13.469,1093921,0
2010-06-23,13.42,13.457,13.286,13.344,563454,0
2010-06-24,13.312,13.609,13.206,13.317,653350,0
2010-06-25,13.392,13.473,13.238,13.465,1554022,0
2010-06-28,13.473,13.473,13.286,13.368,426083,0
2010-06-29,13.229,13.248,12.997,13.073,772237,0
2010-06-30,13.085,13.2,13.005,13.105,1030272,0
2010-07-01,13.114,13.2,12.759,12.963,689055,0
2010-07-02,13.04,13.04,12.792,12.863,450686,0
2010-07-06,13.021,13.091,12.717,12.818,1056910,0
2010-07-07,12.873,13.214,12.846,13.188,731467,0
2010-07-08,13.34,13.465,13.262,13.43,633177,0
2010-07-09,13.372,13.487,13.295,13.443,586672,0
2010-07-12,13.382,13.447,13.258,13.277,380983,0
2010-07-13,13.372,13.724,13.317,13.696,764554,0
2010-07-14,13.622,13.742,13.497,13.58,925333,0
2010-07-15,13.612,13.644,13.322,13.425,1266638,0
2010-07-16,13.322,13.434,13.058,13.087,925625,0
2010-07-19,13.087,13.164,12.832,12.989,936112,0
2010-07-20,12.836,13.154,12.783,13.133,815638,0
2010-07-21,13.229,13.277,13.016,13.063,684277,0
2010-07-22,13.154,13.377,13.138,13.368,1644600,0
2010-07-23,13.295,13.756,13.295,13.71,807280,0
2010-07-26,13.775,13.937,13.696,13.933,615774,0
2010-07-27,14.057,14.144,13.779,13.784,1645952,0
2010-07-28,13.829,13.848,13.045,13.087,1786915,0
2010-07-29,13.173,13.282,12.925,13.067,1158201,0
2010-07-30,12.891,13.224,12.755,13.124,1082480,0
2010-08-02,13.234,13.434,13.178,13.336,1137675,0
2010-08-03,13.331,13.43,13.277,13.308,1158295,0
2010-08-04,13.377,13.501,13.336,13.457,1279122,0
2010-08-05,13.41,13.465,13.344,13.465,931913,0
2010-08-06,13.308,13.552,13.15,13.521,1309702,0
2010-08-09,13.618,13.791,13.511,13.71,1277528,0
2010-08-10,13.59,13.787,13.561,13.691,949613,0
2010-08-11,13.473,13.648,13.392,13.552,1365427,0
2010-08-12,13.317,13.59,13.191,13.552,1297897,0
2010-08-13,13.487,13.58,13.406,13.497,694634,0
2010-08-16,13.41,13.576,13.34,13.548,665241,0
2010-08-17,13.686,14.009,13.662,13.968,1047958,0
2010-08-18,13.991,14.152,13.848,14.009,848873,0
2010-08-19,13.977,14.071,13.686,13.829,931706,0
2010-08-20,13.752,13.875,13.634,13.875,854753,0
2010-08-23,13.923,13.968,13.815,13.848,1336025,0
2010-08-24,13.714,13.761,13.566,13.612,742254,0
2010-08-25,13.529,13.719,13.477,13.658,551803,0
2010-08-26,13.682,13.733,13.521,13.571,350502,0
2010-08-27,13.705,13.815,13.477,13.787,601381,0
2010-08-30,13.7,13.748,13.552,13.622,633207,0
2010-08-31,13.577,13.859,13.544,13.799,1045015,0
2010-09-01,14.001,14.313,14.001,14.305,915078,0
2010-09-02,14.25,14.385,14.139,14.371,599537,0
2010-09-03,14.522,14.56,14.327,14.452,686963,0
2010-09-07,14.38,14.416,14.194,14.223,534755,0
2010-09-08,14.273,14.365,14.185,14.337,673982,0
2010-09-09,14.536,14.628,14.438,14.546,592270,0
2010-09-10,14.565,14.727,14.444,14.718,802238,0
2010-09-13,14.753,14.933,14.642,14.831,1575283,0
2010-09-14,14.846,14.883,14.434,14.822,887781,0
2010-09-15,14.761,14.879,14.614,14.775,492434,0
2010-09-16,14.642,14.79,14.518,14.67,620570,0
2010-09-17,14.836,14.836,14.434,14.642,905897,0
