Date,Open,High,Low,Close,Volume,OpenInt
2010-01-06,3.49,3.54,3.49,3.54,1920,0
2010-01-08,3.38,3.38,3.38,3.38,1199,0
2010-01-11,3.38,3.38,3.38,3.38,960,0
2010-01-12,3.38,3.38,3.38,3.38,500,0
2010-01-13,3.31,3.54,3.31,3.54,200,0
2010-01-14,3.45,3.45,3.45,3.45,500,0
2010-01-15,3.45,3.54,3.45,3.54,2100,0
2010-01-19,3.5,3.5,3.49,3.49,6643,0
2010-01-20,3.5,3.53,3.5,3.53,1516,0
2010-01-21,3.54,3.55,3.54,3.55,2100,0
2010-02-09,3.38,3.38,3.38,3.38,2896,0
2010-02-10,3.52,3.52,3.52,3.52,200,0
2010-02-11,3.49,3.5,3.49,3.5,4479,0
2010-02-12,3.55,3.55,3.55,3.55,1000,0
2010-02-19,3.38,3.45,3.38,3.45,1612,0
2010-02-23,3.45,3.55,3.38,3.55,2732,0
2010-02-24,3.59,4,3.59,4,1400,0
2010-02-25,3.75,3.9,3.75,3.9,400,0
2010-03-01,3.5,3.61,3.46,3.49,13257,0
2010-03-02,3.98,3.98,3.75,3.75,1482,0
2010-03-04,3.51,3.71,3.51,3.71,783,0
2010-03-05,3.53,3.55,3.51,3.55,1700,0
2010-03-08,3.53,3.56,3.5,3.52,7200,0
2010-03-09,3.53,3.69,3.51,3.69,1199,0
2010-03-10,3.49,3.7,3.47,3.6,5081,0
2010-03-12,3.52,3.65,3.47,3.5,54081,0
2010-03-24,3.55,3.55,3.54,3.54,200,0
2010-03-25,3.53,3.55,3.53,3.55,3436,0
2010-03-29,3.51,3.51,3.51,3.51,800,0
2010-03-31,3.53,3.65,3.53,3.65,200,0
2010-04-01,3.53,3.53,3.53,3.53,300,0
2010-04-06,3.54,3.62,3.47,3.62,4917,0
2010-04-07,3.6,3.8,3.56,3.8,3633,0
2010-04-08,3.83,4,3.8,3.82,1700,0
2010-04-09,3.98,4.05,3.98,4,10028,0
2010-04-13,3.91,3.91,3.91,3.91,100,0
2010-04-14,4.09,4.1,4,4,2766,0
2010-04-15,4,4,3.95,4,21800,0
2010-04-16,4,4,3.9,3.92,5602,0
2010-04-19,3.9,3.9,3.89,3.9,6090,0
2010-04-20,3.85,3.85,3.85,3.85,480,0
2010-04-21,3.9,4,3.9,4,26544,0
2010-04-22,3.9,3.9,3.8,3.9,5300,0
2010-04-26,3.9,3.9,3.9,3.9,640,0
2010-04-28,3.8,3.8,3.8,3.8,687,0
2010-04-29,3.89,3.89,3.8,3.8,2100,0
2010-05-03,3.65,3.9,3.65,3.9,1100,0
2010-05-06,3.72,3.85,3.3,3.84,11993,0
2010-05-07,3.68,3.68,3.5,3.5,481,0
2010-05-10,3.55,3.55,3.47,3.47,383,0
2010-05-12,3.88,4.08,3.87,4.08,10157,0
2010-05-13,3.5,4,3.5,3.8,3000,0
2010-05-14,3.48,3.99,3.48,3.69,5809,0
2010-05-17,3.62,3.62,3.48,3.56,637,0
2010-05-18,3.55,3.76,3.47,3.47,4800,0
2010-05-19,3.52,3.97,3.47,3.84,4213,0
2010-05-20,3.8,3.88,3.62,3.88,5298,0
2010-05-26,4.2,4.2,3.59,4,1668,0
2010-05-28,3.52,4.05,3.52,4.05,2866,0
2010-06-01,3.75,4.06,3.5,3.52,536,0
2010-06-02,3.86,3.86,3.58,3.58,600,0
2010-06-07,3.62,3.65,3.62,3.65,200,0
2010-06-08,4.08,4.08,3.45,3.57,800,0
2010-06-11,3.56,3.57,3.56,3.57,2479,0
2010-06-14,3.4,3.93,3.4,3.46,1301,0
2010-06-17,3.47,3.7,3.47,3.48,466,0
2010-06-18,3.43,3.5,3.4,3.41,744,0
2010-06-23,3.43,3.43,3.31,3.31,8210,0
2010-06-29,3.3,3.5,3.3,3.5,1200,0
2010-06-30,3.32,3.89,3.32,3.56,1300,0
2010-07-08,3.39,3.41,3.38,3.41,599,0
2010-07-12,3.3,3.3,3.3,3.3,190,0
2010-07-21,3.28,3.28,3.28,3.28,333,0
2010-07-22,3.29,3.29,3.27,3.27,523,0
2010-07-28,3.19,3.35,3.14,3.14,1674,0
2010-07-29,3.19,3.53,3.15,3.51,2766,0
2010-07-30,3.25,3.66,3.25,3.25,4500,0
2010-08-03,3.48,3.48,3.16,3.16,4500,0
2010-08-04,3.58,3.58,3.15,3.15,3800,0
2010-08-05,3.14,3.15,3.05,3.05,3328,0
2010-08-09,3.05,3.05,3.05,3.05,383,0
2010-08-10,3.05,3.05,3,3,1562,0
2010-08-11,3.03,3.03,3.01,3.01,3340,0
2010-08-19,3.01,3.01,3,3.01,900,0
2010-08-20,3.01,3.01,2.98,2.98,900,0
2010-08-26,2.99,2.99,2.99,2.99,1000,0
2010-08-30,2.99,2.99,2.99,2.99,129,0
2010-08-31,2.99,3,2.99,3,1000,0
2010-09-01,2.78,2.8,2.75,2.75,2771,0
2010-09-07,2.75,2.75,2.75,2.75,100,0
2010-09-10,2.75,2.75,2.73,2.73,1044,0
2010-09-13,2.84,2.84,2.84,2.84,100,0
2010-09-15,2.75,2.8,2.75,2.8,1900,0
2010-09-17,2.73,2.83,2.22,2.22,289917,0
2010-09-20,2.32,2.42,2.26,2.42,67880,0
2010-09-21,2.42,2.46,2.4,2.45,18200,0
2010-09-23,2.41,2.46,2.35,2.4,29808,0
2010-09-24,2.46,2.47,2.4,2.41,3867,0
2010-09-27,2.41,2.48,2.41,2.48,4300,0
2010-09-28,2.49,2.51,2.49,2.51,2630,0
2010-09-29,2.4,2.51,2.4,2.51,2100,0
2010-09-30,2.4,2.49,2.4,2.49,1200,0
2010-10-01,2.49,2.54,2.49,2.54,1930,0
2010-10-04,2.54,2.58,2.42,2.58,8750,0
2010-10-05,2.46,2.6,2.4,2.6,4350,0
2010-10-06,2.42,2.6,2.42,2.55,3903,0
2010-10-07,2.55,2.6,2.54,2.6,1580,0
2010-10-08,2.55,2.55,2.35,2.35,16897,0
2010-10-11,2.53,2.74,2.53,2.65,5750,0
2010-10-12,2.62,2.89,2.55,2.8,15681,0
2010-10-13,2.85,2.86,2.85,2.86,800,0
2010-10-15,2.9,2.9,2.73,2.78,1200,0
2010-10-18,2.72,2.96,2.72,2.96,400,0
2010-10-19,2.7,2.7,2.69,2.69,2700,0
