Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,19.01,19.858,18.86,19.509,10375,0
2010-01-05,19.459,19.658,18.512,18.512,8618,0
2010-01-06,18.512,19.01,17.263,17.463,16183,0
2010-01-07,17.263,18.213,16.965,18.063,17480,0
2010-01-08,17.563,18.76,17.563,18.213,6472,0
2010-01-11,18.262,18.312,17.213,17.413,8113,0
2010-01-12,17.363,17.363,16.765,17.313,16141,0
2010-01-13,17.363,17.363,16.765,17.064,8807,0
2010-01-14,17.064,18.113,16.865,18.113,7886,0
2010-01-15,18.213,18.213,17.463,17.563,11069,0
2010-01-19,17.613,19.01,17.263,18.662,22061,0
2010-01-20,18.462,18.91,17.963,18.612,11660,0
2010-01-21,18.662,20.707,18.662,19.858,40278,0
2010-01-22,19.908,20.008,19.459,19.459,9942,0
2010-01-25,19.559,20.358,19.509,20.208,6437,0
2010-01-26,20.108,20.857,19.808,20.458,7240,0
2010-01-27,20.258,20.956,20.258,20.757,13565,0
2010-01-28,20.807,21.206,19.908,19.908,18251,0
2010-01-29,20.008,20.008,18.96,19.01,6728,0
2010-02-01,19.16,20.208,18.362,19.31,11355,0
2010-02-02,19.26,19.908,18.312,18.712,7271,0
2010-02-03,18.662,19.06,18.063,18.063,6124,0
2010-02-04,18.013,18.362,17.413,17.413,7692,0
2010-02-05,17.113,18.013,16.715,18.013,5989,0
2010-02-08,17.963,17.963,16.915,16.915,4188,0
2010-02-09,17.163,17.863,16.915,17.563,6638,0
2010-02-10,17.513,17.513,17.014,17.313,6323,0
2010-02-11,17.213,17.463,16.665,17.313,10491,0
2010-02-12,17.163,17.413,16.615,17.313,8106,0
2010-02-16,17.563,17.563,16.765,17.263,6992,0
2010-02-17,17.363,17.963,17.064,17.913,7363,0
2010-02-18,17.963,18.562,17.863,18.262,6415,0
2010-02-19,18.262,18.712,17.913,18.412,8403,0
2010-02-22,18.412,18.412,17.513,17.913,6084,0
2010-02-23,17.913,18.462,17.163,17.463,7537,0
2010-02-24,17.213,17.963,17.213,17.713,3410,0
2010-02-25,17.413,17.713,17.113,17.513,3681,0
2010-02-26,17.363,17.663,17.213,17.413,4503,0
2010-03-01,17.613,18.213,16.965,17.163,10094,0
2010-03-02,17.413,18.063,16.965,17.863,5446,0
2010-03-03,17.913,17.913,17.213,17.463,3896,0
