Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,3.89,3.89,3.65,3.86,29219,0
2010-01-05,3.87,3.91,3.67,3.87,31530,0
2010-01-06,3.61,3.91,3.57,3.78,34133,0
2010-01-07,3.71,4,3.71,4,31874,0
2010-01-08,3.91,4.2,3.91,4.2,45839,0
2010-01-11,4.14,4.26,3.97,4.22,60641,0
2010-01-12,4.12,4.27,4.12,4.26,26986,0
2010-01-13,4.28,4.42,4.23,4.41,26533,0
2010-01-14,4.33,4.43,4.26,4.4,26745,0
2010-01-15,4.45,4.45,4.13,4.16,30135,0
2010-01-19,4.28,4.6,4.16,4.31,86578,0
2010-01-20,4.3,4.33,4.2,4.29,16132,0
2010-01-21,4.22,4.22,4.06,4.1,38034,0
2010-01-22,4.1,4.27,4.01,4.18,15091,0
2010-01-25,4.17,4.17,3.91,3.98,67249,0
2010-01-26,3.91,3.96,3.67,3.86,49648,0
2010-01-27,4.21,4.21,3.3,3.72,73985,0
2010-01-28,3.7,3.8,3.57,3.79,24200,0
2010-01-29,3.9,4.24,3.77,3.91,418338,0
2010-02-01,4.18,4.45,4.05,4.25,156732,0
2010-02-02,4.33,4.33,4,4.3,82000,0
2010-02-03,4.25,4.35,4.16,4.23,90519,0
2010-02-04,4.05,4.13,3.7,3.82,74412,0
2010-02-05,3.81,3.91,3.59,3.75,21814,0
2010-02-08,3.74,3.82,3.61,3.61,41975,0
2010-02-09,3.71,3.71,3.55,3.59,47255,0
2010-02-10,3.49,3.65,3.49,3.57,9100,0
2010-02-11,3.5,3.61,3.17,3.17,187008,0
2010-02-12,2.78,2.8,2.47,2.5,8487319,0
2010-02-16,2.57,2.64,2.51,2.55,1132601,0
2010-02-17,2.59,2.6,2.47,2.58,673089,0
2010-02-18,2.58,2.64,2.53,2.6,518907,0
2010-02-19,2.59,2.63,2.55,2.57,186095,0
2010-02-22,2.49,2.49,2.4,2.48,627652,0
2010-02-23,2.5,2.6,2.45,2.6,311226,0
2010-02-24,2.58,2.67,2.51,2.67,343530,0
2010-02-25,2.63,2.63,2.55,2.63,91321,0
2010-02-26,2.6,2.67,2.56,2.66,159138,0
2010-03-01,2.65,2.67,2.51,2.61,258494,0
2010-03-02,2.58,2.66,2.54,2.59,152311,0
2010-03-03,2.59,2.63,2.57,2.6,152580,0
2010-03-04,2.63,2.63,2.52,2.57,59015,0
2010-03-05,2.57,2.65,2.57,2.62,168087,0
2010-03-08,2.65,2.75,2.6,2.75,304161,0
2010-03-09,2.75,2.75,2.65,2.74,218291,0
2010-03-10,2.7,2.84,2.68,2.81,209810,0
2010-03-11,2.85,2.89,2.76,2.85,177083,0
2010-03-12,2.88,2.89,2.76,2.81,59287,0
2010-03-15,2.79,2.84,2.75,2.79,25939,0
2010-03-16,2.79,2.89,2.74,2.82,133625,0
2010-03-17,2.86,2.87,2.76,2.83,139497,0
2010-03-18,2.85,2.87,2.79,2.86,101485,0
2010-03-19,2.86,2.9,2.8,2.9,116578,0
2010-03-22,2.89,2.95,2.85,2.95,103802,0
2010-03-23,2.95,3.04,2.94,3,92835,0
2010-03-24,3.02,3.1,2.97,3.09,165146,0
2010-03-25,3.07,3.35,3.02,3.24,385202,0
2010-03-26,3.27,3.3,3.1,3.23,179975,0
2010-03-29,3.21,3.36,3.07,3.31,277099,0
