Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,22.32,22.57,22.21,22.44,1883532,0
2010-01-05,22.39,22.5,22.09,22.25,1723680,0
2010-01-06,22.11,22.29,22.07,22.21,1214760,0
2010-01-07,22.21,22.22,22.02,22.15,1024018,0
2010-01-08,22.17,22.32,22.06,22.31,735944,0
2010-01-11,22.29,22.35,22.02,22.12,1097704,0
2010-01-12,22,22.08,21.78,21.8,1980981,0
2010-01-13,21.84,22.05,21.74,22.01,999682,0
2010-01-14,21.98,22.22,21.95,22.19,1026880,0
2010-01-15,22.15,22.2,21.92,21.97,1210785,0
2010-01-19,21.91,22.04,21.85,21.98,1850628,0
2010-01-20,21.98,22.04,21.7,21.98,1636370,0
2010-01-21,22.06,22.35,21.95,22.22,1906538,0
2010-01-22,22.12,22.27,21.88,21.89,2363143,0
2010-01-25,21.91,22.03,21.65,21.74,1416088,0
2010-01-26,21.66,21.72,21.39,21.46,1016237,0
2010-01-27,21.45,21.59,21.2,21.53,1301414,0
2010-01-28,21.47,21.52,20.92,21.14,1464711,0
2010-01-29,21.25,21.5,21.1,21.27,1974642,0
2010-02-01,21.25,21.46,21.22,21.36,993615,0
2010-02-02,21.32,21.72,21.24,21.34,1374799,0
2010-02-03,21.28,21.45,21.13,21.4,1293468,0
2010-02-04,21.25,21.26,21.02,21.05,1206947,0
2010-02-05,21.1,21.2,20.81,21.17,1299898,0
2010-02-08,21.15,21.24,20.89,20.95,738927,0
2010-02-09,21.09,21.21,20.87,21.06,953331,0
2010-02-10,21.04,21.24,20.99,21.14,680011,0
2010-02-11,21.09,21.14,20.9,21.07,1219514,0
2010-02-12,20.87,21.53,20.71,21.51,1526942,0
2010-02-16,21.5,21.62,21.12,21.21,1799640,0
2010-02-17,21.24,22.17,21.15,22.1,2296419,0
2010-02-18,22.03,22.14,21.75,21.79,2045678,0
2010-02-19,21.77,21.81,21.31,21.35,2884205,0
2010-02-22,21.49,22.09,21.33,22.04,2116738,0
2010-02-23,21.99,22.16,21.86,21.9,1875670,0
2010-02-24,21.96,22.05,21.89,22.04,1516230,0
2010-02-25,21.83,22.03,21.69,22.02,1411004,0
