Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,30.14,31.084,29.994,30.958,419788,0
2010-01-05,30.968,31.56,30.665,31.229,329501,0
2010-01-06,31.151,31.337,29.156,29.311,971859,0
2010-01-07,29.293,29.75,28.787,29.585,295666,0
2010-01-08,29.557,29.654,29.234,29.624,143939,0
2010-01-11,29.701,29.701,29.195,29.311,258647,0
2010-01-12,29.041,29.088,28.222,28.738,239029,0
2010-01-13,28.883,29.185,28.174,28.758,143463,0
2010-01-14,28.923,29.389,28.601,28.903,252918,0
2010-01-15,28.816,29.098,27.902,28.329,262514,0
2010-01-19,28.329,28.952,28.3,28.621,188312,0
2010-01-20,28.397,28.573,27.989,28.066,269531,0
2010-01-21,28.174,28.378,26.831,27.22,333516,0
2010-01-22,27.124,27.2,26.724,27.016,283985,0
2010-01-25,27.134,27.289,26.762,27.153,162940,0
2010-01-26,27.143,27.143,26.411,26.519,259445,0
2010-01-27,26.519,26.743,26.159,26.706,200060,0
2010-01-28,26.657,26.657,25.566,25.934,293697,0
2010-01-29,26.073,26.548,25.76,25.76,397701,0
2010-02-01,25.79,26.363,25.566,26.314,243340,0
2010-02-02,26.304,26.937,26.159,26.46,192190,0
2010-02-03,26.314,26.617,25.8,26.063,200123,0
2010-02-04,25.964,25.964,25.099,25.198,175819,0
2010-02-05,25.207,25.341,24.826,25.332,212248,0
2010-02-08,25.302,26.314,25.109,26.258,298027,0
2010-02-09,26.568,27.336,26.258,26.84,349174,0
2010-02-10,26.706,26.772,26.277,26.48,139930,0
2010-02-11,26.373,26.946,25.944,26.907,150789,0
2010-02-12,26.617,27.104,26.383,27.094,176535,0
2010-02-16,27.249,27.552,26.937,27.502,157454,0
2010-02-17,27.638,27.833,27.443,27.775,111607,0
2010-02-18,27.677,28.514,27.522,28.456,704283,0
2010-02-19,28.494,28.748,28.116,28.446,254956,0
2010-02-22,28.582,28.709,28.251,28.339,122197,0
2010-02-23,28.174,28.32,27.522,27.647,233922,0
2010-02-24,27.755,28.251,27.716,28.213,394023,0
2010-02-25,27.902,28.154,27.443,28.106,263863,0
2010-02-26,28.203,28.203,27.6,27.872,157582,0
2010-03-01,28.007,28.942,27.989,28.534,200240,0
2010-03-02,28.534,29.195,28.32,29.051,340177,0
2010-03-03,29.195,29.361,28.787,28.854,177956,0
2010-03-04,29.041,29.195,28.854,29.031,152958,0
2010-03-05,29.147,29.331,28.971,29.195,242533,0
2010-03-08,29.195,29.293,28.777,29.224,238014,0
2010-03-09,29.195,29.711,29.195,29.711,501951,0
2010-03-10,29.683,29.73,29.399,29.683,337316,0
2010-03-11,29.488,29.701,29.244,29.664,118169,0
2010-03-12,29.75,29.974,29.301,29.683,137948,0
2010-03-15,29.565,30.024,29.497,29.876,142467,0
2010-03-16,30.014,30.217,29.876,30.169,118043,0
2010-03-17,30.159,31.132,30.111,31.024,235600,0
2010-03-18,30.869,30.918,30.421,30.54,178712,0
2010-03-19,30.665,30.898,30.247,30.684,260456,0
2010-03-22,30.391,31.064,30.333,30.898,121092,0
2010-03-23,30.888,30.888,30.111,30.588,256235,0
2010-03-24,30.558,30.558,30.13,30.217,193662,0
2010-03-25,30.421,31.307,30.274,30.898,300061,0
2010-03-26,30.169,30.361,28.446,28.485,1076761,0
2010-03-29,28.777,29.409,28.222,29.283,328839,0
2010-03-30,29.389,29.595,28.787,29.459,381918,0
2010-03-31,29.389,29.389,28.748,28.768,352487,0
2010-04-01,29.061,29.195,28.222,28.417,275609,0
2010-04-05,28.534,28.961,28.426,28.942,149154,0
2010-04-06,28.729,28.942,28.426,28.611,131189,0
2010-04-07,28.494,28.836,28.174,28.407,242267,0
2010-04-08,28.242,28.631,27.902,28.222,260821,0
2010-04-09,28.32,28.699,28.066,28.659,362209,0
2010-04-12,28.797,28.807,28.417,28.563,351388,0
2010-04-13,28.426,28.621,28.096,28.417,539425,0
2010-04-14,28.494,28.709,28.339,28.679,333083,0
2010-04-15,28.709,28.883,28.397,28.563,356894,0
2010-04-16,28.563,28.641,28.349,28.397,587296,0
2010-04-19,28.242,28.534,28.125,28.397,848726,0
2010-04-20,28.514,28.65,28.193,28.504,229645,0
2010-04-21,28.446,28.592,28.242,28.573,228835,0
2010-04-22,28.3,29.234,28.203,29.175,393827,0
2010-04-23,29.051,29.399,28.748,29.234,435364,0
2010-04-26,29.273,29.273,28.659,28.903,297660,0
2010-04-27,28.719,28.719,27.96,28.125,513295,0
2010-04-28,28.222,28.28,27.346,27.532,418839,0
2010-04-29,27.697,28.203,27.638,27.95,320084,0
2010-04-30,27.902,28.037,26.627,26.686,306876,0
2010-05-03,26.676,27.23,26.294,27.153,355703,0
2010-05-04,26.821,26.821,26.179,26.43,405537,0
2010-05-05,26.43,27.044,26.258,26.45,364735,0
2010-05-06,26.46,26.84,24.494,25.586,470280,0
2010-05-07,25.819,25.934,24.826,25.437,619532,0
2010-05-10,26.811,27.22,26.568,27.044,546996,0
2010-05-11,26.831,27.181,26.617,26.907,407783,0
2010-05-12,27.054,27.735,26.772,27.735,281867,0
2010-05-13,27.609,28.134,27.542,27.872,281731,0
2010-05-14,27.706,27.706,26.753,27.074,262536,0
2010-05-17,27.19,27.414,26.363,27.269,445696,0
2010-05-18,27.473,27.571,26.528,26.568,287433,0
2010-05-19,26.363,27.084,26.111,26.43,286313,0
2010-05-20,25.984,26.198,25.322,25.576,280867,0
2010-05-21,25.069,25.993,24.778,25.819,313862,0
2010-05-24,25.75,26.043,25.322,25.332,119936,0
2010-05-25,24.66,25.225,24.427,25.148,177225,0
2010-05-26,25.244,26.354,25.188,25.711,392121,0
2010-05-27,26.13,26.499,25.885,26.499,243231,0
2010-05-28,26.43,26.43,25.655,26.013,119649,0
