Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,31.698,32.216,31.698,32.073,2513689,0
2010-01-05,31.752,31.839,31.516,31.666,1612912,0
2010-01-06,31.524,31.65,31.28,31.65,1912562,0
2010-01-07,31.296,31.547,31.202,31.477,1768866,0
2010-01-08,31.405,31.603,31.202,31.579,1078979,0
2010-01-11,32.096,32.168,31.964,32.105,827714,0
2010-01-12,31.65,31.972,31.579,31.846,999816,0
2010-01-13,31.948,32.082,31.791,31.988,1561569,0
2010-01-14,32.341,32.679,32.286,32.647,1666441,0
2010-01-15,32.554,32.655,31.941,32.255,1467050,0
2010-01-19,31.917,32.498,31.917,32.46,2236921,0
2010-01-20,32.091,32.153,31.242,31.579,4394250,0
2010-01-21,31.366,31.429,30.391,30.55,2603787,0
2010-01-22,30.291,30.463,29.921,29.937,2231577,0
2010-01-25,29.992,30.022,29.779,29.779,1463791,0
2010-01-26,29.914,30.212,29.811,29.953,2487441,0
2010-01-27,29.662,29.85,29.567,29.779,1973919,0
2010-01-28,29.395,29.402,28.538,28.609,6275708,0
2010-01-29,29.292,29.544,28.876,28.923,5657928,0
2010-02-01,29.074,29.205,28.923,29.111,1927117,0
2010-02-02,29.332,29.623,29.182,29.56,1214915,0
2010-02-03,29.723,29.804,29.434,29.473,926020,0
2010-02-04,29.49,29.544,28.727,28.758,1111480,0
2010-02-05,28.105,28.248,27.423,27.902,3044126,0
2010-02-08,28.318,28.624,28.192,28.217,2131348,0
2010-02-09,28.241,28.822,28.192,28.514,1510743,0
2010-02-10,28.429,28.498,27.871,28.255,1852390,0
2010-02-11,28.311,28.429,27.933,28.381,1733707,0
2010-02-12,28.373,28.538,28.145,28.452,1150598,0
2010-02-16,28.498,28.979,28.397,28.876,2803491,0
2010-02-17,29.254,29.269,28.758,28.836,1430807,0
2010-02-18,29.105,29.238,28.994,29.088,1490539,0
2010-02-19,28.853,29.229,28.711,29.167,1238834,0
2010-02-22,29.143,29.198,28.813,28.915,821727,0
2010-02-23,28.884,29.017,28.42,28.514,2244465,0
2010-02-24,28.789,28.979,28.443,28.57,2920461,0
2010-02-25,27.966,28.436,27.798,28.436,2626388,0
2010-02-26,28.406,28.908,28.287,28.758,3790478,0
2010-03-01,28.994,29.159,28.845,29.105,1602135,0
2010-03-02,29.159,29.387,29.074,29.285,761435,0
2010-03-03,29.387,29.755,29.332,29.575,1937305,0
2010-03-04,29.301,29.387,29.074,29.254,1297076,0
2010-03-05,29.449,29.969,29.332,29.969,1476158,0
2010-03-08,30.016,30.079,29.796,29.976,1698443,0
2010-03-09,29.906,30.102,29.882,29.999,807007,0
2010-03-10,29.953,30.243,29.945,30.07,965584,0
2010-03-11,29.906,30.007,29.686,30.007,1092623,0
2010-03-12,30.117,30.117,29.741,29.889,1737622,0
2010-03-15,30.134,30.33,29.969,30.298,2163450,0
2010-03-16,30.573,31.022,30.518,30.989,1718330,0
2010-03-17,30.605,30.691,30.409,30.55,1669890,0
2010-03-18,30.463,30.573,30.102,30.416,1403301,0
2010-03-19,30.148,30.306,29.859,30.212,2147005,0
2010-03-22,29.229,30.063,29.229,30.007,2977349,0
2010-03-23,29.748,30.007,29.694,29.976,2820900,0
2010-03-24,29.285,29.434,29.229,29.292,3364201,0
2010-03-25,29.49,29.677,29.395,29.457,2749061,0
2010-03-26,29.324,29.434,29.105,29.332,2168320,0
2010-03-29,29.215,29.426,29.167,29.363,1761488,0
2010-03-30,29.434,29.536,29.159,29.261,1801866,0
2010-03-31,29.167,29.498,29.088,29.355,2146274,0
2010-04-01,29.48,29.567,29.277,29.418,2481832,0
2010-04-05,29.504,29.504,29.198,29.229,1147174,0
2010-04-06,28.687,28.994,28.633,28.94,3431247,0
2010-04-07,28.915,29.08,28.876,29.002,3128941,0
2010-04-08,28.789,28.955,28.711,28.908,1403193,0
2010-04-09,29.182,29.434,29.136,29.363,2133639,0
2010-04-12,29.575,29.638,29.443,29.457,1549305,0
2010-04-13,29.449,29.48,29.151,29.324,1577137,0
2010-04-14,29.426,29.552,29.339,29.466,1587674,0
2010-04-15,29.308,29.449,29.238,29.349,1464260,0
2010-04-16,29.041,29.246,28.64,28.845,5882792,0
2010-04-19,28.46,28.822,28.443,28.805,2619889,0
2010-04-20,28.727,28.884,28.664,28.774,3453844,0
2010-04-21,28.593,28.672,28.349,28.475,2029666,0
2010-04-22,28.295,28.295,27.98,28.287,2499692,0
2010-04-23,27.966,28.443,27.862,28.389,2361766,0
2010-04-26,28.287,28.483,28.287,28.365,2033438,0
2010-04-27,27.737,28.02,27.069,27.148,5384322,0
2010-04-28,27.007,27.274,26.801,27.131,7188280,0
2010-04-29,26.495,26.974,26.44,26.818,5842891,0
2010-04-30,27.022,27.069,26.731,26.801,2213198,0
2010-05-03,26.598,26.865,26.573,26.833,2979948,0
2010-05-04,26.189,26.346,25.835,26.11,10435051,0
2010-05-05,25.616,26.023,25.599,25.733,10994737,0
2010-05-06,25.223,25.443,23.966,24.962,9470900,0
2010-05-07,24.759,25.026,23.87,24.28,11521387,0
2010-05-10,25.976,26.142,25.648,25.976,6244387,0
2010-05-11,25.426,25.858,25.356,25.498,4306740,0
2010-05-12,25.749,26.071,25.678,25.882,4830554,0
2010-05-13,25.466,25.718,25.373,25.45,4694607,0
2010-05-14,25.237,25.301,24.555,24.759,6020521,0
2010-05-17,23.674,23.722,23.108,23.557,5406841,0
2010-05-18,23.722,23.776,23.337,23.337,4263668,0
2010-05-19,23.337,23.58,23.023,23.549,5282378,0
2010-05-20,23,23.36,22.63,22.977,7800374,0
2010-05-21,22.644,23.21,22.583,23.108,5246841,0
2010-05-24,22.826,23,22.669,22.716,3796846,0
2010-05-25,22.182,22.771,22.009,22.748,9485492,0
2010-05-26,22.865,23.061,22.393,22.433,4930525,0
2010-05-27,23.368,23.801,23.195,23.792,4963853,0
2010-05-28,23.895,23.919,23.431,23.501,4716259,0
2010-06-01,23.36,24.005,23.289,23.383,4626156,0
2010-06-02,23.588,23.996,23.439,23.981,3418299,0
2010-06-03,24.312,24.35,23.87,24.067,3468155,0
2010-06-04,23.227,23.36,22.763,22.833,3694484,0
2010-06-07,22.653,22.826,22.369,22.369,3363190,0
2010-06-08,22.401,22.684,22.268,22.566,4479656,0
2010-06-09,22.771,23.006,22.56,22.613,3160131,0
2010-06-10,23.298,23.658,23.195,23.463,3367322,0
2010-06-11,23.375,23.691,23.337,23.619,3798114,0
2010-06-14,24.28,24.483,24.169,24.193,3168897,0
2010-06-15,24.508,24.798,24.389,24.798,3365382,0
2010-06-16,24.767,25.051,24.641,25.018,3161137,0
2010-06-17,25.026,25.081,24.687,24.925,2715802,0
2010-06-18,24.043,24.154,23.808,23.919,6604787,0
2010-06-21,24.232,24.35,23.87,23.989,4615874,0
2010-06-22,24.406,24.492,24.115,24.185,3814527,0
