Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,57.65,59.26,57.54,59.23,799421,0
2010-01-05,59.1,60.56,59.06,59.78,601526,0
2010-01-06,60,60.74,59.5,59.68,717621,0
2010-01-07,59.58,59.78,57.88,58.57,723736,0
2010-01-08,58.65,59.65,58.62,59.2,472342,0
2010-01-11,59.01,59.76,58.75,58.95,458748,0
2010-01-12,58.54,58.75,57.62,58.13,401032,0
2010-01-13,60.6,61,58.5,58.9,1022212,0
2010-01-14,58.85,61,58.74,60.4,860298,0
2010-01-15,60.07,60.5,59.12,59.21,521146,0
2010-01-19,59.3,62.12,59.11,62.02,875369,0
2010-01-20,61.75,61.75,60.25,61.32,663898,0
2010-01-21,61.32,62.35,60.18,60.32,726102,0
2010-01-22,59.68,59.68,55.79,56,1067120,0
2010-01-25,56.9,57.34,56.01,56.25,643604,0
2010-01-26,55.6,55.62,53.9,54.8,925393,0
2010-01-27,54.39,55.34,53.05,54.37,617707,0
2010-01-28,54.39,54.52,50.88,52.4,1442845,0
2010-01-29,52.62,52.9,49.92,50.35,1892180,0
2010-02-01,46.97,50.79,46.62,50.22,3001465,0
2010-02-02,50.03,51.22,49,51.16,1372982,0
2010-02-03,50.93,52.72,50.76,51.59,1138292,0
2010-02-04,51.54,51.54,48.77,48.85,1101557,0
2010-02-05,48.75,49.6,48.15,49.51,1248780,0
2010-02-08,49.68,50.53,48.55,48.66,647036,0
2010-02-09,49.02,49.21,48.17,48.35,676285,0
2010-02-10,48.57,49.09,47.52,48.04,457632,0
2010-02-11,48.29,48.77,47.51,48.25,701028,0
2010-02-12,47.81,48.27,47.13,48.26,927034,0
2010-02-16,48.48,49.75,47.9,49.43,745655,0
2010-02-17,49.77,49.82,48.83,49.39,528023,0
2010-02-18,49.39,50.53,48.74,50.37,553722,0
2010-02-19,50.24,50.42,49.78,50.39,375870,0
2010-02-22,50.4,51.41,49.71,49.84,902911,0
2010-02-23,49.95,49.95,48,48.48,933661,0
2010-02-24,48.57,49.24,47.75,49.2,679273,0
2010-02-25,48.29,49.11,47.91,49.06,417967,0
2010-02-26,48.92,51.65,48.92,51.21,1152212,0
2010-03-01,51.34,51.81,50.7,51.2,1297519,0
2010-03-02,51.2,51.44,50.12,50.31,886583,0
2010-03-03,50.5,50.8,49.4,50.01,830508,0
2010-03-04,50,51.25,49.6,50.81,620880,0
2010-03-05,51.12,51.96,50.55,51.96,683442,0
2010-03-08,52.13,53.71,51.95,53.47,1129557,0
2010-03-09,53.28,55.67,52.47,55.12,2055564,0
2010-03-10,54.75,55.38,54.33,54.55,959979,0
2010-03-11,54.21,54.67,53.44,54.43,827097,0
2010-03-12,54.52,55.2,53.38,54.62,750228,0
2010-03-15,54.41,55.97,53.52,54.17,1088312,0
2010-03-16,54.2,54.52,52.44,52.66,1079424,0
2010-03-17,52.96,53.66,52.37,53.36,1159694,0
2010-03-18,53.25,54.72,53.2,54.52,958646,0
2010-03-19,54.9,55.36,54.05,54.27,803954,0
2010-03-22,54.26,54.88,53.9,54.76,618517,0
2010-03-23,55.13,55.73,53.86,54.19,850082,0
2010-03-24,53.81,54.39,52.69,53.18,1463806,0
2010-03-25,53.25,55.23,53.13,53.66,989828,0
2010-03-26,54.17,54.6,53.26,53.71,435202,0
2010-03-29,53.74,54.59,53.45,54.28,405524,0
2010-03-30,54.76,56.1,54.7,55.94,1232102,0
2010-03-31,55.56,56.31,54.37,54.6,1023870,0
2010-04-01,54.13,55.19,53.59,53.8,667688,0
2010-04-05,54.05,54.44,53.55,54.07,866927,0
2010-04-06,53.58,54.85,53.54,54.48,472721,0
2010-04-07,54.23,54.43,53.68,54.04,407745,0
2010-04-08,53.67,53.98,53.2,53.6,480395,0
2010-04-09,53.89,54.39,53.84,54.01,424737,0
2010-04-12,54,54.28,53.61,53.88,527777,0
2010-04-13,53.96,53.96,52.8,53.07,597884,0
2010-04-14,53.4,53.59,52.78,53.08,908661,0
2010-04-15,52.78,53.56,52.78,52.98,922084,0
2010-04-16,52.68,52.74,50.05,50.29,1363294,0
2010-04-19,50.39,51.24,49.1,49.76,1073157,0
2010-04-20,49.9,51.66,49.86,51.52,982463,0
2010-04-21,51.46,52.23,50.94,52.02,704221,0
2010-04-22,51.34,51.96,50.64,51.76,667389,0
2010-04-23,51.6,53.86,51.52,53.02,1342870,0
2010-04-26,52.53,53.8,51.53,51.82,2037816,0
2010-04-27,51.18,51.39,48.34,49.54,2231430,0
2010-04-28,49.89,50,48.25,48.4,1547516,0
2010-04-29,49.17,49.7,48.02,48.47,1419246,0
2010-04-30,48.33,49.38,48.15,48.15,953518,0
2010-05-03,48.22,48.93,48.22,48.49,544016,0
2010-05-04,48.22,48.23,46.1,46.32,846450,0
2010-05-05,46.16,46.9,45.41,46.29,1056356,0
2010-05-06,46.21,47.96,43.33,45.31,1204774,0
2010-05-07,45.43,46.07,43.67,44.19,1258963,0
2010-05-10,45.2,46.88,45.2,45.77,626701,0
2010-05-11,45.48,46.84,44.97,46.16,520358,0
2010-05-12,46.53,47.59,46.18,47.35,720810,0
2010-05-13,47,48.2,46.79,46.98,525310,0
2010-05-14,46.75,46.84,45.25,45.93,564231,0
2010-05-17,45.76,45.76,43.71,44.89,992941,0
2010-05-18,45.09,46.39,45.07,45.32,832539,0
2010-05-19,45,45.18,43.53,44.3,838885,0
2010-05-20,42.99,44.45,42.1,43.26,1193373,0
2010-05-21,42.34,44.05,42.29,43.2,1103455,0
2010-05-24,43.44,44.05,42.97,43.47,587413,0
2010-05-25,42.08,43.13,41.02,43.09,840674,0
2010-05-26,43.65,44.58,43.14,43.52,776723,0
2010-05-27,44.54,45.2,44.39,45.16,627712,0
2010-05-28,44.93,45.03,43.78,44.2,520710,0
2010-06-01,44.26,44.8,43.23,43.23,480991,0
2010-06-02,43.27,44,42.91,44,462431,0
2010-06-03,44.08,46.36,44.01,46.1,826840,0
2010-06-04,45.25,45.77,43.9,44.27,478528,0
2010-06-07,44.37,44.52,42.4,42.49,566307,0
2010-06-08,42.5,43.06,41.89,42.64,579981,0
2010-06-09,42.77,43.75,42.4,42.64,595649,0
2010-06-10,43.43,44,43.22,43.9,370219,0
2010-06-11,43.32,44.11,43.18,43.82,376301,0
2010-06-14,44.35,44.57,43.29,43.53,428018,0
2010-06-15,43.64,44.17,43.51,43.98,560017,0
2010-06-16,43.5,44.39,43.5,43.68,499724,0
2010-06-17,43.83,43.84,43.02,43.73,960718,0
2010-06-18,43.97,44.21,43.57,44.03,498925,0
2010-06-21,44.83,46.69,44.43,44.54,1145209,0
2010-06-22,43.65,44.31,42.76,43.03,934750,0
2010-06-23,42.95,43.69,42.57,42.81,353469,0
2010-06-24,42.54,42.81,41.57,41.86,587143,0
2010-06-25,41.87,42.7,41.46,42.02,2862059,0
2010-06-28,42.1,42.43,41.29,41.54,498994,0
2010-06-29,40.99,41.19,40.05,40.88,879950,0
2010-06-30,41.04,41.66,40.35,41.09,776933,0
2010-07-01,41,41.59,40.09,40.79,455813,0
2010-07-02,40.77,41.25,40.39,40.68,316436,0
2010-07-06,41.49,41.85,40.71,41,595703,0
2010-07-07,40.86,41.99,40.86,41.99,440624,0
2010-07-08,42.34,42.44,40.73,40.98,738381,0
2010-07-09,40.7,41.28,40.55,41.25,521448,0
2010-07-12,40.86,42.27,40.76,41.41,451314,0
2010-07-13,41.78,42.72,41.59,42.51,475078,0
2010-07-14,42.72,43.21,42.39,42.99,367557,0
2010-07-15,42.94,42.99,41.66,42.85,346482,0
2010-07-16,42.49,42.56,41.67,41.72,290022,0
2010-07-19,41.92,42.6,41.6,42.13,303182,0
2010-07-20,41.73,42.66,41.36,42.57,217687,0
2010-07-21,42.78,43.3,42.24,42.5,629376,0
2010-07-22,43.27,44.32,42.58,44,613926,0
2010-07-23,43.83,45.15,43.46,45.04,745704,0
2010-07-26,46.02,47.54,45.44,46.09,1339971,0
2010-07-27,46.42,47.9,46.38,47.6,1473853,0
2010-07-28,48,48.77,47.54,47.67,1106465,0
2010-07-29,48.07,48.1,46.95,47.55,536339,0
2010-07-30,47.68,47.74,46.62,47.02,622029,0
2010-08-02,47.5,48.24,47.24,47.77,759308,0
2010-08-03,47.46,47.95,47.34,47.51,481637,0
2010-08-04,47.66,48.08,47.66,47.95,636678,0
2010-08-05,47.98,48.7,47.72,48.46,977971,0
2010-08-06,48.05,49.35,47.63,49.02,789419,0
2010-08-09,49.67,51.88,49.53,50.56,1195587,0
2010-08-10,50.01,50.17,49.04,49.11,444612,0
2010-08-11,48.5,48.53,47.26,47.35,481206,0
2010-08-12,46.52,48.1,46.26,47.9,443195,0
2010-08-13,47.92,47.95,46.42,46.46,387767,0
2010-08-16,46.3,46.71,45.91,46.37,379814,0
2010-08-17,46.71,47.38,46.14,47,376796,0
2010-08-18,47.15,47.65,46.62,47.54,355691,0
2010-08-19,47.61,48.24,47.61,47.93,545975,0
2010-08-20,47.98,47.98,47.55,47.74,379018,0
2010-08-23,47.75,47.8,46.62,47.48,477017,0
2010-08-24,47.01,47.29,45.81,47.06,366631,0
2010-08-25,46.74,47.36,46.24,47.25,385654,0
2010-08-26,47.72,48.91,47.41,48.39,688024,0
2010-08-27,48.83,49.31,47.58,49.22,372831,0
2010-08-30,49,49.24,48.02,48.05,321591,0
2010-08-31,47.99,48.67,47.48,48.47,242355,0
2010-09-01,48.9,50.36,48.84,50.13,484407,0
2010-09-02,50.05,50.96,49.98,50.86,587901,0
2010-09-03,51.5,51.95,51.04,51.91,531805,0
2010-09-07,51.5,52.26,50.26,50.35,753805,0
2010-09-08,50.06,51.46,50.06,50.47,756414,0
