Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,1.3868,1.3961,1.3868,1.3868,5817,0
2010-01-05,1.368,1.3868,1.368,1.3868,385,0
2010-01-06,1.4055,1.4055,1.3868,1.3868,6411,0
2010-01-07,1.4618,1.4618,1.3211,1.3211,962,0
2010-01-08,1.3211,1.3211,1.2461,1.2743,9953,0
2010-01-11,1.2743,1.2837,1.2743,1.2743,3159,0
2010-01-12,1.2837,1.4242,1.2837,1.3868,3864,0
2010-01-13,1.3119,1.3119,1.3119,1.3119,640,0
2010-01-14,1.3774,1.3774,1.3399,1.368,2059,0
2010-01-19,1.368,1.3774,1.368,1.3774,10798,0
2010-01-20,1.3587,1.3587,1.3587,1.3587,854,0
2010-01-21,1.3587,1.3961,1.3492,1.3868,31267,0
2010-01-22,1.368,1.368,1.2931,1.2931,10527,0
2010-01-25,1.368,1.368,1.368,1.368,533,0
2010-01-26,1.3305,1.3399,1.3305,1.3399,4589,0
2010-01-27,1.3492,1.3492,1.3492,1.3492,1067,0
2010-02-02,1.3119,1.3119,1.3119,1.3119,4269,0
2010-02-03,1.3119,1.3119,1.3119,1.3119,427,0
2010-02-04,1.2931,1.2931,1.2931,1.2931,427,0
2010-02-05,1.2837,1.2931,1.2837,1.2931,2316,0
2010-02-08,1.3587,1.368,1.2931,1.3399,19745,0
2010-02-09,1.3587,1.3587,1.2743,1.3024,12626,0
2010-02-10,1.3024,1.3774,1.3024,1.368,5891,0
2010-02-11,1.368,1.368,1.3119,1.3211,13511,0
2010-02-16,1.3305,1.4055,1.3211,1.4055,1388,0
2010-02-17,1.3587,1.4055,1.3211,1.3961,23957,0
2010-02-18,1.3305,1.4336,1.3119,1.4055,92230,0
2010-02-19,1.368,1.4055,1.368,1.4055,13005,0
2010-02-22,1.471,1.471,1.471,1.471,1067,0
2010-02-23,1.4242,1.4242,1.3868,1.3868,1705,0
2010-02-24,1.3305,1.4242,1.3305,1.4242,22892,0
2010-02-25,1.3492,1.4242,1.3492,1.4242,962,0
2010-02-26,1.3492,1.4149,1.3492,1.4149,8965,0
2010-03-01,1.4055,1.4055,1.4055,1.4055,2134,0
2010-03-02,1.3868,1.3868,1.3868,1.3868,533,0
2010-03-03,1.471,1.471,1.4336,1.4336,5242,0
2010-03-04,1.4149,1.471,1.4149,1.471,3077,0
2010-03-05,1.4242,1.5367,1.4242,1.5367,1281,0
2010-03-08,1.4992,1.4992,1.4992,1.4992,107,0
2010-03-10,1.5086,1.7241,1.5086,1.7053,45931,0
2010-03-11,1.6867,1.7147,1.6867,1.7147,6297,0
2010-03-12,1.7616,1.9677,1.7616,1.9677,22641,0
2010-03-15,1.9771,2.0614,1.9208,1.9583,22567,0
2010-03-16,1.874,1.874,1.799,1.8458,8950,0
2010-03-17,1.9865,1.9865,1.8833,1.9396,11549,0
2010-03-18,1.9396,2.052,1.9396,2.0146,14049,0
2010-03-19,2.0146,2.052,1.8928,1.9302,7522,0
2010-03-22,1.874,2.0427,1.874,2.0146,1196,0
2010-03-23,1.8928,2.052,1.8928,2.0146,18715,0
2010-03-24,1.9396,2.0146,1.9208,2.0146,1173,0
2010-03-25,1.9677,2.0146,1.9021,2.0146,2578,0
2010-03-29,1.9116,1.9958,1.9116,1.9116,5175,0
2010-03-30,1.9021,1.9677,1.9021,1.9116,1388,0
2010-03-31,1.9958,1.9958,1.9958,1.9958,12710,0
2010-04-01,1.9021,1.9116,1.9021,1.9116,533,0
2010-04-05,1.9677,1.9677,1.9677,1.9677,1281,0
2010-04-06,1.9116,2.0051,1.874,1.9958,3936,0
2010-04-07,1.9021,1.9771,1.9021,1.9677,1701,0
2010-04-08,1.9583,1.9677,1.8928,1.9208,964,0
2010-04-09,1.9677,1.9677,1.9677,1.9677,213,0
2010-04-12,1.8833,1.9677,1.8178,1.9677,5363,0
2010-04-13,1.9116,2.0051,1.9116,2.0051,8472,0
2010-04-14,2.0051,2.0051,2.0051,2.0051,960,0
2010-04-15,2.0051,2.0051,2.0051,2.0051,1067,0
2010-04-19,2.0051,2.0051,1.9302,1.9302,533,0
2010-04-20,2.0051,2.0051,2.0051,2.0051,320,0
2010-04-21,1.9771,2.0146,1.9771,2.0146,21049,0
2010-04-22,2.0427,2.052,2.0427,2.052,2241,0
2010-04-26,2.0146,2.0146,2.0146,2.0146,107,0
2010-04-27,2.0146,2.0427,2.0146,2.0239,427,0
2010-04-28,1.9771,1.9771,1.9771,1.9771,2948,0
2010-04-29,2.0614,2.0614,2.052,2.052,3437,0
2010-04-30,2.0707,2.0707,2.052,2.052,1281,0
2010-05-03,2.0707,2.0707,2.0427,2.0427,1173,0
2010-05-04,2.0333,2.0614,2.0239,2.0614,3757,0
2010-05-05,2.0239,2.0239,1.9677,1.9958,5729,0
2010-05-06,1.9865,2.0146,1.7897,1.8178,8249,0
2010-05-07,1.9396,1.9489,1.9208,1.9208,2775,0
2010-05-10,1.9208,1.9771,1.8833,1.9489,1317,0
2010-05-12,2.0614,2.127,1.9771,2.0989,12604,0
2010-05-13,2.2956,2.2956,2.2395,2.2488,22914,0
2010-05-14,2.2581,2.2676,2.202,2.2676,4376,0
2010-05-17,2.2863,2.3426,2.2863,2.3331,14692,0
2010-05-18,2.3331,2.3331,2.23,2.23,6069,0
2010-05-19,2.2488,2.2581,2.2488,2.2581,7105,0
2010-05-20,2.202,2.202,2.0801,2.0801,20411,0
2010-05-21,2.0801,2.1082,2.0801,2.1082,11952,0
2010-05-24,2.2395,2.3331,2.202,2.2956,8049,0
2010-05-25,2.3331,2.3331,2.3331,2.3331,2370,0
2010-05-26,2.3426,2.3426,2.202,2.2488,5033,0
2010-05-27,2.3426,2.3519,2.3426,2.3519,8165,0
2010-06-01,2.4175,2.4269,2.4175,2.4269,2028,0
2010-06-02,2.3893,2.4269,2.3426,2.4269,35415,0
2010-06-03,2.5205,2.5205,2.4549,2.4549,6469,0
2010-06-04,2.483,2.483,2.3426,2.483,4376,0
2010-06-07,2.5205,2.5205,2.483,2.483,20758,0
2010-06-08,2.483,2.6236,2.3987,2.5768,29359,0
2010-06-09,2.4642,2.5768,2.4549,2.5768,4162,0
2010-06-10,2.5205,2.5487,2.5205,2.5487,2881,0
2010-06-11,2.5112,2.6236,2.483,2.6236,533,0
2010-06-14,2.6236,2.9984,2.6236,2.8017,32648,0
2010-06-15,2.8579,2.9516,2.7829,2.8579,39503,0
2010-06-16,2.9047,2.9516,2.7641,2.8672,7365,0
2010-06-17,2.8297,2.8579,2.7922,2.7922,14195,0
