Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,14.339,14.566,14.142,14.293,119017,0
2010-01-05,14.293,14.348,13.18,13.594,300635,0
2010-01-06,13.612,13.803,13.114,13.174,426606,0
2010-01-07,13.263,13.96,13.257,13.919,141668,0
2010-01-08,13.904,14.094,13.886,14.076,128576,0
2010-01-11,14.094,14.199,13.646,13.772,84984,0
2010-01-12,13.719,13.904,13.504,13.719,121230,0
2010-01-13,13.755,14.118,13.653,14.043,149909,0
2010-01-14,13.944,14.824,13.936,14.557,125598,0
2010-01-15,14.598,14.772,13.927,14.548,156148,0
2010-01-19,14.58,15.021,14.58,15.013,163965,0
2010-01-20,14.962,15.095,14.181,15.047,285294,0
2010-01-21,15.063,16.089,14.979,15.859,331992,0
2010-01-22,15.751,16.098,15.095,15.784,331498,0
2010-01-25,16.016,16.082,15.111,15.136,257691,0
2010-01-26,15.119,15.526,14.781,14.824,186951,0
2010-01-27,14.797,15.444,14.566,15.37,191247,0
2010-01-28,15.336,16.032,14.805,14.954,219817,0
2010-01-29,14.988,15.386,14.523,14.523,260178,0
2010-02-01,14.63,14.962,14.63,14.772,169804,0
2010-02-02,14.738,14.988,14.515,14.548,176623,0
2010-02-03,14.523,14.523,13.794,13.927,162764,0
2010-02-04,13.842,13.859,13.072,13.437,250386,0
2010-02-05,13.437,14.034,13.055,13.594,166601,0
2010-02-08,13.521,13.653,13.199,13.391,121714,0
2010-02-09,13.571,13.728,13.347,13.446,102358,0
2010-02-10,13.372,13.818,13.22,13.728,83988,0
2010-02-11,13.653,13.794,13.437,13.63,87207,0
2010-02-12,13.504,13.702,13.403,13.586,90122,0
2010-02-16,13.676,13.842,13.455,13.842,54705,0
2010-02-17,13.927,14.158,13.428,13.755,86861,0
2010-02-18,13.778,14.094,13.711,14.05,59242,0
2010-02-19,14.05,14.324,14.026,14.19,76234,0
2010-02-22,14.285,14.557,14.174,14.507,59973,0
2010-02-23,14.507,14.624,14.242,14.466,94515,0
2010-02-24,14.498,15.03,14.269,14.865,102590,0
2010-02-25,14.692,14.93,14.598,14.93,75535,0
2010-02-26,14.988,14.988,14.269,14.692,128794,0
2010-03-01,14.781,15.063,14.692,14.805,136167,0
