Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,24.935,25.388,24.854,25.22,488196,0
2010-01-05,25.204,25.213,24.935,25.194,708291,0
2010-01-06,25.317,25.388,25.049,25.167,639322,0
2010-01-07,25.139,25.139,24.642,24.8,603732,0
2010-01-08,24.873,24.953,24.56,24.676,364713,0
2010-01-11,24.685,24.837,24.506,24.658,440893,0
2010-01-12,24.427,24.597,24.292,24.383,567693,0
2010-01-13,24.374,24.837,24.374,24.764,388159,0
2010-01-14,24.703,24.8,24.514,24.605,330560,0
2010-01-15,24.605,24.712,24.383,24.624,583756,0
2010-01-19,24.624,25.04,24.587,24.658,588394,0
2010-01-20,24.48,24.774,24.301,24.436,1026349,0
2010-01-21,24.514,24.633,23.702,24.124,1425755,0
2010-01-22,24.043,24.212,23.811,23.909,595876,0
2010-01-25,24.071,24.256,23.731,24.033,384162,0
2010-01-26,23.909,23.971,23.668,23.848,579566,0
2010-01-27,23.848,23.848,23.268,23.57,1061102,0
2010-01-28,23.642,23.668,22.866,23.285,865320,0
2010-01-29,23.33,23.775,23.186,23.25,776502,0
2010-02-01,23.277,23.365,22.937,23.25,1441049,0
2010-02-02,24.329,26.7,23.435,26.325,4253608,0
2010-02-03,26.192,26.968,25.756,26.725,1745461,0
2010-02-04,26.646,27.164,26.494,26.503,1362116,0
2010-02-05,26.62,26.769,26.057,26.467,627738,0
2010-02-08,26.387,27.101,26.29,26.976,657674,0
2010-02-09,27.145,27.174,26.585,27,658830,0
2010-02-10,26.87,27.101,26.378,26.94,449375,0
2010-02-11,26.905,27.12,26.673,27.065,354845,0
2010-02-12,26.718,27.287,26.664,27.27,514952,0
2010-02-16,27.449,27.564,26.992,27.492,381325,0
2010-02-17,27.59,27.59,27.296,27.484,579204,0
2010-02-18,27.414,28.002,27.351,28.002,618271,0
2010-02-19,27.957,28.367,27.743,28.179,751370,0
2010-02-22,28.269,28.269,27.797,27.848,386719,0
2010-02-23,27.725,27.903,27.636,27.68,587194,0
2010-02-24,28.438,28.438,27.797,28.198,470822,0
2010-02-25,27.957,28.206,27.529,27.993,249595,0
2010-02-26,27.948,28.305,27.948,28.179,365375,0
2010-03-01,28.108,28.847,28.108,28.677,350003,0
2010-03-02,28.651,29.25,28.651,28.929,655817,0
2010-03-03,28.634,28.919,28.331,28.419,667995,0
2010-03-04,28.52,28.52,28.081,28.17,246938,0
2010-03-05,28.305,28.752,28.072,28.724,424419,0
2010-03-08,28.643,28.803,28.225,28.367,233492,0
2010-03-09,28.244,28.677,28.17,28.528,316824,0
2010-03-10,28.438,28.829,28.367,28.829,331662,0
2010-03-11,28.76,28.883,28.331,28.856,338609,0
2010-03-12,29,29,28.385,28.829,275288,0
2010-03-15,28.796,28.964,28.677,28.883,236567,0
2010-03-16,28.974,29.428,28.811,29.409,541444,0
2010-03-17,29.5,29.5,29.241,29.293,838095,0
2010-03-18,29.32,29.828,29.241,29.704,373679,0
2010-03-19,29.811,30.176,29.419,29.9,835541,0
2010-03-22,29.731,30.362,29.492,30.131,781412,0
2010-03-23,30.15,30.425,29.793,30.354,358941,0
2010-03-24,30.202,30.311,29.917,29.935,273603,0
2010-03-25,30.131,30.829,29.917,30.517,541366,0
2010-03-26,30.561,30.721,30.105,30.328,349411,0
2010-03-29,30.336,30.703,30.221,30.47,267067,0
2010-03-30,30.444,30.871,30.249,30.452,246446,0
2010-03-31,30.311,30.508,29.99,30.008,366765,0
2010-04-01,30.105,30.579,30.027,30.416,288182,0
2010-04-05,30.535,30.801,30,30.57,286460,0
2010-04-06,30.389,30.535,30.259,30.276,283091,0
2010-04-07,32.137,34.018,31.542,31.896,3527857,0
2010-04-08,31.719,31.719,30.765,30.906,1093689,0
2010-04-09,30.915,31.299,30.535,31.299,778776,0
2010-04-12,31.229,31.906,31.229,31.782,892859,0
2010-04-13,31.701,31.782,31.248,31.655,447376,0
2010-04-14,31.791,32.11,31.574,32.093,333322,0
2010-04-15,31.906,32.137,31.693,31.791,293355,0
2010-04-16,31.825,32.254,31.593,31.807,345597,0
2010-04-19,31.684,32.014,31.371,31.961,402156,0
2010-04-20,31.987,32.629,31.637,32.28,788727,0
2010-04-21,32.219,32.299,31.335,31.611,519364,0
2010-04-22,31.388,31.451,30.621,31.12,683234,0
2010-04-23,31.155,31.265,30.862,31.129,463421,0
2010-04-26,31.05,31.21,30.712,30.738,400502,0
2010-04-27,30.721,31.007,30.158,30.328,543386,0
2010-04-28,30.336,30.517,30.211,30.302,327698,0
2010-04-29,30.444,30.721,30.268,30.526,358736,0
2010-04-30,30.47,30.655,29.668,29.668,633743,0
2010-05-03,29.749,30.328,29.455,30.193,501894,0
2010-05-04,29.855,29.981,29.339,29.872,759488,0
2010-05-05,29.777,30.871,29.641,30.587,850162,0
2010-05-06,28.768,30.621,27.655,29.391,1247881,0
2010-05-07,29.079,29.339,28.17,28.58,1362741,0
2010-05-10,29.419,29.687,28.883,29.293,788705,0
2010-05-11,28.9,30.293,28.821,29.749,587479,0
2010-05-12,29.801,30.069,29.552,29.749,911942,0
2010-05-13,29.784,30.14,29.409,29.704,451774,0
2010-05-14,29.569,29.777,29.187,29.455,690715,0
2010-05-17,29.631,30.185,29.169,29.935,576158,0
2010-05-18,30.268,30.579,29.74,29.801,417632,0
2010-05-19,29.695,29.811,29.232,29.391,629747,0
2010-05-20,28.856,28.974,28.261,28.409,767465,0
2010-05-21,28.188,28.811,27.707,28.438,621181,0
2010-05-24,28.277,28.847,28.009,28.394,351438,0
2010-05-25,27.876,28.064,27.189,27.938,432610,0
2010-05-26,28.002,28.661,27.75,27.886,434432,0
2010-05-27,28.376,28.58,28.17,28.58,382347,0
2010-05-28,28.456,28.866,28.261,28.376,395783,0
2010-06-01,28.234,28.401,27.572,27.599,389269,0
2010-06-02,27.618,28.134,27.251,28.002,997939,0
2010-06-03,27.993,28.188,27.725,28.125,855697,0
2010-06-04,27.858,27.858,27.028,27.101,470061,0
2010-06-07,27.174,27.296,26.825,26.843,629753,0
2010-06-08,26.852,27.056,26.602,26.825,691404,0
2010-06-09,26.922,27.351,26.779,26.905,957191,0
2010-06-10,27.242,27.368,26.862,27.13,541519,0
2010-06-11,26.852,28.046,26.769,28.009,474225,0
2010-06-14,28.161,28.891,28.161,28.661,559799,0
2010-06-15,28.742,28.974,28.385,28.929,423523,0
2010-06-16,28.733,28.938,28.554,28.786,333759,0
2010-06-17,28.847,29.096,28.419,29.062,317843,0
2010-06-18,28.974,29.268,28.606,29.052,567202,0
2010-06-21,29.349,29.525,28.891,29.052,379327,0
2010-06-22,29.027,29.509,28.715,28.76,319941,0
2010-06-23,28.669,28.677,28.225,28.349,287416,0
2010-06-24,28.17,28.493,28.028,28.244,462332,0
2010-06-25,28.331,28.634,27.768,28.252,605291,0
2010-06-28,28.394,28.768,28.019,28.572,211472,0
2010-06-29,28.321,28.321,27.912,28.072,408637,0
2010-06-30,28.165,28.453,27.629,27.71,358155,0
2010-07-01,27.806,27.806,26.7,27.368,429451,0
2010-07-02,27.556,27.556,27.225,27.296,216705,0
2010-07-06,27.636,27.921,26.976,27.111,346883,0
2010-07-07,27.225,27.858,27,27.838,587803,0
2010-07-08,28.064,28.216,27.68,27.921,376093,0
2010-07-09,27.824,28.072,27.716,27.912,418989,0
2010-07-12,27.787,27.993,27.332,27.68,321167,0
