Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,5.105,5.1511,4.9717,5.0383,21227,0
2010-01-05,5.0486,5.1972,5.0435,5.0486,34059,0
2010-01-06,5.0281,5.105,4.9665,4.9665,50544,0
2010-01-07,4.9665,5.0896,4.9665,4.9768,15410,0
2010-01-08,4.9665,5.1819,4.9665,5.0435,16135,0
2010-01-11,5.0793,5.0793,4.9665,4.9717,15671,0
2010-01-12,4.9665,5.0229,4.9665,4.9665,22365,0
2010-01-13,4.9974,5.0844,4.9614,4.9614,28998,0
2010-01-14,4.9665,5.0844,4.7667,5.0178,18506,0
2010-01-15,5.0435,5.0435,4.7257,4.9307,69529,0
2010-01-19,4.9461,5.105,4.454,5.105,50091,0
2010-01-20,5.0486,5.1152,4.9614,4.9614,32516,0
2010-01-21,4.9512,4.9768,4.8743,4.9358,96546,0
2010-01-22,4.9461,5.0383,4.8128,4.9768,30403,0
2010-01-25,5.0127,5.0127,4.8231,4.9922,61308,0
2010-01-26,4.9665,4.9922,4.8949,4.8949,31122,0
2010-01-27,4.8589,4.9256,4.7462,4.8334,17591,0
2010-01-28,4.8538,4.8538,4.7206,4.8128,27700,0
2010-01-29,4.8436,4.8897,4.7821,4.8436,27211,0
2010-02-01,4.8589,4.8589,4.5155,4.8538,32069,0
2010-02-02,4.8589,4.8897,4.7359,4.8128,53295,0
2010-02-03,4.7821,4.8641,4.5053,4.7462,63095,0
2010-02-04,4.905,4.905,4.1721,4.1721,63844,0
2010-02-05,4.1721,4.2182,3.9569,3.9876,21898,0
2010-02-08,3.7672,3.9722,3.7262,3.8748,47698,0
2010-02-09,3.9518,4.4437,3.8851,4.2439,47442,0
2010-02-10,4.2182,4.3721,3.9261,3.9773,57144,0
2010-02-11,3.9722,4.2746,3.7775,4.1312,35335,0
2010-02-12,4.1055,4.5053,4.0081,4.4694,106203,0
2010-02-16,4.4694,4.6027,4.3464,4.5565,17800,0
2010-02-17,4.5924,4.5924,4.1619,4.2388,75488,0
2010-02-18,4.2439,4.2439,4.0235,4.1003,45932,0
2010-02-19,4.1055,4.454,4.0337,4.4182,135628,0
2010-02-22,4.413,4.5463,4.29,4.5104,16888,0
2010-02-23,4.4899,4.4899,4.3003,4.3515,28292,0
2010-02-24,4.126,4.3157,4.0235,4.0799,32350,0
2010-02-25,4.0286,4.2182,4.0286,4.1465,27520,0
2010-02-26,4.1567,4.2593,4.1312,4.1721,20589,0
2010-03-01,4.2695,4.413,4.1414,4.3823,63366,0
2010-03-02,4.3925,4.5668,4.3106,4.5668,33276,0
2010-03-03,4.618,4.7821,4.618,4.7513,194650,0
2010-03-04,4.7462,5.0793,4.654,5.064,426870,0
2010-03-05,5.064,5.5202,5.0435,5.474,123144,0
2010-03-08,5.4535,5.4535,5.2229,5.3356,43307,0
2010-03-09,5.31,5.3202,4.8436,5.269,158288,0
2010-03-10,5.2536,5.3253,5.2434,5.2792,57913,0
2010-03-11,5.2383,5.3305,5.1819,5.3202,15868,0
2010-03-12,5.3151,5.3151,4.9974,5.1204,14223,0
2010-03-15,5.1306,5.1306,4.9665,5.0742,30470,0
2010-03-16,5.0742,5.105,5.0229,5.105,6698,0
2010-03-17,5.2485,5.3151,5.1255,5.1665,24230,0
2010-03-18,4.9974,5.2177,4.941,5.1768,34032,0
2010-03-19,5.2023,5.3151,5.0844,5.2998,80020,0
2010-03-22,5.2434,5.269,4.9717,5.269,24763,0
2010-03-23,5.2536,5.2536,4.9204,5.1716,19425,0
2010-03-24,5.1408,5.2383,5.0025,5.0844,15216,0
2010-03-25,5.1255,5.1768,4.9563,4.9563,12315,0
2010-03-26,4.982,5.0691,4.9665,4.9665,13903,0
2010-03-29,5.0281,5.3151,4.9974,5.1972,23623,0
2010-03-30,5.2946,5.3151,5.2075,5.2229,20761,0
2010-03-31,5.1921,5.3151,4.9922,5.0435,26991,0
2010-04-01,5.0589,5.0691,4.7718,4.9768,61302,0
2010-04-05,4.9922,5.3151,4.9717,5.2946,24372,0
2010-04-06,5.2485,5.2844,5.0076,5.0435,16494,0
2010-04-07,5.0229,5.1716,4.9512,5.0178,36438,0
2010-04-08,5.0178,5.0486,4.8385,5.0025,24807,0
2010-04-09,5.0178,5.0178,4.6437,4.9717,61056,0
2010-04-12,5.0281,5.1716,5.0229,5.1562,82576,0
2010-04-13,5.1306,5.1614,4.982,5.0793,13866,0
2010-04-14,5.0947,5.1972,5.0332,5.1101,30093,0
2010-04-15,4.9614,5.1819,4.9614,5.0229,56002,0
2010-04-16,5.0332,5.0332,4.6693,4.7513,55084,0
2010-04-19,4.7155,5.0332,4.6847,4.8692,86149,0
2010-04-20,4.905,5.1665,4.905,5.1665,15799,0
2010-04-21,5.1562,5.2126,4.9358,5.1972,69545,0
2010-04-22,5.1511,5.3151,5.0435,5.3151,18755,0
2010-04-23,5.3202,5.5304,5.2485,5.5253,41647,0
2010-04-26,5.4125,5.474,5.2998,5.2998,39391,0
2010-04-27,5.2587,5.3715,5.1921,5.1972,26371,0
2010-04-28,5.2587,5.2587,4.7718,4.9974,30799,0
2010-04-29,5.0486,5.0486,4.7462,4.9717,44277,0
2010-04-30,4.9614,5.0383,4.8231,4.9,49226,0
2010-05-03,4.7001,4.9974,4.6744,4.9563,81526,0
2010-05-04,4.8589,4.8589,4.5565,4.6847,69245,0
2010-05-05,4.6129,4.7564,4.4182,4.577,58936,0
2010-05-06,4.5412,4.7257,3.9672,4.1003,104126,0
2010-05-07,4.1209,4.3976,4.1003,4.2182,189284,0
2010-05-10,4.5412,4.5463,4.1465,4.3464,100949,0
2010-05-11,4.2849,4.3874,4.1363,4.3823,29264,0
2010-05-12,4.3823,4.6898,4.2797,4.6898,41107,0
2010-05-13,3.9672,4.1875,3.7878,4.0286,334674,0
2010-05-14,4.0081,4.0952,3.8902,3.9672,92768,0
2010-05-17,3.9825,4.0337,3.7314,3.7416,71625,0
2010-05-18,3.8082,3.8133,3.3981,3.4084,79360,0
2010-05-19,3.3572,3.3931,3.106,3.1983,73659,0
2010-05-20,3.1317,3.188,2.9779,2.9881,69775,0
2010-05-21,2.942,2.9779,2.7473,2.8292,125754,0
2010-05-24,2.819,3.4545,2.5525,2.6294,973147,0
2010-05-25,2.5832,2.6806,2.4807,2.6447,120311,0
2010-05-26,2.7319,2.7319,2.5935,2.5986,96698,0
2010-05-27,2.6704,2.7883,2.6191,2.7831,82383,0
2010-05-28,2.778,2.778,2.6089,2.6089,94922,0
2010-06-01,2.6396,2.9779,2.6396,2.6652,166025,0
2010-06-02,2.6704,2.8549,2.6447,2.8139,63161,0
2010-06-03,2.7934,2.9267,2.7062,2.7985,75796,0
2010-06-04,2.7216,2.7524,2.5319,2.5371,84921,0
2010-06-07,2.5422,2.5628,2.4807,2.4807,104096,0
2010-06-08,2.5064,2.5064,2.3834,2.4192,80114,0
2010-06-09,2.4551,2.4551,2.2655,2.4192,105293,0
2010-06-10,2.4704,2.4704,2.3526,2.3577,90909,0
2010-06-11,2.3321,2.4603,2.2501,2.4449,98181,0
2010-06-14,2.4756,2.5268,2.3064,2.3731,259871,0
2010-06-15,2.3834,2.5166,2.3834,2.4961,59735,0
2010-06-16,2.4653,2.7268,2.4653,2.7011,56515,0
2010-06-17,2.737,2.737,2.5576,2.6037,44220,0
2010-06-18,2.6191,2.6191,2.45,2.5422,110129,0
2010-06-21,2.5935,2.5935,2.3116,2.3372,44011,0
2010-06-22,2.3526,2.4295,2.286,2.3064,35599,0
2010-06-23,2.3116,2.3475,2.2398,2.2757,58011,0
2010-06-24,2.2552,2.3116,2.1783,2.2603,73460,0
2010-06-25,2.2809,2.9216,2.2552,2.4961,2894439,0
2010-06-28,2.4961,2.6294,2.368,2.3782,171072,0
2010-06-29,2.327,2.3372,1.9938,2.1168,150954,0
2010-06-30,2.1527,2.1834,1.9938,2.0194,56746,0
2010-07-01,2.0194,2.1066,2.004,2.0297,47762,0
2010-07-02,2.0604,2.1322,1.9375,2.0861,39975,0
2010-07-06,2.0655,2.1066,1.9887,2.0451,73890,0
2010-07-07,1.9323,1.9887,1.84,1.8554,89535,0
2010-07-08,1.8349,1.9682,1.8144,1.8913,44853,0
2010-07-09,1.8913,1.9323,1.8093,1.9323,40787,0
2010-07-12,1.84,1.8554,1.6709,1.7427,147752,0
2010-07-13,1.8144,1.8657,1.7427,1.8247,68331,0
2010-07-14,1.8503,1.8503,1.7324,1.8247,907903,0
2010-07-15,1.8247,1.8913,1.7888,1.8606,58110,0
2010-07-16,1.8452,1.9836,1.8042,1.8298,67680,0
2010-07-19,1.8298,1.9118,1.8298,1.8349,32535,0
2010-07-20,1.7888,2.0194,1.7734,1.9836,45345,0
2010-07-21,1.963,2.004,1.9169,1.9169,13661,0
2010-07-22,1.9067,2.0091,1.9067,2.0091,18324,0
2010-07-23,1.9887,1.9887,1.8042,1.8452,38524,0
2010-07-26,1.84,2.0758,1.7836,1.8862,32251,0
2010-07-27,1.9836,1.9836,1.8811,1.8862,44205,0
2010-07-28,1.876,1.9015,1.876,1.8913,1965,0
2010-07-29,1.9221,1.9579,1.8708,1.9272,11074,0
2010-07-30,1.8708,1.9221,1.8349,1.9015,3745,0
2010-08-02,1.8606,1.9221,1.7734,1.9221,44800,0
2010-08-03,1.8913,1.9528,1.8913,1.9323,26408,0
2010-08-04,1.9682,2.0809,1.9476,2.0502,46216,0
2010-08-05,1.9836,2.0451,1.9323,1.9682,28009,0
2010-08-06,1.9476,2.0348,1.8452,1.9836,19248,0
2010-08-09,1.9887,2.0861,1.9887,2.0553,28056,0
2010-08-10,2.0348,2.0861,1.9938,2.0143,8860,0
2010-08-11,1.9784,2.0655,1.9221,1.9221,2215,0
2010-08-12,1.84,1.9426,1.8298,1.9375,35164,0
2010-08-13,1.9375,1.9528,1.9118,1.9118,10732,0
2010-08-16,1.9118,2.0553,1.8964,1.8964,55912,0
2010-08-17,1.9118,1.9887,1.8606,1.8606,56032,0
2010-08-18,1.8606,1.9067,1.8606,1.8606,21671,0
2010-08-19,1.8606,1.8657,1.8349,1.8349,9481,0
2010-08-20,1.84,1.8503,1.7581,1.8349,28224,0
2010-08-23,1.9067,1.9067,1.8196,1.8913,2147,0
2010-08-24,1.8811,2.0246,1.8811,1.9221,7023,0
2010-08-25,1.8913,1.9426,1.8452,1.9015,14908,0
2010-08-26,1.9579,1.9579,1.8196,1.84,24031,0
2010-08-27,1.963,1.9733,1.84,1.8452,5853,0
2010-08-30,1.84,1.8503,1.8196,1.8196,17987,0
2010-08-31,1.8196,1.963,1.8196,1.963,11051,0
2010-09-01,1.8862,1.8862,1.8196,1.8247,23067,0
2010-09-02,1.799,1.8452,1.7939,1.84,12194,0
2010-09-03,1.8657,1.8657,1.8298,1.8452,4292,0
2010-09-07,1.8452,1.8657,1.8298,1.8349,20970,0
2010-09-08,1.8964,1.8964,1.8196,1.8452,21851,0
2010-09-09,1.8452,1.8606,1.8247,1.8452,9950,0
2010-09-10,1.8452,1.8811,1.8452,1.876,11315,0
2010-09-13,1.8452,1.8964,1.7632,1.8964,210575,0
2010-09-14,1.8964,1.9221,1.84,1.9118,130944,0
2010-09-15,1.8708,1.9375,1.7785,1.8452,31505,0
2010-09-16,1.8452,1.8913,1.7683,1.8913,42543,0
2010-09-17,1.8708,1.8708,1.7836,1.8196,29765,0
2010-09-20,1.84,1.84,1.7478,1.7888,11135,0
2010-09-21,1.7785,1.8503,1.7427,1.8196,303381,0
2010-09-22,1.8349,1.8349,1.7273,1.799,26294,0
2010-09-23,1.7939,1.8298,1.7683,1.8298,13785,0
2010-09-24,1.8196,1.8452,1.8196,1.8452,11285,0
2010-09-27,1.7785,1.9221,1.7785,1.8298,18726,0
