Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,2.27,2.33,2.27,2.29,4394,0
2010-01-05,2.35,2.35,2.3,2.35,6823,0
2010-01-06,2.35,2.38,2.32,2.32,3660,0
2010-01-07,2.32,2.45,2.32,2.45,13319,0
2010-01-08,2.46,2.46,2.34,2.4,6925,0
2010-01-11,2.44,2.44,2.33,2.35,14371,0
2010-01-12,2.36,2.36,2.27,2.28,9069,0
2010-01-13,2.3,2.35,2.26,2.34,6520,0
2010-01-14,2.34,2.35,2.34,2.34,8955,0
2010-01-15,2.39,2.4,2.34,2.34,20397,0
2010-01-19,2.35,2.35,2.34,2.34,19475,0
2010-01-20,2.34,2.34,2.34,2.34,2950,0
2010-01-21,2.36,2.36,2.26,2.28,7100,0
2010-01-22,2.3,2.31,2.26,2.26,3200,0
2010-01-25,2.26,2.3,2.26,2.27,6950,0
2010-01-26,2.27,2.31,2.26,2.27,4608,0
2010-01-27,2.26,2.26,2.23,2.23,31480,0
2010-01-28,2.2,2.2,2.06,2.14,16670,0
2010-01-29,2.16,2.28,2.16,2.21,15292,0
2010-02-01,2.17,2.26,2.17,2.18,6809,0
2010-02-02,2.17,2.24,2.16,2.18,8275,0
2010-02-03,2.16,2.2,2.12,2.2,8900,0
2010-02-04,2.19,2.25,2.19,2.25,9412,0
2010-02-05,2.24,2.34,2.24,2.28,10200,0
2010-02-08,2.24,2.24,2.19,2.19,5106,0
2010-02-09,2.19,2.2,2.15,2.15,1884,0
2010-02-10,2.15,2.18,2.15,2.15,3184,0
2010-02-11,2.15,2.15,2.1,2.14,3500,0
2010-02-12,2.14,2.18,2.12,2.12,10187,0
2010-02-16,2.11,2.11,2.09,2.09,13123,0
2010-02-17,2.1,2.17,2.09,2.1,19772,0
2010-02-18,2.1,2.1,2.07,2.09,13880,0
2010-02-19,2.07,2.1,2.07,2.09,2900,0
2010-02-22,2.1,2.1,2.05,2.06,9535,0
2010-02-23,2.03,2.06,2.03,2.03,5490,0
2010-02-24,2.03,2.06,2.03,2.03,6850,0
2010-02-25,2.02,2.02,1.9,1.9,34835,0
2010-02-26,1.9,1.97,1.9,1.91,6250,0
2010-03-01,1.9,1.99,1.9,1.97,7478,0
2010-03-02,2,2,1.93,1.99,12711,0
2010-03-03,1.99,2,1.99,2,11086,0
2010-03-04,1.99,2,1.99,1.99,2838,0
2010-03-05,1.98,2.1,1.95,1.98,9295,0
2010-03-08,1.97,2,1.94,2,11038,0
2010-03-09,1.98,1.98,1.98,1.98,600,0
2010-03-10,2,2,1.96,1.97,8913,0
2010-03-11,1.99,2,1.95,1.99,2730,0
2010-03-12,2.04,2.04,1.97,1.97,4406,0
2010-03-15,2,2,1.98,2,3700,0
2010-03-16,2,2,1.96,1.97,13539,0
2010-03-17,1.95,1.99,1.95,1.96,23800,0
2010-03-18,2,2.03,1.97,2.01,13405,0
2010-03-19,2.01,2.17,1.97,2.17,6926,0
2010-03-22,2.04,2.1,1.95,1.95,21790,0
2010-03-23,1.96,1.98,1.93,1.97,13682,0
2010-03-24,1.92,1.98,1.91,1.95,18100,0
2010-03-25,1.98,2,1.91,1.94,12608,0
2010-03-26,1.94,2,1.94,1.97,6327,0
2010-03-29,1.98,1.98,1.95,1.97,2500,0
2010-03-30,1.98,2.01,1.98,1.98,12448,0
2010-03-31,1.99,2,1.95,2,23525,0
2010-04-01,2.02,2.02,1.97,1.97,5600,0
2010-04-05,1.94,2,1.91,2,24332,0
2010-04-06,2,2.1,1.95,1.95,45603,0
2010-04-07,1.99,2.05,1.95,2,43603,0
2010-04-08,2.31,2.74,2.25,2.41,1540554,0
2010-04-09,2.45,2.47,2.26,2.29,236554,0
2010-04-12,2.41,2.41,2.1,2.15,143301,0
2010-04-13,2.12,2.18,2.08,2.09,73283,0
2010-04-14,2.1,2.2,2.1,2.13,87141,0
2010-04-15,2.12,2.17,2.1,2.13,51961,0
2010-04-16,2.09,2.15,2.05,2.08,28374,0
2010-04-19,2.07,2.12,2.06,2.1,15981,0
2010-04-20,2.07,2.11,2.07,2.07,21312,0
2010-04-21,2.06,2.13,2.06,2.08,22805,0
2010-04-22,2.07,2.09,2.05,2.05,11735,0
2010-04-23,2.05,2.07,2.02,2.04,54718,0
2010-04-26,2.03,2.05,2.01,2.02,17840,0
2010-04-27,2.01,2.07,2,2.06,14518,0
2010-04-28,2.06,2.06,1.96,2,31244,0
2010-04-29,2.02,2.03,1.93,1.95,38946,0
2010-04-30,1.98,1.98,1.93,1.93,23860,0
2010-05-03,1.97,1.98,1.9,1.95,41443,0
2010-05-04,1.98,1.98,1.92,1.92,22794,0
2010-05-05,1.9,1.94,1.86,1.92,14700,0
2010-05-06,1.9,1.96,1.9,1.9,8450,0
2010-05-07,1.91,1.96,1.9,1.96,5906,0
2010-05-10,1.98,1.98,1.9,1.91,15880,0
2010-05-11,1.91,1.91,1.86,1.89,14555,0
2010-05-12,1.88,1.98,1.87,1.91,10412,0
2010-05-13,1.92,1.92,1.86,1.88,6769,0
2010-05-14,1.87,1.87,1.75,1.82,16426,0
2010-05-17,1.82,1.85,1.67,1.7,44071,0
2010-05-18,1.7,1.78,1.45,1.55,147818,0
2010-05-19,1.55,1.69,1.55,1.61,28266,0
2010-05-20,1.62,1.67,1.62,1.65,31198,0
2010-05-21,1.71,1.85,1.65,1.79,38206,0
2010-05-24,1.79,1.79,1.69,1.69,7800,0
2010-05-25,1.7,1.8,1.56,1.79,25134,0
2010-05-26,1.87,1.87,1.73,1.85,15843,0
2010-05-27,1.83,1.85,1.69,1.75,14437,0
2010-05-28,1.73,1.73,1.73,1.73,1000,0
2010-06-01,1.7,1.8,1.7,1.8,6550,0
2010-06-02,1.83,1.83,1.68,1.79,10470,0
2010-06-03,1.8,1.87,1.78,1.85,8300,0
2010-06-04,1.82,1.82,1.62,1.66,35542,0
2010-06-07,1.6,1.7,1.6,1.6,23250,0
2010-06-08,1.6,1.6,1.52,1.55,15213,0
2010-06-09,1.55,1.55,1.44,1.45,17903,0
2010-06-10,1.41,1.56,1.41,1.56,22785,0
2010-06-11,1.52,1.56,1.49,1.55,2550,0
2010-06-14,1.56,1.56,1.45,1.45,3700,0
2010-06-15,1.49,1.5,1.43,1.45,13500,0
2010-06-16,1.49,1.49,1.47,1.49,2400,0
2010-06-17,1.51,1.53,1.44,1.53,8227,0
2010-06-18,1.47,1.55,1.44,1.54,7889,0
2010-06-21,1.53,1.63,1.49,1.56,8814,0
2010-06-23,1.51,1.54,1.45,1.48,7780,0
2010-06-24,1.49,1.49,1.47,1.47,941,0
2010-06-25,1.47,1.47,1.44,1.47,28876,0
2010-06-28,1.5,1.5,1.44,1.46,6645,0
2010-06-29,1.44,1.49,1.44,1.44,16454,0
2010-06-30,1.44,1.47,1.44,1.46,2950,0
2010-07-01,1.45,1.45,1.25,1.35,37456,0
2010-07-02,1.31,1.33,1.19,1.26,18127,0
2010-07-06,1.2,1.23,1.17,1.23,14300,0
2010-07-07,1.23,1.23,0.97,1.14,29669,0
2010-07-08,1.14,1.14,1.02,1.09,15952,0
2010-07-09,1,1.1,0.96,1.05,13342,0
2010-07-12,1.08,1.22,1.04,1.22,16150,0
2010-07-13,1.09,1.23,1.09,1.13,15546,0
2010-07-14,1.2,1.2,1.19,1.2,5608,0
2010-07-15,1.2,1.22,1.14,1.2,3200,0
2010-07-19,1.19,1.22,1.19,1.22,1927,0
2010-07-20,1.24,1.34,1.24,1.3,12326,0
2010-07-21,1.34,1.35,1.14,1.27,14144,0
2010-07-22,1.34,1.4,1.28,1.28,6400,0
2010-07-23,1.3,1.3,1.25,1.26,4382,0
2010-07-26,1.25,1.34,1.25,1.28,3707,0
2010-07-27,1.26,1.34,1.23,1.23,5981,0
2010-07-28,1.27,1.27,1.18,1.24,10158,0
2010-07-30,1.25,1.25,1.18,1.24,3078,0
2010-08-02,1.18,1.24,1.12,1.2,7123,0
2010-08-03,1.16,1.22,1,1.2,34900,0
2010-08-04,1.24,1.24,1.15,1.17,4050,0
2010-08-05,1.15,1.16,1.15,1.15,2507,0
2010-08-06,1.15,1.15,1.1,1.12,13200,0
2010-08-09,1.18,1.21,1.15,1.21,9890,0
2010-08-10,1.2,1.23,1.19,1.19,12800,0
2010-08-11,1.2,1.2,1.15,1.19,5300,0
2010-08-12,1.14,1.19,1.14,1.19,2288,0
2010-08-13,1.14,1.18,1.14,1.18,1780,0
2010-08-16,1.2,1.2,1.01,1.14,11400,0
2010-08-17,1.13,1.14,1.13,1.14,3030,0
2010-08-18,1.12,1.12,1,1.05,21013,0
2010-08-19,1.05,1.12,1.02,1.12,10201,0
2010-08-20,1.1,1.13,1,1.1,13525,0
2010-08-23,1.02,1.09,1.02,1.02,5810,0
2010-08-24,1.02,1.15,1.02,1.14,4999,0
2010-08-25,1.14,1.14,1.06,1.08,3549,0
2010-08-26,1.13,1.14,1.06,1.14,1296,0
2010-08-27,1.08,1.14,1.06,1.08,5800,0
2010-08-30,1.11,1.18,1.01,1.05,9247,0
2010-08-31,1.01,1.13,1.01,1.08,3700,0
2010-09-01,1.1,1.1,1.07,1.07,5349,0
2010-09-02,1.02,1.11,1.02,1.1,1919,0
2010-09-03,1.12,1.12,1.03,1.03,7151,0
2010-09-07,1.05,1.08,1.05,1.08,8328,0
2010-09-08,1.07,1.25,1.07,1.19,31787,0
2010-09-09,1.22,1.34,1.13,1.29,39009,0
2010-09-10,1.29,1.3,1.16,1.27,12865,0
2010-09-13,1.28,1.44,1.23,1.43,39642,0
2010-09-14,1.4,1.44,1.37,1.37,4100,0
2010-09-15,1.41,1.44,1.33,1.33,2600,0
2010-09-16,1.33,1.49,1.27,1.27,23870,0
2010-09-17,1.32,1.38,1.27,1.27,7029,0
2010-09-20,1.35,1.4,1.27,1.36,9995,0
2010-09-21,1.37,1.4,1.35,1.39,5395,0
2010-09-22,1.36,1.36,1.35,1.36,3980,0
2010-09-23,1.38,1.38,1.29,1.34,4956,0
2010-09-24,1.32,1.34,1.25,1.3,13003,0
2010-09-27,1.3,1.3,1.25,1.27,6559,0
2010-09-28,1.27,1.27,1.2,1.23,4303,0
2010-09-29,1.22,1.23,1.2,1.23,8000,0
2010-09-30,1.26,1.26,1.21,1.21,700,0
2010-10-01,1.2,1.25,1.2,1.22,14502,0
2010-10-04,1.21,1.24,1.21,1.22,2300,0
2010-10-05,1.21,1.24,1.13,1.21,23125,0
2010-10-06,1.21,1.44,1.15,1.22,17516,0
2010-10-07,1.18,1.26,1.17,1.23,13450,0
2010-10-08,1.23,1.36,1.13,1.33,5858,0
2010-10-11,1.33,1.35,1.25,1.35,23534,0
2010-10-12,1.38,1.4,1.22,1.26,11111,0
2010-10-13,1.26,1.31,1.25,1.28,5900,0
2010-10-14,1.23,1.33,1.23,1.3,9985,0
2010-10-15,1.34,1.34,1.23,1.31,9050,0
2010-10-18,1.33,1.34,1.28,1.33,12600,0
2010-10-19,1.3,1.3,1.21,1.24,2792,0
2010-10-20,1.25,1.29,1.25,1.25,1758,0
2010-10-21,1.24,1.26,1.21,1.22,4801,0
2010-10-22,1.22,1.22,1.21,1.22,600,0
2010-10-25,1.12,1.26,1.11,1.16,21720,0
2010-10-26,1.16,1.22,1.15,1.21,5719,0
2010-10-27,1.22,1.22,1.21,1.21,600,0
2010-10-28,1.22,1.32,1.22,1.25,29104,0
2010-10-29,1.32,1.34,1.27,1.27,7865,0
2010-11-01,1.24,1.25,1.2,1.25,5860,0
2010-11-02,1.19,1.25,1.19,1.24,12440,0
2010-11-03,1.24,1.31,1.24,1.3,9606,0
2010-11-04,1.33,1.34,1.19,1.3,16200,0
2010-11-05,1.35,1.35,1.27,1.32,15625,0
2010-11-08,1.33,1.35,1.25,1.32,3025,0
2010-11-09,1.25,1.35,1.25,1.29,26522,0
2010-11-10,1.25,1.29,1.2,1.2,8250,0
2010-11-11,1.25,1.32,1.23,1.29,12997,0
2010-11-12,1.29,1.32,1.13,1.2,26325,0
2010-11-15,1.18,1.39,1.18,1.3,16278,0
2010-11-16,1.32,1.4,1.26,1.39,19080,0
2010-11-17,1.3,1.35,1.18,1.2,16753,0
2010-11-18,1.2,1.31,1.2,1.29,9806,0
2010-11-19,1.25,1.3,1.25,1.3,700,0
2010-11-22,1.24,1.38,1.21,1.28,8780,0
2010-11-23,1.28,1.3,1.27,1.3,443,0
2010-11-24,1.33,1.35,1.27,1.27,9640,0
2010-11-26,1.23,1.23,1.2,1.21,2900,0
2010-11-29,1.26,1.27,1.23,1.23,2834,0
2010-11-30,1.2,1.28,1.2,1.26,4716,0
2010-12-01,1.29,1.3,1.19,1.3,10700,0
2010-12-02,1.33,1.4,1.31,1.4,32531,0
2010-12-03,1.4,1.44,1.36,1.4,17572,0
2010-12-06,1.4,1.46,1.4,1.44,24372,0
2010-12-07,1.44,1.55,1.4,1.5,55610,0
2010-12-08,1.54,1.99,1.53,1.77,145892,0
2010-12-09,1.8,1.8,1.63,1.7,58185,0
2010-12-10,1.66,1.68,1.49,1.54,91389,0
2010-12-13,1.55,1.6,1.45,1.49,39051,0
2010-12-14,1.51,1.59,1.51,1.51,25788,0
2010-12-15,1.5,1.55,1.48,1.49,6934,0
2010-12-16,1.46,1.59,1.46,1.55,11130,0
2010-12-17,1.6,1.6,1.46,1.55,6894,0
2010-12-20,1.5,1.73,1.5,1.6,58725,0
2010-12-21,1.58,1.65,1.58,1.58,26703,0
2010-12-22,1.58,1.62,1.58,1.59,23200,0
2010-12-23,1.65,1.65,1.58,1.64,16612,0
2010-12-27,1.63,1.64,1.5,1.58,8682,0
2010-12-28,1.57,1.7,1.52,1.69,53229,0
2010-12-29,1.66,1.72,1.66,1.68,16645,0
2010-12-30,1.62,1.63,1.55,1.63,10319,0
2010-12-31,1.65,1.66,1.57,1.64,16915,0
2011-01-03,1.67,1.69,1.59,1.68,31725,0
2011-01-04,1.68,1.7,1.65,1.69,26717,0
2011-01-05,1.7,1.7,1.68,1.7,44394,0
2011-01-06,1.7,1.7,1.68,1.68,10120,0
2011-01-07,1.7,1.7,1.66,1.69,24381,0
2011-01-10,1.63,1.7,1.49,1.65,46377,0
