Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,44.676,44.93,44.63,44.883,17495,0
2010-01-05,44.982,45.018,44.81,45.018,7939,0
2010-01-06,44.973,45.054,44.965,45.01,7170,0
2010-01-07,44.902,45.237,44.902,45.237,2935,0
2010-01-08,45.129,45.244,45.129,45.219,11182,0
2010-01-11,45.507,45.507,45.28,45.481,13908,0
2010-01-12,45.139,45.27,44.912,45.035,4499,0
2010-01-13,45.1,45.507,45.018,45.481,9369,0
2010-01-14,45.465,45.633,45.427,45.615,9308,0
2010-01-15,45.325,45.325,44.921,45.082,13402,0
2010-01-19,45.345,45.652,45.345,45.652,5446,0
2010-01-20,45.391,45.391,44.883,45.2,4374,0
2010-01-21,45.018,45.018,44.458,44.557,10251,0
2010-01-22,44.296,44.35,43.392,43.426,4752,0
2010-01-25,43.817,43.826,43.599,43.608,5003,0
2010-01-26,43.445,43.817,43.383,43.471,2740,0
2010-01-27,43.374,43.716,43.236,43.716,5912,0
2010-01-28,43.471,43.471,42.922,43.192,4320,0
2010-01-29,43.355,43.59,42.712,42.712,9265,0
2010-02-01,43.018,43.281,42.982,43.281,20124,0
2010-02-02,43.245,43.862,43.245,43.834,8399,0
2010-02-03,43.68,43.77,43.49,43.59,19568,0
2010-02-04,43.128,43.156,42.26,42.289,10389,0
2010-02-05,42.251,42.306,41.517,42.242,27682,0
2010-02-08,42.296,42.513,42.045,42.045,4694,0
2010-02-09,42.459,42.747,42.223,42.539,22522,0
2010-02-10,42.52,42.576,42.113,42.404,4041,0
2010-02-11,42.395,42.856,42.251,42.856,9290,0
2010-02-12,42.431,42.848,42.279,42.731,8039,0
2010-02-16,43.046,43.526,43.046,43.517,3508,0
2010-02-17,43.789,43.789,43.644,43.733,9601,0
2010-02-18,43.834,44.071,43.724,44.043,8818,0
2010-02-19,43.879,44.185,43.817,44.071,9317,0
2010-02-22,44.258,44.258,43.969,44.043,9900,0
2010-02-23,43.95,43.969,43.426,43.544,5607,0
2010-02-24,43.689,43.879,43.635,43.834,2671,0
2010-02-25,43.209,43.68,43.201,43.671,2281,0
2010-02-26,43.898,43.94,43.852,43.94,1146,0
2010-03-01,44.125,44.323,44.125,44.323,31699,0
2010-03-02,44.548,44.621,44.422,44.448,6384,0
2010-03-03,44.602,44.756,44.548,44.548,3792,0
2010-03-04,44.486,44.602,44.422,44.602,8329,0
2010-03-05,44.893,45.2,44.893,45.164,35657,0
2010-03-08,45.21,45.253,45.156,45.253,999,0
2010-03-09,45.035,45.446,45.035,45.237,12776,0
2010-03-10,45.446,45.507,45.28,45.456,6751,0
2010-03-11,45.307,45.681,45.288,45.681,23983,0
2010-03-12,45.868,45.868,45.606,45.681,4733,0
2010-03-15,45.652,45.736,45.372,45.717,3503,0
2010-03-16,45.789,46.089,45.789,46.071,11678,0
2010-03-17,46.14,46.351,46.14,46.287,6275,0
