Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,13.864,14.296,13.835,14.219,5119194,0
2010-01-05,14.286,14.458,14.103,14.438,5325896,0
2010-01-06,14.351,14.574,14.258,14.306,3793189,0
2010-01-07,14.219,14.324,13.94,14.141,2978126,0
2010-01-08,14.324,14.468,14.151,14.39,3203569,0
2010-01-11,14.399,14.545,14.296,14.399,2817930,0
2010-01-12,14.209,14.258,13.95,14.112,3197771,0
2010-01-13,14.131,14.478,13.912,14.438,4802410,0
2010-01-14,14.593,14.987,14.468,14.709,6027381,0
2010-01-15,14.623,14.793,14.131,14.181,5546488,0
2010-01-19,14.428,14.488,14.19,14.258,4861576,0
2010-01-20,14.342,14.38,13.94,14.112,7174707,0
2010-01-21,13.95,14.278,13.382,13.912,14529783,0
2010-01-22,13.806,13.95,13.183,13.25,10956366,0
2010-01-25,13.327,13.538,13.192,13.382,3154547,0
2010-01-26,13.317,13.317,12.731,12.829,7793623,0
2010-01-27,12.8,13.124,12.663,13.008,3963387,0
2010-01-28,13.221,13.26,12.358,12.701,7841647,0
2010-01-29,12.875,13.018,12.127,12.175,6323410,0
2010-02-01,12.155,12.809,12.136,12.701,5771763,0
2010-02-02,12.952,13.298,12.865,13.124,7683049,0
2010-02-03,13.124,13.422,13.028,13.211,4347525,0
2010-02-04,13.078,13.106,12.691,12.846,7555016,0
2010-02-05,12.837,13.078,12.568,12.933,6693810,0
2010-02-08,13.058,13.221,12.79,12.962,3805241,0
2010-02-09,13.144,13.327,12.981,13.201,5293649,0
2010-02-10,13.192,13.459,13.134,13.192,5354610,0
2010-02-11,13.173,13.412,12.952,13.327,4119151,0
2010-02-12,13.087,13.508,12.711,13.308,5104054,0
2010-02-16,13.528,13.557,13.173,13.548,3635527,0
2010-02-17,13.615,13.737,13.528,13.737,3834747,0
2010-02-18,13.615,14.046,13.567,14.036,3480897,0
2010-02-19,14.017,14.131,13.796,13.989,3388805,0
2010-02-22,14.39,14.774,14.333,14.67,9094579,0
2010-02-23,14.603,14.641,14.007,14.151,6124792,0
2010-02-24,14.316,14.593,14.238,14.583,7369554,0
2010-02-25,14.112,14.409,13.864,14.36,7427734,0
2010-02-26,14.496,14.68,14.268,14.65,6141111,0
2010-03-01,14.632,15.109,14.39,15.034,9651456,0
2010-03-02,15.208,15.388,15.052,15.119,6599945,0
2010-03-03,15.198,15.495,14.89,14.91,5026417,0
2010-03-04,15.014,15.109,14.729,14.89,2893624,0
2010-03-05,14.959,15.188,14.822,15.128,3176820,0
2010-03-08,15.217,15.341,15.062,15.275,3579397,0
2010-03-09,15.266,15.408,15.089,15.148,4477408,0
2010-03-10,15.168,15.294,14.997,15.109,4521055,0
2010-03-11,15.034,15.052,14.66,14.997,5065427,0
2010-03-12,15.014,15.014,14.66,14.739,3455689,0
2010-03-15,14.739,14.784,14.535,14.739,4443880,0
2010-03-16,14.709,15.128,14.699,15.034,4020971,0
2010-03-17,15.138,15.619,15.109,15.438,4995471,0
2010-03-18,15.525,15.525,15.109,15.178,2786639,0
2010-03-19,15.188,15.188,14.623,14.699,5143809,0
2010-03-22,14.565,15.099,14.535,15.052,5002888,0
2010-03-23,15.168,15.879,15.148,15.742,7018968,0
2010-03-24,15.658,15.732,15.361,15.398,5722097,0
2010-03-25,15.638,15.926,15.56,15.658,5790822,0
2010-03-26,15.732,15.879,15.178,15.313,5789917,0
2010-03-29,15.361,15.515,15.024,15.138,4018908,0
2010-03-30,15.208,15.418,15.079,15.379,3478723,0
2010-03-31,15.256,15.379,14.959,14.969,4889970,0
2010-04-01,15.062,15.304,14.719,14.86,4551891,0
2010-04-05,14.997,15.351,14.987,15.331,2812106,0
2010-04-06,15.246,15.341,15.109,15.256,2167027,0
2010-04-07,15.208,15.275,14.969,15.099,5584624,0
2010-04-08,14.997,15.014,14.774,14.959,3291091,0
2010-04-09,15.024,15.128,14.91,15.109,2517615,0
2010-04-12,15.217,15.275,15.024,15.158,3395807,0
2010-04-13,15.062,15.294,15.034,15.266,4776101,0
2010-04-14,15.341,15.772,15.275,15.619,4891232,0
2010-04-15,15.6,15.879,15.534,15.752,3507483,0
2010-04-16,15.696,15.696,15.158,15.505,3740416,0
2010-04-19,15.438,15.447,14.822,15.168,4425208,0
2010-04-20,15.266,15.447,15.07,15.351,3107623,0
2010-04-21,15.648,15.732,15.099,15.284,3943892,0
2010-04-22,14.987,15.07,14.69,15.014,9170255,0
2010-04-23,14.969,15.119,14.793,14.92,5243296,0
2010-04-26,14.92,15.351,14.92,15.109,4790679,0
2010-04-27,15.024,15.217,14.784,14.793,4585210,0
2010-04-28,14.969,15.198,14.748,15.079,5128987,0
2010-04-29,15.284,15.58,15.089,15.58,7625798,0
2010-04-30,17.326,17.403,16.071,16.147,22595761,0
2010-05-03,16.743,16.992,16.453,16.734,7645285,0
2010-05-04,16.654,16.664,16.052,16.119,7739017,0
2010-05-05,15.83,16.128,15.304,15.762,7380005,0
2010-05-06,15.638,15.926,13.825,14.9,9317639,0
2010-05-07,14.613,14.86,13.69,14.399,10819051,0
2010-05-10,15.168,15.388,14.419,15.138,5187374,0
2010-05-11,15.043,15.418,14.699,15.043,6118350,0
2010-05-12,15.07,15.466,15.062,15.379,4327921,0
2010-05-13,15.294,15.57,15.024,15.119,4643723,0
2010-05-14,15.006,15.158,14.506,14.959,5716939,0
2010-05-17,14.959,15.043,14.296,14.699,6775127,0
2010-05-18,14.88,14.92,13.728,13.93,11064001,0
2010-05-19,13.816,14.229,13.605,14.094,6138622,0
2010-05-20,13.737,14.055,13.346,13.654,9550639,0
2010-05-21,13.346,14.296,13.192,13.989,6720724,0
2010-05-24,14.333,14.699,14.181,14.296,8516884,0
2010-05-25,13.864,14.342,13.518,14.306,6868347,0
2010-05-26,14.793,15.014,14.342,14.409,7822408,0
2010-05-27,14.85,15.485,14.748,15.466,16923590,0
2010-05-28,15.505,15.57,15.148,15.284,7453396,0
2010-06-01,15.188,15.668,15.062,15.07,5276072,0
2010-06-02,15.158,15.936,15.099,15.936,7948955,0
2010-06-03,15.946,16.166,15.762,16.099,5482979,0
2010-06-04,15.732,16.147,15.331,15.418,6359157,0
2010-06-07,15.466,15.61,14.739,14.83,5634617,0
2010-06-08,14.9,15.198,14.525,14.85,5069919,0
2010-06-09,14.969,15.284,14.565,14.67,5284717,0
2010-06-10,14.89,15.227,14.729,15.148,4138382,0
2010-06-11,14.88,15.677,14.83,15.648,5964692,0
2010-06-14,15.849,16.119,15.724,15.762,6411167,0
2010-06-15,15.916,16.588,15.849,16.541,5489981,0
2010-06-16,16.023,16.588,15.658,16.472,8093479,0
2010-06-17,16.522,17.02,16.273,16.982,10740666,0
2010-06-18,17.048,17.443,17.02,17.154,9343994,0
2010-06-21,17.481,17.596,16.684,16.781,7265245,0
2010-06-22,16.866,17.281,16.588,16.654,7054444,0
2010-06-23,16.763,17.096,16.367,16.905,5461488,0
2010-06-24,17.02,17.02,16.292,16.396,6787937,0
2010-06-25,16.453,17.213,16.263,16.876,30778070,0
2010-06-28,17.048,17.453,16.636,17.183,6325475,0
