Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,23.266,24.363,23.266,24.355,610922,0
2010-01-05,24.355,24.582,24.051,24.082,228435,0
2010-01-06,24.082,24.154,23.882,24.058,229313,0
2010-01-07,23.951,24.041,23.653,23.959,212994,0
2010-01-08,23.995,24.172,23.891,24.162,161822,0
2010-01-11,24.381,24.381,23.925,24.058,137716,0
2010-01-12,23.846,24.144,23.785,23.995,207265,0
2010-01-13,23.977,24.313,23.969,24.224,214677,0
2010-01-14,24.232,24.232,23.934,24.076,175785,0
2010-01-15,24.135,24.224,23.521,23.672,345085,0
2010-01-19,23.749,23.995,23.723,23.985,335020,0
2010-01-20,23.836,24.144,23.6,24.119,419765,0
2010-01-21,24.214,24.372,23.925,24.11,347372,0
2010-01-22,23.985,24.294,23.829,23.899,283403,0
2010-01-25,24.101,24.101,23.618,23.704,196406,0
2010-01-26,23.749,23.951,23.565,23.74,284317,0
2010-01-27,23.627,23.934,23.502,23.803,337236,0
2010-01-28,23.899,23.899,23.178,23.336,206063,0
2010-01-29,23.345,23.459,22.8,22.8,431065,0
2010-02-01,22.897,23.178,22.739,23.178,253944,0
2010-02-02,23.275,23.372,23.082,23.292,236366,0
2010-02-03,23.231,23.328,22.871,23.249,170575,0
2010-02-04,23.09,23.206,22.835,22.835,330924,0
2010-02-05,22.764,22.897,21.869,22.485,356443,0
2010-02-08,22.468,22.468,21.913,21.948,364099,0
2010-02-09,22.123,22.317,21.878,22.158,353862,0
2010-02-10,22.062,22.273,21.756,22.158,182948,0
2010-02-11,22.177,22.341,21.931,22.341,185211,0
2010-02-12,22.177,22.509,22.08,22.476,191222,0
2010-02-16,22.625,22.764,22.442,22.747,359788,0
2010-02-17,22.897,22.932,22.732,22.862,302006,0
2010-02-18,22.871,22.976,22.713,22.906,326135,0
2010-02-19,22.906,23.388,22.791,23.32,298207,0
2010-02-22,23.494,23.645,23.31,23.548,178827,0
2010-02-23,23.521,23.713,23.144,23.159,185000,0
2010-02-24,23.292,23.82,23.292,23.565,269809,0
2010-02-25,23.249,23.469,23.169,23.415,134011,0
2010-02-26,23.494,23.494,23.066,23.214,230488,0
2010-03-01,23.406,24.162,23.406,24.154,362724,0
2010-03-02,24.162,24.601,24.144,24.524,350801,0
2010-03-03,24.619,24.996,24.619,24.68,261361,0
2010-03-04,24.689,25.005,24.637,24.839,293609,0
2010-03-05,24.944,25.47,24.848,25.375,349070,0
2010-03-08,25.436,25.515,25.269,25.296,170732,0
2010-03-09,25.306,25.57,25.235,25.358,185916,0
2010-03-10,25.418,25.613,25.235,25.436,184953,0
