Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,27.577,27.706,26.577,26.889,1593494,0
2010-01-05,26.935,27.019,26.6,26.927,1378198,0
2010-01-06,26.927,27.234,26.357,26.585,1523981,0
2010-01-07,26.347,26.944,26.112,26.789,1386936,0
2010-01-08,26.495,26.715,25.844,26.09,832868,0
2010-01-11,26.418,26.446,25.844,26.04,743651,0
2010-01-12,25.852,25.967,25.211,25.577,975130,0
2010-01-13,25.577,26.234,25.547,26.097,922889,0
2010-01-14,25.838,26.112,25.754,25.967,539610,0
2010-01-15,26.006,26.027,25.41,25.814,758171,0
2010-01-19,25.951,27.095,25.708,27.026,1222948,0
2010-01-20,26.797,26.981,26.173,26.311,627618,0
2010-01-21,26.438,26.537,25.395,25.41,913311,0
2010-01-22,25.41,25.784,24.533,24.679,814659,0
2010-01-25,25.053,25.053,24.366,24.83,655146,0
2010-01-26,24.755,25.019,24.548,24.602,670727,0
2010-01-27,24.633,24.741,24.114,24.564,1180586,0
2010-01-28,24.548,24.639,24.015,24.198,466767,0
2010-01-29,24.312,24.708,23.932,24.053,862003,0
2010-02-01,24.342,25.211,24.342,24.816,753465,0
2010-02-02,24.807,25.959,24.791,25.562,1392208,0
2010-02-03,25.455,25.556,24.938,25.304,911814,0
2010-02-04,25.091,25.168,24.183,24.449,946996,0
2010-02-05,24.572,24.978,24.099,24.679,1244695,0
2010-02-08,24.663,24.791,24.121,24.183,880997,0
2010-02-09,24.609,24.741,24.037,24.35,2056189,0
2010-02-10,24.503,25.556,24.487,24.992,1583234,0
2010-02-11,24.83,25.441,24.524,25.403,1011478,0
2010-02-12,25.142,26.446,24.931,26.249,1241753,0
2010-02-16,26.569,27.277,26.097,27.165,1531918,0
2010-02-17,27.598,28.705,27.522,28.521,3021498,0
2010-02-18,28.302,29.049,28.263,28.865,2041710,0
2010-02-19,28.627,28.933,28.224,28.269,1110715,0
2010-02-22,28.484,28.496,28.093,28.383,847829,0
2010-02-23,28.362,28.696,28.172,28.505,985441,0
