Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,12.376,12.462,12.298,12.459,129036,0
2010-01-05,12.528,12.712,12.486,12.534,199875,0
2010-01-06,12.604,12.688,12.566,12.669,98052,0
2010-01-07,12.608,12.608,12.523,12.561,92660,0
2010-01-08,12.515,12.557,12.425,12.557,108898,0
2010-01-11,12.613,12.621,12.486,12.571,108087,0
2010-01-12,12.515,12.552,12.376,12.397,140648,0
2010-01-13,12.292,12.387,12.259,12.331,132624,0
2010-01-14,12.312,12.321,12.259,12.283,172643,0
2010-01-15,12.273,12.302,11.995,12.038,118171,0
2010-01-19,11.958,12.207,11.958,12.147,268803,0
2010-01-20,11.949,12,11.812,11.822,201866,0
2010-01-21,11.812,11.817,11.529,11.586,307767,0
2010-01-22,11.582,11.6,11.341,11.374,198631,0
2010-01-25,11.449,11.529,11.318,11.336,437286,0
2010-01-26,11.086,11.086,10.818,10.875,677746,0
2010-01-27,10.611,10.79,10.6,10.677,622163,0
2010-01-28,10.851,10.86,10.663,10.719,389025,0
2010-01-29,10.752,10.855,10.704,10.823,677418,0
2010-02-01,10.899,11.119,10.899,11.119,155737,0
2010-02-02,11.171,11.223,11.081,11.185,192920,0
2010-02-03,11.217,11.312,11.182,11.237,396699,0
2010-02-04,11.166,11.166,10.841,10.846,267578,0
2010-02-05,10.757,10.757,10.447,10.742,428487,0
2010-02-08,10.742,10.757,10.6,10.638,108310,0
2010-02-09,10.681,10.87,10.681,10.823,188943,0
2010-02-10,10.851,10.912,10.732,10.846,101812,0
2010-02-11,10.87,11.044,10.87,11.03,110101,0
2010-02-12,10.785,10.899,10.785,10.87,127094,0
2010-02-16,10.916,11.109,10.86,11.109,175806,0
2010-02-17,11.161,11.166,11.072,11.119,89743,0
2010-02-18,11.002,11.209,11.002,11.144,58374,0
2010-02-19,11.034,11.081,10.979,11.058,48449,0
2010-02-22,11.114,11.124,10.945,11.034,111565,0
2010-02-23,11.049,11.068,10.95,10.987,175745,0
2010-02-24,11.063,11.124,11.049,11.086,93536,0
2010-02-25,11.002,11.002,10.87,11.002,106069,0
2010-02-26,11.044,11.157,11.007,11.157,192453,0
2010-03-01,11.233,11.363,11.233,11.336,154571,0
2010-03-02,11.361,11.425,11.318,11.336,142951,0
2010-03-03,11.318,11.422,11.318,11.341,47838,0
2010-03-04,11.279,11.294,11.182,11.276,93008,0
2010-03-05,11.341,11.464,11.312,11.459,109181,0
2010-03-08,11.438,11.534,11.438,11.516,119012,0
2010-03-09,11.444,11.586,11.417,11.497,112842,0
2010-03-10,11.511,11.553,11.397,11.516,47306,0
2010-03-11,11.516,11.548,11.438,11.543,68353,0
2010-03-12,11.507,11.567,11.497,11.563,83821,0
2010-03-15,11.497,11.497,11.388,11.436,100565,0
2010-03-16,11.464,11.507,11.417,11.481,99753,0
2010-03-17,11.543,11.638,11.534,11.543,209820,0
2010-03-18,11.563,11.619,11.534,11.563,95252,0
2010-03-19,11.571,11.586,11.511,11.534,155791,0
2010-03-22,11.392,11.571,11.392,11.521,55043,0
2010-03-23,11.521,11.582,11.478,11.558,58799,0
2010-03-24,11.497,11.497,11.407,11.436,74628,0
2010-03-25,11.429,11.449,11.361,11.361,199720,0
2010-03-26,11.436,11.558,11.436,11.521,142466,0
2010-03-29,11.646,11.718,11.6,11.694,117218,0
2010-03-30,11.728,11.826,11.728,11.737,172760,0
2010-03-31,11.728,11.737,11.646,11.684,102824,0
2010-04-01,11.849,11.982,11.837,11.893,205975,0
2010-04-05,12.057,12.12,12.005,12.085,104431,0
2010-04-06,12.085,12.089,12.029,12.061,503724,0
2010-04-07,11.982,12.061,11.958,12.024,100078,0
2010-04-08,12.029,12.17,11.973,12.165,164154,0
2010-04-09,12.193,12.331,12.193,12.298,101587,0
2010-04-12,12.273,12.307,12.205,12.256,66118,0
2010-04-13,12.174,12.213,12.113,12.213,95816,0
2010-04-14,12.217,12.307,12.174,12.307,144038,0
2010-04-15,12.217,12.273,12.153,12.17,103601,0
2010-04-16,12.067,12.08,11.784,11.888,246452,0
2010-04-19,11.897,11.897,11.675,11.784,138253,0
2010-04-20,11.888,11.921,11.831,11.859,100587,0
2010-04-21,11.853,11.853,11.747,11.793,114421,0
2010-04-22,11.784,11.826,11.68,11.812,104721,0
2010-04-23,11.779,11.779,11.709,11.722,258377,0
2010-04-26,11.774,11.817,11.732,11.751,98680,0
2010-04-27,11.642,11.646,11.438,11.438,141413,0
2010-04-28,11.543,11.586,11.473,11.553,107532,0
2010-04-29,11.563,11.646,11.534,11.571,285826,0
2010-04-30,11.576,11.666,11.478,11.491,172686,0
2010-05-03,11.436,11.538,11.384,11.491,214353,0
2010-05-04,11.379,11.384,11.107,11.132,283863,0
2010-05-05,10.922,11.092,10.752,10.964,285168,0
2010-05-06,10.979,10.979,9.582,10.469,521705,0
2010-05-07,10.422,10.587,10.266,10.521,401471,0
2010-05-10,10.732,11.144,10.732,11.058,235020,0
2010-05-11,10.752,11.039,10.732,10.93,196425,0
2010-05-12,10.814,11.068,10.814,11.021,107608,0
2010-05-13,11.039,11.097,10.979,11.03,129005,0
2010-05-14,10.818,10.851,10.738,10.846,142349,0
2010-05-17,10.823,10.823,10.569,10.747,140158,0
2010-05-18,10.771,10.912,10.573,10.587,169628,0
2010-05-19,10.371,10.485,10.28,10.413,300512,0
2010-05-20,10.012,10.097,9.871,10.097,413950,0
2010-05-21,9.844,10.238,9.678,10.158,334856,0
2010-05-24,10.215,10.358,10.191,10.266,348834,0
2010-05-25,9.918,10.177,9.848,10.168,219997,0
2010-05-26,10.257,10.485,10.248,10.314,256960,0
2010-05-27,10.375,10.802,10.375,10.802,130704,0
2010-05-28,10.814,10.912,10.795,10.884,703662,0
2010-06-01,10.638,10.738,10.507,10.507,195186,0
2010-06-02,10.531,10.719,10.493,10.691,128598,0
2010-06-03,10.729,10.808,10.681,10.752,141628,0
2010-06-04,10.619,10.619,10.38,10.413,132915,0
2010-06-07,10.455,10.521,10.289,10.314,136505,0
2010-06-08,10.347,10.469,10.314,10.465,163988,0
2010-06-09,10.541,10.648,10.447,10.493,217505,0
2010-06-10,10.619,10.785,10.619,10.785,118669,0
2010-06-11,10.687,10.916,10.6,10.916,191050,0
2010-06-14,10.95,11.021,10.926,10.973,303709,0
