Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,7.9835,8.0831,7.9835,8.0679,277350,0
2010-01-05,8.1178,8.1289,8.078,8.1127,213894,0
2010-01-06,8.1346,8.1517,8.0957,8.1289,229619,0
2010-01-07,8.1517,8.2182,8.1517,8.2182,229976,0
2010-01-08,8.2244,8.258,8.1848,8.258,243041,0
2010-01-11,8.2692,8.2692,8.2182,8.2692,217192,0
2010-01-12,8.2358,8.2469,8.1397,8.1738,324479,0
2010-01-13,8.1627,8.2244,8.1627,8.2182,209539,0
2010-01-14,8.1627,8.1788,8.0899,8.1456,351899,0
2010-01-15,8.1456,8.1456,8.0168,8.062,175886,0
2010-01-19,8.0899,8.1517,8.0831,8.1397,161593,0
2010-01-20,8.0957,8.1239,8.0285,8.1058,187360,0
2010-01-21,8.1,8.1178,7.9428,7.9835,268034,0
2010-01-22,7.9835,8.0559,7.9327,7.9327,127210,0
2010-01-25,7.9895,8.0393,7.9038,7.9994,187597,0
2010-01-26,7.9994,8.0831,7.9495,8.0216,184383,0
2010-01-27,8.062,8.062,7.9428,7.9895,173001,0
2010-01-28,8.011,8.0216,7.8765,7.9153,321723,0
2010-01-29,7.9895,7.9895,7.7642,7.77,278384,0
2010-02-01,7.7975,7.9495,7.7975,7.9386,196676,0
2010-02-02,7.9211,8.05,7.9153,8.0168,174688,0
2010-02-03,7.9428,8.0559,7.9428,7.9895,171611,0
2010-02-04,7.9153,7.9327,7.5904,7.6126,643913,0
2010-02-05,7.5952,7.6411,7.136,7.489,1250420,0
2010-02-08,7.4497,7.5736,7.4221,7.4325,331514,0
2010-02-09,7.489,7.6348,7.489,7.607,267586,0
2010-02-10,7.5626,7.6246,7.5289,7.5626,151701,0
2010-02-11,7.5179,7.607,7.5179,7.5952,156094,0
2010-02-12,7.5801,7.5952,7.489,7.5952,223280,0
2010-02-16,7.6299,7.7873,7.5904,7.7421,252881,0
2010-02-17,7.7309,7.7873,7.7191,7.7818,181860,0
2010-02-18,7.7191,7.7975,7.7191,7.7754,134278,0
2010-02-19,7.7421,7.8422,7.7191,7.7873,164895,0
2010-02-22,7.7873,7.7873,7.7356,7.7818,209792,0
2010-02-23,7.7754,7.8144,7.6968,7.7818,204017,0
2010-02-24,7.8208,7.8208,7.7642,7.8087,166392,0
2010-02-25,7.8319,7.8485,7.6572,7.7754,162348,0
2010-02-26,7.8087,7.8588,7.758,7.7754,193202,0
2010-03-01,7.7921,7.9103,7.7921,7.9103,164333,0
2010-03-02,7.9211,7.9835,7.8994,7.9718,166434,0
2010-03-03,8.011,8.0168,7.9103,7.9602,151532,0
2010-03-04,7.9602,7.9994,7.9386,7.9718,127690,0
2010-03-05,8.011,8.0168,7.9602,7.9895,144779,0
2010-03-08,7.966,8.0559,7.9327,8.05,198447,0
2010-03-09,8.011,8.0831,7.9602,8.0831,176408,0
2010-03-10,8.1,8.1178,8.078,8.0831,138748,0
2010-03-11,8.1,8.1517,8.0831,8.0899,116116,0
2010-03-12,8.1289,8.1289,8.0449,8.0679,231118,0
2010-03-15,8.0679,8.0679,7.9895,8.0393,170449,0
2010-03-16,8.062,8.1239,8.0449,8.1178,197386,0
2010-03-17,8.1239,8.1627,8.062,8.0831,236442,0
2010-03-18,8.0957,8.1788,8.05,8.1738,210045,0
2010-03-19,8.1968,8.2019,8.1058,8.1517,194853,0
2010-03-22,8.1456,8.2071,8.1058,8.1289,294356,0
