Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,119.6,119.6,110.2,112.4,1354,0
2010-01-05,110.2,112,108,108,966,0
2010-01-06,109,109,100,101,2642,0
2010-01-07,104,107.8,100,104.8,2131,0
2010-01-08,99,118,99,109,4660,0
2010-01-11,112,120,110,120,1716,0
2010-01-12,120,129,118,126,3447,0
2010-01-13,124,126.8,120,122,1060,0
2010-01-14,124,139,122,139,1702,0
2010-01-15,150,154.8,141,145,1975,0
2010-01-19,140,145,137.4,137.4,940,0
2010-01-20,130.6,132,121,124.2,1802,0
2010-01-21,130,130,122,123,280,0
2010-01-22,129.4,129.6,123.2,125.4,988,0
2010-01-25,125,125,122,122,843,0
2010-01-26,121,121.8,110.6,117.2,2337,0
2010-01-27,117,120,114,117.8,1239,0
2010-01-28,115.2,115.2,112.2,113,422,0
2010-01-29,113.2,115,110.8,114.6,1043,0
2010-02-01,114.6,114.6,109,110,522,0
2010-02-02,110,112.6,109,109.8,863,0
2010-02-03,110,111.8,107,108.8,1103,0
2010-02-04,107.4,109.8,107.4,108.4,644,0
2010-02-05,107.6,110,107.6,108,605,0
2010-02-08,110,110,108,108.2,548,0
2010-02-09,108.2,109.8,103.2,108,676,0
2010-02-10,101.6,107.8,101.6,106.8,523,0
2010-02-11,102,106.8,102,105.4,198,0
2010-02-12,107,107,98,106.8,1768,0
2010-02-16,106.2,106.2,101.2,104,1113,0
2010-02-17,101.2,104,101.2,103,953,0
2010-02-18,102,102,100.2,100.8,492,0
2010-02-19,102,104,100,100,3934,0
2010-02-22,102,103,100,100,710,0
2010-02-23,100,102,98.2,98.6,1020,0
2010-02-24,100,100,92,93,1821,0
2010-02-25,100.2,100.2,93.6,95.8,842,0
2010-02-26,102.2,103,101,102,1503,0
2010-03-01,99.8,103,99.8,100.2,374,0
2010-03-02,103,103,99.8,102,423,0
2010-03-03,100,100,95,97.8,1854,0
2010-03-04,100,100,98.2,99,468,0
2010-03-05,96,99.8,96,98,1019,0
2010-03-08,98,98,96,96,875,0
2010-03-09,97,97.8,95.4,95.4,812,0
2010-03-10,95,100,95,100,1559,0
2010-03-11,97.6,102,96,100,683,0
2010-03-12,100.2,100.8,96,100.4,631,0
2010-03-15,102,102,96.4,97,1190,0
2010-03-16,100,100,96,97.2,921,0
2010-03-17,99,100,98.2,99.6,377,0
2010-03-18,99,99,98,98,62,0
2010-03-19,97,97,93.4,95,992,0
2010-03-22,93.8,96,93.6,95.8,573,0
2010-03-23,93,96.8,93,93.2,571,0
2010-03-24,92.4,94,90.8,91.6,1324,0
2010-03-25,92,94.4,92,92,437,0
2010-03-26,94,94,92,92.8,460,0
2010-03-29,102,150,101.2,114.2,65310,0
2010-03-30,115.8,115.8,102.8,105,7671,0
2010-03-31,107.4,107.4,99.2,100,4247,0
