Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,3.0031,3.1285,2.9852,3.0838,102415,0
2010-01-05,3.1376,3.2093,3.0569,3.2003,106839,0
2010-01-06,3.2093,3.3437,3.2003,3.272,216244,0
2010-01-07,3.299,3.3437,3.2003,3.3437,93382,0
2010-01-08,3.3437,3.4692,3.3077,3.4692,97361,0
2010-01-11,3.4783,3.4872,3.3347,3.3347,86597,0
2010-01-12,3.3885,3.4513,3.2541,3.2541,92074,0
2010-01-13,3.2899,3.3617,3.2452,3.3171,68505,0
2010-01-14,3.3437,3.4066,3.2809,3.3437,47325,0
2010-01-15,3.299,3.3077,3.2541,3.2541,71339,0
2010-01-19,3.2541,3.272,3.2003,3.2361,114360,0
2010-01-20,3.1735,3.2093,3.1554,3.1735,39312,0
2010-01-21,3.2003,3.2003,3.1016,3.1106,39688,0
2010-01-22,3.0927,3.1016,3.0838,3.0927,92816,0
2010-01-25,3.1464,3.2003,3.1196,3.1464,81070,0
2010-01-26,3.1106,3.1824,3.0927,3.1824,68515,0
2010-01-27,3.1645,3.2541,3.0927,3.2181,78632,0
2010-01-28,3.1645,3.3706,3.1645,3.2541,152041,0
2010-01-29,3.2809,3.3885,3.1824,3.1824,54048,0
2010-02-01,3.2272,3.3617,3.2272,3.3617,78137,0
2010-02-02,3.3706,3.5499,3.3259,3.4783,143543,0
2010-02-03,3.4692,3.5768,3.4066,3.4513,136142,0
2010-02-04,3.4423,3.523,3.1554,3.2541,313511,0
2010-02-05,3.2541,3.272,3.1554,3.2631,63543,0
2010-02-08,3.3347,3.3885,3.2272,3.3171,71463,0
2010-02-09,3.3976,3.3976,3.2809,3.3706,85892,0
2010-02-10,3.3259,3.3617,3.2452,3.3526,127910,0
2010-02-11,3.3437,3.4335,3.3347,3.4335,54083,0
2010-02-12,3.4154,3.4783,3.3617,3.4513,46967,0
2010-02-16,3.4242,3.4961,3.3976,3.4961,108348,0
2010-02-17,3.4783,3.523,3.4513,3.5141,60581,0
2010-02-18,3.5141,3.6126,3.5141,3.6126,119924,0
2010-02-19,3.5678,3.6306,3.5499,3.6215,103507,0
2010-02-22,3.6037,3.6575,3.5499,3.6215,70520,0
2010-02-23,3.6037,3.6037,3.4513,3.4692,110930,0
2010-02-24,3.4961,3.5678,3.4154,3.5141,63950,0
2010-02-25,3.4961,3.4961,3.4066,3.4423,28297,0
2010-02-26,3.4423,3.523,3.4154,3.4513,83914,0
2010-03-01,3.6126,3.6126,3.4513,3.4513,43651,0
2010-03-02,3.4692,3.5141,3.4513,3.4513,34989,0
2010-03-03,3.4783,3.4961,3.4692,3.4783,24781,0
2010-03-04,3.4961,3.523,3.4603,3.4603,40459,0
2010-03-05,3.4961,3.523,3.4513,3.5141,69988,0
2010-03-08,3.532,3.6306,3.5141,3.5948,87145,0
2010-03-09,3.541,3.8456,3.541,3.8368,182276,0
2010-03-10,3.8547,4.1595,3.8188,4.1058,378371,0
2010-03-11,4.0968,4.3299,3.6844,3.8456,580179,0
2010-03-12,3.8817,3.9981,3.8637,3.9173,182246,0
2010-03-15,3.9443,4.1775,3.8456,4.043,395934,0
2010-03-16,4.0968,4.2312,3.9712,4.2043,255333,0
2010-03-17,4.2401,4.3031,4.0878,4.1146,218397,0
2010-03-18,4.1505,4.1863,4.0609,4.0968,53095,0
2010-03-19,4.1058,4.1058,3.8725,3.9802,104966,0
2010-03-22,3.9712,4.1505,3.9443,4.1146,130719,0
2010-03-23,4.1146,4.2581,4.0789,4.2312,174279,0
2010-03-24,4.2312,4.4643,4.1685,4.4014,328293,0
2010-03-25,4.4553,4.8856,4.4464,4.8677,636492,0
2010-03-26,4.9215,4.9215,4.778,4.8139,258300,0
2010-03-29,4.8139,4.9034,4.796,4.8228,184008,0
2010-03-30,4.8139,4.8856,4.8139,4.8767,352857,0
2010-03-31,4.8677,5.2263,4.8497,5.1993,348282,0
2010-04-01,5.2263,5.6027,5.2263,5.4773,801306,0
2010-04-05,5.6207,5.6654,5.522,5.6476,400201,0
2010-04-06,5.6566,5.782,5.6386,5.7013,291692,0
2010-04-07,5.6654,5.7461,5.6207,5.6566,275024,0
2010-04-08,5.6027,5.6027,5.2083,5.5041,539394,0
2010-04-09,5.549,5.7282,5.4056,5.7104,212829,0
2010-04-12,5.7193,5.9434,5.6836,5.8628,330250,0
2010-04-13,5.8269,6.0061,5.6923,5.9613,344954,0
2010-04-14,5.9165,6.051,5.8449,5.9793,274810,0
2010-04-15,5.9882,6.0332,5.9256,6.0061,163751,0
2010-04-16,5.9793,6.0332,5.7641,5.9434,283219,0
2010-04-19,5.9523,6.1675,5.7641,6.1318,560204,0
2010-04-20,6.1496,6.3557,6.1496,6.311,758129,0
2010-04-21,6.3199,6.4543,6.311,6.4095,707103,0
2010-04-22,6.3917,6.6248,6.3378,6.5531,695374,0
2010-04-23,6.562,6.5978,6.347,6.5798,356439,0
2010-04-26,6.4634,6.5531,6.4543,6.517,209229,0
2010-04-27,6.4364,6.4454,6.1853,6.1945,323616,0
2010-04-28,6.1675,6.4454,6.1049,6.3917,394423,0
2010-04-29,6.3827,6.7143,6.3827,6.6515,420844,0
2010-04-30,6.7413,6.7951,6.5439,6.6965,375089,0
2010-05-03,6.6606,6.786,6.616,6.7055,265243,0
2010-05-04,6.6696,6.6965,6.4543,6.6606,238725,0
2010-05-05,6.4095,6.6427,6.4095,6.4543,421767,0
2010-05-06,6.5082,6.786,5.5401,6.2213,820779,0
2010-05-07,6.2213,6.2481,5.8538,6.1496,520054,0
2010-05-10,6.4006,6.562,6.3378,6.4634,278433,0
2010-05-11,6.4275,6.7232,6.3288,6.5978,340275,0
2010-05-12,6.6248,6.8039,6.6248,6.7771,211880,0
2010-05-13,6.7502,6.7771,6.6696,6.6696,201076,0
2010-05-14,6.5439,6.5889,6.3647,6.5439,259397,0
2010-05-17,6.5351,6.5798,6.3827,6.5261,327830,0
2010-05-18,6.6336,6.7592,6.4543,6.5261,321441,0
2010-05-19,6.4814,6.517,6.1496,6.4634,385842,0
2010-05-20,6.3199,6.3288,5.8807,5.9613,365948,0
2010-05-21,5.8538,6.1318,5.8178,6.0869,203568,0
2010-05-24,6.1227,6.1945,5.809,5.8449,110233,0
2010-05-25,5.7013,5.8538,5.522,5.8358,514544,0
2010-05-26,5.8716,6.1049,5.8716,5.8987,135679,0
2010-05-27,5.9793,6.2302,5.9793,6.2302,155355,0
