Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,17.554,18.039,17.554,18.017,243174,0
2010-01-05,18.109,18.581,18.109,18.484,335406,0
2010-01-06,18.587,18.947,18.581,18.914,229370,0
2010-01-07,18.965,18.965,18.346,18.602,243414,0
2010-01-08,18.551,18.729,18.378,18.617,222310,0
2010-01-11,18.793,19.119,18.747,19.063,194139,0
2010-01-12,19.046,19.046,18.762,18.786,228562,0
2010-01-13,18.095,18.22,17.495,18.01,702391,0
2010-01-14,18.004,18.426,17.799,18.36,288319,0
2010-01-15,18.451,18.669,18.087,18.536,210481,0
2010-01-19,18.571,18.631,17.93,18.062,599103,0
2010-01-20,17.982,18.101,17.838,18.062,224333,0
2010-01-21,18.101,18.22,17.733,17.807,472459,0
2010-01-22,17.807,17.838,17.371,17.554,328136,0
2010-01-25,17.574,17.793,17.483,17.773,257703,0
2010-01-26,17.786,17.977,17.635,17.969,208728,0
2010-01-27,17.918,18.121,17.799,18.121,208817,0
2010-01-28,18.121,18.121,17.831,17.969,291162,0
2010-01-29,17.969,18.128,17.595,17.799,210257,0
2010-02-01,17.799,18.128,17.767,18.115,179436,0
2010-02-02,18.082,18.275,18.039,18.247,310389,0
2010-02-03,17.885,18.056,17.371,17.371,329079,0
2010-02-04,17.338,17.338,16.172,16.466,606807,0
2010-02-05,16.447,16.698,15.306,16.645,687910,0
2010-02-08,16.605,16.793,16.27,16.421,250703,0
2010-02-09,16.585,16.982,16.48,16.843,167203,0
2010-02-10,16.922,17.035,16.605,16.692,227384,0
2010-02-11,16.658,16.982,16.348,16.975,189487,0
2010-02-12,16.897,17.286,16.686,17.271,207805,0
2010-02-16,17.475,18.115,17.467,17.944,356321,0
2010-02-17,18.062,18.163,17.779,18.15,188164,0
2010-02-18,18.293,18.293,17.799,17.851,198080,0
2010-02-19,17.885,18.023,17.779,17.964,100553,0
2010-02-22,18.188,18.188,17.865,17.95,105223,0
2010-02-23,17.799,17.957,17.401,17.523,227002,0
2010-02-24,17.554,17.838,17.271,17.483,182052,0
2010-02-25,17.33,17.897,17.33,17.892,97866,0
2010-02-26,18.004,18.128,17.851,17.989,125074,0
2010-03-01,18.176,18.182,17.93,18.101,141232,0
2010-03-02,18.293,18.518,18.169,18.465,197863,0
2010-03-03,18.602,18.723,18.418,18.526,307829,0
