Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,21.76,22.24,21.56,21.8,1331332,0
2010-01-05,23.68,24.64,23.64,24,6713411,0
2010-01-06,24.12,24.2,23.36,23.6,1973453,0
2010-01-07,24.28,24.6,23.92,24.04,2352692,0
2010-01-08,24.04,25.12,24.04,25,2580723,0
2010-01-11,25.44,25.52,24.44,24.56,1305402,0
2010-01-12,24.12,24.32,23.44,23.64,1788315,0
2010-01-13,23.96,25.12,23.84,25,2425640,0
2010-01-14,25,25.76,24.6,25.16,2490801,0
2010-01-15,25.04,25.36,24.24,24.28,2027482,0
2010-01-19,24.4,24.72,22.76,23.44,3993248,0
2010-01-20,22.96,23.2,22.4,22.6,2640605,0
2010-01-21,22.72,22.92,21.76,21.8,2256570,0
2010-01-22,21.72,22.12,20.68,20.76,3891836,0
2010-01-25,21.04,21.4,20.68,21.16,2073580,0
2010-01-26,20.8,22.6,20.8,22.12,3201457,0
2010-01-27,22.08,22.24,21.24,21.56,1685109,0
2010-01-28,21.92,22,20.52,20.64,2340452,0
2010-01-29,20.96,22.36,20.68,22.16,6012033,0
2010-02-01,22.04,22.32,21.2,21.96,3064347,0
2010-02-02,22.12,22.48,21.68,22.36,1875757,0
2010-02-03,22.32,22.76,21.88,22.08,1290644,0
2010-02-04,21.72,21.84,20.72,20.8,2698749,0
2010-02-05,20.76,20.8,19.8,20.4,2534404,0
2010-02-08,20.28,20.6,19.72,19.84,2555360,0
2010-02-09,20.28,20.72,20,20.6,1614003,0
2010-02-10,20.44,20.68,20.24,20.32,1098532,0
2010-02-11,20.28,21.08,20.16,20.96,1088325,0
2010-02-12,20.72,21.04,20.48,20.84,1692799,0
2010-02-16,21.24,21.28,20.68,21.28,1447296,0
2010-02-17,21.4,22.36,21.4,22.2,1881597,0
2010-02-18,22.08,23,22.04,22.56,1758040,0
2010-02-19,22.4,22.68,22.2,22.36,2290982,0
2010-02-22,22.56,22.68,22.08,22.32,2638540,0
2010-02-23,21.32,21.36,19.68,20.16,7388954,0
