Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,7.8689,8.2733,7.8689,8.1509,296090,0
2010-01-05,8.1324,8.1978,8.0194,8.0569,476192,0
2010-01-06,8.0569,8.1509,7.8027,7.8499,462484,0
2010-01-07,7.8689,7.9909,7.765,7.9345,182760,0
2010-01-08,7.8781,8.0379,7.8123,7.9815,106178,0
2010-01-11,7.2284,8.0945,7.2284,8.0476,178099,0
2010-01-12,7.9909,8.17,7.8689,7.9724,126803,0
2010-01-13,8.0005,8.2451,7.8781,8.1794,108249,0
2010-01-14,8.1606,8.2361,7.9441,8.1978,72742,0
2010-01-15,8.2361,8.2733,8.0005,8.0476,217226,0
2010-01-19,8.0945,8.2638,8.0476,8.17,204661,0
2010-01-20,8.1133,8.2638,7.7089,8.0569,150794,0
2010-01-21,8.0945,8.17,7.5486,7.831,221501,0
2010-01-22,7.8499,7.8499,7.4545,7.4827,271181,0
2010-01-25,7.577,7.6332,7.125,7.5299,213323,0
2010-01-26,7.4733,7.4733,7.2661,7.3226,150065,0
2010-01-27,7.2381,7.6991,7.191,7.624,134696,0
2010-01-28,7.6332,7.7089,7.4451,7.5861,190812,0
2010-01-29,7.6428,7.6806,7.5017,7.6332,244622,0
2010-02-01,7.7182,7.7182,7.4169,7.5486,230179,0
2010-02-02,7.5299,7.7182,7.4545,7.5676,231659,0
2010-02-03,7.5486,7.6524,7.3416,7.4733,128647,0
2010-02-04,7.4169,7.6144,7.1816,7.3043,215629,0
2010-02-05,7.3416,7.3509,6.8144,7.0309,224273,0
2010-02-08,7.0592,7.0592,6.6356,6.7579,205532,0
2010-02-09,6.8706,7.0218,6.8334,6.9746,293711,0
2010-02-10,6.918,7.191,6.7486,7.0218,193540,0
2010-02-11,6.9746,7.1533,6.7486,7.1345,141860,0
2010-02-12,7.0309,7.2944,6.6922,7.2758,209656,0
2010-02-16,7.3321,7.6806,7.2284,7.6524,131837,0
2010-02-17,7.6615,7.8593,7.5299,7.7557,181714,0
2010-02-18,7.7746,8.1415,7.624,8.0945,183324,0
2010-02-19,8.0849,8.1606,7.8969,8.0097,273323,0
2010-02-22,8.0664,8.2361,8.0005,8.1415,266915,0
2010-02-23,8.1509,8.1509,7.7746,7.9065,178661,0
2010-02-24,7.9724,8.1042,7.8027,7.9815,321149,0
2010-02-25,7.8404,8.1794,7.8404,8.1042,277759,0
2010-02-26,8.0849,8.1324,7.9535,8.0945,261196,0
2010-03-01,8.17,8.6122,8.0755,8.5839,299723,0
2010-03-02,8.5839,8.6875,8.4709,8.6595,266561,0
2010-03-03,8.7065,8.7065,8.3866,8.5465,236339,0
2010-03-04,8.5839,8.7629,8.4899,8.6875,140151,0
2010-03-05,8.725,9.282,8.6875,9.282,402677,0
2010-03-08,9.282,9.3766,9.0358,9.357,292359,0
2010-03-09,9.3374,9.695,9.2623,9.695,1152884,0
2010-03-10,10.127,10.401,10.023,10.213,1034921,0
2010-03-11,10.174,10.569,10.041,10.513,838630,0
2010-03-12,10.522,10.757,10.242,10.682,676030,0
2010-03-15,10.692,11.041,10.476,10.532,1012938,0
2010-03-16,10.541,10.541,10.174,10.325,651613,0
2010-03-17,10.401,10.824,10.345,10.401,596037,0
2010-03-18,10.401,10.787,10.362,10.467,343266,0
2010-03-19,10.55,10.55,9.912,10.08,487155,0
2010-03-22,10.013,10.522,9.976,10.392,489285,0
2010-03-23,10.429,10.787,10.429,10.72,250967,0
2010-03-24,10.701,10.777,10.569,10.656,405275,0
2010-03-25,10.767,11.041,9.912,10.674,283494,0
2010-03-26,10.738,10.757,10.579,10.637,198356,0
2010-03-29,10.701,11.002,10.656,10.967,306136,0
2010-03-30,10.92,11.202,10.892,10.993,236296,0
2010-03-31,10.976,11.144,10.777,10.901,408611,0
2010-04-01,10.939,11.041,10.608,11.021,153187,0
2010-04-05,11.105,11.287,11.012,11.192,178207,0
2010-04-06,10.843,11.287,10.824,11.144,77225,0
2010-04-07,11.172,11.267,10.814,10.901,197783,0
2010-04-08,10.805,11.172,10.504,10.91,252164,0
2010-04-09,10.957,11.287,10.767,11.162,231149,0
2010-04-12,11.162,11.287,10.939,11.162,225584,0
2010-04-13,11.096,11.202,10.939,11.192,196606,0
2010-04-14,11.22,11.475,11.144,11.438,495986,0
2010-04-15,11.457,11.625,11.321,11.595,221665,0
2010-04-16,11.587,11.587,11.105,11.296,325477,0
2010-04-19,11.257,11.625,10.892,11.321,265274,0
2010-04-20,11.447,11.878,11.321,11.868,619647,0
2010-04-21,11.916,12.151,11.916,12.141,332584,0
2010-04-22,11.945,11.945,11.662,11.878,193885,0
2010-04-23,11.882,12.137,11.742,12.063,209580,0
2010-04-26,12.104,12.18,11.615,11.757,307405,0
2010-04-27,11.698,11.841,11.23,11.267,444543,0
2010-04-28,11.277,11.53,11.248,11.447,298037,0
2010-04-29,11.672,12.538,11.511,12.237,917292,0
2010-04-30,12.257,12.64,12.209,12.329,753406,0
2010-05-03,12.424,12.896,12.257,12.858,328782,0
2010-05-04,12.658,12.696,12.049,12.257,471642,0
2010-05-05,12.131,12.452,11.767,12.02,702509,0
2010-05-06,11.972,13.131,10.56,11.672,545466,0
2010-05-07,11.53,12.265,11.438,11.662,739973,0
2010-05-10,12.357,13.159,12.01,12.499,824645,0
2010-05-11,12.311,12.839,12.049,12.613,269684,0
2010-05-12,12.621,13.573,12.434,13.121,1503960,0
2010-05-13,13.112,13.309,12.667,12.802,285833,0
2010-05-14,12.706,12.867,12.329,12.867,383977,0
2010-05-17,12.94,13.223,12.209,12.754,422413,0
2010-05-18,12.922,13.085,12.094,12.161,153090,0
2010-05-19,12.151,12.347,11.794,12.01,245357,0
2010-05-20,11.447,11.767,10.55,11.369,1064441,0
2010-05-21,11.115,11.502,10.882,11.22,549006,0
2010-05-24,11.192,11.321,10.976,11.012,253471,0
2010-05-25,10.674,11.105,10.56,10.967,629114,0
2010-05-26,11.041,11.747,11.031,11.087,943255,0
2010-05-27,11.466,11.747,11.248,11.475,513927,0
2010-05-28,11.466,11.577,10.993,11.096,283927,0
2010-06-01,11.031,11.152,10.674,10.728,442138,0
2010-06-02,10.872,11.058,10.541,11.031,419916,0
2010-06-03,11.134,11.438,10.777,11.041,338853,0
2010-06-04,10.637,10.843,10.127,10.269,488859,0
2010-06-07,10.307,10.429,9.94,9.968,346161,0
2010-06-08,9.994,10.07,9.534,9.762,259519,0
2010-06-09,9.883,10.165,9.496,10.099,638991,0
2010-06-10,10.345,10.522,10.213,10.457,174985,0
2010-06-11,10.345,10.993,10.316,10.967,818594,0
2010-06-14,11.162,11.577,11.021,11.096,373356,0
2010-06-15,11.162,11.662,11.012,11.605,253478,0
2010-06-16,11.466,11.672,11.22,11.277,130425,0
2010-06-17,11.389,11.682,11.182,11.652,263458,0
2010-06-18,11.757,11.757,11.296,11.605,482340,0
2010-06-21,11.841,11.982,11.267,11.36,185868,0
2010-06-22,11.398,11.849,10.993,11.012,198269,0
2010-06-23,11.031,11.457,10.692,11.296,283900,0
2010-06-24,11.22,11.398,10.967,11.068,209556,0
2010-06-25,11.105,11.438,10.929,11.408,505740,0
2010-06-28,11.428,11.428,10.967,11.068,360653,0
2010-06-29,10.91,10.91,9.994,10.127,536495,0
2010-06-30,10.151,10.265,9.998,10.112,465734,0
2010-07-01,10.174,10.362,9.506,9.837,490188,0
2010-07-02,9.976,9.994,9.61,9.902,252392,0
2010-07-06,10.297,10.41,9.732,9.883,716908,0
2010-07-07,9.968,10.316,9.968,10.307,284058,0
2010-07-08,10.476,10.692,10.252,10.486,244659,0
2010-07-09,10.513,10.588,10.325,10.541,140987,0
2010-07-12,10.457,10.495,9.921,10.041,285784,0
2010-07-13,10.183,10.748,10.183,10.56,536729,0
2010-07-14,10.532,10.91,10.513,10.892,264028,0
2010-07-15,10.939,10.939,10.457,10.608,164332,0
2010-07-16,10.467,10.486,10.003,10.137,366025,0
2010-07-19,10.193,10.269,9.856,10.232,155632,0
2010-07-20,10.109,10.457,9.902,10.448,178104,0
2010-07-21,10.579,10.627,10.089,10.099,151045,0
2010-07-22,10.325,10.674,10.061,10.646,251766,0
2010-07-23,10.541,10.984,10.429,10.949,305482,0
2010-07-26,11.031,11.447,10.984,11.428,361620,0
2010-07-27,11.511,11.672,11.22,11.321,755886,0
2010-07-28,11.321,11.321,10.757,10.824,211886,0
2010-07-29,11.012,11.962,10.627,11.812,829201,0
2010-07-30,11.615,11.858,11.239,11.698,269826,0
2010-08-02,11.972,12.424,11.812,12.284,388721,0
2010-08-03,12.265,12.586,11.953,12.489,341308,0
2010-08-04,12.548,12.716,12.415,12.528,364861,0
2010-08-05,12.376,12.82,12.114,12.793,293418,0
2010-08-06,12.499,12.716,12.338,12.604,239404,0
2010-08-09,12.621,12.922,12.499,12.876,499003,0
2010-08-10,12.63,12.858,12.385,12.596,216802,0
2010-08-11,12.347,12.357,11.945,12.131,481592,0
2010-08-12,11.849,12.257,11.794,12.086,321776,0
2010-08-13,12.001,12.02,11.587,11.812,408146,0
2010-08-16,11.689,12.338,11.689,12.274,249841,0
2010-08-17,12.489,13.168,12.395,12.867,481211,0
2010-08-18,12.886,13.131,12.706,12.94,318182,0
2010-08-19,12.829,12.95,12.548,12.64,510570,0
2010-08-20,12.528,12.604,12.001,12.067,387181,0
2010-08-23,12.141,12.321,11.812,11.916,302111,0
2010-08-24,11.718,11.926,11.511,11.841,275722,0
2010-08-25,11.682,11.962,11.492,11.935,986061,0
2010-08-26,12.049,12.199,11.777,11.822,250611,0
2010-08-27,12.049,12.247,11.539,12.17,515800,0
2010-08-30,12.067,12.114,11.822,11.991,342795,0
2010-08-31,11.99,12.283,11.687,12.065,367143,0
2010-09-01,12.385,12.811,12.338,12.754,476362,0
2010-09-02,12.716,13.271,12.568,13.186,679492,0
2010-09-03,13.338,13.43,12.793,13.177,363972,0
2010-09-07,13.131,13.15,12.82,12.876,223125,0
2010-09-08,12.96,13.159,12.649,12.783,264947,0
2010-09-09,13.075,13.159,12.596,12.802,273632,0
2010-09-10,12.876,12.913,12.519,12.677,229123,0
2010-09-13,12.82,13.026,12.677,12.867,287205,0
2010-09-14,12.886,12.987,12.706,12.735,282750,0
2010-09-15,12.649,12.922,12.367,12.82,255426,0
2010-09-16,12.754,13.065,12.613,12.793,602741,0
2010-09-17,12.977,12.977,12.434,12.596,1000536,0
2010-09-20,12.596,13.206,12.499,13.177,605930,0
2010-09-21,13.177,13.348,13.046,13.055,352465,0
2010-09-22,13.036,13.467,12.604,12.802,401814,0
2010-09-23,12.706,12.839,12.311,12.405,288272,0
2010-09-24,12.677,13.065,12.548,12.886,306353,0
2010-09-27,12.848,13.215,12.802,13.196,281173,0
2010-09-28,13.196,13.338,12.63,13.3,355019,0
2010-09-29,13.206,13.759,13.206,13.43,377604,0
2010-09-30,13.522,13.626,13.165,13.393,280457,0
2010-10-01,13.563,13.789,13.3,13.732,323675,0
2010-10-04,13.741,13.749,13.281,13.414,162122,0
2010-10-05,13.525,13.769,13.404,13.457,530806,0
2010-10-06,13.457,13.601,13.243,13.366,317207,0
2010-10-07,13.505,13.856,13.309,13.696,297706,0
2010-10-08,13.769,13.885,13.477,13.741,222975,0
