Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,16.346,16.646,16.346,16.597,1108835,0
2010-01-05,16.625,16.642,16.524,16.545,570663,0
2010-01-06,16.642,16.642,16.475,16.537,411117,0
2010-01-07,16.423,16.423,16.168,16.225,834241,0
2010-01-08,16.26,16.391,16.201,16.391,322712,0
2010-01-11,16.452,16.516,16.342,16.456,666829,0
2010-01-12,16.545,16.673,16.472,16.629,582111,0
2010-01-13,16.589,16.61,16.411,16.542,418300,0
2010-01-14,16.399,16.528,16.399,16.475,213818,0
2010-01-15,16.617,16.665,16.375,16.427,526498,0
2010-01-19,16.387,16.487,16.201,16.487,517894,0
2010-01-20,16.35,16.399,16.096,16.131,547353,0
2010-01-21,16.1,16.35,16.015,16.063,578385,0
2010-01-22,15.913,16.147,15.772,15.812,425565,0
2010-01-25,15.941,16.071,15.812,15.892,196500,0
2010-01-26,15.892,16.023,15.791,15.833,310850,0
2010-01-27,15.796,16.071,15.772,16.027,458760,0
2010-01-28,16.201,16.504,16.067,16.156,446144,0
2010-01-29,16.201,16.346,15.9,16.035,672428,0
2010-02-01,16.096,16.241,15.917,16.217,308909,0
2010-02-02,16.16,16.282,16.05,16.249,259747,0
2010-02-03,15.929,16.309,15.929,16.108,158028,0
2010-02-04,15.978,15.998,15.593,15.618,452095,0
2010-02-05,15.565,15.565,14.912,15.237,568285,0
2010-02-08,15.225,15.225,15.013,15.079,346312,0
2010-02-09,14.986,15.212,14.921,15.152,490170,0
2010-02-10,15.03,15.098,14.82,15.034,566546,0
2010-02-11,15.102,15.281,14.941,15.266,279582,0
2010-02-12,15.16,15.164,14.953,15.054,287802,0
2010-02-16,15.444,15.444,15.254,15.325,545116,0
2010-02-17,15.313,15.358,15.127,15.184,396158,0
2010-02-18,15.09,15.204,14.961,15.107,472324,0
2010-02-19,14.941,15.002,14.901,14.949,238900,0
2010-02-22,14.881,14.908,14.795,14.836,309789,0
2010-02-23,14.783,14.861,14.575,14.617,376184,0
2010-02-24,14.69,14.775,14.528,14.747,202228,0
2010-02-25,14.448,14.448,14.18,14.43,391410,0
2010-02-26,14.43,14.565,14.366,14.552,259545,0
2010-03-01,14.337,14.511,14.329,14.463,398362,0
2010-03-02,14.715,14.853,14.697,14.767,556408,0
2010-03-03,14.634,14.634,14.293,14.362,914493,0
2010-03-04,14.436,14.436,14.309,14.374,844846,0
2010-03-05,14.575,14.763,14.37,14.649,872861,0
2010-03-08,14.937,15.143,14.893,15.143,2500940,0
2010-03-09,15.172,15.436,15.172,15.387,1701174,0
2010-03-10,15.208,15.309,15.18,15.272,337247,0
2010-03-11,15.317,15.317,15.127,15.305,627068,0
2010-03-12,15.064,15.064,14.961,15.006,687786,0
2010-03-15,14.974,14.974,14.722,14.889,332561,0
2010-03-16,14.884,14.924,14.715,14.912,382383,0
2010-03-17,15.135,15.387,15.135,15.317,484472,0
2010-03-18,15.006,15.006,14.398,14.507,3095834,0
2010-03-19,14.394,14.575,14.252,14.419,1350903,0
2010-03-22,14.261,14.329,14.092,14.131,1194031,0
2010-03-23,14.127,14.216,14.018,14.168,643122,0
2010-03-24,14.27,14.362,14.2,14.333,428333,0
2010-03-25,14.548,14.775,14.386,14.415,1302975,0
2010-03-26,14.507,14.507,14.18,14.244,684018,0
2010-03-29,14.374,14.374,14.2,14.278,559535,0
2010-03-30,14.301,14.366,14.278,14.333,673027,0
2010-03-31,14.35,14.499,14.22,14.479,591224,0
2010-04-01,14.552,14.675,14.552,14.597,1746173,0
2010-04-05,14.779,14.937,14.701,14.901,378970,0
2010-04-06,14.507,14.73,14.341,14.701,262766,0
2010-04-07,14.575,14.634,14.386,14.533,722156,0
2010-04-08,14.298,14.488,14.298,14.452,298985,0
2010-04-09,14.654,14.654,14.479,14.593,254246,0
2010-04-12,14.54,14.734,14.452,14.575,394715,0
2010-04-13,14.419,14.638,14.285,14.402,417631,0
2010-04-14,14.374,14.609,14.309,14.511,781375,0
2010-04-15,14.601,14.679,14.575,14.642,715738,0
2010-04-16,14.755,14.755,14.317,14.411,927886,0
2010-04-19,14.419,14.419,14.172,14.278,621901,0
2010-04-20,14.552,14.565,14.321,14.374,686009,0
2010-04-21,14.475,14.54,14.436,14.444,443102,0
2010-04-22,14.438,14.444,14.298,14.402,202222,0
2010-04-23,14.515,14.556,14.358,14.54,171024,0
2010-04-26,14.374,14.374,14.175,14.175,490061,0
2010-04-27,14.163,14.163,13.901,13.932,507535,0
2010-04-28,14.038,14.038,13.779,13.843,365476,0
2010-04-29,13.917,14.07,13.869,14.034,479945,0
2010-04-30,14.107,14.163,13.998,14.059,436314,0
2010-05-03,14.216,14.479,14.211,14.411,405934,0
2010-05-04,14.074,14.111,13.828,13.869,1006928,0
2010-05-05,13.851,13.851,13.39,13.492,782152,0
2010-05-06,13.512,13.532,12.791,12.981,921063,0
2010-05-07,13.71,13.71,13.115,13.253,1067726,0
2010-05-10,13.82,14.018,13.754,13.91,863653,0
2010-05-11,13.65,13.924,13.609,13.767,448488,0
2010-05-12,13.75,13.762,13.54,13.734,732167,0
2010-05-13,13.67,13.807,13.617,13.646,552509,0
2010-05-14,13.734,13.75,13.39,13.532,374799,0
2010-05-17,13.496,13.621,13.305,13.483,388999,0
2010-05-18,13.658,13.702,13.427,13.475,386323,0
2010-05-19,13.286,13.398,13.216,13.349,350168,0
2010-05-20,13.159,13.256,12.9,12.977,1296470,0
2010-05-21,12.928,13.104,12.855,13.104,678291,0
2010-05-24,12.641,12.641,12.362,12.459,758640,0
2010-05-25,12.281,12.75,12.281,12.75,1460170,0
2010-05-26,12.759,13.323,12.759,13.249,2569777,0
2010-05-27,13.362,13.576,13.354,13.576,1154631,0
2010-05-28,13.572,13.687,13.386,13.414,2404748,0
2010-06-01,13.219,13.419,13.115,13.204,1188608,0
2010-06-02,13.605,13.936,13.605,13.936,540310,0
2010-06-03,13.897,14.172,13.897,14.092,1484845,0
2010-06-04,13.731,13.91,13.52,13.605,688311,0
2010-06-07,13.564,13.673,13.342,13.362,395623,0
2010-06-08,13.691,13.877,13.564,13.795,570046,0
2010-06-09,13.799,13.961,13.71,13.783,398324,0
2010-06-10,13.783,13.824,13.646,13.824,454542,0
2010-06-11,13.82,13.985,13.723,13.985,288900,0
2010-06-14,14.118,14.216,13.985,14.022,290183,0
2010-06-15,14.022,14.301,14.018,14.266,439072,0
2010-06-16,14.228,14.228,14.029,14.155,150664,0
2010-06-17,14.237,14.257,14.042,14.192,276337,0
2010-06-18,14.159,14.378,14.159,14.378,344435,0
2010-06-21,14.337,14.337,14.018,14.099,1091482,0
2010-06-22,14.192,14.419,14.151,14.225,382487,0
2010-06-23,14.278,14.423,14.216,14.366,368453,0
2010-06-24,14.261,14.329,14.155,14.216,196483,0
2010-06-25,14.118,14.252,14.118,14.228,415267,0
