Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,12.252,12.735,12.242,12.638,302468,0
2010-01-05,12.692,12.805,12.631,12.644,265501,0
2010-01-06,12.801,12.845,12.551,12.71,186679,0
2010-01-07,12.771,12.771,12.606,12.741,191267,0
2010-01-08,12.82,12.82,12.036,12.284,359189,0
2010-01-11,12.535,12.674,12.052,12.295,252635,0
2010-01-12,12.327,12.466,12.163,12.377,168459,0
2010-01-13,12.284,12.509,12.059,12.23,262875,0
2010-01-14,12.225,12.345,12.125,12.284,102690,0
2010-01-15,12.284,12.541,12.17,12.485,125723,0
2010-01-19,12.564,12.832,12.504,12.674,207979,0
2010-01-20,12.681,12.697,12.377,12.569,107009,0
2010-01-21,12.535,12.619,12.163,12.319,221385,0
2010-01-22,12.198,12.284,11.816,11.84,188537,0
2010-01-25,11.969,11.969,11.398,11.925,323191,0
2010-01-26,11.914,12.176,11.816,11.938,187329,0
2010-01-27,12.042,12.125,11.682,11.9,136269,0
2010-01-28,11.998,11.998,11.51,11.541,295480,0
2010-01-29,11.762,11.822,11.525,11.651,173824,0
2010-02-01,11.706,12.273,11.665,12.235,151949,0
2010-02-02,12.386,12.692,12.28,12.631,236896,0
2010-02-03,12.327,12.431,12.225,12.242,292921,0
2010-02-04,12.139,12.139,11.658,11.768,170421,0
2010-02-05,11.768,11.768,11.127,11.621,222266,0
2010-02-08,11.627,11.754,11.451,11.475,135150,0
2010-02-09,11.701,11.816,11.494,11.735,106555,0
2010-02-10,11.773,11.773,11.359,11.359,123503,0
2010-02-11,11.359,11.701,11.294,11.701,63564,0
2010-02-12,11.78,11.938,11.56,11.907,88729,0
2010-02-16,11.844,12.267,11.844,12.246,123404,0
2010-02-17,12.431,12.431,11.665,11.706,263096,0
2010-02-18,11.553,11.689,10.903,11.309,944599,0
2010-02-19,11.208,11.342,11.048,11.294,209014,0
2010-02-22,11.337,11.494,11.261,11.429,115007,0
2010-02-23,11.525,11.525,11.159,11.172,163779,0
2010-02-24,11.184,11.348,11.012,11.087,159046,0
2010-02-25,11.048,11.268,10.89,11.268,127850,0
2010-02-26,11.299,11.44,11.221,11.429,100242,0
2010-03-01,11.553,11.627,11.274,11.354,138243,0
2010-03-02,11.468,11.468,11.251,11.33,141525,0
2010-03-03,11.371,11.494,11.256,11.429,153264,0
2010-03-04,11.518,11.536,11.309,11.371,259678,0
2010-03-05,11.401,11.706,11.387,11.706,143800,0
2010-03-08,11.822,12.163,11.78,12.023,198019,0
2010-03-09,12.108,12.15,11.98,12.042,145267,0
2010-03-10,12.302,12.302,12.017,12.114,135431,0
2010-03-11,12.005,12.082,11.762,12.028,212888,0
2010-03-12,12.089,12.163,12.017,12.155,192705,0
2010-03-15,12.155,12.319,11.986,12.267,194816,0
2010-03-16,12.163,12.479,12.145,12.466,199144,0
2010-03-17,11.78,11.95,11.78,11.921,4661919,0
2010-03-18,11.907,11.969,11.871,11.957,1069912,0
2010-03-19,12.023,12.491,11.808,12.491,948835,0
2010-03-22,12.246,12.284,11.844,12.194,680691,0
2010-03-23,12.17,12.176,11.894,12.042,487441,0
2010-03-24,12.042,12.121,11.851,11.851,305928,0
2010-03-25,11.859,11.914,11.615,11.797,411009,0
2010-03-26,11.797,12.052,11.797,12.01,401878,0
2010-03-29,12.308,12.308,11.986,12.028,211079,0
2010-03-30,12.023,12.102,12.005,12.074,215223,0
2010-03-31,11.998,12.139,11.98,12.114,250608,0
2010-04-01,12.163,12.163,12.036,12.059,184508,0
2010-04-05,12.163,12.225,12.102,12.212,316209,0
2010-04-06,12.225,12.314,12.155,12.284,222348,0
2010-04-07,12.225,12.28,12.155,12.187,209311,0
2010-04-08,12.18,12.273,12.072,12.267,138262,0
2010-04-09,12.284,12.284,12.145,12.187,185998,0
2010-04-12,12.17,12.284,12.163,12.176,141611,0
2010-04-13,12.163,12.242,12.102,12.225,184177,0
2010-04-14,12.235,12.314,12.17,12.314,229370,0
