Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,25.778,25.834,25.542,25.709,254895,0
2010-01-05,25.834,25.951,25.329,25.506,487848,0
2010-01-06,25.666,26.529,25.666,26.338,780899,0
2010-01-07,26.338,26.354,25.692,26.031,550402,0
2010-01-08,25.951,26.456,25.889,26.385,390540,0
2010-01-11,26.434,26.669,26.298,26.377,410388,0
2010-01-12,26.213,26.331,25.843,25.986,560589,0
2010-01-13,26.171,26.614,25.709,26.464,492562,0
2010-01-14,26.487,26.75,26.362,26.655,323750,0
2010-01-15,26.566,26.692,26.244,26.403,371172,0
2010-01-19,26.394,26.394,25.819,26.008,453899,0
2010-01-20,25.725,25.867,25.48,25.819,355831,0
2010-01-21,25.859,25.905,25.37,25.439,494770,0
2010-01-22,25.26,25.432,24.896,25.008,430230,0
2010-01-25,25.233,25.542,24.969,25.506,510083,0
2010-01-26,25.352,25.684,25.101,25.556,312699,0
2010-01-27,25.472,25.778,25.446,25.765,462470,0
2010-01-28,25.912,26.354,25.884,26.134,638628,0
2010-01-29,26.236,26.559,26.07,26.298,475225,0
2010-02-01,26.284,26.772,26.213,26.724,675170,0
2010-02-02,27.095,27.52,26.977,27.378,798103,0
2010-02-03,27.323,27.323,26.906,27.126,520798,0
2010-02-04,27.016,27.016,26.403,26.403,380763,0
2010-02-05,26.394,26.581,26.07,26.213,502201,0
2010-02-08,26.158,26.261,25.969,25.969,211948,0
2010-02-09,26.369,26.741,26.261,26.664,390981,0
2010-02-10,26.605,27.04,26.544,27.008,297805,0
2010-02-11,27.008,27.45,26.842,27.341,351045,0
2010-02-12,27.213,27.6,27.095,27.559,270338,0
2010-02-16,27.858,28.237,27.693,28.063,346212,0
2010-02-17,28.058,28.421,27.985,28.05,222155,0
2010-02-18,28.001,28.303,27.805,27.9,312148,0
2010-02-19,27.907,28.237,27.654,28.041,251088,0
2010-02-22,28.025,28.315,27.607,27.796,249164,0
2010-02-23,27.757,27.907,27.362,27.622,340113,0
2010-02-24,27.456,27.456,26.559,27.19,832987,0
2010-02-25,26.573,27.419,26.552,27.341,531776,0
2010-02-26,27.481,27.731,27.332,27.362,376599,0
2010-03-01,27.537,27.977,27.481,27.749,259731,0
2010-03-02,27.833,28.135,27.537,28.111,294255,0
2010-03-03,28.176,28.363,27.938,28.135,207928,0
2010-03-04,27.946,28.05,27.552,27.723,227554,0
2010-03-05,27.718,27.968,27.529,27.9,418793,0
2010-03-08,27.946,28.16,27.774,27.959,383679,0
2010-03-09,27.977,28.176,27.827,27.959,321212,0
