Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,37.651,37.921,37.599,37.71,1456567,0
2010-01-05,37.955,38.67,37.955,38.62,2464900,0
2010-01-06,38.279,38.773,38.16,38.627,1565723,0
2010-01-07,38.355,38.925,38.101,38.783,1166564,0
2010-01-08,38.324,39.021,38.287,38.875,1769009,0
2010-01-11,39.471,39.513,38.755,39.061,1293862,0
2010-01-12,37.753,38.314,37.284,38.057,3234461,0
2010-01-13,39.266,40.126,38.831,40.066,3485696,0
2010-01-14,40.244,40.627,40.15,40.33,2001035,0
2010-01-15,39.785,40.057,39.581,39.904,1841360,0
2010-01-19,39.699,40.346,39.699,40.295,1062638,0
2010-01-20,39.428,39.453,38.611,39.282,1897993,0
2010-01-21,39.708,39.853,38.627,38.951,2646607,0
2010-01-22,38.67,39.276,38.169,38.331,2969703,0
2010-01-25,38.773,38.943,38.287,38.5,1467605,0
2010-01-26,37.599,38.101,37.249,37.541,2094409,0
2010-01-27,37.94,38.169,37.003,37.897,2723327,0
2010-01-28,37.931,37.973,36.859,37.174,1564816,0
2010-01-29,38.092,38.483,37.02,37.429,3243745,0
2010-02-01,36.918,37.904,36.765,37.829,2682153,0
2010-02-02,38.237,39.002,37.931,38.875,2294677,0
2010-02-03,38.562,38.773,38.237,38.407,1420099,0
2010-02-04,37.854,37.904,36.663,36.749,2448485,0
2010-02-05,36.586,36.825,34.561,36.111,4299301,0
2010-02-08,36.119,36.663,35.659,35.727,1464803,0
2010-02-09,37.174,37.837,36.815,37.335,2136478,0
2010-02-10,37.437,37.541,36.466,36.962,1491083,0
2010-02-11,37.394,38.024,36.943,38.024,1648920,0
2010-02-12,36.834,37.641,36.696,37.624,1510911,0
2010-02-16,38.324,39.163,38.11,39.079,1892501,0
2010-02-17,39.411,39.486,38.815,39.061,1128560,0
2010-02-18,38.91,39.708,38.91,39.657,1731381,0
2010-02-19,39.079,39.716,38.901,39.537,1262669,0
2010-02-22,40.601,40.653,39.785,39.853,2634258,0
2010-02-23,39.105,39.299,38.295,38.773,2145863,0
2010-02-24,39.215,39.462,38.627,39.028,2857266,0
2010-02-25,34.308,36.016,34.231,35.446,9699001,0
2010-02-26,35.082,35.505,34.382,35.243,2601029,0
2010-03-01,35.803,36.357,35.541,36.357,3048980,0
2010-03-02,36.741,36.952,36.383,36.484,2354283,0
2010-03-03,37.225,37.77,37.029,37.31,3364793,0
2010-03-04,37.786,37.854,36.97,37.217,4420298,0
2010-03-05,37.31,37.318,37.011,37.054,4120810,0
2010-03-08,37.801,37.819,37.335,37.541,3189766,0
2010-03-09,37.029,37.599,37.02,37.36,2559483,0
2010-03-10,37.701,37.921,37.421,37.615,2727944,0
2010-03-11,37.735,37.81,37.403,37.735,1562279,0
2010-03-12,38.295,38.355,37.921,38.194,1930591,0
2010-03-15,37.624,37.735,37.011,37.413,1525060,0
2010-03-16,37.819,38.11,37.633,38.101,1782764,0
2010-03-17,38.127,38.347,37.983,38.177,2042166,0
2010-03-18,37.563,37.778,37.089,37.369,2559846,0
2010-03-19,37.369,37.454,36.757,36.901,2262826,0
2010-03-22,36.357,37.744,36.289,37.692,2324314,0
2010-03-23,37.369,37.667,37.164,37.651,2864407,0
2010-03-24,36.723,37.2,36.595,36.909,2674576,0
2010-03-25,37.225,37.351,36.161,36.161,3649464,0
2010-03-26,36.723,37.232,36.519,36.663,3554353,0
2010-03-29,36.731,37.131,36.638,37.011,2239949,0
2010-03-30,36.825,36.978,36.408,36.671,1424719,0
2010-03-31,36.807,37.081,36.475,36.525,1547311,0
2010-04-01,37.259,38.262,37.217,38.194,1912766,0
2010-04-05,38.211,38.696,38.211,38.517,1335776,0
2010-04-06,38.032,38.704,37.964,38.646,1865963,0
2010-04-07,38.355,38.517,37.667,37.973,2271531,0
2010-04-08,37.293,37.753,37.174,37.716,1642091,0
2010-04-09,37.897,38.185,37.778,37.983,2133529,0
2010-04-12,38.133,38.295,37.897,37.913,1215295,0
2010-04-13,37.854,37.888,37.14,37.164,2414071,0
2010-04-14,37.284,37.335,36.569,36.8,5186880,0
2010-04-15,37.063,37.081,36.296,36.331,3963869,0
2010-04-16,35.779,35.932,35.03,35.038,4635366,0
2010-04-19,34.546,35.165,34.546,35.165,4313395,0
2010-04-20,35.905,35.949,35.711,35.89,4204094,0
2010-04-21,35.455,35.743,35.123,35.276,2925274,0
2010-04-22,34.452,34.672,34.186,34.613,5831815,0
2010-04-23,34.613,35.736,34.561,35.694,3445329,0
2010-04-26,35.846,36.306,35.761,35.949,3672182,0
2010-04-27,35.438,35.813,34.443,34.503,4162319,0
2010-04-28,34.876,34.988,34.162,34.672,3108777,0
2010-04-29,34.902,35.174,34.682,34.8,2558776,0
2010-04-30,34.723,34.885,34.009,34.546,4681994,0
2010-05-03,34.869,34.945,34.357,34.732,2374902,0
2010-05-04,33.644,33.684,32.853,33.023,3958583,0
2010-05-05,31.796,33.345,31.796,32.757,4394046,0
2010-05-06,32.257,33.089,29.773,31.372,4626799,0
2010-05-07,31.823,32.137,30.352,31.253,4157899,0
2010-05-10,33.167,33.363,32.735,33.233,3103123,0
2010-05-11,32.589,33.558,32.589,33.208,3126294,0
2010-05-12,33.312,33.541,33.125,33.328,2632559,0
2010-05-13,33.159,33.721,32.946,33.082,1553466,0
2010-05-14,32.563,32.614,31.269,31.908,2227852,0
2010-05-17,32.103,32.265,31.014,31.942,2079120,0
2010-05-18,32.691,32.893,31.33,31.482,2194162,0
2010-05-19,31.39,31.796,30.879,31.705,2947287,0
2010-05-20,30.122,30.802,29.569,29.917,3522035,0
2010-05-21,30.097,31.33,29.984,31.202,2553832,0
2010-05-24,30.64,30.913,30.02,30.07,1745273,0
2010-05-25,28.437,29.977,28.2,29.891,2900016,0
2010-05-26,30.852,31.661,30.19,30.343,3259350,0
2010-05-27,32.351,32.995,31.935,32.995,3022697,0
2010-05-28,32.597,32.597,31.269,31.577,3384926,0
2010-06-01,30.904,31.856,30.3,30.325,3325671,0
2010-06-02,30.352,31.321,30.284,31.321,1998392,0
2010-06-03,32.027,32.061,31.142,31.687,2331287,0
2010-06-04,30.547,31.006,29.781,29.891,2611116,0
2010-06-07,30.087,30.316,29.219,29.219,2284995,0
2010-06-08,29.364,29.884,29.051,29.62,4039697,0
2010-06-09,29.97,30.53,29.177,29.364,4060711,0
2010-06-10,30.802,31.134,30.539,31.023,3443947,0
2010-06-11,30.547,31.253,30.513,31.202,2005726,0
2010-06-14,32.24,32.52,31.61,31.679,2603852,0
2010-06-15,32.394,33.023,32.156,32.902,1979642,0
