Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,12.473,12.761,12.426,12.508,1403573,0
2010-01-05,12.53,12.587,12.073,12.376,2912996,0
2010-01-06,12.33,12.449,12.217,12.353,1581418,0
2010-01-07,12.262,12.549,12.262,12.521,979691,0
2010-01-08,12.545,12.642,12.376,12.512,584278,0
2010-01-11,12.517,12.521,12.296,12.406,1048865,0
2010-01-12,12.376,12.459,12.291,12.416,1435322,0
2010-01-13,12.493,12.545,12.335,12.493,1410726,0
2010-01-14,12.483,12.521,12.315,12.388,1165980,0
2010-01-15,12.449,12.449,12.222,12.301,1512209,0
2010-01-19,12.249,12.454,12.192,12.391,3016544,0
2010-01-20,11.954,12.065,11.747,11.99,2709244,0
2010-01-21,12.042,12.245,11.729,11.903,1957459,0
2010-01-22,11.927,12.065,11.724,11.747,1614219,0
2010-01-25,11.807,12.033,11.639,12.014,1696139,0
2010-01-26,11.615,11.959,11.517,11.869,3108832,0
2010-01-27,11.792,12.301,11.692,12.245,3542914,0
2010-01-28,12.449,12.545,12.009,12.073,5783717,0
2010-01-29,12.078,12.267,11.812,11.831,2764187,0
2010-02-01,11.937,12.249,11.865,12.232,2001894,0
2010-02-02,12.202,12.444,12.136,12.406,1181914,0
2010-02-03,12.335,12.449,12.108,12.227,1453380,0
2010-02-04,12.183,12.217,11.883,11.917,1290463,0
2010-02-05,11.959,12.037,11.678,11.865,1303081,0
2010-02-08,12.217,12.217,11.734,11.755,1083093,0
2010-02-09,11.893,12.065,11.747,12.042,1256791,0
2010-02-10,11.967,12.051,11.84,11.95,941347,0
2010-02-11,11.888,12.188,11.755,12.165,1048501,0
2010-02-12,12.093,12.15,11.959,12.136,999223,0
2010-02-16,12.192,12.32,12.141,12.291,731027,0
2010-02-17,12.38,12.62,12.344,12.596,1064794,0
2010-02-18,12.569,12.569,12.353,12.478,1002427,0
2010-02-19,12.493,12.591,12.384,12.525,977805,0
2010-02-22,12.569,12.662,12.493,12.512,1024453,0
2010-02-23,12.525,12.685,12.416,12.535,1750150,0
2010-02-24,12.6,12.852,12.426,12.833,988301,0
2010-02-25,12.801,13.019,12.728,12.871,1764473,0
2010-02-26,12.896,12.948,12.771,12.828,1850148,0
2010-03-01,13.084,13.478,12.967,13.44,4060484,0
2010-03-02,13.417,13.512,13.246,13.35,2398950,0
2010-03-03,13.417,13.464,13.236,13.312,1563160,0
2010-03-04,13.374,13.473,13.224,13.265,1579431,0
2010-03-05,13.285,13.508,13.246,13.478,2216687,0
2010-03-08,13.503,13.577,13.412,13.531,863118,0
2010-03-09,13.503,13.6,13.387,13.459,1287581,0
2010-03-10,13.417,13.655,13.374,13.55,1262847,0
2010-03-11,13.44,13.6,13.402,13.591,809452,0
2010-03-12,13.6,13.668,13.459,13.668,723149,0
2010-03-15,13.608,13.663,13.473,13.608,781235,0
2010-03-16,13.603,14.159,13.603,14.132,2828208,0
2010-03-17,13.895,13.995,13.591,13.828,3215988,0
2010-03-18,13.8,13.976,13.672,13.976,1025437,0
2010-03-19,14.046,14.046,13.843,13.9,2184726,0
2010-03-22,13.833,14.202,13.758,14.14,1300831,0
2010-03-23,14.124,14.124,13.933,14.046,1138029,0
2010-03-24,13.976,14.06,13.762,13.781,1037690,0
2010-03-25,13.81,13.938,13.613,13.622,1296431,0
2010-03-26,13.682,13.81,13.577,13.65,968215,0
2010-03-29,13.726,13.815,13.559,13.663,772899,0
2010-03-30,13.716,13.914,13.608,13.833,954393,0
2010-03-31,13.833,13.938,13.608,13.608,927110,0
2010-04-01,13.655,13.928,13.65,13.928,881352,0
2010-04-05,14.01,14.302,13.858,14.297,1060594,0
2010-04-06,14.275,14.426,14.217,14.418,948707,0
