Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,15.911,15.962,15.219,15.809,1954539,0
2010-01-05,15.79,15.911,15.695,15.809,1138498,0
2010-01-06,15.762,15.836,15.514,15.514,1293645,0
2010-01-07,15.404,15.531,15.276,15.413,1389262,0
2010-01-08,15.413,15.647,15.266,15.629,1534038,0
2010-01-11,15.733,15.836,15.567,15.611,1501767,0
2010-01-12,15.504,15.611,15.485,15.56,1283519,0
2010-01-13,15.56,15.705,15.531,15.676,989275,0
2010-01-14,15.667,15.762,15.585,15.595,1003686,0
2010-01-15,15.469,15.523,15.154,15.163,2037430,0
2010-01-19,15.191,15.714,15.163,15.686,2601580,0
2010-01-20,15.577,15.781,15.395,15.619,2675723,0
2010-01-21,13.687,13.897,13.134,13.759,15572724,0
2010-01-22,13.629,13.86,13.474,13.493,3685731,0
2010-01-25,13.262,13.373,13.033,13.355,4069927,0
2010-01-26,13.382,13.869,13.143,13.713,3343967,0
2010-01-27,13.621,13.824,13.455,13.612,2357091,0
2010-01-28,13.649,16.303,13.455,13.474,1941130,0
2010-01-29,13.564,13.564,13.107,13.143,3158758,0
2010-02-01,13.17,13.363,13.097,13.355,2314509,0
2010-02-02,13.392,13.465,13.262,13.4,2224494,0
2010-02-03,13.382,13.484,13.227,13.3,2188883,0
2010-02-04,13.438,13.768,13.317,13.327,3256609,0
2010-02-05,13.31,13.438,13.134,13.373,1910132,0
2010-02-08,13.097,13.4,13.052,13.237,3799249,0
2010-02-09,13.382,13.455,13.218,13.373,2873301,0
2010-02-10,13.373,13.382,13.097,13.17,1888008,0
2010-02-11,13.18,13.218,12.959,13.17,1752837,0
2010-02-12,13.097,13.097,12.969,13.071,1131737,0
2010-02-16,13.107,13.237,13.015,13.199,1360053,0
2010-02-17,13.262,13.262,13.115,13.189,1076847,0
2010-02-18,13.162,13.253,13.125,13.199,832470,0
2010-02-19,13.162,13.3,13.043,13.208,1561397,0
2010-02-22,13.262,13.336,13.199,13.227,1357626,0
2010-02-23,13.237,13.373,13.134,13.291,2064971,0
2010-02-24,13.345,13.419,13.253,13.317,1091077,0
2010-02-25,13.18,13.3,12.996,13.272,1239860,0
2010-02-26,13.3,13.3,13.052,13.078,2305411,0
2010-03-01,13.373,13.484,13.125,13.317,2236848,0
2010-03-02,13.446,13.446,13.208,13.227,2199247,0
2010-03-03,13.281,13.41,13.281,13.355,1151936,0
2010-03-04,13.363,13.446,13.317,13.363,998482,0
2010-03-05,13.455,13.677,13.382,13.677,1137512,0
2010-03-08,13.677,13.795,13.658,13.742,1174582,0
2010-03-09,13.705,13.869,13.658,13.814,1143411,0
2010-03-10,13.795,13.841,13.722,13.814,1043808,0
2010-03-11,13.795,13.86,13.705,13.86,862248,0
2010-03-12,13.85,13.943,13.786,13.897,1309172,0
2010-03-15,13.86,13.97,13.768,13.887,1173966,0
2010-03-16,13.879,13.943,13.824,13.897,997626,0
2010-03-17,13.897,14.115,13.887,14.052,1596388,0
2010-03-18,14.007,14.088,13.952,13.98,1458314,0
2010-03-19,14.033,14.134,13.85,13.924,2065608,0
2010-03-22,13.887,14.375,13.869,14.275,1743399,0
2010-03-23,14.33,14.375,14.209,14.339,970630,0
2010-03-24,14.275,14.385,14.134,14.209,1252598,0
2010-03-25,14.275,14.385,14.162,14.209,1659244,0
2010-03-26,14.275,14.565,14.275,14.339,1806833,0
2010-03-29,14.42,14.565,14.339,14.447,1863703,0
2010-03-30,14.483,14.641,14.464,14.622,1196071,0
2010-03-31,14.603,14.622,14.357,14.385,1692939,0
2010-04-01,14.447,14.575,14.375,14.539,1322067,0
2010-04-05,14.539,14.731,14.52,14.723,945689,0
2010-04-06,14.632,14.955,14.584,14.778,2580522,0
2010-04-07,14.731,14.881,14.731,14.797,1521457,0
2010-04-08,14.723,14.817,14.622,14.788,1456900,0
2010-04-09,14.788,15.007,14.723,14.997,924067,0
2010-04-12,14.99,14.997,14.871,14.927,726521,0
2010-04-13,14.927,14.99,14.853,14.853,1411907,0
2010-04-14,14.9,15.108,14.9,15.071,1302563,0
2010-04-15,15.043,15.238,14.936,15.144,1721098,0
2010-04-16,15.116,15.172,14.881,14.89,1758268,0
2010-04-19,14.797,14.997,14.759,14.955,1929131,0
2010-04-20,15.024,15.154,14.89,15.154,2045477,0
2010-04-21,15.531,15.603,14.871,15.062,4079304,0
2010-04-22,14.927,15.2,14.853,15.172,1512533,0
2010-04-23,15.214,15.401,15.066,15.401,1320444,0
2010-04-26,15.349,15.451,15.238,15.276,1079259,0
2010-04-27,15.219,15.276,14.778,14.817,2007881,0
2010-04-28,14.844,14.89,14.668,14.731,2082869,0
2010-04-29,14.825,14.955,14.778,14.871,1110382,0
2010-04-30,14.909,14.955,14.695,14.705,1971882,0
2010-05-03,14.825,14.862,14.52,14.659,3105785,0
2010-05-04,14.539,14.557,14.237,14.313,2162047,0
2010-05-05,14.152,14.313,14.152,14.237,2277229,0
2010-05-06,14.218,14.394,13.4,13.989,5914889,0
2010-05-07,13.897,14.088,13.564,13.732,2945292,0
2010-05-10,14.313,14.33,14.124,14.256,1873123,0
2010-05-11,14.088,14.367,14.052,14.171,1921076,0
2010-05-12,14.246,14.438,14.237,14.394,1513104,0
2010-05-13,14.394,14.474,14.294,14.294,1529660,0
2010-05-14,14.162,14.294,13.906,14.016,1748622,0
2010-05-17,14.033,14.218,13.943,14.162,1721076,0
2010-05-18,14.313,14.375,14.078,14.088,2118296,0
2010-05-19,14.088,14.134,13.768,13.805,3341963,0
2010-05-20,13.612,13.677,13.115,13.134,4073476,0
2010-05-21,12.877,13.317,12.877,13.281,2853059,0
2010-05-24,13.199,13.4,13.134,13.189,1535888,0
2010-05-25,12.951,13.078,12.794,13.078,2376275,0
2010-05-26,13.143,13.446,13.115,13.152,2579413,0
2010-05-27,13.345,13.537,13.237,13.537,1553567,0
2010-05-28,13.545,13.545,13.345,13.41,1351702,0
2010-06-01,13.272,13.429,13.125,13.152,1522247,0
2010-06-02,13.227,13.363,13.107,13.363,1268751,0
2010-06-03,13.31,13.668,13.31,13.629,1459480,0
2010-06-04,13.281,13.502,13.078,13.115,1764987,0
2010-06-07,13.152,13.18,12.813,12.813,1488940,0
2010-06-08,12.831,13.015,12.719,12.987,2670193,0
2010-06-09,13.015,13.152,12.831,12.896,1461035,0
2010-06-10,13.033,13.291,13.033,13.281,1268627,0
2010-06-11,13.162,13.253,13.061,13.237,1177600,0
2010-06-14,13.3,13.419,13.208,13.208,856437,0
2010-06-15,13.31,13.612,13.199,13.612,913239,0
2010-06-16,13.545,13.732,13.493,13.555,1311389,0
2010-06-17,13.639,13.658,13.455,13.564,1365112,0
2010-06-18,13.658,13.687,13.493,13.639,1283918,0
2010-06-21,13.768,13.795,13.392,13.446,1534748,0
2010-06-22,13.465,13.639,13.227,13.272,1258904,0
2010-06-23,13.262,13.262,13.052,13.17,1238341,0
2010-06-24,13.125,13.18,12.951,12.977,952561,0
2010-06-25,13.015,13.043,12.877,12.977,3095239,0
2010-06-28,13.033,13.078,12.867,12.886,878160,0
2010-06-29,12.694,12.785,12.445,12.528,1642090,0
2010-06-30,12.47,12.601,12.416,12.489,2266393,0
2010-07-01,12.445,12.684,12.316,12.666,2279203,0
2010-07-02,12.675,12.766,12.482,12.519,1642132,0
2010-07-06,12.684,12.766,12.501,12.592,1685183,0
2010-07-07,12.63,13.061,12.537,13.052,1226975,0
2010-07-08,13.218,13.245,13.015,13.17,1085094,0
2010-07-09,13.097,13.272,13.097,13.272,642457,0
2010-07-12,13.218,13.363,13.152,13.3,776989,0
2010-07-13,13.429,13.593,13.373,13.537,920464,0
2010-07-14,13.555,13.574,13.446,13.511,1392801,0
2010-07-15,13.574,13.583,13.336,13.528,1134295,0
2010-07-16,13.446,13.446,12.987,12.996,1246121,0
2010-07-19,13.134,13.199,13.015,13.115,1005688,0
2010-07-20,12.977,13.291,12.914,13.281,1035635,0
2010-07-21,13.345,13.373,12.934,13.005,1580417,0
2010-07-22,13.879,14.455,13.639,14.078,4369329,0
2010-07-23,14.024,14.265,13.934,14.162,2087533,0
2010-07-26,14.209,14.275,14.106,14.227,1106216,0
2010-07-27,14.256,14.256,13.97,14.052,2068009,0
2010-07-28,13.98,14.007,13.795,13.833,1059622,0
2010-07-29,13.85,13.924,13.545,13.687,1610315,0
2010-07-30,13.612,13.786,13.537,13.695,950489,0
2010-08-02,13.85,13.924,13.705,13.887,1485127,0
2010-08-03,13.86,13.897,13.649,13.687,933514,0
2010-08-04,13.687,13.85,13.602,13.824,1125622,0
2010-08-05,13.742,13.85,13.649,13.841,1884603,0
2010-08-06,13.713,13.97,13.713,13.961,1517120,0
2010-08-09,14.024,14.181,13.998,14.171,1274293,0
2010-08-10,14.078,14.078,13.742,13.833,1053702,0
2010-08-11,13.629,13.639,13.327,13.336,1402527,0
2010-08-12,13.125,13.272,13.078,13.199,989182,0
2010-08-13,13.143,13.227,13.071,13.189,1049990,0
2010-08-16,13.107,13.245,12.987,13.218,1117981,0
2010-08-17,13.336,13.474,13.281,13.327,874414,0
2010-08-18,13.3,13.392,13.245,13.336,578676,0
2010-08-19,13.253,13.262,12.959,13.078,1139123,0
2010-08-20,12.977,13.061,12.877,13.033,844239,0
2010-08-23,13.097,13.134,12.934,13.005,728939,0
2010-08-24,12.867,12.969,12.738,12.859,1137605,0
2010-08-25,12.766,13.134,12.748,13.088,1369373,0
2010-08-26,13.152,13.245,13.052,13.097,1545843,0
2010-08-27,13.162,13.382,13.024,13.363,1216708,0
2010-08-30,13.317,13.355,13.115,13.143,1426247,0
2010-08-31,13.057,13.158,12.937,13.038,1437984,0
2010-09-01,13.199,13.639,13.152,13.621,2168701,0
2010-09-02,13.593,13.629,13.134,13.17,3525126,0
2010-09-03,13.272,13.382,13.237,13.355,1545671,0
2010-09-07,13.31,13.363,13.162,13.18,1431974,0
2010-09-08,13.227,13.245,13.005,13.097,1560344,0
2010-09-09,13.253,13.291,12.859,12.934,1502347,0
2010-09-10,13.015,13.088,12.84,13.052,1410164,0
2010-09-13,13.162,13.41,13.152,13.373,1673650,0
2010-09-14,13.272,13.438,13.262,13.272,1564437,0
2010-09-15,13.237,13.528,13.18,13.455,1780095,0
2010-09-16,13.429,13.612,13.419,13.545,1637739,0
2010-09-17,13.593,13.777,13.593,13.768,5767871,0
2010-09-20,13.768,14.043,13.687,14.024,1634980,0
2010-09-21,14.033,14.052,13.732,13.833,1731821,0
2010-09-22,13.86,13.961,13.713,13.768,1151260,0
2010-09-23,13.649,13.824,13.593,13.649,1230476,0
2010-09-24,13.777,14.016,13.759,14.016,1250310,0
2010-09-27,14.016,14.069,13.879,13.97,946629,0
2010-09-28,14.007,14.088,13.887,14.024,1138479,0
2010-09-29,14.016,14.033,13.879,13.98,1009665,0
2010-09-30,14.088,14.237,13.924,13.998,1145763,0
2010-10-01,14.134,14.19,13.97,14.024,1301380,0
2010-10-04,14.016,14.124,13.879,13.989,1100944,0
2010-10-05,14.115,14.218,13.961,14.209,1128453,0
2010-10-06,14.162,14.227,13.943,14.033,861501,0
2010-10-07,14.115,14.134,13.934,14.033,924142,0
2010-10-08,14.043,14.134,13.961,14.096,684836,0
2010-10-11,14.096,14.162,14.043,14.115,401487,0
2010-10-12,14.078,14.265,13.989,14.237,1469322,0
2010-10-13,14.284,14.438,14.218,14.367,1619174,0
2010-10-14,14.385,14.603,14.284,14.474,2509191,0
2010-10-15,14.584,14.668,14.539,14.613,1905944,0
2010-10-18,14.529,14.686,14.529,14.686,929083,0
2010-10-19,14.492,14.594,14.357,14.42,1032905,0
2010-10-20,14.474,14.686,14.474,14.677,1306476,0
2010-10-21,14.632,14.695,14.313,14.483,1571573,0
2010-10-22,14.447,14.677,14.404,14.677,814296,0
2010-10-25,14.741,14.788,14.51,14.52,1453967,0
2010-10-26,14.42,14.52,14.294,14.412,1051536,0
2010-10-27,14.313,14.394,14.096,14.246,1118778,0
2010-10-28,14.303,14.375,14.134,14.237,914313,0
2010-10-29,14.213,14.427,14.213,14.335,1187766,0
2010-11-01,14.357,14.464,14.162,14.227,839394,0
2010-11-02,14.33,14.42,14.303,14.367,714244,0
2010-11-03,14.412,14.429,14.227,14.394,778510,0
2010-11-04,14.539,14.594,14.455,14.51,1075955,0
2010-11-05,14.501,14.651,14.474,14.622,928917,0
2010-11-08,14.548,14.686,14.51,14.51,766749,0
2010-11-09,14.584,14.695,14.385,14.412,1112830,0
2010-11-10,14.394,14.584,14.394,14.565,801101,0
2010-11-11,14.385,14.603,14.347,14.501,876364,0
2010-11-12,14.412,14.464,14.246,14.256,701166,0
2010-11-15,14.313,14.394,14.106,14.106,1212969,0
2010-11-16,14.033,14.069,13.751,13.869,2049544,0
2010-11-17,13.897,14.115,13.768,14.096,1417430,0
2010-11-18,14.237,14.375,14.181,14.294,796825,0
2010-11-19,14.294,14.347,14.227,14.347,596439,0
2010-11-22,14.246,14.385,14.181,14.375,726297,0
2010-11-23,14.218,14.303,14.088,14.209,1201283,0
2010-11-24,13.998,14.227,13.998,14.181,1373395,0
2010-11-26,14.088,14.19,14.043,14.171,558844,0
2010-11-29,14.088,14.096,13.768,13.952,1191864,0
2010-11-30,13.84,14.043,13.84,13.859,864491,0
2010-12-01,14.024,14.209,14.007,14.033,1165756,0
2010-12-02,14.016,14.284,13.943,14.171,1262741,0
2010-12-03,14.096,14.294,14.078,14.294,1029833,0
2010-12-06,14.237,14.237,14.078,14.162,631388,0
2010-12-07,14.294,14.347,14.162,14.171,823138,0
2010-12-08,14.134,14.237,14.106,14.152,1277252,0
2010-12-09,14.237,14.237,13.98,14.016,1182552,0
2010-12-10,14.033,14.096,13.934,14.088,1175714,0
2010-12-13,14.162,14.2,14.043,14.088,779439,0
2010-12-14,14.069,14.069,13.943,13.961,941331,0
2010-12-15,14.016,14.143,13.916,14.016,1462456,0
2010-12-16,14.052,14.21,14.006,14.079,1007326,0
2010-12-17,14.078,14.171,13.98,14.033,1067403,0
2010-12-20,14.069,14.124,13.998,14.033,541085,0
2010-12-21,14.115,14.152,13.897,13.934,1640046,0
2010-12-22,13.961,14.061,13.934,14.052,648386,0
2010-12-23,14.061,14.115,13.961,13.961,539514,0
2010-12-27,13.897,14.069,13.869,14.043,583521,0
2010-12-28,14.088,14.134,14.024,14.124,611770,0
2010-12-29,14.183,14.249,14.125,14.23,693862,0
2010-12-30,14.211,14.249,14.135,14.135,715701,0
2010-12-31,14.152,14.21,14.105,14.123,463402,0
2011-01-03,14.209,14.464,14.181,14.455,1081703,0
2011-01-04,14.455,14.464,14.275,14.303,1126022,0
2011-01-05,14.265,14.575,14.265,14.565,1216272,0
2011-01-06,14.548,14.713,14.51,14.659,1220592,0
2011-01-07,14.651,14.807,14.548,14.651,932019,0
2011-01-10,14.594,14.769,14.548,14.713,748012,0
2011-01-11,14.75,14.862,14.713,14.731,1108341,0
2011-01-12,14.862,14.881,14.759,14.817,937200,0
2011-01-13,14.807,14.834,14.429,14.52,1552751,0
2011-01-14,14.529,15.154,14.464,15.071,1920936,0
2011-01-18,15.531,16.349,15.485,16.025,3730310,0
2011-01-19,16.025,16.025,15.667,15.818,1628233,0
2011-01-20,15.742,15.762,15.514,15.676,1623890,0
2011-01-21,15.752,15.752,15.504,15.676,1343062,0
2011-01-24,15.657,16.091,15.611,15.962,1387605,0
2011-01-25,15.892,16.12,15.799,16.101,1427575,0
2011-01-26,16.156,16.596,16.025,16.485,3091105,0
2011-01-27,16.433,16.478,16.266,16.396,1392100,0
2011-01-28,16.396,16.567,15.855,15.962,2096015,0
2011-01-31,16.01,16.135,15.875,15.991,1838330,0
2011-02-01,16.091,16.321,16.091,16.294,1258371,0
2011-02-02,16.202,16.294,15.92,15.979,1391580,0
2011-02-03,15.979,16.034,15.799,15.962,1001787,0
2011-02-04,15.944,16.053,15.828,15.988,1286369,0
2011-02-07,16.034,16.257,15.944,16.221,1178102,0
2011-02-08,16.193,16.339,16.156,16.313,899459,0
2011-02-09,16.229,16.266,16.091,16.221,863192,0
2011-02-10,16.128,16.348,15.961,16.285,1617696,0
2011-02-11,16.247,16.331,16.025,16.257,1277641,0
2011-02-14,16.257,16.387,16.175,16.321,923455,0
2011-02-15,16.303,16.313,16.12,16.266,961665,0
2011-02-16,16.321,16.387,16.193,16.266,1052260,0
2011-02-18,16.331,16.495,16.148,16.193,1751591,0
2011-02-22,16.025,16.202,15.865,15.953,1218404,0
2011-02-23,15.937,16.025,15.611,15.818,1619433,0
2011-02-24,15.79,15.953,15.629,15.855,1191624,0
2011-02-25,15.872,16.201,15.863,16.193,1016045,0
2011-02-28,16.193,16.322,16.099,16.304,982450,0
2011-03-01,16.549,16.673,16.247,16.293,2629601,0
