Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,2.63,2.71,2.53,2.71,226267,0
2010-01-05,2.71,2.85,2.66,2.85,227517,0
2010-01-06,2.85,3.03,2.8,2.97,244001,0
2010-01-07,2.97,3.09,2.9,3.01,150877,0
2010-01-08,3,3.08,2.89,3.03,249821,0
2010-01-11,3.62,4.2,3.61,4.02,1599111,0
2010-01-12,3.97,4.14,3.83,3.97,541384,0
2010-01-13,4.03,4.13,3.91,4.06,404815,0
2010-01-14,4.04,4.14,4.03,4.09,240325,0
2010-01-15,4.11,4.39,3.8,4.33,477677,0
2010-01-19,4.36,4.44,4.25,4.41,294462,0
2010-01-20,4.34,4.35,4.22,4.34,171635,0
2010-01-21,4.33,4.33,4.14,4.22,189373,0
2010-01-22,4.2,4.2,3.94,3.98,215612,0
2010-01-25,4.03,4.03,3.8,3.85,168602,0
2010-01-26,3.83,4.27,3.73,4.25,408461,0
2010-01-27,4.24,4.45,4.05,4.45,270144,0
2010-01-28,4.45,4.6,4.18,4.56,281333,0
2010-01-29,4.58,4.8,4.29,4.37,559109,0
2010-02-01,4.19,4.86,4.17,4.83,410680,0
2010-02-02,4.46,4.7,4.41,4.68,990230,0
2010-02-03,4.68,4.94,4.65,4.84,373003,0
2010-02-04,4.82,4.97,4.76,4.89,434987,0
2010-02-05,4.91,5,4.75,4.95,320019,0
2010-02-08,4.96,5.21,4.94,5.01,415556,0
2010-02-09,5,5.45,4.97,5.44,527101,0
2010-02-10,5.1,5.4,5.05,5.39,728281,0
2010-02-11,5.39,5.39,4.66,4.9,2636755,0
2010-02-12,4.72,4.78,4.2,4.33,1300093,0
2010-02-16,4.37,5,4.3,4.43,8238786,0
2010-02-17,4.47,4.69,4.36,4.69,1240865,0
2010-02-18,4.65,4.74,4.59,4.62,689114,0
2010-02-19,4.62,5,4.58,4.92,1223142,0
2010-02-22,4.88,5,4.86,4.93,638799,0
2010-02-23,4.88,5.16,4.75,5.16,1469200,0
2010-02-24,5.15,5.15,4.9,5.1,861685,0
2010-02-25,5,5.33,4.94,5.33,768861,0
2010-02-26,5.31,5.86,5.27,5.71,860654,0
2010-03-01,5.86,6.46,5.8,6.35,1814853,0
2010-03-02,6.4,6.42,5.74,6.31,1013287,0
2010-03-03,6.3,6.5,6.09,6.35,797484,0
2010-03-04,6.4,6.59,6.2,6.51,641790,0
2010-03-05,6.54,6.9,6.34,6.9,684887,0
2010-03-08,6.91,7.16,6.79,6.9,589279,0
2010-03-09,6.9,7.2,6.86,7.14,712064,0
2010-03-10,7.17,7.25,6.91,7.07,587529,0
2010-03-11,7,7,6.39,6.73,657315,0
2010-03-12,6.72,6.86,6.63,6.83,178149,0
2010-03-15,6.79,6.81,6.45,6.73,259541,0
2010-03-16,6.75,6.86,6.66,6.78,327338,0
2010-03-17,6.17,6.98,6.17,6.75,419676,0
2010-03-18,6.7,6.76,6.5,6.58,180325,0
2010-03-19,6.63,6.63,5.65,5.66,1304039,0
2010-03-22,5.67,6.43,5.55,6.36,920567,0
2010-03-23,6.41,6.41,6.02,6.22,477880,0
2010-03-24,6.2,6.46,6.15,6.28,403328,0
2010-03-25,6.31,6.55,6.23,6.26,301611,0
2010-03-26,6.33,6.4,6.26,6.38,229149,0
2010-03-29,6.37,6.54,6.37,6.43,540793,0
2010-03-30,6.49,6.69,6.41,6.6,280514,0
