Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,37.242,38.181,37.155,37.826,913840,0
2010-01-05,38.072,38.522,37.466,38.095,935534,0
2010-01-06,38.158,38.829,37.866,38.388,728805,0
2010-01-07,38.214,38.48,37.796,38.016,669187,0
2010-01-08,37.987,38.057,37.449,37.71,668767,0
2010-01-11,37.526,37.526,34.799,36.171,2695188,0
2010-01-12,35.95,36.764,35.098,35.318,1498593,0
2010-01-13,35.342,35.785,34.394,35.65,999867,0
2010-01-14,35.58,35.917,35.524,35.618,565687,0
2010-01-15,35.65,35.886,34.751,34.821,909139,0
2010-01-19,34.885,35.697,34.711,35.524,632409,0
2010-01-20,35.239,35.28,34.294,34.727,669651,0
2010-01-21,34.664,34.854,32.857,33.465,1620992,0
2010-01-22,33.26,33.813,32.85,33.418,1423064,0
2010-01-25,33.724,33.724,32.692,33.558,940518,0
2010-01-26,33.418,33.797,33.079,33.26,728831,0
2010-01-27,33.608,34.207,33.289,33.694,826325,0
2010-01-28,33.844,33.874,33.338,33.527,751956,0
2010-01-29,33.686,33.985,33.489,33.497,1126561,0
2010-02-01,33.686,34.309,33.686,34.222,1172439,0
2010-02-02,34.799,36.722,34.711,36.597,3106354,0
2010-02-03,36.526,37.149,36.171,36.271,1334650,0
2010-02-04,35.982,35.982,34.718,34.743,1004420,0
2010-02-05,34.657,34.869,33.385,34.239,1411786,0
2010-02-08,34.239,34.743,33.558,34.365,1577755,0
2010-02-09,34.9,34.9,34.16,34.648,1279508,0
2010-02-10,34.63,34.639,33.905,34.252,515147,0
2010-02-11,34.222,34.608,33.771,34.578,534754,0
2010-02-12,34.135,34.427,33.851,34.317,752997,0
2010-02-16,34.569,34.617,33.985,34.617,609060,0
2010-02-17,34.804,35.459,34.56,35.272,806641,0
2010-02-18,35.28,36.092,35.201,36.083,663178,0
2010-02-19,35.942,36.083,35.501,35.942,764334,0
2010-02-22,36.258,36.376,35.831,36.06,493118,0
2010-02-23,36.045,36.219,35.546,35.713,655124,0
2010-02-24,35.917,36.162,35.642,35.886,525283,0
2010-02-25,35.58,36.628,35.113,36.604,940892,0
2010-02-26,36.581,36.974,36.4,36.864,740356,0
2010-03-01,36.946,37.669,36.946,37.284,690186,0
2010-03-02,37.495,37.567,36.747,37.071,1052937,0
2010-03-03,37.26,37.408,36.756,36.958,731996,0
2010-03-04,36.938,37.125,36.834,36.928,715549,0
2010-03-05,37.062,37.473,37.023,37.363,725725,0
2010-03-08,37.44,37.599,37.125,37.371,446376,0
2010-03-09,37.293,37.779,37.235,37.371,661252,0
2010-03-10,37.44,37.804,37.173,37.567,931721,0
2010-03-11,37.44,37.858,37.188,37.772,711906,0
2010-03-12,37.866,38.411,37.52,38.301,724055,0
2010-03-15,38.317,38.655,38.12,38.531,775754,0
2010-03-16,38.567,38.718,38.245,38.718,419431,0
2010-03-17,38.744,39.058,38.08,38.191,763312,0
2010-03-18,38.12,38.451,37.392,37.44,746867,0
2010-03-19,37.621,37.74,36.764,36.928,1421154,0
2010-03-22,36.784,37.583,36.628,37.284,945749,0
2010-03-23,37.226,38.355,37.101,38.276,827945,0
2010-03-24,38.158,38.166,37.661,37.893,468216,0
2010-03-25,38.223,38.558,37.573,37.583,757234,0
2010-03-26,37.591,38.206,37.354,37.686,774942,0
2010-03-29,37.788,38.558,37.701,38.395,518046,0
2010-03-30,38.451,39.365,38.372,38.592,636003,0
2010-03-31,38.49,38.875,38.016,38.04,539378,0
2010-04-01,38.231,38.576,37.884,38.403,407004,0
2010-04-05,38.466,39.941,38.466,39.879,1067564,0
2010-04-06,39.697,39.768,38.852,39.255,1877895,0
2010-04-07,39.154,39.154,38.285,38.46,804789,0
2010-04-08,38.46,38.46,37.607,37.71,1113002,0
2010-04-09,37.717,37.772,37.284,37.747,788272,0
2010-04-12,37.842,38.048,37.63,37.907,509742,0
2010-04-13,37.866,38.023,37.543,37.755,789264,0
2010-04-14,37.866,38.206,37.346,38.197,630296,0
2010-04-15,38.086,38.086,37.408,37.921,933238,0
2010-04-16,37.842,38.293,37.449,37.701,1184220,0
2010-04-19,37.661,37.71,36.661,37.197,774722,0
2010-04-20,37.495,38.158,37.276,38.15,782294,0
2010-04-21,41.171,42.718,40.415,42.536,4846754,0
2010-04-22,42.207,42.207,41.006,41.978,1596276,0
2010-04-23,41.939,42.29,41.553,41.839,1175996,0
2010-04-26,42.103,42.103,40.788,40.824,1094552,0
2010-04-27,40.643,41.535,40.392,40.745,1603882,0
2010-04-28,41.069,41.116,40.045,40.816,1606608,0
2010-04-29,41.085,41.779,40.849,41.487,777238,0
2010-04-30,41.552,41.75,40.257,40.288,1064939,0
2010-05-03,40.343,41.221,40.343,41.046,721160,0
2010-05-04,40.657,40.657,39.075,39.403,1254172,0
2010-05-05,38.884,39.295,37.276,37.536,3103808,0
2010-05-06,37.242,38.15,33.914,36.376,2229923,0
2010-05-07,36.193,36.446,34.143,34.317,2703741,0
2010-05-10,36.289,37.44,35.445,37.4,2677771,0
2010-05-11,37.087,37.849,36.669,36.731,1620521,0
2010-05-12,36.764,37.379,36.407,37.117,1590115,0
2010-05-13,36.938,37.804,36.683,36.913,988297,0
2010-05-14,36.565,36.8,35.501,36.021,1310609,0
2010-05-17,36.179,36.791,35.335,36.343,1306272,0
2010-05-18,36.565,36.895,35.501,35.507,1193021,0
2010-05-19,35.428,35.958,34.466,34.965,2385275,0
2010-05-20,33.756,34.365,32.969,33.218,1742848,0
2010-05-21,32.692,33.701,32.1,32.833,2343029,0
2010-05-24,32.661,32.74,31.682,32.195,2553964,0
2010-05-25,31.556,32.898,30.182,32.84,2205852,0
2010-05-26,33.101,33.694,32.36,32.589,1630624,0
2010-05-27,32.793,34.427,32.778,34.419,1307428,0
2010-05-28,34.394,34.394,33.289,33.519,849548,0
2010-06-01,33.131,33.244,32.066,32.066,1051183,0
2010-06-02,32.116,32.77,31.571,32.77,897655,0
2010-06-03,32.753,32.905,31.943,32.433,1362074,0
2010-06-04,31.556,31.847,30.262,30.358,2099063,0
2010-06-07,30.427,30.554,29.497,29.544,1772557,0
2010-06-08,29.551,29.747,28.55,29.718,2450033,0
2010-06-09,29.962,31.477,29.859,30.254,1876702,0
2010-06-10,30.782,31.556,30.782,31.524,1139382,0
2010-06-11,31.09,31.935,30.758,31.586,1013963,0
2010-06-14,32.291,32.605,31.698,32.153,1271549,0
2010-06-15,32.36,32.778,31.486,32.708,1619772,0
2010-06-16,32.368,32.637,31.515,31.729,1367893,0
2010-06-17,32.031,32.153,30.939,31.722,930223,0
2010-06-18,31.785,32.653,31.785,32.344,1326048,0
2010-06-21,32.692,33.126,31.594,31.808,901050,0
2010-06-22,31.801,32.186,31.515,31.627,1439171,0
2010-06-23,31.564,32.423,30.948,32.022,1289440,0
2010-06-24,31.873,31.873,30.198,30.269,1149033,0
2010-06-25,31.279,32.376,31.137,31.627,8243570,0
2010-06-28,31.548,32.092,31.318,31.729,1238610,0
2010-06-29,31.129,31.951,31.019,31.627,2323006,0
2010-06-30,31.643,31.992,31.308,31.435,1099284,0
2010-07-01,31.327,31.524,30.008,31.004,1212378,0
2010-07-02,31.178,31.193,30.396,30.528,560156,0
2010-07-06,31.043,31.382,29.897,30.119,1325175,0
2010-07-07,30.198,31.823,30.198,31.665,991621,0
2010-07-08,32.124,32.414,31.556,32.336,955577,0
2010-07-09,32.531,33.001,32.312,32.723,574340,0
2010-07-12,32.653,33.126,32.321,33.022,695325,0
2010-07-13,33.566,34.594,33.551,34.451,1769456,0
2010-07-14,34.386,34.68,33.962,34.181,1090704,0
2010-07-15,34.215,34.38,33.74,34.239,539724,0
2010-07-16,34.095,34.198,33.465,33.677,979831,0
2010-07-19,33.883,34.348,33.401,34.135,942561,0
2010-07-20,29.346,31.864,28.494,31.54,9007666,0
2010-07-21,31.856,32.368,30.861,31.074,3189827,0
2010-07-22,31.492,31.785,30.869,31.169,1569917,0
2010-07-23,31.019,32.147,30.767,31.973,1011687,0
2010-07-26,31.823,32.153,31.635,32.084,855401,0
2010-07-27,32.235,32.384,31.54,31.635,760657,0
