Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,34.587,34.774,34.253,34.774,105083,0
2010-01-05,34.764,34.95,33.742,34.132,95940,0
2010-01-06,34.188,34.55,33.445,33.715,88930,0
2010-01-07,33.742,35.99,33.742,35.656,224776,0
2010-01-08,35.413,36.928,34.82,35.637,85934,0
2010-01-11,35.748,35.897,34.393,35.081,89949,0
2010-01-12,34.801,34.96,34.151,34.652,70390,0
2010-01-13,34.903,35.581,34.457,34.774,72063,0
2010-01-14,34.698,34.987,34.307,34.412,81692,0
2010-01-15,34.531,34.698,32.822,33.239,179197,0
2010-01-19,33.249,34.289,33.016,34.16,128715,0
2010-01-20,33.853,33.853,31.28,32.145,186332,0
2010-01-21,32.293,32.681,30.788,31.532,207259,0
2010-01-22,31.594,33.101,30.695,31.326,186744,0
2010-01-25,31.718,32.71,30.685,32.469,156224,0
2010-01-26,32.245,32.803,31.151,31.326,91908,0
2010-01-27,31.243,32.145,30.666,31.79,108179,0
2010-01-28,31.95,32.191,30.547,31.427,151758,0
2010-01-29,31.485,32.747,31.345,31.532,147123,0
2010-02-01,31.585,32.915,30.965,31.576,115584,0
2010-02-02,31.523,33.045,31.168,32.691,165120,0
2010-02-03,32.44,32.73,31.642,32.311,99826,0
2010-02-04,31.95,32.135,30.334,30.675,190989,0
2010-02-05,30.657,31.699,29.58,31.029,183122,0
2010-02-08,30.267,31.855,30.092,30.675,102128,0
2010-02-09,31.781,32.747,31.446,31.708,210052,0
2010-02-10,31.727,32.571,30.704,32.293,221032,0
2010-02-11,32.273,33.677,31.736,33.658,204970,0
2010-02-12,33.221,33.993,32.73,33.993,130154,0
2010-02-16,34.142,34.273,33.697,34.273,90416,0
2010-02-17,34.307,34.42,32.003,32.971,141182,0
2010-02-18,32.803,33.036,31.875,32.794,97657,0
2010-02-19,32.794,33.472,32.385,33.195,88780,0
2010-02-22,33.211,33.834,32.887,33.36,59389,0
2010-02-23,33.221,33.881,31.95,32.301,138198,0
2010-02-24,32.478,32.766,31.307,32.368,149618,0
2010-02-25,31.808,32.46,31.075,32.431,191535,0
2010-02-26,32.552,32.981,31.475,32.739,136044,0
2010-03-01,32.952,34.335,32.71,34.316,174143,0
2010-03-02,34.345,34.345,33.147,33.583,147019,0
2010-03-03,33.769,34.597,33.501,33.872,135052,0
2010-03-04,33.965,34.466,33.36,34.02,52600,0
2010-03-05,34.113,34.792,33.751,34.635,136887,0
2010-03-08,34.726,36.361,34.384,36.342,160819,0
2010-03-09,36.092,36.351,35.256,35.758,157460,0
2010-03-10,35.656,37.161,35.656,36.5,217240,0
2010-03-11,36.231,36.306,35.748,36.196,99540,0
2010-03-12,36.24,36.325,34.707,35.48,95482,0
2010-03-15,35.256,36.604,35.256,36.472,227478,0
2010-03-16,36.519,36.724,35.943,36.446,101029,0
