Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,8.8972,8.9746,8.8821,8.8972,3054,0
2010-01-05,8.9746,8.9746,8.8972,8.9746,7980,0
2010-01-06,9.1209,9.1209,8.8821,8.8821,4695,0
2010-01-07,8.8594,8.8594,8.8513,8.8513,3247,0
2010-01-08,8.8513,8.8513,8.8513,8.8513,129,0
2010-01-11,8.8513,8.8594,8.743,8.8594,2148,0
2010-01-12,8.8594,8.9746,8.7194,8.9279,5506,0
2010-01-13,8.7503,8.8203,8.7503,8.8203,6408,0
2010-01-14,8.9746,8.9746,8.9121,8.9121,1938,0
2010-01-15,8.8203,8.8203,8.8203,8.8203,129,0
2010-01-19,9.0363,9.0363,8.743,8.743,776,0
2010-01-20,8.9354,9.0522,8.9354,8.9746,1104,0
2010-01-21,8.9588,8.9746,8.8667,8.9672,2551,0
2010-01-22,8.9672,8.9672,8.9672,8.9672,258,0
2010-01-26,8.8667,8.9672,8.7812,8.8667,4150,0
2010-01-27,8.7885,8.9746,8.7885,8.9746,1551,0
2010-01-28,8.9746,8.9746,8.9672,8.9746,680,0
2010-01-29,8.7812,8.9746,8.7812,8.7967,7550,0
2010-02-01,8.8049,8.8821,8.8049,8.8821,523,0
2010-02-03,8.8203,8.8972,8.8121,8.8972,4384,0
2010-02-04,8.8972,8.8972,8.7967,8.8431,1394,0
2010-02-05,8.8049,8.8121,8.7967,8.7967,5188,0
2010-02-08,8.7112,8.7739,8.7112,8.7112,1066,0
2010-02-09,8.7112,8.7739,8.7112,8.7739,415,0
2010-02-10,8.8731,8.8731,8.743,8.743,4252,0
2010-02-12,8.8513,8.8513,8.8513,8.8513,516,0
2010-02-16,8.7503,8.7812,8.7112,8.7812,4782,0
2010-02-17,8.8821,8.8821,8.8821,8.8821,393,0
2010-02-18,8.8731,8.8731,8.8731,8.8731,363,0
2010-02-19,8.7194,8.7194,8.7194,8.7194,129,0
2010-02-22,8.743,8.743,8.743,8.743,241,0
2010-02-23,8.743,8.8594,8.743,8.8594,1700,0
2010-02-24,8.8594,8.8972,8.7112,8.7112,4115,0
2010-02-25,8.8667,8.8905,8.7267,8.7267,1478,0
2010-02-26,8.7503,8.7503,8.743,8.743,1034,0
2010-03-01,8.8905,9.0522,8.8431,9.0214,10300,0
2010-03-02,8.9046,9.0437,8.9046,9.0437,1034,0
2010-03-03,9.0437,9.1838,9.0363,9.0904,5984,0
2010-03-04,9.1905,9.2067,9.1905,9.2067,267,0
2010-03-05,9.2067,9.2067,9.0522,9.0904,842,0
2010-03-08,9.0904,9.1142,9.0904,9.0904,1516,0
2010-03-09,9.1142,9.1371,9.1142,9.1304,1856,0
2010-03-10,9.3006,9.4002,9.0904,9.3611,12606,0
2010-03-11,9.3611,9.3611,9.2928,9.3074,472,0
2010-03-12,9.4002,9.4773,9.4002,9.4773,1551,0
2010-03-15,9.4295,9.4773,9.0608,9.4773,13818,0
2010-03-16,9.4773,9.4773,9.3689,9.3689,4157,0
2010-03-17,9.3689,9.3689,9.3689,9.3689,2680,0
2010-03-18,9.3689,9.3689,9.3689,9.3689,5379,0
2010-03-19,9.3689,9.3689,9.3533,9.3533,12914,0
2010-03-22,9.3533,9.3689,9.3309,9.3689,8464,0
2010-03-23,9.3533,9.4002,9.3533,9.4002,2197,0
2010-03-24,9.492,9.492,9.3533,9.3611,4685,0
2010-03-25,9.4705,9.4705,9.3533,9.4383,35383,0
2010-03-26,10.845,10.845,9.6,10.049,20896,0
2010-03-29,9.996,10.049,9.896,9.904,4420,0
2010-03-30,9.904,9.904,9.826,9.826,18480,0
2010-03-31,9.834,9.834,9.632,9.826,8280,0
2010-04-01,9.71,9.71,9.71,9.71,386,0
2010-04-05,11.542,11.542,9.857,10.282,29660,0
2010-04-06,10.399,10.399,10.058,10.058,6338,0
2010-04-07,9.81,9.95,9.81,9.95,645,0
2010-04-08,9.91,9.91,9.91,9.91,2586,0
2010-04-09,9.91,9.91,9.904,9.904,4524,0
2010-04-12,9.942,9.95,9.834,9.834,3759,0
2010-04-13,9.834,10.592,9.834,9.864,5234,0
2010-04-14,9.864,9.864,9.671,9.671,6590,0
2010-04-15,9.593,10.058,9.0742,9.2687,22895,0
2010-04-16,9.1066,9.3143,9.1066,9.1905,4999,0
2010-04-19,9.3143,9.3143,9.1905,9.2687,4945,0
2010-04-20,9.284,9.284,9.2687,9.284,2616,0
2010-04-21,9.2687,9.284,9.1981,9.1981,6375,0
2010-04-22,9.1981,9.284,9.1981,9.284,17031,0
2010-04-23,9.284,9.284,9.2457,9.284,7925,0
2010-04-26,9.2067,9.284,9.2067,9.284,10015,0
2010-04-27,9.4705,9.4705,9.284,9.284,9233,0
2010-04-28,9.284,9.801,9.284,9.662,12249,0
2010-04-29,9.671,9.671,9.662,9.671,9372,0
2010-04-30,9.4461,9.801,9.4461,9.657,9372,0
2010-05-03,9.647,9.834,9.4773,9.501,6122,0
2010-05-04,9.562,9.671,9.4617,9.671,9920,0
2010-05-05,9.662,9.662,9.662,9.662,532,0
2010-05-06,9.593,9.671,9.4773,9.4773,3216,0
2010-05-07,9.3533,9.834,9.3396,9.3533,4007,0
2010-05-10,9.671,9.834,9.3533,9.4461,2745,0
2010-05-11,9.657,9.671,9.3611,9.6,2287,0
2010-05-13,9.671,10.321,9.618,9.841,9588,0
