Date,Open,High,Low,Close,Volume,OpenInt
2010-01-04,34.007,34.242,32.822,32.901,36172,0
2010-01-05,32.861,34.125,32.778,33.813,43039,0
2010-01-06,33.631,35.452,33.631,35.162,61312,0
2010-01-07,35.326,36.566,35.074,36.09,45900,0
2010-01-08,35.673,36.178,35.22,36.071,10683,0
2010-01-11,35.654,36.741,35.395,36.509,8472,0
2010-01-12,35.812,36.548,35.615,36.355,8961,0
2010-01-13,36.286,37.489,35.772,37.042,7035,0
2010-01-14,36.644,38.389,36.355,37.749,9687,0
2010-01-15,37.817,38.147,37.014,37.032,7189,0
2010-01-19,37.121,37.121,36.432,36.886,9374,0
2010-01-20,36.403,37.469,35.792,36.499,23490,0
2010-01-21,36.023,36.032,35.142,35.307,9610,0
2010-01-22,35.442,36.49,34.898,35.792,13840,0
2010-01-25,36.365,38.631,35.812,38.584,53580,0
2010-01-26,38.312,39.272,37.207,39.067,9089,0
2010-01-27,39.126,39.126,38.235,38.769,4784,0
2010-01-28,38.622,38.622,36.996,38.08,16312,0
2010-01-29,38.969,38.999,37.479,38.245,6348,0
2010-02-01,38.255,38.669,36.247,36.936,15066,0
2010-02-02,36.79,37.759,35.424,37.032,11575,0
2010-02-03,37.042,38.769,36.548,37.052,20797,0
2010-02-04,36.956,36.956,34.859,34.996,18465,0
2010-02-05,35.365,36.296,33.365,33.939,93344,0
2010-02-08,33.939,33.949,32.67,33.434,51833,0
2010-02-09,33.641,33.641,33.118,33.454,5650,0
2010-02-10,33.211,33.554,33.009,33.554,5022,0
2010-02-11,33.346,34.442,33.346,34.355,6079,0
2010-02-12,33.444,36.023,33.317,35.958,10868,0
2010-02-16,35.919,36.256,35.482,36.178,3677,0
2010-02-17,36.149,36.49,34.756,36.227,3426,0
2010-02-18,36.276,36.886,36.276,36.79,1166,0
2010-02-19,36.896,37.072,36.896,37.072,1690,0
2010-02-22,36.966,37.072,35.703,36.836,1696,0
2010-02-23,37.082,37.904,36.052,37.528,4446,0
2010-02-24,36.986,37.292,36.616,37.062,1371,0
2010-02-25,37.014,37.865,36.256,37.835,2148,0
2010-02-26,37.875,38.437,37.138,38.274,3113,0
2010-03-01,38.292,38.515,37.217,37.769,3453,0
2010-03-02,37.845,38.679,37.817,38.361,1753,0
2010-03-03,38.525,38.769,37.642,38.195,5206,0
2010-03-04,36.916,38.719,36.916,38.398,1683,0
2010-03-05,38.418,39.766,38.418,39.766,4734,0
2010-03-08,39.64,39.64,38.594,39.233,7617,0
2010-03-09,38.903,39.057,38.789,39.029,1697,0
2010-03-10,38.759,38.969,37.518,38.564,3519,0
2010-03-11,38.515,40.299,37.615,39.921,40497,0
2010-03-12,40.133,40.859,37.13,38.09,27861,0
2010-03-15,37.943,37.943,37.138,37.509,9365,0
2010-03-16,37.701,37.729,37.322,37.729,2698,0
2010-03-17,37.808,38.003,37.682,38.003,5364,0
2010-03-18,38.147,40.231,38.147,38.495,6797,0
2010-03-19,38.759,38.759,36.79,37.808,11666,0
2010-03-22,38.603,39.379,38.225,38.554,14918,0
2010-03-23,38.789,38.789,37.808,37.963,2218,0
2010-03-24,37.518,37.557,36.509,37.167,652,0
2010-03-25,37.226,37.226,37.217,37.217,349,0
2010-03-29,36.876,37.082,35.919,36.906,9179,0
2010-03-30,36.946,38.185,36.946,37.672,1405,0
2010-03-31,37.672,38.108,37.226,37.489,6717,0
2010-04-01,37.729,37.963,36.79,36.79,880,0
2010-04-05,37.509,38.003,37.264,37.973,2142,0
2010-04-06,36.682,37.565,36.682,37.371,804,0
2010-04-07,36.441,37.302,36.441,36.886,1509,0
2010-04-08,36.636,37.147,36.636,36.886,950,0
2010-04-09,36.451,36.966,36.062,36.626,4166,0
2010-04-12,36.355,37.605,36.187,37.312,16111,0
2010-04-13,37.322,37.692,36.355,36.566,4264,0
2010-04-14,37.381,37.381,36.158,36.936,7719,0
2010-04-15,37.042,37.042,36.836,36.876,1237,0
2010-04-16,36.886,36.896,36.47,36.741,4121,0
2010-04-19,36.682,37.642,36.227,36.966,8092,0
2010-04-20,36.77,37.808,36.451,37.662,7603,0
2010-04-21,37.548,37.769,36.672,36.741,3355,0
2010-04-22,36.77,37.226,36.286,36.846,7019,0
2010-04-23,36.548,40.396,36.062,40.067,27214,0
2010-04-26,40.153,40.153,38.719,39.601,3965,0
2010-04-27,39.379,39.379,38.274,38.515,2232,0
2010-04-28,39.349,39.349,36.316,38.05,732,0
2010-04-29,39.252,39.572,38.699,39.282,4479,0
2010-04-30,39.494,40.212,39.097,39.504,13060,0
2010-05-03,39.631,39.746,38.292,39.445,6184,0
2010-05-04,39.156,39.156,38.545,38.923,4272,0
2010-05-05,38.446,38.913,38.446,38.729,1264,0
2010-05-06,38.603,39.631,38.312,38.535,2876,0
2010-05-07,37.808,39.689,37.004,38.312,17487,0
2010-05-10,38.913,40.523,38.098,39.843,9709,0
2010-05-11,39.776,39.776,38.809,39.659,1975,0
2010-05-12,39.921,40.668,38.495,40.638,9757,0
2010-05-13,38.709,40.038,38.709,39.902,3241,0
2010-05-14,40.561,40.561,36.936,38.147,7267,0
